Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 11:40:00, $123.93, BUY, $99,876.07, $123.93, $0.00, $0.00
2021-05-19 11:45:00, $123.94, HOLD, $99,876.07, $123.93, $0.00, $0.00
2021-05-19 11:50:00, $124.03, BUY, $99,752.05, $247.96, $0.00, $0.00
2021-05-19 11:55:00, $124.16, HOLD, $99,752.05, $247.96, $0.00, $0.00
2021-05-19 12:00:00, $124.28, BUY, $99,627.77, $372.23, $0.00, $0.00
2021-05-19 12:05:00, $124.31, HOLD, $99,627.77, $372.23, $0.00, $0.00
2021-05-19 12:10:00, $124.25, SELL, $100,000.53, $0.00, $-0.03, $0.53
2021-05-19 12:15:00, $124.23, HOLD, $100,000.53, $0.00, $0.00, $0.53
2021-05-19 12:20:00, $124.16, SELL, $100,000.53, $0.00, $0.00, $0.53
2021-05-19 12:25:00, $124.14, HOLD, $100,000.53, $0.00, $0.00, $0.53
2021-05-19 12:30:00, $124.08, SELL, $100,000.53, $0.00, $0.00, $0.53
2021-05-19 12:35:00, $124.12, BUY, $99,876.41, $124.12, $0.00, $0.53
2021-05-19 12:40:00, $124.20, HOLD, $99,876.41, $124.12, $0.00, $0.53
2021-05-19 12:45:00, $124.27, BUY, $99,752.14, $248.39, $0.00, $0.53
2021-05-19 12:50:00, $124.19, SELL, $100,000.52, $0.00, $-0.08, $0.52
2021-05-19 12:55:00, $123.98, HOLD, $100,000.52, $0.00, $0.00, $0.52
2021-05-19 13:00:00, $123.83, SELL, $100,000.52, $0.00, $0.00, $0.52
2021-05-19 13:05:00, $123.81, HOLD, $100,000.52, $0.00, $0.00, $0.52
2021-05-19 13:10:00, $124.10, BUY, $99,876.42, $124.10, $0.00, $0.52
2021-05-19 13:15:00, $124.40, HOLD, $99,876.42, $124.10, $0.00, $0.52
2021-05-19 13:20:00, $124.60, BUY, $99,751.82, $248.70, $0.00, $0.52
2021-05-19 13:25:00, $124.44, SELL, $100,000.70, $0.00, $-0.16, $0.70
2021-05-19 13:30:00, $124.22, HOLD, $100,000.70, $0.00, $0.00, $0.70
2021-05-19 13:35:00, $124.05, SELL, $100,000.70, $0.00, $0.00, $0.70
2021-05-19 13:40:00, $124.01, HOLD, $100,000.70, $0.00, $0.00, $0.70
2021-05-19 13:45:00, $123.97, SELL, $100,000.70, $0.00, $0.00, $0.70
2021-05-19 13:50:00, $123.95, HOLD, $100,000.70, $0.00, $0.00, $0.70
2021-05-19 13:55:00, $124.00, BUY, $99,876.70, $124.00, $0.00, $0.70
2021-05-19 14:00:00, $124.10, HOLD, $99,876.70, $124.00, $0.00, $0.70
2021-05-19 14:05:00, $124.20, BUY, $99,752.51, $248.20, $0.00, $0.70
2021-05-19 14:10:00, $124.28, HOLD, $99,752.51, $248.20, $0.00, $0.70
2021-05-19 14:15:00, $124.37, BUY, $99,628.14, $372.57, $0.00, $0.70
2021-05-19 14:20:00, $124.38, HOLD, $99,628.14, $372.57, $0.00, $0.70
2021-05-19 14:25:00, $124.36, SELL, $100,001.21, $0.00, $-0.01, $1.21
2021-05-19 14:30:00, $124.21, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-19 14:35:00, $124.12, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-19 14:40:00, $124.19, BUY, $99,877.02, $124.19, $0.00, $1.21
2021-05-19 14:45:00, $124.39, HOLD, $99,877.02, $124.19, $0.00, $1.21
2021-05-19 14:50:00, $124.60, BUY, $99,752.42, $248.79, $0.00, $1.21
2021-05-19 14:55:00, $124.64, HOLD, $99,752.42, $248.79, $0.00, $1.21
2021-05-19 15:00:00, $124.94, BUY, $99,627.48, $373.73, $0.00, $1.21
2021-05-19 15:05:00, $125.13, HOLD, $99,627.48, $373.73, $0.00, $1.21
2021-05-20 08:15:00, $125.41, BUY, $99,502.07, $499.14, $0.00, $1.21
2021-05-20 08:25:00, $125.48, HOLD, $99,502.07, $499.14, $0.00, $1.21
2021-05-20 08:30:00, $125.77, BUY, $99,376.30, $624.91, $0.00, $1.21
2021-05-20 08:35:00, $125.97, HOLD, $99,376.30, $624.91, $0.00, $1.21
2021-05-20 08:40:00, $126.02, BUY, $99,250.28, $750.93, $0.00, $1.21
2021-05-20 08:45:00, $125.94, SELL, $100,005.90, $0.00, $-0.09, $5.90
2021-05-20 08:50:00, $125.96, BUY, $99,879.93, $125.96, $0.00, $5.90
2021-05-20 08:55:00, $125.98, HOLD, $99,879.93, $125.96, $0.00, $5.90
2021-05-20 09:00:00, $126.08, BUY, $99,753.86, $252.04, $0.00, $5.90
2021-05-20 09:05:00, $126.16, HOLD, $99,753.86, $252.04, $0.00, $5.90
2021-05-20 09:10:00, $126.29, BUY, $99,627.57, $378.33, $0.00, $5.90
