Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-05-27 23:00:00, $112.19, BUY, $99,887.81, $112.19, $0.00, $0.00
2020-05-28 23:00:00, $114.18, HOLD, $99,887.81, $112.19, $0.00, $0.00
2020-05-31 23:00:00, $117.07, BUY, $99,770.74, $229.26, $0.00, $0.00
2020-06-01 23:00:00, $120.29, HOLD, $99,770.74, $229.26, $0.00, $0.00
2020-06-02 23:00:00, $122.85, BUY, $99,647.89, $352.11, $0.00, $0.00
2020-06-03 23:00:00, $123.56, HOLD, $99,647.89, $352.11, $0.00, $0.00
2020-06-04 23:00:00, $123.90, BUY, $99,523.99, $476.01, $0.00, $0.00
2020-06-07 23:00:00, $123.35, SELL, $100,017.40, $0.00, $-0.55, $17.40
2020-06-08 23:00:00, $120.63, HOLD, $100,017.40, $0.00, $0.00, $17.40
2020-06-09 23:00:00, $118.61, SELL, $100,017.40, $0.00, $0.00, $17.40
2020-06-10 23:00:00, $117.17, HOLD, $100,017.40, $0.00, $0.00, $17.40
2020-06-11 23:00:00, $119.56, BUY, $99,897.84, $119.56, $0.00, $17.40
2020-06-14 23:00:00, $121.25, HOLD, $99,897.84, $119.56, $0.00, $17.40
2020-06-15 23:00:00, $122.65, BUY, $99,775.19, $242.21, $0.00, $17.40
2020-06-16 23:00:00, $121.81, SELL, $100,018.81, $0.00, $-0.84, $18.81
2020-06-17 23:00:00, $121.16, HOLD, $100,018.81, $0.00, $0.00, $18.81
2020-06-18 23:00:00, $121.32, BUY, $99,897.49, $121.32, $0.00, $18.81
2020-06-21 23:00:00, $121.06, SELL, $100,018.55, $0.00, $-0.26, $18.55
2020-06-22 23:00:00, $120.92, HOLD, $100,018.55, $0.00, $0.00, $18.55
2020-06-23 23:00:00, $119.14, SELL, $100,018.55, $0.00, $0.00, $18.55
2020-06-24 23:00:00, $118.97, HOLD, $100,018.55, $0.00, $0.00, $18.55
2020-06-25 23:00:00, $119.83, BUY, $99,898.72, $119.83, $0.00, $18.55
2020-06-28 23:00:00, $120.66, HOLD, $99,898.72, $119.83, $0.00, $18.55
2020-06-29 23:00:00, $121.45, BUY, $99,777.27, $241.28, $0.00, $18.55
2020-06-30 23:00:00, $121.74, HOLD, $99,777.27, $241.28, $0.00, $18.55
2020-07-01 23:00:00, $122.45, BUY, $99,654.82, $363.73, $0.00, $18.55
2020-07-05 23:00:00, $122.97, HOLD, $99,654.82, $363.73, $0.00, $18.55
2020-07-06 23:00:00, $123.22, BUY, $99,531.60, $486.95, $0.00, $18.55
2020-07-07 23:00:00, $123.88, HOLD, $99,531.60, $486.95, $0.00, $18.55
2020-07-08 23:00:00, $122.02, SELL, $100,019.67, $0.00, $-1.20, $19.67
2020-07-09 23:00:00, $119.92, HOLD, $100,019.67, $0.00, $0.00, $19.67
2020-07-12 23:00:00, $117.71, SELL, $100,019.67, $0.00, $0.00, $19.67
2020-07-13 23:00:00, $117.21, HOLD, $100,019.67, $0.00, $0.00, $19.67
2020-07-14 23:00:00, $116.79, SELL, $100,019.67, $0.00, $0.00, $19.67
2020-07-15 23:00:00, $116.50, HOLD, $100,019.67, $0.00, $0.00, $19.67
2020-07-16 23:00:00, $116.12, SELL, $100,019.67, $0.00, $0.00, $19.67
2020-07-19 23:00:00, $115.15, HOLD, $100,019.67, $0.00, $0.00, $19.67
2020-07-20 23:00:00, $113.43, SELL, $100,019.67, $0.00, $0.00, $19.67
2020-07-21 23:00:00, $112.64, HOLD, $100,019.67, $0.00, $0.00, $19.67
2020-07-22 23:00:00, $113.26, BUY, $99,906.41, $113.26, $0.00, $19.67
2020-07-23 23:00:00, $114.44, HOLD, $99,906.41, $113.26, $0.00, $19.67
2020-07-26 23:00:00, $116.21, BUY, $99,790.20, $229.47, $0.00, $19.67
2020-07-27 23:00:00, $116.39, HOLD, $99,790.20, $229.47, $0.00, $19.67
2020-07-28 23:00:00, $116.22, SELL, $100,022.63, $0.00, $0.01, $22.63
2020-07-29 23:00:00, $115.90, HOLD, $100,022.63, $0.00, $0.00, $22.63
2020-07-30 23:00:00, $116.21, BUY, $99,906.42, $116.21, $0.00, $22.63
2020-08-02 23:00:00, $116.64, HOLD, $99,906.42, $116.21, $0.00, $22.63
2020-08-03 23:00:00, $116.69, BUY, $99,789.73, $232.90, $0.00, $22.63
2020-08-04 23:00:00, $116.37, SELL, $100,022.47, $0.00, $-0.32, $22.47
2020-08-05 23:00:00, $116.57, BUY, $99,905.90, $116.57, $0.00, $22.47
2020-08-06 23:00:00, $116.50, SELL, $100,022.40, $0.00, $-0.07, $22.40
2020-08-09 23:00:00, $117.50, BUY, $99,904.90, $117.50, $0.00, $22.40
2020-08-10 23:00:00, $117.93, HOLD, $99,904.90, $117.50, $0.00, $22.40
2020-08-11 23:00:00, $118.14, BUY, $99,786.76, $235.64, $0.00, $22.40
2020-08-12 23:00:00, $117.53, SELL, $100,021.82, $0.00, $-0.61, $21.82
2020-08-13 23:00:00, $117.47, HOLD, $100,021.82, $0.00, $0.00, $21.82
2020-08-16 23:00:00, $117.81, BUY, $99,904.02, $117.81, $0.00, $21.82
2020-08-17 23:00:00, $117.81, HOLD, $99,904.02, $117.81, $0.00, $21.82
2020-08-18 23:00:00, $117.23, SELL, $100,021.25, $0.00, $-0.58, $21.25
2020-08-19 23:00:00, $116.93, HOLD, $100,021.25, $0.00, $0.00, $21.25
2020-08-20 23:00:00, $117.76, BUY, $99,903.48, $117.76, $0.00, $21.25
2020-08-23 23:00:00, $119.21, HOLD, $99,903.48, $117.76, $0.00, $21.25
2020-08-24 23:00:00, $119.81, BUY, $99,783.68, $237.57, $0.00, $21.25
2020-08-25 23:00:00, $119.71, SELL, $100,023.10, $0.00, $-0.10, $23.10
2020-08-26 23:00:00, $118.50, HOLD, $100,023.10, $0.00, $0.00, $23.10
2020-08-27 23:00:00, $118.40, SELL, $100,023.10, $0.00, $0.00, $23.10
2020-08-30 23:00:00, $119.14, BUY, $99,903.96, $119.14, $0.00, $23.10
2020-08-31 23:00:00, $119.23, HOLD, $99,903.96, $119.14, $0.00, $23.10
2020-09-01 23:00:00, $118.82, SELL, $100,022.78, $0.00, $-0.31, $22.78
2020-09-02 23:00:00, $115.85, HOLD, $100,022.78, $0.00, $0.00, $22.78
2020-09-03 23:00:00, $115.32, SELL, $100,022.78, $0.00, $0.00, $22.78
2020-09-07 23:00:00, $114.20, HOLD, $100,022.78, $0.00, $0.00, $22.78
2020-09-08 23:00:00, $114.50, BUY, $99,908.29, $114.50, $0.00, $22.78
2020-09-09 23:00:00, $114.19, SELL, $100,022.48, $0.00, $-0.30, $22.48
2020-09-10 23:00:00, $114.83, BUY, $99,907.65, $114.83, $0.00, $22.48
2020-09-13 23:00:00, $115.40, HOLD, $99,907.65, $114.83, $0.00, $22.48
2020-09-14 23:00:00, $115.73, BUY, $99,791.91, $230.57, $0.00, $22.48
2020-09-15 23:00:00, $115.36, SELL, $100,022.63, $0.00, $-0.38, $22.63
2020-09-16 23:00:00, $114.84, HOLD, $100,022.63, $0.00, $0.00, $22.63
2020-09-17 23:00:00, $114.54, SELL, $100,022.63, $0.00, $0.00, $22.63
2020-09-20 23:00:00, $113.73, HOLD, $100,022.63, $0.00, $0.00, $22.63
2020-09-21 23:00:00, $113.31, SELL, $100,022.63, $0.00, $0.00, $22.63
2020-09-22 23:00:00, $112.91, HOLD, $100,022.63, $0.00, $0.00, $22.63
2020-09-23 23:00:00, $114.38, BUY, $99,908.24, $114.38, $0.00, $22.63
2020-09-24 23:00:00, $115.70, HOLD, $99,908.24, $114.38, $0.00, $22.63
2020-09-27 23:00:00, $116.76, BUY, $99,791.48, $231.15, $0.00, $22.63
2020-09-28 23:00:00, $117.44, HOLD, $99,791.48, $231.15, $0.00, $22.63
2020-09-29 23:00:00, $116.58, SELL, $100,024.64, $0.00, $-0.18, $24.64
