Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-24 11:17:00, $285.96, BUY, $99,714.04, $285.96, $0.00, $0.00
2021-05-24 11:20:00, $285.76, SELL, $99,999.80, $0.00, $-0.20, $-0.20
2021-05-24 11:22:00, $285.74, HOLD, $99,999.80, $0.00, $0.00, $-0.20
2021-05-24 11:29:00, $285.78, BUY, $99,714.02, $285.78, $0.00, $-0.20
2021-05-24 11:30:00, $285.93, HOLD, $99,714.02, $285.78, $0.00, $-0.20
2021-05-24 11:32:00, $285.98, BUY, $99,428.05, $571.75, $0.00, $-0.20
2021-05-24 11:34:00, $285.79, SELL, $99,999.62, $0.00, $-0.19, $-0.38
2021-05-24 11:35:00, $285.58, HOLD, $99,999.62, $0.00, $0.00, $-0.38
2021-05-24 11:41:00, $285.44, SELL, $99,999.62, $0.00, $0.00, $-0.38
2021-05-24 11:43:00, $285.50, BUY, $99,714.12, $285.50, $0.00, $-0.38
2021-05-24 11:44:00, $285.73, HOLD, $99,714.12, $285.50, $0.00, $-0.38
2021-05-24 11:45:00, $285.90, BUY, $99,428.22, $571.40, $0.00, $-0.38
2021-05-24 11:48:00, $286.04, HOLD, $99,428.22, $571.40, $0.00, $-0.38
2021-05-24 11:49:00, $285.96, SELL, $100,000.15, $0.00, $0.06, $0.15
2021-05-24 11:52:00, $285.88, HOLD, $100,000.15, $0.00, $0.00, $0.15
2021-05-24 11:54:00, $285.93, BUY, $99,714.21, $285.93, $0.00, $0.15
2021-05-24 11:55:00, $286.06, HOLD, $99,714.21, $285.93, $0.00, $0.15
2021-05-24 12:00:00, $286.16, BUY, $99,428.05, $572.10, $0.00, $0.15
2021-05-24 12:08:00, $286.11, SELL, $100,000.27, $0.00, $-0.05, $0.27
2021-05-24 12:15:00, $286.12, BUY, $99,714.15, $286.12, $0.00, $0.27
2021-05-24 12:16:00, $286.20, HOLD, $99,714.15, $286.12, $0.00, $0.27
2021-05-24 12:17:00, $286.27, BUY, $99,427.88, $572.39, $0.00, $0.27
2021-05-24 12:18:00, $286.37, HOLD, $99,427.88, $572.39, $0.00, $0.27
2021-05-24 12:20:00, $286.39, BUY, $99,141.49, $858.78, $0.00, $0.27
2021-05-24 12:23:00, $286.39, SELL, $100,000.66, $0.00, $-0.00, $0.66
2021-05-24 12:24:00, $286.23, HOLD, $100,000.66, $0.00, $0.00, $0.66
2021-05-24 12:25:00, $286.21, SELL, $100,000.66, $0.00, $0.00, $0.66
2021-05-24 12:26:00, $286.20, HOLD, $100,000.66, $0.00, $0.00, $0.66
2021-05-24 12:27:00, $286.30, BUY, $99,714.37, $286.30, $0.00, $0.66
2021-05-24 12:28:00, $286.43, HOLD, $99,714.37, $286.30, $0.00, $0.66
2021-05-24 12:29:00, $286.65, BUY, $99,427.71, $572.95, $0.00, $0.66
2021-05-24 12:31:00, $286.87, HOLD, $99,427.71, $572.95, $0.00, $0.66
2021-05-24 12:34:00, $286.94, BUY, $99,140.78, $859.88, $0.00, $0.66
2021-05-24 12:35:00, $286.91, SELL, $100,001.51, $0.00, $-0.03, $1.51
2021-05-24 12:38:00, $286.96, BUY, $99,714.55, $286.96, $0.00, $1.51
2021-05-24 12:39:00, $287.01, HOLD, $99,714.55, $286.96, $0.00, $1.51
2021-05-24 12:43:00, $287.06, BUY, $99,427.49, $574.01, $0.00, $1.51
2021-05-24 12:44:00, $287.02, SELL, $100,001.53, $0.00, $-0.04, $1.53
