Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-05-27 23:00:00, $85.56, BUY, $99,914.44, $85.56, $0.00, $0.00
2020-05-28 23:00:00, $85.87, HOLD, $99,914.44, $85.56, $0.00, $0.00
2020-05-31 23:00:00, $86.38, BUY, $99,828.06, $171.94, $0.00, $0.00
2020-06-01 23:00:00, $85.79, SELL, $99,999.64, $0.00, $-0.59, $-0.36
2020-06-02 23:00:00, $85.64, HOLD, $99,999.64, $0.00, $0.00, $-0.36
2020-06-03 23:00:00, $85.93, BUY, $99,913.71, $85.93, $0.00, $-0.36
2020-06-04 23:00:00, $86.46, HOLD, $99,913.71, $85.93, $0.00, $-0.36
2020-06-07 23:00:00, $86.41, SELL, $100,000.12, $0.00, $0.48, $0.12
2020-06-08 23:00:00, $84.42, HOLD, $100,000.12, $0.00, $0.00, $0.12
2020-06-09 23:00:00, $83.05, SELL, $100,000.12, $0.00, $0.00, $0.12
2020-06-10 23:00:00, $81.84, HOLD, $100,000.12, $0.00, $0.00, $0.12
2020-06-11 23:00:00, $81.76, SELL, $100,000.12, $0.00, $0.00, $0.12
2020-06-14 23:00:00, $81.88, BUY, $99,918.24, $81.88, $0.00, $0.12
2020-06-15 23:00:00, $81.87, SELL, $100,000.11, $0.00, $-0.01, $0.12
2020-06-16 23:00:00, $81.24, HOLD, $100,000.11, $0.00, $0.00, $0.12
2020-06-17 23:00:00, $80.69, SELL, $100,000.11, $0.00, $0.00, $0.12
2020-06-18 23:00:00, $80.42, HOLD, $100,000.11, $0.00, $0.00, $0.12
2020-06-21 23:00:00, $80.75, BUY, $99,919.37, $80.75, $0.00, $0.12
2020-06-22 23:00:00, $80.32, SELL, $99,999.69, $0.00, $-0.43, $-0.31
2020-06-23 23:00:00, $79.34, HOLD, $99,999.69, $0.00, $0.00, $-0.31
2020-06-24 23:00:00, $78.96, SELL, $99,999.69, $0.00, $0.00, $-0.31
2020-06-25 23:00:00, $79.06, BUY, $99,920.63, $79.06, $0.00, $-0.31
2020-06-28 23:00:00, $80.40, HOLD, $99,920.63, $79.06, $0.00, $-0.31
2020-06-29 23:00:00, $81.39, BUY, $99,839.24, $160.45, $0.00, $-0.31
2020-06-30 23:00:00, $82.22, HOLD, $99,839.24, $160.45, $0.00, $-0.31
2020-07-01 23:00:00, $82.35, BUY, $99,756.89, $242.80, $0.00, $-0.31
2020-07-05 23:00:00, $82.31, SELL, $100,003.82, $0.00, $-0.04, $3.82
2020-07-06 23:00:00, $82.28, HOLD, $100,003.82, $0.00, $0.00, $3.82
2020-07-07 23:00:00, $82.86, BUY, $99,920.96, $82.86, $0.00, $3.82
2020-07-08 23:00:00, $83.64, HOLD, $99,920.96, $82.86, $0.00, $3.82
2020-07-09 23:00:00, $84.75, BUY, $99,836.21, $167.61, $0.00, $3.82
2020-07-12 23:00:00, $84.93, HOLD, $99,836.21, $167.61, $0.00, $3.82
2020-07-13 23:00:00, $85.14, BUY, $99,751.07, $252.75, $0.00, $3.82
2020-07-14 23:00:00, $85.87, HOLD, $99,751.07, $252.75, $0.00, $3.82
2020-07-15 23:00:00, $86.55, BUY, $99,664.52, $339.30, $0.00, $3.82
2020-07-16 23:00:00, $87.27, HOLD, $99,664.52, $339.30, $0.00, $3.82
2020-07-19 23:00:00, $87.85, BUY, $99,576.66, $427.16, $0.00, $3.82
2020-07-20 23:00:00, $88.52, HOLD, $99,576.66, $427.16, $0.00, $3.82
2020-07-21 23:00:00, $88.68, BUY, $99,487.99, $515.83, $0.00, $3.82
2020-07-22 23:00:00, $86.67, SELL, $100,008.01, $0.00, $-2.01, $8.01
2020-07-23 23:00:00, $85.34, HOLD, $100,008.01, $0.00, $0.00, $8.01
2020-07-26 23:00:00, $84.27, SELL, $100,008.01, $0.00, $0.00, $8.01
2020-07-27 23:00:00, $85.20, BUY, $99,922.80, $85.20, $0.00, $8.01
2020-07-28 23:00:00, $85.92, HOLD, $99,922.80, $85.20, $0.00, $8.01
2020-07-29 23:00:00, $86.25, BUY, $99,836.56, $171.45, $0.00, $8.01
2020-07-30 23:00:00, $86.08, SELL, $100,008.72, $0.00, $-0.16, $8.72
2020-08-02 23:00:00, $85.39, HOLD, $100,008.72, $0.00, $0.00, $8.72
2020-08-03 23:00:00, $85.25, SELL, $100,008.72, $0.00, $0.00, $8.72
2020-08-04 23:00:00, $85.59, BUY, $99,923.13, $85.59, $0.00, $8.72
2020-08-05 23:00:00, $85.98, HOLD, $99,923.13, $85.59, $0.00, $8.72
2020-08-06 23:00:00, $85.29, SELL, $100,008.42, $0.00, $-0.30, $8.42
2020-08-09 23:00:00, $84.47, HOLD, $100,008.42, $0.00, $0.00, $8.42
2020-08-10 23:00:00, $83.71, SELL, $100,008.42, $0.00, $0.00, $8.42
2020-08-11 23:00:00, $83.59, HOLD, $100,008.42, $0.00, $0.00, $8.42
2020-08-12 23:00:00, $82.61, SELL, $100,008.42, $0.00, $0.00, $8.42
2020-08-13 23:00:00, $81.90, HOLD, $100,008.42, $0.00, $0.00, $8.42
2020-08-16 23:00:00, $81.23, SELL, $100,008.42, $0.00, $0.00, $8.42
2020-08-17 23:00:00, $80.63, HOLD, $100,008.42, $0.00, $0.00, $8.42
2020-08-18 23:00:00, $79.81, SELL, $100,008.42, $0.00, $0.00, $8.42
2020-08-19 23:00:00, $79.76, HOLD, $100,008.42, $0.00, $0.00, $8.42
2020-08-20 23:00:00, $79.88, BUY, $99,928.55, $79.88, $0.00, $8.42
2020-08-23 23:00:00, $79.72, SELL, $100,008.27, $0.00, $-0.16, $8.27
2020-08-24 23:00:00, $78.92, HOLD, $100,008.27, $0.00, $0.00, $8.27
2020-08-25 23:00:00, $78.45, SELL, $100,008.27, $0.00, $0.00, $8.27
2020-08-26 23:00:00, $78.52, BUY, $99,929.75, $78.52, $0.00, $8.27
2020-08-27 23:00:00, $78.34, SELL, $100,008.09, $0.00, $-0.18, $8.09
2020-08-30 23:00:00, $78.99, BUY, $99,929.10, $78.99, $0.00, $8.09
2020-08-31 23:00:00, $79.23, HOLD, $99,929.10, $78.99, $0.00, $8.09
2020-09-01 23:00:00, $79.63, BUY, $99,849.47, $158.62, $0.00, $8.09
2020-09-02 23:00:00, $79.19, SELL, $100,007.85, $0.00, $-0.44, $7.85
2020-09-03 23:00:00, $79.31, BUY, $99,928.55, $79.31, $0.00, $7.85
2020-09-07 23:00:00, $79.13, SELL, $100,007.68, $0.00, $-0.18, $7.68
2020-09-08 23:00:00, $79.19, BUY, $99,928.49, $79.19, $0.00, $7.68
2020-09-09 23:00:00, $79.33, HOLD, $99,928.49, $79.19, $0.00, $7.68
2020-09-10 23:00:00, $79.82, BUY, $99,848.67, $159.01, $0.00, $7.68
2020-09-13 23:00:00, $80.26, HOLD, $99,848.67, $159.01, $0.00, $7.68
2020-09-14 23:00:00, $80.17, SELL, $100,009.00, $0.00, $0.34, $9.00
2020-09-15 23:00:00, $79.76, HOLD, $100,009.00, $0.00, $0.00, $9.00
2020-09-16 23:00:00, $79.40, SELL, $100,009.00, $0.00, $0.00, $9.00
2020-09-17 23:00:00, $79.33, HOLD, $100,009.00, $0.00, $0.00, $9.00
2020-09-20 23:00:00, $79.47, BUY, $99,929.53, $79.47, $0.00, $9.00
2020-09-21 23:00:00, $79.84, HOLD, $99,929.53, $79.47, $0.00, $9.00
2020-09-22 23:00:00, $80.10, BUY, $99,849.43, $159.57, $0.00, $9.00
2020-09-23 23:00:00, $80.60, HOLD, $99,849.43, $159.57, $0.00, $9.00
2020-09-24 23:00:00, $80.77, BUY, $99,768.66, $240.34, $0.00, $9.00
2020-09-27 23:00:00, $81.13, HOLD, $99,768.66, $240.34, $0.00, $9.00
2020-09-28 23:00:00, $81.91, BUY, $99,686.75, $322.25, $0.00, $9.00
2020-09-29 23:00:00, $83.36, HOLD, $99,686.75, $322.25, $0.00, $9.00
2020-09-30 23:00:00, $85.14, BUY, $99,601.61, $407.39, $0.00, $9.00
2020-10-01 23:00:00, $86.94, HOLD, $99,601.61, $407.39, $0.00, $9.00
2020-10-04 23:00:00, $88.04, BUY, $99,513.56, $495.44, $0.00, $9.00
2020-10-05 23:00:00, $88.81, HOLD, $99,513.56, $495.44, $0.00, $9.00
2020-10-06 23:00:00, $89.28, BUY, $99,424.29, $584.71, $0.00, $9.00
2020-10-07 23:00:00, $89.89, HOLD, $99,424.29, $584.71, $0.00, $9.00
2020-10-08 23:00:00, $89.85, SELL, $100,053.21, $0.00, $0.57, $53.21
2020-10-11 23:00:00, $89.69, HOLD, $100,053.21, $0.00, $0.00, $53.21
2020-10-12 23:00:00, $89.38, SELL, $100,053.21, $0.00, $0.00, $53.21
2020-10-13 23:00:00, $90.14, BUY, $99,963.07, $90.14, $0.00, $53.21
2020-10-14 23:00:00, $90.78, HOLD, $99,963.07, $90.14, $0.00, $53.21
2020-10-15 23:00:00, $91.18, BUY, $99,871.89, $181.32, $0.00, $53.21
2020-10-18 23:00:00, $90.81, SELL, $100,053.51, $0.00, $-0.37, $53.51
2020-10-19 23:00:00, $91.11, BUY, $99,962.40, $91.11, $0.00, $53.51
2020-10-20 23:00:00, $91.49, HOLD, $99,962.40, $91.11, $0.00, $53.51
2020-10-21 23:00:00, $92.55, BUY, $99,869.85, $183.66, $0.00, $53.51
2020-10-22 23:00:00, $92.66, HOLD, $99,869.85, $183.66, $0.00, $53.51
2020-10-25 23:00:00, $92.15, SELL, $100,054.15, $0.00, $-0.40, $54.15
2020-10-26 23:00:00, $91.13, HOLD, $100,054.15, $0.00, $0.00, $54.15
2020-10-27 23:00:00, $90.27, SELL, $100,054.15, $0.00, $0.00, $54.15
2020-10-28 23:00:00, $90.56, BUY, $99,963.59, $90.56, $0.00, $54.15
2020-10-29 23:00:00, $90.66, HOLD, $99,963.59, $90.56, $0.00, $54.15
2020-11-01 23:00:00, $90.72, BUY, $99,872.87, $181.28, $0.00, $54.15
2020-11-02 23:00:00, $90.54, SELL, $100,053.95, $0.00, $-0.18, $53.95
2020-11-03 23:00:00, $90.56, BUY, $99,963.39, $90.56, $0.00, $53.95
2020-11-04 23:00:00, $90.59, HOLD, $99,963.39, $90.56, $0.00, $53.95
2020-11-05 23:00:00, $90.63, BUY, $99,872.75, $181.20, $0.00, $53.95
2020-11-08 23:00:00, $90.71, HOLD, $99,872.75, $181.20, $0.00, $53.95
2020-11-09 23:00:00, $90.53, SELL, $100,053.81, $0.00, $-0.11, $53.81
2020-11-10 23:00:00, $90.18, HOLD, $100,053.81, $0.00, $0.00, $53.81
2020-11-11 23:00:00, $89.55, SELL, $100,053.81, $0.00, $0.00, $53.81
2020-11-12 23:00:00, $88.58, HOLD, $100,053.81, $0.00, $0.00, $53.81
2020-11-15 23:00:00, $86.71, SELL, $100,053.81, $0.00, $0.00, $53.81
2020-11-16 23:00:00, $84.43, HOLD, $100,053.81, $0.00, $0.00, $53.81
2020-11-17 23:00:00, $83.01, SELL, $100,053.81, $0.00, $0.00, $53.81
2020-11-18 23:00:00, $82.77, HOLD, $100,053.81, $0.00, $0.00, $53.81
2020-11-19 23:00:00, $83.55, BUY, $99,970.26, $83.55, $0.00, $53.81
2020-11-22 23:00:00, $84.52, HOLD, $99,970.26, $83.55, $0.00, $53.81
2020-11-23 23:00:00, $85.03, BUY, $99,885.23, $168.58, $0.00, $53.81
2020-11-24 23:00:00, $85.06, HOLD, $99,885.23, $168.58, $0.00, $53.81
2020-11-26 23:00:00, $85.00, SELL, $100,055.24, $0.00, $-0.02, $55.24
2020-11-29 23:00:00, $85.32, BUY, $99,969.92, $85.32, $0.00, $55.24
2020-11-30 23:00:00, $85.28, SELL, $100,055.20, $0.00, $-0.04, $55.20
2020-12-01 23:00:00, $84.67, HOLD, $100,055.20, $0.00, $0.00, $55.20
2020-12-02 23:00:00, $84.00, SELL, $100,055.20, $0.00, $0.00, $55.20
2020-12-03 23:00:00, $83.58, HOLD, $100,055.20, $0.00, $0.00, $55.20
2020-12-06 23:00:00, $83.67, BUY, $99,971.53, $83.67, $0.00, $55.20
2020-12-07 23:00:00, $83.20, SELL, $100,054.73, $0.00, $-0.47, $54.73
2020-12-08 23:00:00, $82.96, HOLD, $100,054.73, $0.00, $0.00, $54.73
2020-12-09 23:00:00, $82.47, SELL, $100,054.73, $0.00, $0.00, $54.73
2020-12-10 23:00:00, $83.09, BUY, $99,971.64, $83.09, $0.00, $54.73
2020-12-13 23:00:00, $83.12, HOLD, $99,971.64, $83.09, $0.00, $54.73
2020-12-14 23:00:00, $83.67, BUY, $99,887.98, $166.75, $0.00, $54.73
2020-12-15 23:00:00, $83.35, SELL, $100,054.68, $0.00, $-0.32, $54.68
2020-12-16 23:00:00, $83.11, HOLD, $100,054.68, $0.00, $0.00, $54.68
2020-12-17 23:00:00, $82.30, SELL, $100,054.68, $0.00, $0.00, $54.68
2020-12-20 23:00:00, $81.43, HOLD, $100,054.68, $0.00, $0.00, $54.68
2020-12-21 23:00:00, $81.19, SELL, $100,054.68, $0.00, $0.00, $54.68
2020-12-22 23:00:00, $81.13, HOLD, $100,054.68, $0.00, $0.00, $54.68
2020-12-23 23:00:00, $81.30, BUY, $99,973.37, $81.30, $0.00, $54.68
2020-12-27 23:00:00, $81.32, HOLD, $99,973.37, $81.30, $0.00, $54.68
2020-12-28 23:00:00, $81.97, BUY, $99,891.40, $163.27, $0.00, $54.68
2020-12-29 23:00:00, $82.08, HOLD, $99,891.40, $163.27, $0.00, $54.68
