Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-27 23:00:00, $299.56, BUY, $99,700.44, $299.56, $0.00, $0.00
2019-05-28 23:00:00, $292.84, SELL, $99,993.28, $0.00, $-6.72, $-6.72
2019-05-29 23:00:00, $292.82, HOLD, $99,993.28, $0.00, $0.00, $-6.72
2019-05-30 23:00:00, $294.76, BUY, $99,698.52, $294.76, $0.00, $-6.72
2019-06-03 23:00:00, $302.01, HOLD, $99,698.52, $294.76, $0.00, $-6.72
2019-06-04 23:00:00, $305.45, BUY, $99,393.07, $600.21, $0.00, $-6.72
2019-06-05 23:00:00, $309.60, HOLD, $99,393.07, $600.21, $0.00, $-6.72
2019-06-06 23:00:00, $310.46, BUY, $99,082.61, $910.67, $0.00, $-6.72
2019-06-09 23:00:00, $311.94, HOLD, $99,082.61, $910.67, $0.00, $-6.72
2019-06-10 23:00:00, $310.74, SELL, $100,014.82, $0.00, $0.27, $14.82
2019-06-11 23:00:00, $309.71, HOLD, $100,014.82, $0.00, $0.00, $14.82
2019-06-12 23:00:00, $301.95, SELL, $100,014.82, $0.00, $0.00, $14.82
2019-06-13 23:00:00, $294.86, HOLD, $100,014.82, $0.00, $0.00, $14.82
2019-06-16 23:00:00, $291.91, SELL, $100,014.82, $0.00, $0.00, $14.82
2019-06-17 23:00:00, $294.20, BUY, $99,720.62, $294.20, $0.00, $14.82
2019-06-18 23:00:00, $292.06, SELL, $100,012.68, $0.00, $-2.14, $12.68
2019-06-19 23:00:00, $287.10, HOLD, $100,012.68, $0.00, $0.00, $12.68
2019-06-20 23:00:00, $280.59, SELL, $100,012.68, $0.00, $0.00, $12.68
2019-06-23 23:00:00, $275.42, HOLD, $100,012.68, $0.00, $0.00, $12.68
2019-06-24 23:00:00, $271.35, SELL, $100,012.68, $0.00, $0.00, $12.68
2019-06-25 23:00:00, $270.56, HOLD, $100,012.68, $0.00, $0.00, $12.68
2019-06-26 23:00:00, $271.76, BUY, $99,740.92, $271.76, $0.00, $12.68
2019-06-27 23:00:00, $272.07, HOLD, $99,740.92, $271.76, $0.00, $12.68
2019-06-30 23:00:00, $272.59, BUY, $99,468.33, $544.35, $0.00, $12.68
2019-07-01 23:00:00, $273.16, HOLD, $99,468.33, $544.35, $0.00, $12.68
2019-07-02 23:00:00, $273.62, BUY, $99,194.71, $817.97, $0.00, $12.68
2019-07-04 23:00:00, $273.66, HOLD, $99,194.71, $817.97, $0.00, $12.68
2019-07-07 23:00:00, $278.09, BUY, $98,916.62, $1,096.06, $0.00, $12.68
2019-07-08 23:00:00, $281.54, HOLD, $98,916.62, $1,096.06, $0.00, $12.68
2019-07-09 23:00:00, $284.38, BUY, $98,632.23, $1,380.45, $0.00, $12.68
2019-07-10 23:00:00, $283.61, SELL, $100,050.27, $0.00, $-0.78, $50.27
2019-07-11 23:00:00, $283.14, HOLD, $100,050.27, $0.00, $0.00, $50.27
2019-07-14 23:00:00, $283.15, BUY, $99,767.11, $283.15, $0.00, $50.27
2019-07-15 23:00:00, $282.80, SELL, $100,049.92, $0.00, $-0.35, $49.92
2019-07-16 23:00:00, $282.83, BUY, $99,767.09, $282.83, $0.00, $49.92
2019-07-17 23:00:00, $279.62, SELL, $100,046.70, $0.00, $-3.21, $46.70
2019-07-18 23:00:00, $276.18, HOLD, $100,046.70, $0.00, $0.00, $46.70
2019-07-21 23:00:00, $274.18, SELL, $100,046.70, $0.00, $0.00, $46.70
2019-07-22 23:00:00, $249.53, HOLD, $100,046.70, $0.00, $0.00, $46.70
2019-07-23 23:00:00, $224.82, SELL, $100,046.70, $0.00, $0.00, $46.70
2019-07-24 23:00:00, $198.40, HOLD, $100,046.70, $0.00, $0.00, $46.70
2019-07-25 23:00:00, $199.38, BUY, $99,847.32, $199.38, $0.00, $46.70
2019-07-28 23:00:00, $202.75, HOLD, $99,847.32, $199.38, $0.00, $46.70
2019-07-29 23:00:00, $204.87, BUY, $99,642.45, $404.25, $0.00, $46.70
2019-07-30 23:00:00, $203.56, SELL, $100,049.58, $0.00, $-1.31, $49.58
2019-07-31 23:00:00, $196.70, HOLD, $100,049.58, $0.00, $0.00, $49.58
2019-08-01 23:00:00, $192.08, SELL, $100,049.58, $0.00, $0.00, $49.58
2019-08-04 23:00:00, $186.91, HOLD, $100,049.58, $0.00, $0.00, $49.58
2019-08-05 23:00:00, $186.88, SELL, $100,049.58, $0.00, $0.00, $49.58
2019-08-06 23:00:00, $185.15, HOLD, $100,049.58, $0.00, $0.00, $49.58
2019-08-07 23:00:00, $183.73, SELL, $100,049.58, $0.00, $0.00, $49.58
2019-08-08 23:00:00, $181.64, HOLD, $100,049.58, $0.00, $0.00, $49.58
2019-08-11 23:00:00, $178.64, SELL, $100,049.58, $0.00, $0.00, $49.58
2019-08-12 23:00:00, $176.89, HOLD, $100,049.58, $0.00, $0.00, $49.58
2019-08-13 23:00:00, $175.30, SELL, $100,049.58, $0.00, $0.00, $49.58
2019-08-14 23:00:00, $176.41, BUY, $99,873.17, $176.41, $0.00, $49.58
2019-08-15 23:00:00, $176.42, HOLD, $99,873.17, $176.41, $0.00, $49.58
2019-08-18 23:00:00, $176.18, SELL, $100,049.35, $0.00, $-0.23, $49.35
2019-08-19 23:00:00, $176.62, BUY, $99,872.72, $176.62, $0.00, $49.35
2019-08-20 23:00:00, $176.83, HOLD, $99,872.72, $176.62, $0.00, $49.35
2019-08-21 23:00:00, $176.40, SELL, $100,049.12, $0.00, $-0.23, $49.12
2019-08-22 23:00:00, $174.67, HOLD, $100,049.12, $0.00, $0.00, $49.12
2019-08-25 23:00:00, $175.42, BUY, $99,873.70, $175.42, $0.00, $49.12
2019-08-26 23:00:00, $177.00, HOLD, $99,873.70, $175.42, $0.00, $49.12
2019-08-27 23:00:00, $180.11, BUY, $99,693.60, $355.52, $0.00, $49.12
2019-08-28 23:00:00, $180.32, HOLD, $99,693.60, $355.52, $0.00, $49.12
2019-08-29 23:00:00, $179.15, SELL, $100,051.89, $0.00, $-0.96, $51.89
2019-09-02 23:00:00, $177.11, HOLD, $100,051.89, $0.00, $0.00, $51.89
2019-09-03 23:00:00, $176.16, SELL, $100,051.89, $0.00, $0.00, $51.89
2019-09-04 23:00:00, $175.11, HOLD, $100,051.89, $0.00, $0.00, $51.89
2019-09-05 23:00:00, $175.37, BUY, $99,876.52, $175.37, $0.00, $51.89
2019-09-08 23:00:00, $176.94, HOLD, $99,876.52, $175.37, $0.00, $51.89
2019-09-09 23:00:00, $177.39, BUY, $99,699.13, $352.77, $0.00, $51.89
2019-09-10 23:00:00, $177.26, SELL, $100,053.64, $0.00, $-0.14, $53.64
2019-09-11 23:00:00, $177.13, HOLD, $100,053.64, $0.00, $0.00, $53.64
2019-09-12 23:00:00, $178.16, BUY, $99,875.48, $178.16, $0.00, $53.64
2019-09-15 23:00:00, $177.63, SELL, $100,053.11, $0.00, $-0.53, $53.11
2019-09-16 23:00:00, $177.92, BUY, $99,875.19, $177.92, $0.00, $53.11
2019-09-17 23:00:00, $180.87, HOLD, $99,875.19, $177.92, $0.00, $53.11
2019-09-18 23:00:00, $183.57, BUY, $99,691.62, $361.49, $0.00, $53.11
2019-09-19 23:00:00, $184.51, HOLD, $99,691.62, $361.49, $0.00, $53.11
2019-09-22 23:00:00, $183.57, SELL, $100,058.76, $0.00, $-0.00, $58.76
2019-09-23 23:00:00, $181.93, HOLD, $100,058.76, $0.00, $0.00, $58.76
2019-09-24 23:00:00, $179.48, SELL, $100,058.76, $0.00, $0.00, $58.76
2019-09-25 23:00:00, $178.55, HOLD, $100,058.76, $0.00, $0.00, $58.76
2019-09-26 23:00:00, $179.66, BUY, $99,879.10, $179.66, $0.00, $58.76
2019-09-29 23:00:00, $181.00, HOLD, $99,879.10, $179.66, $0.00, $58.76
