Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 10:45:00, $175.06, BUY, $99,824.94, $175.06, $0.00, $0.00
2021-05-19 11:00:00, $175.08, HOLD, $99,824.94, $175.06, $0.00, $0.00
2021-05-19 11:15:00, $175.07, SELL, $100,000.01, $0.00, $0.01, $0.01
2021-05-19 11:30:00, $175.11, BUY, $99,824.90, $175.11, $0.00, $0.01
2021-05-19 11:45:00, $175.14, HOLD, $99,824.90, $175.11, $0.00, $0.01
2021-05-19 12:00:00, $175.22, BUY, $99,649.67, $350.34, $0.00, $0.01
2021-05-19 12:15:00, $175.24, HOLD, $99,649.67, $350.34, $0.00, $0.01
2021-05-19 12:30:00, $175.18, SELL, $100,000.03, $0.00, $-0.04, $0.03
2021-05-19 12:45:00, $175.22, BUY, $99,824.82, $175.22, $0.00, $0.03
2021-05-19 13:00:00, $175.19, SELL, $100,000.01, $0.00, $-0.02, $0.01
2021-05-19 13:15:00, $175.27, BUY, $99,824.74, $175.27, $0.00, $0.01
2021-05-19 13:30:00, $175.26, SELL, $100,000.00, $0.00, $-0.01, $-0.00
2021-05-19 13:45:00, $175.28, BUY, $99,824.72, $175.28, $0.00, $-0.00
2021-05-19 14:00:00, $175.27, SELL, $99,999.99, $0.00, $-0.01, $-0.01
2021-05-19 14:15:00, $175.30, BUY, $99,824.69, $175.30, $0.00, $-0.01
2021-05-19 14:30:00, $175.96, HOLD, $99,824.69, $175.30, $0.00, $-0.01
2021-05-19 14:45:00, $176.68, BUY, $99,648.01, $351.98, $0.00, $-0.01
2021-05-20 08:30:00, $177.40, HOLD, $99,648.01, $351.98, $0.00, $-0.01
2021-05-20 08:45:00, $177.56, BUY, $99,470.45, $529.54, $0.00, $-0.01
2021-05-20 09:00:00, $177.64, HOLD, $99,470.45, $529.54, $0.00, $-0.01
2021-05-20 09:15:00, $177.70, BUY, $99,292.75, $707.24, $0.00, $-0.01
2021-05-20 09:30:00, $177.77, HOLD, $99,292.75, $707.24, $0.00, $-0.01
2021-05-20 09:45:00, $177.90, BUY, $99,114.85, $885.13, $0.00, $-0.01
2021-05-20 10:00:00, $178.06, HOLD, $99,114.85, $885.13, $0.00, $-0.01
2021-05-20 10:15:00, $178.21, BUY, $98,936.65, $1,063.34, $0.00, $-0.01
2021-05-20 10:30:00, $178.32, HOLD, $98,936.65, $1,063.34, $0.00, $-0.01
2021-05-20 10:45:00, $178.29, SELL, $100,006.41, $0.00, $0.09, $6.41
2021-05-20 11:00:00, $178.16, HOLD, $100,006.41, $0.00, $0.00, $6.41
2021-05-20 11:15:00, $178.05, SELL, $100,006.41, $0.00, $0.00, $6.41
2021-05-20 11:30:00, $177.98, HOLD, $100,006.41, $0.00, $0.00, $6.41
2021-05-20 11:45:00, $177.99, BUY, $99,828.42, $177.99, $0.00, $6.41
2021-05-20 12:00:00, $177.97, SELL, $100,006.39, $0.00, $-0.02, $6.39
2021-05-20 12:15:00, $177.90, HOLD, $100,006.39, $0.00, $0.00, $6.39
2021-05-20 12:30:00, $177.88, SELL, $100,006.39, $0.00, $0.00, $6.39
2021-05-20 12:45:00, $177.90, BUY, $99,828.49, $177.90, $0.00, $6.39
2021-05-20 13:00:00, $177.97, HOLD, $99,828.49, $177.90, $0.00, $6.39
2021-05-20 13:15:00, $178.04, BUY, $99,650.45, $355.93, $0.00, $6.39
2021-05-20 13:30:00, $178.07, HOLD, $99,650.45, $355.93, $0.00, $6.39
2021-05-20 13:45:00, $178.12, BUY, $99,472.33, $534.05, $0.00, $6.39
2021-05-20 14:00:00, $178.13, HOLD, $99,472.33, $534.05, $0.00, $6.39
2021-05-20 14:15:00, $178.22, BUY, $99,294.11, $712.28, $0.00, $6.39
2021-05-20 14:30:00, $178.25, HOLD, $99,294.11, $712.28, $0.00, $6.39
2021-05-20 14:45:00, $178.21, SELL, $100,006.94, $0.00, $-0.02, $6.94
2021-05-21 08:30:00, $178.12, HOLD, $100,006.94, $0.00, $0.00, $6.94
2021-05-21 08:45:00, $178.12, SELL, $100,006.94, $0.00, $0.00, $6.94
2021-05-21 09:00:00, $178.08, HOLD, $100,006.94, $0.00, $0.00, $6.94
2021-05-21 09:15:00, $178.01, SELL, $100,006.94, $0.00, $0.00, $6.94
2021-05-21 09:30:00, $177.93, HOLD, $100,006.94, $0.00, $0.00, $6.94
2021-05-21 09:45:00, $177.96, BUY, $99,828.99, $177.96, $0.00, $6.94
