Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:50:00, $77.69, BUY, $99,922.31, $77.69, $0.00, $0.00
2021-05-25 10:55:00, $77.72, HOLD, $99,922.31, $77.69, $0.00, $0.00
2021-05-25 11:00:00, $77.68, SELL, $99,999.99, $0.00, $-0.01, $-0.01
2021-05-25 11:05:00, $77.65, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:10:00, $77.60, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:15:00, $77.56, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:20:00, $77.56, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:25:00, $77.49, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:30:00, $77.41, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:35:00, $77.27, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:40:00, $77.24, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:45:00, $77.28, BUY, $99,922.71, $77.28, $0.00, $-0.01
2021-05-25 11:50:00, $77.31, HOLD, $99,922.71, $77.28, $0.00, $-0.01
2021-05-25 11:55:00, $77.34, BUY, $99,845.37, $154.62, $0.00, $-0.01
2021-05-25 12:00:00, $77.36, HOLD, $99,845.37, $154.62, $0.00, $-0.01
2021-05-25 12:05:00, $77.50, BUY, $99,767.88, $232.12, $0.00, $-0.01
2021-05-25 12:10:00, $77.64, HOLD, $99,767.88, $232.12, $0.00, $-0.01
2021-05-25 12:15:00, $77.73, BUY, $99,690.15, $309.85, $0.00, $-0.01
2021-05-25 12:20:00, $77.75, HOLD, $99,690.15, $309.85, $0.00, $-0.01
2021-05-25 12:25:00, $77.74, SELL, $100,001.10, $0.00, $0.01, $1.10
2021-05-25 12:30:00, $77.74, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:35:00, $77.77, BUY, $99,923.33, $77.77, $0.00, $1.10
2021-05-25 12:40:00, $77.79, HOLD, $99,923.33, $77.77, $0.00, $1.10
2021-05-25 12:45:00, $77.85, BUY, $99,845.48, $155.62, $0.00, $1.10
2021-05-25 12:50:00, $77.81, SELL, $100,001.10, $0.00, $-0.04, $1.10
2021-05-25 12:55:00, $77.79, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:00:00, $77.76, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:05:00, $77.80, BUY, $99,923.31, $77.80, $0.00, $1.10
2021-05-25 13:10:00, $77.83, HOLD, $99,923.31, $77.80, $0.00, $1.10
2021-05-25 13:15:00, $77.83, SELL, $100,001.14, $0.00, $0.03, $1.14
2021-05-25 13:20:00, $77.80, HOLD, $100,001.14, $0.00, $0.00, $1.14
2021-05-25 13:25:00, $77.79, SELL, $100,001.14, $0.00, $0.00, $1.14
2021-05-25 13:30:00, $77.82, BUY, $99,923.31, $77.82, $0.00, $1.14
2021-05-25 13:35:00, $77.86, HOLD, $99,923.31, $77.82, $0.00, $1.14
2021-05-25 13:40:00, $77.86, HOLD, $99,923.31, $77.82, $0.00, $1.14
2021-05-25 13:45:00, $77.88, BUY, $99,845.43, $155.70, $0.00, $1.14
2021-05-25 13:50:00, $77.84, SELL, $100,001.10, $0.00, $-0.05, $1.10
2021-05-25 13:55:00, $77.77, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 14:00:00, $77.63, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 14:05:00, $77.59, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 14:10:00, $77.61, BUY, $99,923.49, $77.61, $0.00, $1.10
2021-05-25 14:15:00, $77.68, HOLD, $99,923.49, $77.61, $0.00, $1.10
2021-05-25 14:20:00, $77.67, SELL, $100,001.16, $0.00, $0.06, $1.16
2021-05-25 14:25:00, $77.69, BUY, $99,923.47, $77.69, $0.00, $1.16
2021-05-25 14:30:00, $77.71, HOLD, $99,923.47, $77.69, $0.00, $1.16
2021-05-25 14:35:00, $77.72, BUY, $99,845.75, $155.41, $0.00, $1.16
2021-05-25 14:40:00, $77.71, SELL, $100,001.18, $0.00, $-0.00, $1.18
2021-05-25 14:45:00, $77.75, BUY, $99,923.43, $77.75, $0.00, $1.18
2021-05-25 14:50:00, $77.92, HOLD, $99,923.43, $77.75, $0.00, $1.18
2021-05-25 14:55:00, $78.07, BUY, $99,845.36, $155.82, $0.00, $1.18
2021-05-26 08:00:00, $78.25, HOLD, $99,845.36, $155.82, $0.00, $1.18
2021-05-26 08:30:00, $78.25, SELL, $100,001.85, $0.00, $0.18, $1.85
2021-05-26 08:35:00, $78.15, HOLD, $100,001.85, $0.00, $0.00, $1.85
2021-05-26 08:40:00, $78.00, SELL, $100,001.85, $0.00, $0.00, $1.85
2021-05-26 08:45:00, $77.93, HOLD, $100,001.85, $0.00, $0.00, $1.85
2021-05-26 08:50:00, $77.89, SELL, $100,001.85, $0.00, $0.00, $1.85
2021-05-26 08:55:00, $77.83, HOLD, $100,001.85, $0.00, $0.00, $1.85
2021-05-26 09:00:00, $77.83, HOLD, $100,001.85, $0.00, $0.00, $1.85
