Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $27.83, BUY, $99,972.17, $27.83, $0.00, $0.00
2019-05-29 23:00:00, $27.66, SELL, $99,999.83, $0.00, $-0.17, $-0.17
2019-05-30 23:00:00, $28.18, BUY, $99,971.65, $28.18, $0.00, $-0.17
2019-06-02 23:00:00, $28.88, HOLD, $99,971.65, $28.18, $0.00, $-0.17
2019-06-03 23:00:00, $30.30, BUY, $99,941.35, $58.48, $0.00, $-0.17
2019-06-04 23:00:00, $31.25, HOLD, $99,941.35, $58.48, $0.00, $-0.17
2019-06-05 23:00:00, $32.49, BUY, $99,908.86, $90.97, $0.00, $-0.17
2019-06-06 23:00:00, $32.68, HOLD, $99,908.86, $90.97, $0.00, $-0.17
2019-06-09 23:00:00, $32.61, SELL, $100,006.68, $0.00, $0.11, $6.68
2019-06-10 23:00:00, $31.99, HOLD, $100,006.68, $0.00, $0.00, $6.68
2019-06-11 23:00:00, $31.30, SELL, $100,006.68, $0.00, $0.00, $6.68
2019-06-12 23:00:00, $30.31, HOLD, $100,006.68, $0.00, $0.00, $6.68
2019-06-13 23:00:00, $30.00, SELL, $100,006.68, $0.00, $0.00, $6.68
2019-06-16 23:00:00, $30.05, BUY, $99,976.63, $30.05, $0.00, $6.68
2019-06-17 23:00:00, $30.32, HOLD, $99,976.63, $30.05, $0.00, $6.68
2019-06-18 23:00:00, $29.86, SELL, $100,006.49, $0.00, $-0.19, $6.49
2019-06-19 23:00:00, $29.44, HOLD, $100,006.49, $0.00, $0.00, $6.49
2019-06-20 23:00:00, $29.06, SELL, $100,006.49, $0.00, $0.00, $6.49
2019-06-23 23:00:00, $29.34, BUY, $99,977.15, $29.34, $0.00, $6.49
2019-06-24 23:00:00, $29.83, HOLD, $99,977.15, $29.34, $0.00, $6.49
2019-06-25 23:00:00, $30.34, BUY, $99,946.81, $59.68, $0.00, $6.49
2019-06-26 23:00:00, $30.77, HOLD, $99,946.81, $59.68, $0.00, $6.49
2019-06-27 23:00:00, $30.95, BUY, $99,915.86, $90.62, $0.00, $6.49
2019-06-30 23:00:00, $31.21, HOLD, $99,915.86, $90.62, $0.00, $6.49
