Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-05-27 23:00:00, $226.84, BUY, $99,773.16, $226.84, $0.00, $0.00
2020-05-28 23:00:00, $226.73, SELL, $99,999.89, $0.00, $-0.11, $-0.11
2020-05-31 23:00:00, $223.88, HOLD, $99,999.89, $0.00, $0.00, $-0.11
2020-06-01 23:00:00, $221.89, SELL, $99,999.89, $0.00, $0.00, $-0.11
2020-06-02 23:00:00, $222.56, BUY, $99,777.33, $222.56, $0.00, $-0.11
2020-06-03 23:00:00, $224.14, HOLD, $99,777.33, $222.56, $0.00, $-0.11
2020-06-04 23:00:00, $225.41, BUY, $99,551.92, $447.97, $0.00, $-0.11
2020-06-07 23:00:00, $225.80, HOLD, $99,551.92, $447.97, $0.00, $-0.11
2020-06-08 23:00:00, $223.48, SELL, $99,998.88, $0.00, $-1.93, $-1.12
2020-06-09 23:00:00, $221.55, HOLD, $99,998.88, $0.00, $0.00, $-1.12
2020-06-10 23:00:00, $219.22, SELL, $99,998.88, $0.00, $0.00, $-1.12
2020-06-11 23:00:00, $221.92, BUY, $99,776.96, $221.92, $0.00, $-1.12
2020-06-14 23:00:00, $224.27, HOLD, $99,776.96, $221.92, $0.00, $-1.12
2020-06-15 23:00:00, $227.74, BUY, $99,549.22, $449.65, $0.00, $-1.12
2020-06-16 23:00:00, $231.49, HOLD, $99,549.22, $449.65, $0.00, $-1.12
2020-06-17 23:00:00, $234.19, BUY, $99,315.03, $683.84, $0.00, $-1.12
2020-06-18 23:00:00, $236.05, HOLD, $99,315.03, $683.84, $0.00, $-1.12
2020-06-21 23:00:00, $234.15, SELL, $100,017.48, $0.00, $-0.04, $17.48
2020-06-22 23:00:00, $234.48, BUY, $99,783.01, $234.48, $0.00, $17.48
2020-06-23 23:00:00, $233.44, SELL, $100,016.44, $0.00, $-1.04, $16.44
2020-06-24 23:00:00, $233.21, HOLD, $100,016.44, $0.00, $0.00, $16.44
2020-06-25 23:00:00, $233.46, BUY, $99,782.99, $233.46, $0.00, $16.44
2020-06-28 23:00:00, $240.88, HOLD, $99,782.99, $233.46, $0.00, $16.44
2020-06-29 23:00:00, $249.71, BUY, $99,533.28, $483.17, $0.00, $16.44
2020-06-30 23:00:00, $256.54, HOLD, $99,533.28, $483.17, $0.00, $16.44
2020-07-01 23:00:00, $255.92, SELL, $100,045.12, $0.00, $6.21, $45.12
2020-07-05 23:00:00, $253.71, HOLD, $100,045.12, $0.00, $0.00, $45.12
2020-07-06 23:00:00, $252.10, SELL, $100,045.12, $0.00, $0.00, $45.12
2020-07-07 23:00:00, $250.79, HOLD, $100,045.12, $0.00, $0.00, $45.12
2020-07-08 23:00:00, $250.28, SELL, $100,045.12, $0.00, $0.00, $45.12
2020-07-09 23:00:00, $250.80, BUY, $99,794.32, $250.80, $0.00, $45.12
2020-07-12 23:00:00, $252.16, HOLD, $99,794.32, $250.80, $0.00, $45.12
2020-07-13 23:00:00, $253.69, BUY, $99,540.63, $504.49, $0.00, $45.12
2020-07-14 23:00:00, $255.48, HOLD, $99,540.63, $504.49, $0.00, $45.12
2020-07-15 23:00:00, $258.02, BUY, $99,282.60, $762.51, $0.00, $45.12
2020-07-16 23:00:00, $259.10, HOLD, $99,282.60, $762.51, $0.00, $45.12
2020-07-19 23:00:00, $258.56, SELL, $100,058.27, $0.00, $0.53, $58.27
2020-07-20 23:00:00, $255.62, HOLD, $100,058.27, $0.00, $0.00, $58.27
2020-07-21 23:00:00, $252.31, SELL, $100,058.27, $0.00, $0.00, $58.27
2020-07-22 23:00:00, $251.22, HOLD, $100,058.27, $0.00, $0.00, $58.27
2020-07-23 23:00:00, $252.29, BUY, $99,805.99, $252.29, $0.00, $58.27
2020-07-26 23:00:00, $252.58, HOLD, $99,805.99, $252.29, $0.00, $58.27
2020-07-27 23:00:00, $250.11, SELL, $100,056.10, $0.00, $-2.17, $56.10
2020-07-28 23:00:00, $246.56, HOLD, $100,056.10, $0.00, $0.00, $56.10
2020-07-29 23:00:00, $246.06, SELL, $100,056.10, $0.00, $0.00, $56.10
2020-07-30 23:00:00, $245.24, HOLD, $100,056.10, $0.00, $0.00, $56.10
2020-08-02 23:00:00, $244.18, SELL, $100,056.10, $0.00, $0.00, $56.10
2020-08-03 23:00:00, $242.24, HOLD, $100,056.10, $0.00, $0.00, $56.10
2020-08-04 23:00:00, $241.18, SELL, $100,056.10, $0.00, $0.00, $56.10
2020-08-05 23:00:00, $240.07, HOLD, $100,056.10, $0.00, $0.00, $56.10
2020-08-06 23:00:00, $237.77, SELL, $100,056.10, $0.00, $0.00, $56.10
2020-08-09 23:00:00, $238.18, BUY, $99,817.92, $238.18, $0.00, $56.10
2020-08-10 23:00:00, $238.94, HOLD, $99,817.92, $238.18, $0.00, $56.10
2020-08-11 23:00:00, $240.63, BUY, $99,577.29, $478.81, $0.00, $56.10
2020-08-12 23:00:00, $241.06, HOLD, $99,577.29, $478.81, $0.00, $56.10
2020-08-13 23:00:00, $241.35, BUY, $99,335.94, $720.16, $0.00, $56.10
2020-08-16 23:00:00, $241.61, HOLD, $99,335.94, $720.16, $0.00, $56.10
2020-08-17 23:00:00, $240.18, SELL, $100,056.47, $0.00, $-1.18, $56.47
2020-08-18 23:00:00, $239.00, HOLD, $100,056.47, $0.00, $0.00, $56.47
2020-08-19 23:00:00, $237.39, SELL, $100,056.47, $0.00, $0.00, $56.47
2020-08-20 23:00:00, $240.56, BUY, $99,815.91, $240.56, $0.00, $56.47
2020-08-23 23:00:00, $244.69, HOLD, $99,815.91, $240.56, $0.00, $56.47
2020-08-24 23:00:00, $250.40, BUY, $99,565.51, $490.96, $0.00, $56.47
2020-08-25 23:00:00, $252.04, HOLD, $99,565.51, $490.96, $0.00, $56.47
2020-08-26 23:00:00, $253.08, BUY, $99,312.43, $744.04, $0.00, $56.47
2020-08-27 23:00:00, $252.43, SELL, $100,069.72, $0.00, $-0.65, $69.72
2020-08-30 23:00:00, $254.10, BUY, $99,815.62, $254.10, $0.00, $69.72
2020-08-31 23:00:00, $252.30, SELL, $100,067.92, $0.00, $-1.80, $67.92
2020-09-01 23:00:00, $251.48, HOLD, $100,067.92, $0.00, $0.00, $67.92
2020-09-02 23:00:00, $245.82, SELL, $100,067.92, $0.00, $0.00, $67.92
2020-09-03 23:00:00, $245.03, HOLD, $100,067.92, $0.00, $0.00, $67.92
2020-09-07 23:00:00, $242.44, SELL, $100,067.92, $0.00, $0.00, $67.92
2020-09-08 23:00:00, $243.15, BUY, $99,824.77, $243.15, $0.00, $67.92
2020-09-09 23:00:00, $243.55, HOLD, $99,824.77, $243.15, $0.00, $67.92
2020-09-10 23:00:00, $246.12, BUY, $99,578.65, $489.28, $0.00, $67.92
2020-09-13 23:00:00, $247.62, HOLD, $99,578.65, $489.28, $0.00, $67.92
2020-09-14 23:00:00, $248.10, BUY, $99,330.55, $737.38, $0.00, $67.92
2020-09-15 23:00:00, $247.88, SELL, $100,074.18, $0.00, $-0.22, $74.18
2020-09-16 23:00:00, $246.39, HOLD, $100,074.18, $0.00, $0.00, $74.18
2020-09-17 23:00:00, $246.18, SELL, $100,074.18, $0.00, $0.00, $74.18
2020-09-20 23:00:00, $244.48, HOLD, $100,074.18, $0.00, $0.00, $74.18
2020-09-21 23:00:00, $243.53, SELL, $100,074.18, $0.00, $0.00, $74.18
2020-09-22 23:00:00, $242.29, HOLD, $100,074.18, $0.00, $0.00, $74.18
2020-09-23 23:00:00, $243.78, BUY, $99,830.39, $243.78, $0.00, $74.18
2020-09-24 23:00:00, $246.37, HOLD, $99,830.39, $243.78, $0.00, $74.18
2020-09-27 23:00:00, $249.81, BUY, $99,580.59, $493.59, $0.00, $74.18
2020-09-28 23:00:00, $252.62, HOLD, $99,580.59, $493.59, $0.00, $74.18
2020-09-29 23:00:00, $251.65, SELL, $100,083.89, $0.00, $1.84, $83.89
2020-09-30 23:00:00, $252.28, BUY, $99,831.61, $252.28, $0.00, $83.89
2020-10-01 23:00:00, $251.32, SELL, $100,082.93, $0.00, $-0.96, $82.93
2020-10-04 23:00:00, $255.45, BUY, $99,827.48, $255.45, $0.00, $82.93
2020-10-05 23:00:00, $250.14, SELL, $100,077.63, $0.00, $-5.30, $77.63
2020-10-06 23:00:00, $244.83, HOLD, $100,077.63, $0.00, $0.00, $77.63
2020-10-07 23:00:00, $238.83, SELL, $100,077.63, $0.00, $0.00, $77.63
2020-10-08 23:00:00, $238.57, HOLD, $100,077.63, $0.00, $0.00, $77.63
2020-10-11 23:00:00, $238.92, BUY, $99,838.71, $238.92, $0.00, $77.63
2020-10-12 23:00:00, $237.38, SELL, $100,076.08, $0.00, $-1.54, $76.08
2020-10-13 23:00:00, $236.22, HOLD, $100,076.08, $0.00, $0.00, $76.08
2020-10-14 23:00:00, $233.87, SELL, $100,076.08, $0.00, $0.00, $76.08
2020-10-15 23:00:00, $232.59, HOLD, $100,076.08, $0.00, $0.00, $76.08
2020-10-18 23:00:00, $230.29, SELL, $100,076.08, $0.00, $0.00, $76.08
2020-10-19 23:00:00, $229.38, HOLD, $100,076.08, $0.00, $0.00, $76.08
2020-10-20 23:00:00, $228.00, SELL, $100,076.08, $0.00, $0.00, $76.08
2020-10-21 23:00:00, $226.65, HOLD, $100,076.08, $0.00, $0.00, $76.08
2020-10-22 23:00:00, $225.07, SELL, $100,076.08, $0.00, $0.00, $76.08
2020-10-25 23:00:00, $221.61, HOLD, $100,076.08, $0.00, $0.00, $76.08
2020-10-26 23:00:00, $219.22, SELL, $100,076.08, $0.00, $0.00, $76.08
2020-10-27 23:00:00, $217.21, HOLD, $100,076.08, $0.00, $0.00, $76.08
2020-10-28 23:00:00, $218.37, BUY, $99,857.71, $218.37, $0.00, $76.08
2020-10-29 23:00:00, $219.10, HOLD, $99,857.71, $218.37, $0.00, $76.08
2020-11-01 23:00:00, $223.47, BUY, $99,634.24, $441.84, $0.00, $76.08
2020-11-02 23:00:00, $227.41, HOLD, $99,634.24, $441.84, $0.00, $76.08
2020-11-03 23:00:00, $231.29, BUY, $99,402.95, $673.13, $0.00, $76.08
2020-11-04 23:00:00, $232.83, HOLD, $99,402.95, $673.13, $0.00, $76.08
2020-11-05 23:00:00, $236.05, BUY, $99,166.91, $909.18, $0.00, $76.08
2020-11-08 23:00:00, $239.09, HOLD, $99,166.91, $909.18, $0.00, $76.08
2020-11-09 23:00:00, $239.83, BUY, $98,927.08, $1,149.01, $0.00, $76.08
2020-11-10 23:00:00, $238.60, SELL, $100,120.06, $0.00, $-1.23, $120.06
2020-11-11 23:00:00, $237.31, HOLD, $100,120.06, $0.00, $0.00, $120.06
2020-11-12 23:00:00, $235.80, SELL, $100,120.06, $0.00, $0.00, $120.06
2020-11-15 23:00:00, $232.43, HOLD, $100,120.06, $0.00, $0.00, $120.06
2020-11-16 23:00:00, $228.37, SELL, $100,120.06, $0.00, $0.00, $120.06
2020-11-17 23:00:00, $225.21, HOLD, $100,120.06, $0.00, $0.00, $120.06
2020-11-18 23:00:00, $223.35, SELL, $100,120.06, $0.00, $0.00, $120.06
2020-11-19 23:00:00, $221.94, HOLD, $100,120.06, $0.00, $0.00, $120.06
2020-11-22 23:00:00, $221.00, SELL, $100,120.06, $0.00, $0.00, $120.06
2020-11-23 23:00:00, $221.86, BUY, $99,898.20, $221.86, $0.00, $120.06
2020-11-24 23:00:00, $222.47, HOLD, $99,898.20, $221.86, $0.00, $120.06
2020-11-26 23:00:00, $224.05, BUY, $99,674.15, $445.91, $0.00, $120.06
2020-11-29 23:00:00, $224.63, HOLD, $99,674.15, $445.91, $0.00, $120.06
2020-11-30 23:00:00, $226.14, BUY, $99,448.01, $672.05, $0.00, $120.06
2020-12-01 23:00:00, $227.52, HOLD, $99,448.01, $672.05, $0.00, $120.06
2020-12-02 23:00:00, $227.50, SELL, $100,130.52, $0.00, $1.36, $130.52
2020-12-03 23:00:00, $228.25, BUY, $99,902.27, $228.25, $0.00, $130.52
