Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 11:00:00, $93.93, BUY, $99,906.07, $93.93, $0.00, $0.00
2021-05-19 11:15:00, $94.00, HOLD, $99,906.07, $93.93, $0.00, $0.00
2021-05-19 11:30:00, $94.10, BUY, $99,811.97, $188.03, $0.00, $0.00
2021-05-19 11:45:00, $94.16, HOLD, $99,811.97, $188.03, $0.00, $0.00
2021-05-19 12:00:00, $94.20, BUY, $99,717.76, $282.24, $0.00, $0.00
2021-05-19 12:15:00, $94.13, SELL, $100,000.15, $0.00, $-0.07, $0.15
2021-05-19 12:30:00, $94.00, HOLD, $100,000.15, $0.00, $0.00, $0.15
2021-05-19 12:45:00, $94.00, BUY, $99,906.15, $94.00, $0.00, $0.15
2021-05-19 13:00:00, $93.94, SELL, $100,000.08, $0.00, $-0.07, $0.08
2021-05-19 13:15:00, $93.95, BUY, $99,906.14, $93.95, $0.00, $0.08
2021-05-19 13:30:00, $93.85, SELL, $99,999.98, $0.00, $-0.10, $-0.02
2021-05-19 13:45:00, $93.96, BUY, $99,906.03, $93.96, $0.00, $-0.02
2021-05-19 14:00:00, $94.01, HOLD, $99,906.03, $93.96, $0.00, $-0.02
2021-05-19 14:15:00, $94.12, BUY, $99,811.90, $188.08, $0.00, $-0.02
2021-05-19 14:30:00, $94.81, HOLD, $99,811.90, $188.08, $0.00, $-0.02
2021-05-19 14:45:00, $95.51, BUY, $99,716.39, $283.59, $0.00, $-0.02
2021-05-20 08:30:00, $96.30, HOLD, $99,716.39, $283.59, $0.00, $-0.02
2021-05-20 08:45:00, $96.48, BUY, $99,619.91, $380.08, $0.00, $-0.02
2021-05-20 09:00:00, $96.71, HOLD, $99,619.91, $380.08, $0.00, $-0.02
2021-05-20 09:15:00, $96.81, BUY, $99,523.10, $476.88, $0.00, $-0.02
2021-05-20 09:30:00, $96.80, SELL, $100,007.08, $0.00, $-0.01, $7.08
2021-05-20 09:45:00, $96.87, BUY, $99,910.22, $96.87, $0.00, $7.08
2021-05-20 10:00:00, $96.96, HOLD, $99,910.22, $96.87, $0.00, $7.08
2021-05-20 10:15:00, $97.03, BUY, $99,813.19, $193.90, $0.00, $7.08
2021-05-20 10:30:00, $97.01, SELL, $100,007.20, $0.00, $-0.02, $7.20
2021-05-20 10:45:00, $96.97, HOLD, $100,007.20, $0.00, $0.00, $7.20
2021-05-20 11:00:00, $97.00, BUY, $99,910.20, $97.00, $0.00, $7.20
2021-05-20 11:15:00, $97.06, HOLD, $99,910.20, $97.00, $0.00, $7.20
2021-05-20 11:30:00, $97.05, SELL, $100,007.25, $0.00, $0.05, $7.25
2021-05-20 11:45:00, $97.02, HOLD, $100,007.25, $0.00, $0.00, $7.25
2021-05-20 12:00:00, $96.96, SELL, $100,007.25, $0.00, $0.00, $7.25
2021-05-20 12:15:00, $96.83, HOLD, $100,007.25, $0.00, $0.00, $7.25
2021-05-20 12:30:00, $96.69, SELL, $100,007.25, $0.00, $0.00, $7.25
2021-05-20 12:45:00, $96.56, HOLD, $100,007.25, $0.00, $0.00, $7.25
2021-05-20 13:00:00, $96.55, SELL, $100,007.25, $0.00, $0.00, $7.25
2021-05-20 13:15:00, $96.59, BUY, $99,910.66, $96.59, $0.00, $7.25
2021-05-20 13:30:00, $96.60, HOLD, $99,910.66, $96.59, $0.00, $7.25
2021-05-20 13:45:00, $96.63, BUY, $99,814.04, $193.21, $0.00, $7.25
2021-05-20 14:00:00, $96.62, SELL, $100,007.27, $0.00, $-0.01, $7.27
2021-05-20 14:15:00, $96.61, HOLD, $100,007.27, $0.00, $0.00, $7.27
2021-05-20 14:30:00, $96.39, SELL, $100,007.27, $0.00, $0.00, $7.27
2021-05-20 14:45:00, $96.34, HOLD, $100,007.27, $0.00, $0.00, $7.27
2021-05-21 08:00:00, $96.46, BUY, $99,910.81, $96.46, $0.00, $7.27
2021-05-21 08:30:00, $96.57, HOLD, $99,910.81, $96.46, $0.00, $7.27
2021-05-21 08:45:00, $96.47, SELL, $100,007.28, $0.00, $0.01, $7.28
2021-05-21 09:00:00, $96.13, HOLD, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 09:15:00, $95.96, SELL, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 09:30:00, $95.95, HOLD, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 09:45:00, $95.94, SELL, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 10:00:00, $95.91, HOLD, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 10:15:00, $95.73, SELL, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 10:30:00, $95.60, HOLD, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 10:45:00, $95.52, SELL, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 11:00:00, $95.47, HOLD, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 11:15:00, $95.47, SELL, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 11:30:00, $95.45, HOLD, $100,007.28, $0.00, $0.00, $7.28
2021-05-21 11:45:00, $95.48, BUY, $99,911.80, $95.48, $0.00, $7.28
2021-05-21 12:00:00, $95.61, HOLD, $99,911.80, $95.48, $0.00, $7.28
2021-05-21 12:15:00, $95.72, BUY, $99,816.09, $191.20, $0.00, $7.28
2021-05-21 12:30:00, $95.75, HOLD, $99,816.09, $191.20, $0.00, $7.28
2021-05-21 12:45:00, $95.65, SELL, $100,007.39, $0.00, $-0.07, $7.39
2021-05-21 13:00:00, $95.56, HOLD, $100,007.39, $0.00, $0.00, $7.39
2021-05-21 13:15:00, $95.48, SELL, $100,007.39, $0.00, $0.00, $7.39
2021-05-21 13:30:00, $95.44, HOLD, $100,007.39, $0.00, $0.00, $7.39
2021-05-21 13:45:00, $95.42, SELL, $100,007.39, $0.00, $0.00, $7.39
2021-05-21 14:00:00, $95.46, BUY, $99,911.92, $95.46, $0.00, $7.39
2021-05-21 14:15:00, $95.44, SELL, $100,007.37, $0.00, $-0.02, $7.37
2021-05-21 14:30:00, $95.67, BUY, $99,911.69, $95.67, $0.00, $7.37
2021-05-21 14:45:00, $95.89, HOLD, $99,911.69, $95.67, $0.00, $7.37
2021-05-24 08:30:00, $96.19, BUY, $99,815.50, $191.87, $0.00, $7.37
2021-05-24 08:45:00, $96.33, HOLD, $99,815.50, $191.87, $0.00, $7.37
2021-05-24 09:00:00, $96.40, BUY, $99,719.10, $288.27, $0.00, $7.37
2021-05-24 09:15:00, $96.52, HOLD, $99,719.10, $288.27, $0.00, $7.37
2021-05-24 09:30:00, $96.55, BUY, $99,622.55, $384.82, $0.00, $7.37
2021-05-24 09:45:00, $96.55, BUY, $99,526.00, $481.37, $0.00, $7.37
2021-05-24 10:00:00, $96.54, SELL, $100,008.71, $0.00, $-0.01, $8.71
2021-05-24 10:15:00, $96.52, HOLD, $100,008.71, $0.00, $0.00, $8.71
2021-05-24 10:30:00, $96.53, BUY, $99,912.18, $96.53, $0.00, $8.71
2021-05-24 10:45:00, $96.46, SELL, $100,008.64, $0.00, $-0.07, $8.64
2021-05-24 11:00:00, $96.45, HOLD, $100,008.64, $0.00, $0.00, $8.64
2021-05-24 11:15:00, $96.47, BUY, $99,912.17, $96.47, $0.00, $8.64
2021-05-24 11:30:00, $96.51, HOLD, $99,912.17, $96.47, $0.00, $8.64
2021-05-24 11:45:00, $96.51, HOLD, $99,912.17, $96.47, $0.00, $8.64
2021-05-24 12:00:00, $96.53, BUY, $99,815.64, $193.00, $0.00, $8.64
2021-05-24 12:15:00, $96.55, HOLD, $99,815.64, $193.00, $0.00, $8.64
2021-05-24 12:30:00, $96.56, BUY, $99,719.08, $289.57, $0.00, $8.64
2021-05-24 12:45:00, $96.56, BUY, $99,622.51, $386.13, $0.00, $8.64
2021-05-24 13:00:00, $96.62, HOLD, $99,622.51, $386.13, $0.00, $8.64
2021-05-24 13:15:00, $96.66, BUY, $99,525.86, $482.79, $0.00, $8.64
2021-05-24 13:30:00, $96.68, HOLD, $99,525.86, $482.79, $0.00, $8.64
2021-05-24 13:45:00, $96.68, HOLD, $99,525.86, $482.79, $0.00, $8.64
2021-05-24 14:00:00, $96.67, SELL, $100,009.22, $0.00, $0.02, $9.22
2021-05-24 14:15:00, $96.62, HOLD, $100,009.22, $0.00, $0.00, $9.22
2021-05-24 14:30:00, $96.62, BUY, $99,912.60, $96.62, $0.00, $9.22
2021-05-24 14:45:00, $96.61, SELL, $100,009.21, $0.00, $-0.02, $9.21
2021-05-25 08:30:00, $96.68, BUY, $99,912.52, $96.68, $0.00, $9.21
2021-05-25 08:45:00, $96.67, SELL, $100,009.19, $0.00, $-0.02, $9.19
2021-05-25 09:00:00, $96.70, BUY, $99,912.49, $96.70, $0.00, $9.19
2021-05-25 09:15:00, $96.69, SELL, $100,009.18, $0.00, $-0.01, $9.18
2021-05-25 09:30:00, $96.68, HOLD, $100,009.18, $0.00, $0.00, $9.18
2021-05-25 09:45:00, $96.65, SELL, $100,009.18, $0.00, $0.00, $9.18
2021-05-25 10:00:00, $96.60, HOLD, $100,009.18, $0.00, $0.00, $9.18
2021-05-25 10:15:00, $96.59, SELL, $100,009.18, $0.00, $0.00, $9.18
2021-05-25 10:30:00, $96.58, HOLD, $100,009.18, $0.00, $0.00, $9.18
2021-05-25 10:45:00, $96.59, BUY, $99,912.59, $96.59, $0.00, $9.18
2021-05-25 11:00:00, $96.54, SELL, $100,009.12, $0.00, $-0.05, $9.12
2021-05-25 11:15:00, $96.45, HOLD, $100,009.12, $0.00, $0.00, $9.12
2021-05-25 11:30:00, $96.39, SELL, $100,009.12, $0.00, $0.00, $9.12
2021-05-25 11:45:00, $96.40, BUY, $99,912.72, $96.40, $0.00, $9.12
2021-05-25 12:00:00, $96.50, HOLD, $99,912.72, $96.40, $0.00, $9.12
2021-05-25 12:15:00, $96.57, BUY, $99,816.15, $192.97, $0.00, $9.12
2021-05-25 12:30:00, $96.62, HOLD, $99,816.15, $192.97, $0.00, $9.12
2021-05-25 12:45:00, $96.60, SELL, $100,009.35, $0.00, $0.03, $9.35
2021-05-25 13:00:00, $96.64, BUY, $99,912.71, $96.64, $0.00, $9.35
2021-05-25 13:15:00, $96.67, HOLD, $99,912.71, $96.64, $0.00, $9.35
2021-05-25 13:30:00, $96.69, BUY, $99,816.02, $193.33, $0.00, $9.35
2021-05-25 13:45:00, $96.69, HOLD, $99,816.02, $193.33, $0.00, $9.35
2021-05-25 14:00:00, $96.69, SELL, $100,009.39, $0.00, $-0.00, $9.39
2021-05-25 14:15:00, $96.66, HOLD, $100,009.39, $0.00, $0.00, $9.39
2021-05-25 14:30:00, $97.08, BUY, $99,912.30, $97.08, $0.00, $9.39
2021-05-25 14:45:00, $97.60, HOLD, $99,912.30, $97.08, $0.00, $9.39
2021-05-26 08:30:00, $98.03, BUY, $99,814.27, $195.12, $0.00, $9.39
2021-05-26 08:45:00, $98.14, HOLD, $99,814.27, $195.12, $0.00, $9.39
2021-05-26 09:00:00, $98.14, SELL, $100,010.55, $0.00, $0.11, $10.55
2021-05-26 09:15:00, $98.34, BUY, $99,912.21, $98.34, $0.00, $10.55
2021-05-26 09:30:00, $98.36, HOLD, $99,912.21, $98.34, $0.00, $10.55
2021-05-26 09:45:00, $98.31, SELL, $100,010.53, $0.00, $-0.02, $10.53
