Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-02-25 23:00:00, $97.02, BUY, $99,902.98, $97.02, $0.00, $0.00
2021-02-28 23:00:00, $96.40, SELL, $99,999.38, $0.00, $-0.62, $-0.62
2021-03-01 23:00:00, $93.99, HOLD, $99,999.38, $0.00, $0.00, $-0.62
2021-03-02 23:00:00, $92.59, SELL, $99,999.38, $0.00, $0.00, $-0.62
2021-03-03 23:00:00, $91.08, HOLD, $99,999.38, $0.00, $0.00, $-0.62
2021-03-04 23:00:00, $91.40, BUY, $99,907.97, $91.40, $0.00, $-0.62
2021-03-07 23:00:00, $90.99, SELL, $99,998.96, $0.00, $-0.42, $-1.04
2021-03-08 23:00:00, $92.24, BUY, $99,906.72, $92.24, $0.00, $-1.04
2021-03-09 23:00:00, $92.43, HOLD, $99,906.72, $92.24, $0.00, $-1.04
2021-03-10 23:00:00, $92.85, BUY, $99,813.87, $185.09, $0.00, $-1.04
2021-03-11 23:00:00, $92.96, HOLD, $99,813.87, $185.09, $0.00, $-1.04
2021-03-14 23:00:00, $92.76, SELL, $99,999.40, $0.00, $-0.09, $-0.60
2021-03-15 23:00:00, $91.76, HOLD, $99,999.40, $0.00, $0.00, $-0.60
2021-03-16 23:00:00, $90.83, SELL, $99,999.40, $0.00, $0.00, $-0.60
2021-03-17 23:00:00, $90.66, HOLD, $99,999.40, $0.00, $0.00, $-0.60
2021-03-18 23:00:00, $91.26, BUY, $99,908.14, $91.26, $0.00, $-0.60
2021-03-21 23:00:00, $91.27, HOLD, $99,908.14, $91.26, $0.00, $-0.60
2021-03-22 23:00:00, $90.92, SELL, $99,999.06, $0.00, $-0.33, $-0.94
2021-03-23 23:00:00, $91.26, BUY, $99,907.80, $91.26, $0.00, $-0.94
2021-03-24 23:00:00, $92.43, HOLD, $99,907.80, $91.26, $0.00, $-0.94
2021-03-25 23:00:00, $93.05, BUY, $99,814.75, $184.31, $0.00, $-0.94
2021-03-28 23:00:00, $93.26, HOLD, $99,814.75, $184.31, $0.00, $-0.94
2021-03-29 23:00:00, $93.76, BUY, $99,721.00, $278.07, $0.00, $-0.94
2021-03-30 23:00:00, $95.49, HOLD, $99,721.00, $278.07, $0.00, $-0.94
2021-03-31 23:00:00, $96.92, BUY, $99,624.08, $374.99, $0.00, $-0.94
2021-04-04 23:00:00, $97.34, HOLD, $99,624.08, $374.99, $0.00, $-0.94
2021-04-05 23:00:00, $96.87, SELL, $100,011.54, $0.00, $-0.05, $11.54
2021-04-06 23:00:00, $96.36, HOLD, $100,011.54, $0.00, $0.00, $11.54
2021-04-07 23:00:00, $96.13, SELL, $100,011.54, $0.00, $0.00, $11.54
2021-04-08 23:00:00, $96.49, BUY, $99,915.05, $96.49, $0.00, $11.54
2021-04-11 23:00:00, $96.80, HOLD, $99,915.05, $96.49, $0.00, $11.54
2021-04-12 23:00:00, $97.35, BUY, $99,817.70, $193.84, $0.00, $11.54
2021-04-13 23:00:00, $96.99, SELL, $100,011.69, $0.00, $-0.36, $11.69
2021-04-14 23:00:00, $96.75, HOLD, $100,011.69, $0.00, $0.00, $11.69
2021-04-15 23:00:00, $95.64, SELL, $100,011.69, $0.00, $0.00, $11.69
2021-04-18 23:00:00, $94.55, HOLD, $100,011.69, $0.00, $0.00, $11.69
2021-04-19 23:00:00, $93.79, SELL, $100,011.69, $0.00, $0.00, $11.69
2021-04-20 23:00:00, $93.30, HOLD, $100,011.69, $0.00, $0.00, $11.69
2021-04-21 23:00:00, $93.65, BUY, $99,918.04, $93.65, $0.00, $11.69
2021-04-22 23:00:00, $92.95, SELL, $100,010.99, $0.00, $-0.70, $10.99
2021-04-25 23:00:00, $92.35, HOLD, $100,010.99, $0.00, $0.00, $10.99
2021-04-26 23:00:00, $91.63, SELL, $100,010.99, $0.00, $0.00, $10.99
2021-04-27 23:00:00, $91.50, HOLD, $100,010.99, $0.00, $0.00, $10.99
2021-04-28 23:00:00, $91.48, SELL, $100,010.99, $0.00, $0.00, $10.99
2021-04-29 23:00:00, $90.36, HOLD, $100,010.99, $0.00, $0.00, $10.99
2021-05-02 23:00:00, $89.97, SELL, $100,010.99, $0.00, $0.00, $10.99
2021-05-03 23:00:00, $90.60, BUY, $99,920.39, $90.60, $0.00, $10.99
2021-05-04 23:00:00, $92.63, HOLD, $99,920.39, $90.60, $0.00, $10.99
2021-05-05 23:00:00, $93.67, BUY, $99,826.72, $184.26, $0.00, $10.99
2021-05-06 23:00:00, $94.43, HOLD, $99,826.72, $184.26, $0.00, $10.99
2021-05-09 23:00:00, $93.73, SELL, $100,014.18, $0.00, $0.06, $14.18
2021-05-10 23:00:00, $93.82, BUY, $99,920.36, $93.82, $0.00, $14.18
2021-05-11 23:00:00, $93.15, SELL, $100,013.51, $0.00, $-0.66, $13.51
2021-05-12 23:00:00, $93.03, HOLD, $100,013.51, $0.00, $0.00, $13.51
2021-05-13 23:00:00, $93.10, BUY, $99,920.41, $93.10, $0.00, $13.51
2021-05-16 23:00:00, $93.41, HOLD, $99,920.41, $93.10, $0.00, $13.51
2021-05-17 23:00:00, $94.83, BUY, $99,825.58, $187.93, $0.00, $13.51
2021-05-18 23:00:00, $95.41, HOLD, $99,825.58, $187.93, $0.00, $13.51
2021-05-19 23:00:00, $96.16, BUY, $99,729.42, $284.09, $0.00, $13.51
2021-05-20 23:00:00, $96.17, HOLD, $99,729.42, $284.09, $0.00, $13.51
