Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 11:45:00, $188.88, BUY, $99,811.12, $188.88, $0.00, $0.00
2021-05-19 12:00:00, $189.04, HOLD, $99,811.12, $188.88, $0.00, $0.00
2021-05-19 12:15:00, $188.84, SELL, $99,999.96, $0.00, $-0.04, $-0.04
2021-05-19 12:30:00, $188.47, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-19 12:45:00, $188.69, BUY, $99,811.27, $188.69, $0.00, $-0.04
2021-05-19 13:00:00, $188.48, SELL, $99,999.75, $0.00, $-0.21, $-0.25
2021-05-19 13:15:00, $188.61, BUY, $99,811.15, $188.61, $0.00, $-0.25
2021-05-19 13:30:00, $188.32, SELL, $99,999.46, $0.00, $-0.29, $-0.54
2021-05-19 13:45:00, $188.75, BUY, $99,810.72, $188.75, $0.00, $-0.54
2021-05-19 14:00:00, $189.01, HOLD, $99,810.72, $188.75, $0.00, $-0.54
2021-05-19 14:15:00, $189.18, BUY, $99,621.53, $377.93, $0.00, $-0.54
2021-05-19 14:30:00, $189.39, HOLD, $99,621.53, $377.93, $0.00, $-0.54
2021-05-19 14:45:00, $190.15, BUY, $99,431.38, $568.08, $0.00, $-0.54
2021-05-20 07:00:00, $191.25, HOLD, $99,431.38, $568.08, $0.00, $-0.54
2021-05-20 08:30:00, $191.65, BUY, $99,239.74, $759.73, $0.00, $-0.54
2021-05-20 08:45:00, $191.75, HOLD, $99,239.74, $759.73, $0.00, $-0.54
2021-05-20 09:00:00, $191.66, SELL, $100,006.38, $0.00, $0.01, $6.38
2021-05-20 09:15:00, $191.89, BUY, $99,814.48, $191.89, $0.00, $6.38
2021-05-20 09:30:00, $192.19, HOLD, $99,814.48, $191.89, $0.00, $6.38
2021-05-20 09:45:00, $192.64, BUY, $99,621.84, $384.53, $0.00, $6.38
2021-05-20 10:00:00, $193.17, HOLD, $99,621.84, $384.53, $0.00, $6.38
2021-05-20 10:15:00, $193.59, BUY, $99,428.25, $578.12, $0.00, $6.38
2021-05-20 10:30:00, $193.41, SELL, $100,008.50, $0.00, $-0.18, $8.50
2021-05-20 10:45:00, $193.21, HOLD, $100,008.50, $0.00, $0.00, $8.50
2021-05-20 11:00:00, $192.65, SELL, $100,008.50, $0.00, $0.00, $8.50
2021-05-20 11:15:00, $192.35, HOLD, $100,008.50, $0.00, $0.00, $8.50
2021-05-20 11:30:00, $192.06, SELL, $100,008.50, $0.00, $0.00, $8.50
2021-05-20 11:45:00, $192.07, BUY, $99,816.43, $192.07, $0.00, $8.50
2021-05-20 12:00:00, $192.13, HOLD, $99,816.43, $192.07, $0.00, $8.50
2021-05-20 12:15:00, $192.11, SELL, $100,008.53, $0.00, $0.04, $8.53
2021-05-20 12:30:00, $192.08, HOLD, $100,008.53, $0.00, $0.00, $8.53
2021-05-20 12:45:00, $192.19, BUY, $99,816.35, $192.19, $0.00, $8.53
2021-05-20 13:00:00, $192.51, HOLD, $99,816.35, $192.19, $0.00, $8.53
2021-05-20 13:15:00, $193.11, BUY, $99,623.23, $385.30, $0.00, $8.53
2021-05-20 13:30:00, $193.40, HOLD, $99,623.23, $385.30, $0.00, $8.53
2021-05-20 13:45:00, $193.68, BUY, $99,429.56, $578.98, $0.00, $8.53
2021-05-20 14:00:00, $193.39, SELL, $100,009.72, $0.00, $-0.29, $9.72
2021-05-20 14:15:00, $193.31, HOLD, $100,009.72, $0.00, $0.00, $9.72
2021-05-20 14:30:00, $192.36, SELL, $100,009.72, $0.00, $0.00, $9.72
2021-05-20 14:45:00, $192.27, HOLD, $100,009.72, $0.00, $0.00, $9.72
2021-05-21 08:30:00, $191.83, SELL, $100,009.72, $0.00, $0.00, $9.72
2021-05-21 08:45:00, $192.22, BUY, $99,817.49, $192.22, $0.00, $9.72
2021-05-21 09:00:00, $191.78, SELL, $100,009.27, $0.00, $-0.45, $9.27
2021-05-21 09:15:00, $191.49, HOLD, $100,009.27, $0.00, $0.00, $9.27
2021-05-21 09:30:00, $191.32, SELL, $100,009.27, $0.00, $0.00, $9.27
2021-05-21 09:45:00, $191.26, HOLD, $100,009.27, $0.00, $0.00, $9.27
2021-05-21 10:00:00, $191.48, BUY, $99,817.79, $191.48, $0.00, $9.27
2021-05-21 10:15:00, $191.44, SELL, $100,009.22, $0.00, $-0.05, $9.22
2021-05-21 10:30:00, $191.42, HOLD, $100,009.22, $0.00, $0.00, $9.22
2021-05-21 10:45:00, $191.17, SELL, $100,009.22, $0.00, $0.00, $9.22
2021-05-21 11:00:00, $190.91, HOLD, $100,009.22, $0.00, $0.00, $9.22
2021-05-21 11:15:00, $190.62, SELL, $100,009.22, $0.00, $0.00, $9.22
2021-05-21 11:30:00, $190.42, HOLD, $100,009.22, $0.00, $0.00, $9.22
2021-05-21 11:45:00, $190.33, SELL, $100,009.22, $0.00, $0.00, $9.22
2021-05-21 12:00:00, $190.41, BUY, $99,818.81, $190.41, $0.00, $9.22
2021-05-21 12:15:00, $190.48, HOLD, $99,818.81, $190.41, $0.00, $9.22
2021-05-21 12:30:00, $190.47, SELL, $100,009.28, $0.00, $0.06, $9.28
2021-05-21 12:45:00, $190.33, HOLD, $100,009.28, $0.00, $0.00, $9.28
2021-05-21 13:00:00, $190.21, SELL, $100,009.28, $0.00, $0.00, $9.28
2021-05-21 13:15:00, $190.20, HOLD, $100,009.28, $0.00, $0.00, $9.28
2021-05-21 13:30:00, $190.26, BUY, $99,819.02, $190.26, $0.00, $9.28
2021-05-21 13:45:00, $190.28, HOLD, $99,819.02, $190.26, $0.00, $9.28
2021-05-21 14:00:00, $190.01, SELL, $100,009.03, $0.00, $-0.25, $9.03
2021-05-21 14:15:00, $189.78, HOLD, $100,009.03, $0.00, $0.00, $9.03
2021-05-21 14:30:00, $189.68, SELL, $100,009.03, $0.00, $0.00, $9.03
2021-05-21 14:45:00, $189.31, HOLD, $100,009.03, $0.00, $0.00, $9.03
2021-05-24 07:30:00, $189.32, BUY, $99,819.71, $189.32, $0.00, $9.03
2021-05-24 08:30:00, $189.14, SELL, $100,008.85, $0.00, $-0.18, $8.85
2021-05-24 08:45:00, $189.65, BUY, $99,819.20, $189.65, $0.00, $8.85
2021-05-24 09:00:00, $189.45, SELL, $100,008.65, $0.00, $-0.20, $8.65
2021-05-24 09:15:00, $189.34, HOLD, $100,008.65, $0.00, $0.00, $8.65
2021-05-24 09:30:00, $189.44, BUY, $99,819.21, $189.44, $0.00, $8.65
2021-05-24 09:45:00, $189.83, HOLD, $99,819.21, $189.44, $0.00, $8.65
2021-05-24 10:00:00, $189.98, BUY, $99,629.23, $379.42, $0.00, $8.65
2021-05-24 10:15:00, $189.76, SELL, $100,008.74, $0.00, $-0.22, $8.74
2021-05-24 10:30:00, $189.42, HOLD, $100,008.74, $0.00, $0.00, $8.74
2021-05-24 10:45:00, $189.22, SELL, $100,008.74, $0.00, $0.00, $8.74
2021-05-24 11:00:00, $188.93, HOLD, $100,008.74, $0.00, $0.00, $8.74
2021-05-24 11:15:00, $188.75, SELL, $100,008.74, $0.00, $0.00, $8.74
2021-05-24 11:30:00, $188.66, HOLD, $100,008.74, $0.00, $0.00, $8.74
2021-05-24 11:45:00, $188.83, BUY, $99,819.91, $188.83, $0.00, $8.74
2021-05-24 12:00:00, $189.01, HOLD, $99,819.91, $188.83, $0.00, $8.74
2021-05-24 12:15:00, $189.10, BUY, $99,630.80, $377.94, $0.00, $8.74
2021-05-24 12:30:00, $189.04, SELL, $100,008.89, $0.00, $-0.06, $8.89
2021-05-24 12:45:00, $189.03, HOLD, $100,008.89, $0.00, $0.00, $8.89
2021-05-24 13:00:00, $189.21, BUY, $99,819.68, $189.21, $0.00, $8.89
2021-05-24 13:15:00, $189.39, HOLD, $99,819.68, $189.21, $0.00, $8.89
2021-05-24 13:30:00, $189.55, BUY, $99,630.12, $378.76, $0.00, $8.89
2021-05-24 13:45:00, $189.60, HOLD, $99,630.12, $378.76, $0.00, $8.89
2021-05-24 14:00:00, $189.51, SELL, $100,009.14, $0.00, $-0.05, $9.14
2021-05-24 14:15:00, $189.29, HOLD, $100,009.14, $0.00, $0.00, $9.14
2021-05-24 14:30:00, $190.40, BUY, $99,818.74, $190.40, $0.00, $9.14
2021-05-24 14:45:00, $192.24, HOLD, $99,818.74, $190.40, $0.00, $9.14
2021-05-25 08:15:00, $193.91, BUY, $99,624.83, $384.31, $0.00, $9.14
2021-05-25 08:30:00, $194.58, HOLD, $99,624.83, $384.31, $0.00, $9.14
2021-05-25 08:45:00, $194.68, BUY, $99,430.15, $579.00, $0.00, $9.14
2021-05-25 09:00:00, $194.85, HOLD, $99,430.15, $579.00, $0.00, $9.14
2021-05-25 09:15:00, $194.88, BUY, $99,235.26, $773.88, $0.00, $9.14
2021-05-25 09:30:00, $194.30, SELL, $100,012.46, $0.00, $-0.58, $12.46
2021-05-25 09:45:00, $193.57, HOLD, $100,012.46, $0.00, $0.00, $12.46
2021-05-25 10:00:00, $192.68, SELL, $100,012.46, $0.00, $0.00, $12.46
2021-05-25 10:15:00, $192.75, BUY, $99,819.71, $192.75, $0.00, $12.46
2021-05-25 10:30:00, $192.87, HOLD, $99,819.71, $192.75, $0.00, $12.46
2021-05-25 10:45:00, $193.03, BUY, $99,626.68, $385.78, $0.00, $12.46
2021-05-25 11:00:00, $192.82, SELL, $100,012.32, $0.00, $-0.21, $12.32
2021-05-25 11:15:00, $192.98, BUY, $99,819.34, $192.98, $0.00, $12.32
2021-05-25 11:30:00, $193.08, HOLD, $99,819.34, $192.98, $0.00, $12.32
2021-05-25 11:45:00, $193.23, BUY, $99,626.11, $386.21, $0.00, $12.32
2021-05-25 12:00:00, $193.32, HOLD, $99,626.11, $386.21, $0.00, $12.32
2021-05-25 12:15:00, $193.39, BUY, $99,432.71, $579.61, $0.00, $12.32
2021-05-25 12:30:00, $193.35, SELL, $100,012.77, $0.00, $-0.04, $12.77
2021-05-25 12:45:00, $193.29, HOLD, $100,012.77, $0.00, $0.00, $12.77
2021-05-25 13:00:00, $193.37, BUY, $99,819.40, $193.37, $0.00, $12.77
2021-05-25 13:15:00, $193.28, SELL, $100,012.68, $0.00, $-0.10, $12.68
2021-05-25 13:30:00, $193.04, HOLD, $100,012.68, $0.00, $0.00, $12.68
2021-05-25 13:45:00, $192.75, SELL, $100,012.68, $0.00, $0.00, $12.68
2021-05-25 14:00:00, $192.66, HOLD, $100,012.68, $0.00, $0.00, $12.68
2021-05-25 14:15:00, $192.72, BUY, $99,819.96, $192.72, $0.00, $12.68
2021-05-25 14:30:00, $193.58, HOLD, $99,819.96, $192.72, $0.00, $12.68
2021-05-25 14:45:00, $194.12, BUY, $99,625.84, $386.84, $0.00, $12.68
2021-05-26 07:00:00, $194.78, HOLD, $99,625.84, $386.84, $0.00, $12.68
2021-05-26 08:30:00, $194.35, SELL, $100,014.54, $0.00, $0.23, $14.54
2021-05-26 08:45:00, $194.69, BUY, $99,819.86, $194.69, $0.00, $14.54
2021-05-26 09:00:00, $194.60, SELL, $100,014.46, $0.00, $-0.09, $14.46
2021-05-26 09:15:00, $194.96, BUY, $99,819.50, $194.96, $0.00, $14.46
2021-05-26 09:30:00, $194.76, SELL, $100,014.26, $0.00, $-0.19, $14.26
2021-05-26 09:45:00, $194.69, HOLD, $100,014.26, $0.00, $0.00, $14.26
