Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $111.61, BUY, $99,888.39, $111.61, $0.00, $0.00
2019-05-29 23:00:00, $109.89, SELL, $99,998.28, $0.00, $-1.72, $-1.72
2019-05-30 23:00:00, $109.73, HOLD, $99,998.28, $0.00, $0.00, $-1.72
2019-06-02 23:00:00, $109.45, SELL, $99,998.28, $0.00, $0.00, $-1.72
2019-06-03 23:00:00, $109.81, BUY, $99,888.46, $109.81, $0.00, $-1.72
2019-06-04 23:00:00, $109.27, SELL, $99,997.74, $0.00, $-0.54, $-2.26
2019-06-05 23:00:00, $110.15, BUY, $99,887.59, $110.15, $0.00, $-2.26
2019-06-06 23:00:00, $112.32, HOLD, $99,887.59, $110.15, $0.00, $-2.26
2019-06-09 23:00:00, $113.42, BUY, $99,774.17, $223.57, $0.00, $-2.26
2019-06-10 23:00:00, $114.17, HOLD, $99,774.17, $223.57, $0.00, $-2.26
2019-06-11 23:00:00, $113.40, SELL, $100,000.97, $0.00, $-0.02, $0.97
2019-06-12 23:00:00, $113.81, BUY, $99,887.16, $113.81, $0.00, $0.97
2019-06-13 23:00:00, $114.79, HOLD, $99,887.16, $113.81, $0.00, $0.97
2019-06-16 23:00:00, $116.36, BUY, $99,770.80, $230.17, $0.00, $0.97
2019-06-17 23:00:00, $117.67, HOLD, $99,770.80, $230.17, $0.00, $0.97
2019-06-18 23:00:00, $117.65, SELL, $100,006.10, $0.00, $1.29, $6.10
2019-06-19 23:00:00, $117.28, HOLD, $100,006.10, $0.00, $0.00, $6.10
2019-06-20 23:00:00, $115.63, SELL, $100,006.10, $0.00, $0.00, $6.10
2019-06-23 23:00:00, $115.26, HOLD, $100,006.10, $0.00, $0.00, $6.10
2019-06-24 23:00:00, $115.04, SELL, $100,006.10, $0.00, $0.00, $6.10
2019-06-25 23:00:00, $116.42, BUY, $99,889.67, $116.42, $0.00, $6.10
2019-06-26 23:00:00, $117.16, HOLD, $99,889.67, $116.42, $0.00, $6.10
2019-06-27 23:00:00, $118.26, BUY, $99,771.41, $234.69, $0.00, $6.10
2019-06-30 23:00:00, $118.64, HOLD, $99,771.41, $234.69, $0.00, $6.10
2019-07-01 23:00:00, $118.08, SELL, $100,007.56, $0.00, $-0.19, $7.56
2019-07-02 23:00:00, $116.02, HOLD, $100,007.56, $0.00, $0.00, $7.56
2019-07-04 23:00:00, $114.75, SELL, $100,007.56, $0.00, $0.00, $7.56
2019-07-07 23:00:00, $114.12, HOLD, $100,007.56, $0.00, $0.00, $7.56
2019-07-08 23:00:00, $114.64, BUY, $99,892.92, $114.64, $0.00, $7.56
2019-07-09 23:00:00, $114.70, HOLD, $99,892.92, $114.64, $0.00, $7.56
2019-07-10 23:00:00, $115.09, BUY, $99,777.83, $229.73, $0.00, $7.56
2019-07-11 23:00:00, $114.92, SELL, $100,007.66, $0.00, $-0.18, $7.66
2019-07-14 23:00:00, $114.46, HOLD, $100,007.66, $0.00, $0.00, $7.66
2019-07-15 23:00:00, $113.21, SELL, $100,007.66, $0.00, $0.00, $7.66
2019-07-16 23:00:00, $112.56, HOLD, $100,007.66, $0.00, $0.00, $7.66
2019-07-17 23:00:00, $111.93, SELL, $100,007.66, $0.00, $0.00, $7.66
2019-07-18 23:00:00, $113.03, BUY, $99,894.63, $113.03, $0.00, $7.66
2019-07-21 23:00:00, $114.40, HOLD, $99,894.63, $113.03, $0.00, $7.66
2019-07-22 23:00:00, $115.32, BUY, $99,779.31, $228.35, $0.00, $7.66
2019-07-23 23:00:00, $115.00, SELL, $100,009.32, $0.00, $-0.31, $9.32
2019-07-24 23:00:00, $114.03, HOLD, $100,009.32, $0.00, $0.00, $9.32
2019-07-25 23:00:00, $113.46, SELL, $100,009.32, $0.00, $0.00, $9.32
2019-07-28 23:00:00, $112.63, HOLD, $100,009.32, $0.00, $0.00, $9.32
2019-07-29 23:00:00, $111.22, SELL, $100,009.32, $0.00, $0.00, $9.32
2019-07-30 23:00:00, $109.57, HOLD, $100,009.32, $0.00, $0.00, $9.32
