Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-06 08:50:00, $2,280.49, BUY, $97,719.51, $2,280.49, $0.00, $0.00
2021-05-06 08:55:00, $2,274.36, SELL, $99,993.87, $0.00, $-6.13, $-6.13
2021-05-06 09:00:00, $2,271.39, HOLD, $99,993.87, $0.00, $0.00, $-6.13
2021-05-06 09:05:00, $2,269.10, SELL, $99,993.87, $0.00, $0.00, $-6.13
2021-05-06 09:10:00, $2,269.26, BUY, $97,724.61, $2,269.26, $0.00, $-6.13
2021-05-06 09:15:00, $2,264.03, SELL, $99,988.65, $0.00, $-5.23, $-11.36
2021-05-06 09:20:00, $2,262.44, HOLD, $99,988.65, $0.00, $0.00, $-11.36
2021-05-06 09:25:00, $2,263.30, BUY, $97,725.35, $2,263.30, $0.00, $-11.36
2021-05-06 09:30:00, $2,271.44, HOLD, $97,725.35, $2,263.30, $0.00, $-11.36
2021-05-06 09:35:00, $2,276.05, BUY, $95,449.30, $4,539.34, $0.00, $-11.36
2021-05-06 09:40:00, $2,277.43, HOLD, $95,449.30, $4,539.34, $0.00, $-11.36
2021-05-06 09:55:00, $2,274.60, SELL, $99,998.50, $0.00, $-1.45, $-1.50
2021-05-06 10:05:00, $2,272.74, HOLD, $99,998.50, $0.00, $0.00, $-1.50
2021-05-06 10:15:00, $2,272.58, SELL, $99,998.50, $0.00, $0.00, $-1.50
2021-05-06 10:20:00, $2,275.39, BUY, $97,723.11, $2,275.39, $0.00, $-1.50
2021-05-06 10:30:00, $2,281.26, HOLD, $97,723.11, $2,275.39, $0.00, $-1.50
2021-05-06 10:40:00, $2,284.70, BUY, $95,438.41, $4,560.09, $0.00, $-1.50
2021-05-06 11:00:00, $2,286.72, HOLD, $95,438.41, $4,560.09, $0.00, $-1.50
2021-05-06 11:10:00, $2,288.12, BUY, $93,150.30, $6,848.20, $0.00, $-1.50
2021-05-06 11:25:00, $2,292.70, HOLD, $93,150.30, $6,848.20, $0.00, $-1.50
2021-05-06 11:30:00, $2,296.48, BUY, $90,853.81, $9,144.69, $0.00, $-1.50
2021-05-06 11:40:00, $2,299.70, HOLD, $90,853.81, $9,144.69, $0.00, $-1.50
2021-05-06 11:45:00, $2,300.31, BUY, $88,553.50, $11,445.00, $0.00, $-1.50
2021-05-06 11:50:00, $2,300.55, HOLD, $88,553.50, $11,445.00, $0.00, $-1.50
2021-05-06 11:55:00, $2,300.00, SELL, $100,053.50, $0.00, $-0.31, $53.50
2021-05-06 12:00:00, $2,296.93, HOLD, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 12:05:00, $2,292.56, SELL, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 12:10:00, $2,287.75, HOLD, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 12:15:00, $2,286.08, SELL, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 12:20:00, $2,283.29, HOLD, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 12:35:00, $2,280.28, SELL, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 12:55:00, $2,276.85, HOLD, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 13:00:00, $2,273.59, SELL, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 13:05:00, $2,273.58, HOLD, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 13:10:00, $2,273.17, SELL, $100,053.50, $0.00, $0.00, $53.50
2021-05-06 13:15:00, $2,275.31, BUY, $97,778.19, $2,275.31, $0.00, $53.50
2021-05-06 13:20:00, $2,277.73, HOLD, $97,778.19, $2,275.31, $0.00, $53.50
2021-05-06 13:35:00, $2,281.28, BUY, $95,496.91, $4,556.59, $0.00, $53.50
2021-05-06 14:05:00, $2,283.48, HOLD, $95,496.91, $4,556.59, $0.00, $53.50
2021-05-06 14:10:00, $2,283.28, SELL, $100,063.48, $0.00, $2.00, $63.47
2021-05-06 14:15:00, $2,283.74, BUY, $97,779.73, $2,283.74, $0.00, $63.47
2021-05-06 14:20:00, $2,283.34, SELL, $100,063.07, $0.00, $-0.41, $63.07
2021-05-06 14:25:00, $2,282.32, HOLD, $100,063.07, $0.00, $0.00, $63.07
2021-05-06 14:30:00, $2,280.17, SELL, $100,063.07, $0.00, $0.00, $63.07
2021-05-06 14:35:00, $2,279.43, HOLD, $100,063.07, $0.00, $0.00, $63.07
2021-05-06 14:40:00, $2,279.91, BUY, $97,783.16, $2,279.91, $0.00, $63.07
2021-05-06 14:45:00, $2,278.08, SELL, $100,061.24, $0.00, $-1.83, $61.24
2021-05-06 14:50:00, $2,290.44, BUY, $97,770.80, $2,290.44, $0.00, $61.24
2021-05-06 14:55:00, $2,309.57, HOLD, $97,770.80, $2,290.44, $0.00, $61.24
2021-05-07 08:30:00, $2,329.92, BUY, $95,440.88, $4,620.36, $0.00, $61.24
2021-05-07 08:35:00, $2,337.83, HOLD, $95,440.88, $4,620.36, $0.00, $61.24
2021-05-07 08:40:00, $2,342.23, BUY, $93,098.65, $6,962.59, $0.00, $61.24
2021-05-07 08:45:00, $2,344.58, HOLD, $93,098.65, $6,962.59, $0.00, $61.24
2021-05-07 08:50:00, $2,344.71, BUY, $90,753.94, $9,307.31, $0.00, $61.24
2021-05-07 08:55:00, $2,339.92, SELL, $100,113.62, $0.00, $-4.79, $113.61
2021-05-07 09:00:00, $2,339.28, HOLD, $100,113.62, $0.00, $0.00, $113.61
2021-05-07 09:05:00, $2,339.85, BUY, $97,773.76, $2,339.85, $0.00, $113.61
2021-05-07 09:10:00, $2,340.92, HOLD, $97,773.76, $2,339.85, $0.00, $113.61
2021-05-07 09:15:00, $2,341.54, BUY, $95,432.22, $4,681.39, $0.00, $113.61
2021-05-07 09:20:00, $2,341.75, HOLD, $95,432.22, $4,681.39, $0.00, $113.61
2021-05-07 09:25:00, $2,345.53, BUY, $93,086.69, $7,026.92, $0.00, $113.61
2021-05-07 09:30:00, $2,347.20, HOLD, $93,086.69, $7,026.92, $0.00, $113.61
2021-05-07 09:35:00, $2,348.43, BUY, $90,738.27, $9,375.35, $0.00, $113.61
2021-05-07 09:40:00, $2,345.02, SELL, $100,118.35, $0.00, $-3.41, $118.35
2021-05-07 09:45:00, $2,345.70, BUY, $97,772.66, $2,345.70, $0.00, $118.35
2021-05-07 09:50:00, $2,347.39, HOLD, $97,772.66, $2,345.70, $0.00, $118.35
2021-05-07 09:55:00, $2,349.45, BUY, $95,423.21, $4,695.15, $0.00, $118.35
2021-05-07 10:00:00, $2,348.90, SELL, $100,121.01, $0.00, $-0.55, $121.01
2021-05-07 10:05:00, $2,351.35, BUY, $97,769.66, $2,351.35, $0.00, $121.01
2021-05-07 10:10:00, $2,354.33, HOLD, $97,769.66, $2,351.35, $0.00, $121.01
2021-05-07 10:20:00, $2,357.01, BUY, $95,412.65, $4,708.36, $0.00, $121.01
2021-05-07 10:25:00, $2,357.16, HOLD, $95,412.65, $4,708.36, $0.00, $121.01
2021-05-07 10:35:00, $2,358.41, BUY, $93,054.24, $7,066.77, $0.00, $121.01
2021-05-07 10:40:00, $2,357.34, SELL, $100,126.27, $0.00, $-1.06, $126.27
2021-05-07 10:45:00, $2,354.72, HOLD, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 10:50:00, $2,349.31, SELL, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 11:05:00, $2,342.32, HOLD, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 11:15:00, $2,336.91, SELL, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 11:40:00, $2,332.37, HOLD, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 11:55:00, $2,329.50, SELL, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 12:00:00, $2,324.33, HOLD, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 12:05:00, $2,321.03, SELL, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 12:20:00, $2,320.20, HOLD, $100,126.27, $0.00, $0.00, $126.27
2021-05-07 12:35:00, $2,321.07, BUY, $97,805.20, $2,321.07, $0.00, $126.27
2021-05-07 12:45:00, $2,319.57, SELL, $100,124.77, $0.00, $-1.50, $124.77
2021-05-07 12:50:00, $2,321.24, BUY, $97,803.53, $2,321.24, $0.00, $124.77
2021-05-07 13:00:00, $2,321.88, HOLD, $97,803.53, $2,321.24, $0.00, $124.77
2021-05-07 13:30:00, $2,321.89, BUY, $95,481.64, $4,643.13, $0.00, $124.77
2021-05-07 13:35:00, $2,319.02, SELL, $100,119.69, $0.00, $-2.87, $119.69
2021-05-07 13:40:00, $2,320.17, BUY, $97,799.51, $2,320.17, $0.00, $119.69
2021-05-07 13:45:00, $2,324.10, HOLD, $97,799.51, $2,320.17, $0.00, $119.69
2021-05-07 14:05:00, $2,326.53, BUY, $95,472.99, $4,646.70, $0.00, $119.69
2021-05-07 14:20:00, $2,325.07, SELL, $100,123.13, $0.00, $-1.46, $123.13
2021-05-07 14:25:00, $2,321.80, HOLD, $100,123.13, $0.00, $0.00, $123.13
2021-05-07 14:30:00, $2,321.28, SELL, $100,123.13, $0.00, $0.00, $123.13
2021-05-07 14:35:00, $2,322.49, BUY, $97,800.63, $2,322.49, $0.00, $123.13
2021-05-07 14:40:00, $2,326.64, HOLD, $97,800.63, $2,322.49, $0.00, $123.13
2021-05-07 14:45:00, $2,328.16, BUY, $95,472.47, $4,650.66, $0.00, $123.13
2021-05-07 14:50:00, $2,326.23, SELL, $100,124.92, $0.00, $-1.94, $124.92
2021-05-07 14:55:00, $2,319.94, HOLD, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 08:30:00, $2,313.78, SELL, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 08:50:00, $2,309.25, HOLD, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:10:00, $2,306.11, SELL, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:15:00, $2,304.02, HOLD, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:20:00, $2,301.80, SELL, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:30:00, $2,298.93, HOLD, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:35:00, $2,294.68, SELL, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:40:00, $2,291.87, HOLD, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:45:00, $2,290.48, SELL, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 09:55:00, $2,289.20, HOLD, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 10:00:00, $2,285.63, SELL, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 10:10:00, $2,282.67, HOLD, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 10:15:00, $2,280.41, SELL, $100,124.92, $0.00, $0.00, $124.92
2021-05-10 10:20:00, $2,281.15, BUY, $97,843.77, $2,281.15, $0.00, $124.92
2021-05-10 10:25:00, $2,282.94, HOLD, $97,843.77, $2,281.15, $0.00, $124.92
2021-05-10 10:30:00, $2,284.91, BUY, $95,558.86, $4,566.06, $0.00, $124.92
2021-05-10 10:35:00, $2,287.51, HOLD, $95,558.86, $4,566.06, $0.00, $124.92
2021-05-10 10:40:00, $2,288.67, BUY, $93,270.19, $6,854.73, $0.00, $124.92
2021-05-10 10:45:00, $2,291.42, HOLD, $93,270.19, $6,854.73, $0.00, $124.92
2021-05-10 10:55:00, $2,291.97, BUY, $90,978.22, $9,146.70, $0.00, $124.92
2021-05-10 11:00:00, $2,293.23, HOLD, $90,978.22, $9,146.70, $0.00, $124.92
2021-05-10 11:05:00, $2,293.20, SELL, $100,151.04, $0.00, $1.24, $151.04
2021-05-10 11:10:00, $2,292.77, HOLD, $100,151.04, $0.00, $0.00, $151.04
2021-05-10 11:15:00, $2,291.84, SELL, $100,151.04, $0.00, $0.00, $151.04
2021-05-10 11:20:00, $2,288.96, HOLD, $100,151.04, $0.00, $0.00, $151.04
2021-05-10 11:25:00, $2,287.12, SELL, $100,151.04, $0.00, $0.00, $151.04
2021-05-10 11:35:00, $2,284.36, HOLD, $100,151.04, $0.00, $0.00, $151.04
2021-05-10 11:50:00, $2,285.07, BUY, $97,865.97, $2,285.07, $0.00, $151.04
2021-05-10 12:05:00, $2,284.66, SELL, $100,150.64, $0.00, $-0.41, $150.64
2021-05-10 12:15:00, $2,286.29, BUY, $97,864.35, $2,286.29, $0.00, $150.64
2021-05-10 12:20:00, $2,286.07, SELL, $100,150.42, $0.00, $-0.22, $150.42
2021-05-10 12:30:00, $2,285.67, HOLD, $100,150.42, $0.00, $0.00, $150.42
2021-05-10 12:50:00, $2,283.57, SELL, $100,150.42, $0.00, $0.00, $150.42
2021-05-10 12:55:00, $2,284.12, BUY, $97,866.29, $2,284.12, $0.00, $150.42
2021-05-10 13:00:00, $2,284.23, HOLD, $97,866.29, $2,284.12, $0.00, $150.42
