Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $1,670.40, BUY, $98,329.60, $1,670.40, $0.00, $0.00
2019-05-29 23:00:00, $1,658.66, SELL, $99,988.26, $0.00, $-11.74, $-11.74
2019-05-30 23:00:00, $1,684.39, BUY, $98,303.87, $1,684.39, $0.00, $-11.74
2019-06-02 23:00:00, $1,721.13, HOLD, $98,303.87, $1,684.39, $0.00, $-11.74
2019-06-03 23:00:00, $1,755.76, BUY, $96,548.12, $3,440.14, $0.00, $-11.74
2019-06-04 23:00:00, $1,766.03, HOLD, $96,548.12, $3,440.14, $0.00, $-11.74
2019-06-05 23:00:00, $1,771.38, BUY, $94,776.74, $5,211.52, $0.00, $-11.74
2019-06-06 23:00:00, $1,787.73, HOLD, $94,776.74, $5,211.52, $0.00, $-11.74
2019-06-09 23:00:00, $1,794.86, BUY, $92,981.88, $7,006.38, $0.00, $-11.74
2019-06-10 23:00:00, $1,804.23, HOLD, $92,981.88, $7,006.38, $0.00, $-11.74
2019-06-11 23:00:00, $1,794.85, SELL, $100,161.27, $0.00, $-0.01, $161.27
2019-06-12 23:00:00, $1,788.67, HOLD, $100,161.27, $0.00, $0.00, $161.27
2019-06-13 23:00:00, $1,788.90, BUY, $98,372.37, $1,788.90, $0.00, $161.27
2019-06-16 23:00:00, $1,811.09, HOLD, $98,372.37, $1,788.90, $0.00, $161.27
2019-06-17 23:00:00, $1,837.82, BUY, $96,534.54, $3,626.72, $0.00, $161.27
2019-06-18 23:00:00, $1,861.12, HOLD, $96,534.54, $3,626.72, $0.00, $161.27
2019-06-19 23:00:00, $1,870.89, BUY, $94,663.65, $5,497.61, $0.00, $161.27
2019-06-20 23:00:00, $1,865.97, SELL, $100,261.56, $0.00, $-4.92, $261.56
2019-06-23 23:00:00, $1,849.37, HOLD, $100,261.56, $0.00, $0.00, $261.56
2019-06-24 23:00:00, $1,840.67, SELL, $100,261.56, $0.00, $0.00, $261.56
2019-06-25 23:00:00, $1,850.06, BUY, $98,411.50, $1,850.06, $0.00, $261.56
2019-06-26 23:00:00, $1,872.35, HOLD, $98,411.50, $1,850.06, $0.00, $261.56
2019-06-27 23:00:00, $1,893.46, BUY, $96,518.04, $3,743.52, $0.00, $261.56
2019-06-30 23:00:00, $1,908.88, HOLD, $96,518.04, $3,743.52, $0.00, $261.56
2019-07-01 23:00:00, $1,918.29, BUY, $94,599.74, $5,661.82, $0.00, $261.56
2019-07-02 23:00:00, $1,907.46, SELL, $100,322.13, $0.00, $-10.83, $322.13
2019-07-04 23:00:00, $1,893.09, HOLD, $100,322.13, $0.00, $0.00, $322.13
2019-07-07 23:00:00, $1,874.30, SELL, $100,322.13, $0.00, $0.00, $322.13
2019-07-08 23:00:00, $1,873.41, HOLD, $100,322.13, $0.00, $0.00, $322.13
2019-07-09 23:00:00, $1,874.70, BUY, $98,447.43, $1,874.70, $0.00, $322.13
2019-07-10 23:00:00, $1,879.02, HOLD, $98,447.43, $1,874.70, $0.00, $322.13
2019-07-11 23:00:00, $1,884.18, BUY, $96,563.26, $3,758.87, $0.00, $322.13
2019-07-14 23:00:00, $1,879.16, SELL, $100,321.58, $0.00, $-5.01, $321.58
2019-07-15 23:00:00, $1,880.50, BUY, $98,441.09, $1,880.50, $0.00, $321.58
2019-07-16 23:00:00, $1,878.53, SELL, $100,319.62, $0.00, $-1.96, $319.62
2019-07-17 23:00:00, $1,887.22, BUY, $98,432.40, $1,887.22, $0.00, $319.62
2019-07-18 23:00:00, $1,891.91, HOLD, $98,432.40, $1,887.22, $0.00, $319.62
2019-07-21 23:00:00, $1,904.12, BUY, $96,528.28, $3,791.34, $0.00, $319.62
2019-07-22 23:00:00, $1,915.64, HOLD, $96,528.28, $3,791.34, $0.00, $319.62
2019-07-23 23:00:00, $1,937.92, BUY, $94,590.35, $5,729.27, $0.00, $319.62
2019-07-24 23:00:00, $1,937.98, HOLD, $94,590.35, $5,729.27, $0.00, $319.62
2019-07-25 23:00:00, $1,934.28, SELL, $100,393.20, $0.00, $-3.64, $393.20
2019-07-28 23:00:00, $1,907.54, HOLD, $100,393.20, $0.00, $0.00, $393.20
2019-07-29 23:00:00, $1,894.23, SELL, $100,393.20, $0.00, $0.00, $393.20
2019-07-30 23:00:00, $1,870.90, HOLD, $100,393.20, $0.00, $0.00, $393.20
2019-07-31 23:00:00, $1,838.03, SELL, $100,393.20, $0.00, $0.00, $393.20
2019-08-01 23:00:00, $1,806.45, HOLD, $100,393.20, $0.00, $0.00, $393.20
2019-08-04 23:00:00, $1,798.50, SELL, $100,393.20, $0.00, $0.00, $393.20
2019-08-05 23:00:00, $1,849.52, BUY, $98,543.69, $1,849.52, $0.00, $393.20
2019-08-06 23:00:00, $1,893.96, HOLD, $98,543.69, $1,849.52, $0.00, $393.20
2019-08-07 23:00:00, $1,925.63, BUY, $96,618.06, $3,775.14, $0.00, $393.20
2019-08-08 23:00:00, $1,926.54, HOLD, $96,618.06, $3,775.14, $0.00, $393.20
2019-08-11 23:00:00, $1,917.29, SELL, $100,452.64, $0.00, $-8.34, $452.64
2019-08-12 23:00:00, $1,913.66, HOLD, $100,452.64, $0.00, $0.00, $452.64
2019-08-13 23:00:00, $1,906.53, SELL, $100,452.64, $0.00, $0.00, $452.64
2019-08-14 23:00:00, $1,924.54, BUY, $98,528.10, $1,924.54, $0.00, $452.64
2019-08-15 23:00:00, $1,934.28, HOLD, $98,528.10, $1,924.54, $0.00, $452.64
2019-08-18 23:00:00, $1,945.45, BUY, $96,582.65, $3,869.99, $0.00, $452.64
2019-08-19 23:00:00, $1,947.58, HOLD, $96,582.65, $3,869.99, $0.00, $452.64
2019-08-20 23:00:00, $1,935.41, SELL, $100,453.47, $0.00, $-10.04, $453.47
2019-08-21 23:00:00, $1,922.65, HOLD, $100,453.47, $0.00, $0.00, $453.47
2019-08-22 23:00:00, $1,912.26, SELL, $100,453.47, $0.00, $0.00, $453.47
2019-08-25 23:00:00, $1,926.50, BUY, $98,526.97, $1,926.50, $0.00, $453.47
2019-08-26 23:00:00, $1,939.33, HOLD, $98,526.97, $1,926.50, $0.00, $453.47
2019-08-27 23:00:00, $1,954.45, BUY, $96,572.52, $3,880.95, $0.00, $453.47
2019-08-28 23:00:00, $1,954.40, SELL, $100,481.32, $0.00, $-0.05, $481.32
2019-08-29 23:00:00, $1,954.97, BUY, $98,526.36, $1,954.97, $0.00, $481.32
2019-09-02 23:00:00, $1,964.84, HOLD, $98,526.36, $1,954.97, $0.00, $481.32
2019-09-03 23:00:00, $1,973.66, BUY, $96,552.70, $3,928.62, $0.00, $481.32
2019-09-04 23:00:00, $1,985.36, HOLD, $96,552.70, $3,928.62, $0.00, $481.32
2019-09-05 23:00:00, $1,993.03, BUY, $94,559.67, $5,921.65, $0.00, $481.32
2019-09-08 23:00:00, $2,020.18, HOLD, $94,559.67, $5,921.65, $0.00, $481.32
2019-09-09 23:00:00, $2,036.25, BUY, $92,523.42, $7,957.90, $0.00, $481.32
2019-09-10 23:00:00, $2,051.58, HOLD, $92,523.42, $7,957.90, $0.00, $481.32
2019-09-11 23:00:00, $2,059.05, BUY, $90,464.37, $10,016.95, $0.00, $481.32
2019-09-12 23:00:00, $2,071.40, HOLD, $90,464.37, $10,016.95, $0.00, $481.32
2019-09-15 23:00:00, $2,069.28, SELL, $100,810.77, $0.00, $10.23, $810.77
2019-09-16 23:00:00, $2,064.78, HOLD, $100,810.77, $0.00, $0.00, $810.77
2019-09-17 23:00:00, $2,048.53, SELL, $100,810.77, $0.00, $0.00, $810.77
2019-09-18 23:00:00, $2,032.30, HOLD, $100,810.77, $0.00, $0.00, $810.77
2019-09-19 23:00:00, $2,009.86, SELL, $100,810.77, $0.00, $0.00, $810.77
2019-09-22 23:00:00, $1,997.58, HOLD, $100,810.77, $0.00, $0.00, $810.77
2019-09-23 23:00:00, $1,987.36, SELL, $100,810.77, $0.00, $0.00, $810.77
2019-09-24 23:00:00, $1,970.98, HOLD, $100,810.77, $0.00, $0.00, $810.77
2019-09-25 23:00:00, $1,960.91, SELL, $100,810.77, $0.00, $0.00, $810.77
2019-09-26 23:00:00, $1,961.50, BUY, $98,849.27, $1,961.50, $0.00, $810.77
2019-09-29 23:00:00, $1,960.79, SELL, $100,810.06, $0.00, $-0.71, $810.06
2019-09-30 23:00:00, $1,960.47, HOLD, $100,810.06, $0.00, $0.00, $810.06
2019-10-01 23:00:00, $1,960.93, BUY, $98,849.13, $1,960.93, $0.00, $810.06
2019-10-02 23:00:00, $1,964.91, HOLD, $98,849.13, $1,960.93, $0.00, $810.06
2019-10-03 23:00:00, $1,956.97, SELL, $100,806.10, $0.00, $-3.96, $806.10
2019-10-06 23:00:00, $1,944.21, HOLD, $100,806.10, $0.00, $0.00, $806.10
2019-10-07 23:00:00, $1,948.33, BUY, $98,857.77, $1,948.33, $0.00, $806.10
2019-10-08 23:00:00, $1,960.87, HOLD, $98,857.77, $1,948.33, $0.00, $806.10
2019-10-09 23:00:00, $1,976.50, BUY, $96,881.27, $3,924.83, $0.00, $806.10
2019-10-10 23:00:00, $1,993.90, HOLD, $96,881.27, $3,924.83, $0.00, $806.10
2019-10-13 23:00:00, $2,011.50, BUY, $94,869.77, $5,936.33, $0.00, $806.10
2019-10-14 23:00:00, $2,024.86, HOLD, $94,869.77, $5,936.33, $0.00, $806.10
2019-10-15 23:00:00, $2,023.76, SELL, $100,941.06, $0.00, $12.27, $941.06
2019-10-16 23:00:00, $2,021.84, HOLD, $100,941.06, $0.00, $0.00, $941.06
2019-10-17 23:00:00, $2,019.84, SELL, $100,941.06, $0.00, $0.00, $941.06
2019-10-20 23:00:00, $2,025.80, BUY, $98,915.26, $2,025.80, $0.00, $941.06
2019-10-21 23:00:00, $2,032.84, HOLD, $98,915.26, $2,025.80, $0.00, $941.06
2019-10-22 23:00:00, $2,043.44, BUY, $96,871.82, $4,069.24, $0.00, $941.06
2019-10-23 23:00:00, $2,052.58, HOLD, $96,871.82, $4,069.24, $0.00, $941.06
2019-10-24 23:00:00, $2,052.34, SELL, $100,976.50, $0.00, $8.90, $976.50
2019-10-27 23:00:00, $2,049.55, HOLD, $100,976.50, $0.00, $0.00, $976.50
2019-10-28 23:00:00, $2,046.32, SELL, $100,976.50, $0.00, $0.00, $976.50
2019-10-29 23:00:00, $2,042.91, HOLD, $100,976.50, $0.00, $0.00, $976.50
2019-10-30 23:00:00, $2,029.54, SELL, $100,976.50, $0.00, $0.00, $976.50
2019-10-31 23:00:00, $2,021.90, HOLD, $100,976.50, $0.00, $0.00, $976.50
2019-11-03 23:00:00, $2,015.06, SELL, $100,976.50, $0.00, $0.00, $976.50
2019-11-04 23:00:00, $1,961.99, HOLD, $100,976.50, $0.00, $0.00, $976.50
2019-11-05 23:00:00, $1,912.97, SELL, $100,976.50, $0.00, $0.00, $976.50
2019-11-06 23:00:00, $1,874.05, HOLD, $100,976.50, $0.00, $0.00, $976.50
2019-11-07 23:00:00, $1,883.65, BUY, $99,092.85, $1,883.65, $0.00, $976.50
2019-11-10 23:00:00, $1,876.95, SELL, $100,969.80, $0.00, $-6.70, $969.80
2019-11-11 23:00:00, $1,867.08, HOLD, $100,969.80, $0.00, $0.00, $969.80
2019-11-12 23:00:00, $1,857.44, SELL, $100,969.80, $0.00, $0.00, $969.80
2019-11-13 23:00:00, $1,850.64, HOLD, $100,969.80, $0.00, $0.00, $969.80
2019-11-14 23:00:00, $1,844.48, SELL, $100,969.80, $0.00, $0.00, $969.80
2019-11-17 23:00:00, $1,845.72, BUY, $99,124.07, $1,845.72, $0.00, $969.80
2019-11-18 23:00:00, $1,857.40, HOLD, $99,124.07, $1,845.72, $0.00, $969.80
2019-11-19 23:00:00, $1,867.73, BUY, $97,256.34, $3,713.46, $0.00, $969.80
2019-11-20 23:00:00, $1,883.46, HOLD, $97,256.34, $3,713.46, $0.00, $969.80
2019-11-21 23:00:00, $1,887.70, BUY, $95,368.64, $5,601.16, $0.00, $969.80
2019-11-24 23:00:00, $1,897.56, HOLD, $95,368.64, $5,601.16, $0.00, $969.80
2019-11-25 23:00:00, $1,898.76, BUY, $93,469.88, $7,499.92, $0.00, $969.80
2019-11-26 23:00:00, $1,898.23, SELL, $101,062.81, $0.00, $-0.53, $1,062.81
2019-11-28 23:00:00, $1,888.16, HOLD, $101,062.81, $0.00, $0.00, $1,062.81
2019-12-01 23:00:00, $1,894.96, BUY, $99,167.85, $1,894.96, $0.00, $1,062.81
2019-12-02 23:00:00, $1,901.59, HOLD, $99,167.85, $1,894.96, $0.00, $1,062.81
2019-12-03 23:00:00, $1,919.51, BUY, $97,248.34, $3,814.47, $0.00, $1,062.81
2019-12-04 23:00:00, $1,913.58, SELL, $101,075.50, $0.00, $-5.93, $1,075.50
2019-12-05 23:00:00, $1,913.65, BUY, $99,161.85, $1,913.65, $0.00, $1,075.50
2019-12-08 23:00:00, $1,911.87, SELL, $101,073.72, $0.00, $-1.78, $1,073.72
2019-12-09 23:00:00, $1,926.70, BUY, $99,147.03, $1,926.70, $0.00, $1,073.72
2019-12-10 23:00:00, $1,950.12, HOLD, $99,147.03, $1,926.70, $0.00, $1,073.72
2019-12-11 23:00:00, $1,972.79, BUY, $97,174.23, $3,899.49, $0.00, $1,073.72
2019-12-12 23:00:00, $1,990.25, HOLD, $97,174.23, $3,899.49, $0.00, $1,073.72
2019-12-15 23:00:00, $1,995.84, BUY, $95,178.39, $5,895.33, $0.00, $1,073.72
2019-12-16 23:00:00, $1,998.92, HOLD, $95,178.39, $5,895.33, $0.00, $1,073.72
2019-12-17 23:00:00, $2,005.60, BUY, $93,172.79, $7,900.93, $0.00, $1,073.72
2019-12-18 23:00:00, $2,019.09, HOLD, $93,172.79, $7,900.93, $0.00, $1,073.72
2019-12-19 23:00:00, $2,032.69, BUY, $91,140.10, $9,933.62, $0.00, $1,073.72
2019-12-22 23:00:00, $2,047.38, HOLD, $91,140.10, $9,933.62, $0.00, $1,073.72
2019-12-23 23:00:00, $2,060.98, BUY, $89,079.12, $11,994.60, $0.00, $1,073.72
2019-12-25 23:00:00, $2,064.51, HOLD, $89,079.12, $11,994.60, $0.00, $1,073.72
2019-12-26 23:00:00, $2,060.34, SELL, $101,441.16, $0.00, $-0.64, $1,441.16
2019-12-29 23:00:00, $2,060.83, BUY, $99,380.34, $2,060.83, $0.00, $1,441.16
2019-12-30 23:00:00, $2,064.63, HOLD, $99,380.34, $2,060.83, $0.00, $1,441.16
2020-01-01 23:00:00, $2,062.26, SELL, $101,442.60, $0.00, $1.44, $1,442.60
2020-01-02 23:00:00, $2,060.09, HOLD, $101,442.60, $0.00, $0.00, $1,442.60
2020-01-05 23:00:00, $2,058.98, SELL, $101,442.60, $0.00, $0.00, $1,442.60
2020-01-06 23:00:00, $2,071.92, BUY, $99,370.68, $2,071.92, $0.00, $1,442.60
2020-01-07 23:00:00, $2,078.29, HOLD, $99,370.68, $2,071.92, $0.00, $1,442.60
2020-01-08 23:00:00, $2,084.13, BUY, $97,286.55, $4,156.05, $0.00, $1,442.60
2020-01-09 23:00:00, $2,079.55, SELL, $101,445.66, $0.00, $-4.57, $1,445.66
2020-01-12 23:00:00, $2,072.02, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-13 23:00:00, $2,063.32, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-14 23:00:00, $2,057.03, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-15 23:00:00, $2,032.68, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-16 23:00:00, $2,014.79, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-20 23:00:00, $1,994.93, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-21 23:00:00, $1,985.30, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-22 23:00:00, $1,954.84, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-23 23:00:00, $1,929.58, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-26 23:00:00, $1,906.61, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-27 23:00:00, $1,894.07, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-28 23:00:00, $1,864.91, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-29 23:00:00, $1,847.09, HOLD, $101,445.66, $0.00, $0.00, $1,445.66
2020-01-30 23:00:00, $1,844.52, SELL, $101,445.66, $0.00, $0.00, $1,445.66
2020-02-02 23:00:00, $1,880.95, BUY, $99,564.71, $1,880.95, $0.00, $1,445.66
2020-02-03 23:00:00, $1,921.64, HOLD, $99,564.71, $1,880.95, $0.00, $1,445.66
2020-02-04 23:00:00, $1,936.76, BUY, $97,627.94, $3,817.71, $0.00, $1,445.66
2020-02-05 23:00:00, $1,919.61, SELL, $101,467.17, $0.00, $-17.15, $1,467.17
2020-02-06 23:00:00, $1,902.17, HOLD, $101,467.17, $0.00, $0.00, $1,467.17
2020-02-09 23:00:00, $1,919.62, BUY, $99,547.55, $1,919.62, $0.00, $1,467.17
2020-02-10 23:00:00, $1,943.51, HOLD, $99,547.55, $1,919.62, $0.00, $1,467.17
