Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 09:50:00, $120.83, BUY, $99,879.17, $120.83, $0.00, $0.00
2021-05-19 09:55:00, $120.92, HOLD, $99,879.17, $120.83, $0.00, $0.00
2021-05-19 10:00:00, $121.11, BUY, $99,758.05, $241.95, $0.00, $0.00
2021-05-19 10:05:00, $121.32, HOLD, $99,758.05, $241.95, $0.00, $0.00
2021-05-19 10:10:00, $121.42, BUY, $99,636.63, $363.37, $0.00, $0.00
2021-05-19 10:15:00, $121.34, SELL, $100,000.64, $0.00, $-0.09, $0.64
2021-05-19 10:20:00, $121.22, HOLD, $100,000.64, $0.00, $0.00, $0.64
2021-05-19 10:25:00, $121.08, SELL, $100,000.64, $0.00, $0.00, $0.64
2021-05-19 10:30:00, $121.00, HOLD, $100,000.64, $0.00, $0.00, $0.64
2021-05-19 10:35:00, $121.03, BUY, $99,879.61, $121.03, $0.00, $0.64
2021-05-19 10:40:00, $120.98, SELL, $100,000.59, $0.00, $-0.05, $0.59
2021-05-19 10:45:00, $120.88, HOLD, $100,000.59, $0.00, $0.00, $0.59
2021-05-19 10:50:00, $120.86, SELL, $100,000.59, $0.00, $0.00, $0.59
2021-05-19 10:55:00, $120.93, BUY, $99,879.67, $120.93, $0.00, $0.59
2021-05-19 11:00:00, $121.18, HOLD, $99,879.67, $120.93, $0.00, $0.59
2021-05-19 11:05:00, $121.39, BUY, $99,758.27, $242.32, $0.00, $0.59
2021-05-19 11:10:00, $121.49, HOLD, $99,758.27, $242.32, $0.00, $0.59
2021-05-19 11:15:00, $121.47, SELL, $100,001.22, $0.00, $0.08, $1.22
2021-05-19 11:20:00, $121.40, HOLD, $100,001.22, $0.00, $0.00, $1.22
2021-05-19 11:25:00, $121.34, SELL, $100,001.22, $0.00, $0.00, $1.22
2021-05-19 11:30:00, $121.30, HOLD, $100,001.22, $0.00, $0.00, $1.22
2021-05-19 11:35:00, $121.24, SELL, $100,001.22, $0.00, $0.00, $1.22
2021-05-19 11:40:00, $121.24, SELL, $100,001.22, $0.00, $0.00, $1.22
2021-05-19 11:45:00, $121.24, BUY, $99,879.98, $121.24, $0.00, $1.22
2021-05-19 11:50:00, $121.35, HOLD, $99,879.98, $121.24, $0.00, $1.22
2021-05-19 11:55:00, $121.53, BUY, $99,758.45, $242.77, $0.00, $1.22
2021-05-19 12:00:00, $121.72, HOLD, $99,758.45, $242.77, $0.00, $1.22
2021-05-19 12:05:00, $121.87, BUY, $99,636.58, $364.63, $0.00, $1.22
2021-05-19 12:10:00, $121.89, HOLD, $99,636.58, $364.63, $0.00, $1.22
2021-05-19 12:15:00, $121.86, SELL, $100,002.15, $0.00, $-0.01, $2.15
2021-05-19 12:20:00, $121.64, HOLD, $100,002.15, $0.00, $0.00, $2.15
2021-05-19 12:25:00, $121.52, SELL, $100,002.15, $0.00, $0.00, $2.15
2021-05-19 12:30:00, $121.37, HOLD, $100,002.15, $0.00, $0.00, $2.15
2021-05-19 12:35:00, $121.38, BUY, $99,880.78, $121.38, $0.00, $2.15
2021-05-19 12:40:00, $121.39, HOLD, $99,880.78, $121.38, $0.00, $2.15
2021-05-19 12:45:00, $121.38, SELL, $100,002.16, $0.00, $0.00, $2.16
2021-05-19 12:50:00, $121.33, HOLD, $100,002.16, $0.00, $0.00, $2.16
2021-05-19 12:55:00, $121.26, SELL, $100,002.16, $0.00, $0.00, $2.16
2021-05-19 13:00:00, $121.20, HOLD, $100,002.16, $0.00, $0.00, $2.16
2021-05-19 13:05:00, $121.18, SELL, $100,002.16, $0.00, $0.00, $2.16
2021-05-19 13:10:00, $121.50, BUY, $99,880.66, $121.50, $0.00, $2.16
2021-05-19 13:15:00, $121.81, HOLD, $99,880.66, $121.50, $0.00, $2.16
2021-05-19 13:20:00, $122.17, BUY, $99,758.48, $243.68, $0.00, $2.16
2021-05-19 13:25:00, $122.06, SELL, $100,002.59, $0.00, $-0.12, $2.59
2021-05-19 13:30:00, $121.99, HOLD, $100,002.59, $0.00, $0.00, $2.59
2021-05-19 13:35:00, $121.79, SELL, $100,002.59, $0.00, $0.00, $2.59
2021-05-19 13:40:00, $121.68, HOLD, $100,002.59, $0.00, $0.00, $2.59
2021-05-19 13:45:00, $121.61, SELL, $100,002.59, $0.00, $0.00, $2.59
2021-05-19 13:50:00, $121.55, HOLD, $100,002.59, $0.00, $0.00, $2.59
2021-05-19 13:55:00, $121.55, HOLD, $100,002.59, $0.00, $0.00, $2.59
2021-05-19 14:00:00, $121.52, SELL, $100,002.59, $0.00, $0.00, $2.59
2021-05-19 14:05:00, $121.57, BUY, $99,881.02, $121.57, $0.00, $2.59
2021-05-19 14:10:00, $121.62, HOLD, $99,881.02, $121.57, $0.00, $2.59
2021-05-19 14:15:00, $121.68, BUY, $99,759.34, $243.26, $0.00, $2.59
2021-05-19 14:20:00, $121.74, HOLD, $99,759.34, $243.26, $0.00, $2.59
2021-05-19 14:25:00, $121.70, SELL, $100,002.74, $0.00, $0.02, $2.74
2021-05-19 14:30:00, $121.62, HOLD, $100,002.74, $0.00, $0.00, $2.74
2021-05-19 14:35:00, $121.53, SELL, $100,002.74, $0.00, $0.00, $2.74
2021-05-19 14:40:00, $121.67, BUY, $99,881.07, $121.67, $0.00, $2.74
2021-05-19 14:45:00, $121.95, HOLD, $99,881.07, $121.67, $0.00, $2.74
2021-05-19 14:50:00, $122.97, BUY, $99,758.10, $244.64, $0.00, $2.74
2021-05-19 14:55:00, $123.97, HOLD, $99,758.10, $244.64, $0.00, $2.74
2021-05-20 08:30:00, $125.06, BUY, $99,633.04, $369.70, $0.00, $2.74
2021-05-20 08:35:00, $125.39, HOLD, $99,633.04, $369.70, $0.00, $2.74
2021-05-20 08:40:00, $125.56, BUY, $99,507.48, $495.26, $0.00, $2.74
2021-05-20 08:45:00, $125.40, SELL, $100,009.07, $0.00, $-0.16, $9.07
2021-05-20 08:50:00, $125.40, HOLD, $100,009.07, $0.00, $0.00, $9.07
2021-05-20 08:55:00, $125.21, SELL, $100,009.07, $0.00, $0.00, $9.07
2021-05-20 09:00:00, $125.14, HOLD, $100,009.07, $0.00, $0.00, $9.07
2021-05-20 09:05:00, $125.06, SELL, $100,009.07, $0.00, $0.00, $9.07
2021-05-20 09:10:00, $125.14, BUY, $99,883.94, $125.14, $0.00, $9.07
2021-05-20 09:15:00, $125.23, HOLD, $99,883.94, $125.14, $0.00, $9.07
2021-05-20 09:20:00, $125.26, BUY, $99,758.67, $250.40, $0.00, $9.07
2021-05-20 09:25:00, $125.27, HOLD, $99,758.67, $250.40, $0.00, $9.07
2021-05-20 09:30:00, $125.31, BUY, $99,633.36, $375.71, $0.00, $9.07
2021-05-20 09:35:00, $125.38, HOLD, $99,633.36, $375.71, $0.00, $9.07
2021-05-20 09:40:00, $125.52, BUY, $99,507.84, $501.23, $0.00, $9.07
2021-05-20 09:45:00, $125.54, HOLD, $99,507.84, $501.23, $0.00, $9.07
2021-05-20 09:50:00, $125.47, SELL, $100,009.71, $0.00, $-0.05, $9.71
2021-05-20 09:55:00, $125.41, HOLD, $100,009.71, $0.00, $0.00, $9.71
2021-05-20 10:00:00, $125.41, HOLD, $100,009.71, $0.00, $0.00, $9.71
2021-05-20 10:05:00, $125.46, BUY, $99,884.24, $125.46, $0.00, $9.71
2021-05-20 10:10:00, $125.49, HOLD, $99,884.24, $125.46, $0.00, $9.71
2021-05-20 10:15:00, $125.58, BUY, $99,758.66, $251.05, $0.00, $9.71
2021-05-20 10:20:00, $125.60, HOLD, $99,758.66, $251.05, $0.00, $9.71
2021-05-20 10:25:00, $125.60, SELL, $100,009.85, $0.00, $0.01, $9.85
2021-05-20 10:30:00, $125.66, BUY, $99,884.19, $125.66, $0.00, $9.85
