Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-11-23 23:00:00, $113.43, BUY, $99,886.57, $113.43, $0.00, $0.00
2020-11-24 23:00:00, $115.30, HOLD, $99,886.57, $113.43, $0.00, $0.00
2020-11-26 23:00:00, $116.18, BUY, $99,770.39, $229.61, $0.00, $0.00
2020-11-29 23:00:00, $116.11, SELL, $100,002.62, $0.00, $-0.07, $2.62
2020-11-30 23:00:00, $116.24, BUY, $99,886.38, $116.24, $0.00, $2.62
2020-12-01 23:00:00, $117.13, HOLD, $99,886.38, $116.24, $0.00, $2.62
2020-12-02 23:00:00, $118.01, BUY, $99,768.36, $234.25, $0.00, $2.62
2020-12-03 23:00:00, $118.59, HOLD, $99,768.36, $234.25, $0.00, $2.62
2020-12-06 23:00:00, $117.64, SELL, $100,003.64, $0.00, $-0.38, $3.64
2020-12-07 23:00:00, $117.10, HOLD, $100,003.64, $0.00, $0.00, $3.64
2020-12-08 23:00:00, $117.11, BUY, $99,886.53, $117.11, $0.00, $3.64
2020-12-09 23:00:00, $119.07, HOLD, $99,886.53, $117.11, $0.00, $3.64
2020-12-10 23:00:00, $120.87, BUY, $99,765.66, $237.98, $0.00, $3.64
2020-12-13 23:00:00, $123.20, HOLD, $99,765.66, $237.98, $0.00, $3.64
2020-12-14 23:00:00, $125.19, BUY, $99,640.47, $363.16, $0.00, $3.64
2020-12-15 23:00:00, $128.27, HOLD, $99,640.47, $363.16, $0.00, $3.64
2020-12-16 23:00:00, $130.37, BUY, $99,510.10, $493.53, $0.00, $3.64
2020-12-17 23:00:00, $132.72, HOLD, $99,510.10, $493.53, $0.00, $3.64
2020-12-20 23:00:00, $133.05, BUY, $99,377.05, $626.59, $0.00, $3.64
2020-12-21 23:00:00, $133.79, HOLD, $99,377.05, $626.59, $0.00, $3.64
2020-12-22 23:00:00, $133.93, BUY, $99,243.12, $760.51, $0.00, $3.64
2020-12-23 23:00:00, $134.23, HOLD, $99,243.12, $760.51, $0.00, $3.64
2020-12-27 23:00:00, $134.67, BUY, $99,108.46, $895.18, $0.00, $3.64
2020-12-28 23:00:00, $135.18, HOLD, $99,108.46, $895.18, $0.00, $3.64
2020-12-29 23:00:00, $135.78, BUY, $98,972.68, $1,030.96, $0.00, $3.64
2020-12-30 23:00:00, $136.07, HOLD, $98,972.68, $1,030.96, $0.00, $3.64
2021-01-03 23:00:00, $134.17, SELL, $100,046.06, $0.00, $-1.60, $46.06
2021-01-04 23:00:00, $134.60, BUY, $99,911.46, $134.60, $0.00, $46.06
2021-01-05 23:00:00, $134.64, HOLD, $99,911.46, $134.60, $0.00, $46.06
2021-01-06 23:00:00, $135.99, BUY, $99,775.47, $270.59, $0.00, $46.06
2021-01-07 23:00:00, $134.88, SELL, $100,045.23, $0.00, $-1.11, $45.23
2021-01-10 23:00:00, $134.17, HOLD, $100,045.23, $0.00, $0.00, $45.23
2021-01-11 23:00:00, $134.43, BUY, $99,910.80, $134.43, $0.00, $45.23
2021-01-12 23:00:00, $134.73, HOLD, $99,910.80, $134.43, $0.00, $45.23
2021-01-13 23:00:00, $135.89, BUY, $99,774.91, $270.31, $0.00, $45.23
2021-01-14 23:00:00, $137.47, HOLD, $99,774.91, $270.31, $0.00, $45.23
2021-01-18 23:00:00, $138.80, BUY, $99,636.12, $409.11, $0.00, $45.23
2021-01-19 23:00:00, $138.73, SELL, $100,052.32, $0.00, $-0.06, $52.32
2021-01-20 23:00:00, $137.30, HOLD, $100,052.32, $0.00, $0.00, $52.32
2021-01-21 23:00:00, $135.72, SELL, $100,052.32, $0.00, $0.00, $52.32
2021-01-24 23:00:00, $132.68, HOLD, $100,052.32, $0.00, $0.00, $52.32
2021-01-25 23:00:00, $131.67, SELL, $100,052.32, $0.00, $0.00, $52.32
2021-01-26 23:00:00, $130.51, HOLD, $100,052.32, $0.00, $0.00, $52.32
2021-01-27 23:00:00, $132.55, BUY, $99,919.77, $132.55, $0.00, $52.32
2021-01-28 23:00:00, $133.48, HOLD, $99,919.77, $132.55, $0.00, $52.32
2021-01-31 23:00:00, $134.98, BUY, $99,784.79, $267.53, $0.00, $52.32
2021-02-01 23:00:00, $135.89, HOLD, $99,784.79, $267.53, $0.00, $52.32
2021-02-02 23:00:00, $135.93, BUY, $99,648.86, $403.46, $0.00, $52.32
2021-02-03 23:00:00, $136.84, HOLD, $99,648.86, $403.46, $0.00, $52.32
2021-02-04 23:00:00, $137.63, BUY, $99,511.23, $541.09, $0.00, $52.32
2021-02-07 23:00:00, $138.31, HOLD, $99,511.23, $541.09, $0.00, $52.32
2021-02-08 23:00:00, $140.43, BUY, $99,370.80, $681.52, $0.00, $52.32
