Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-05-27 23:00:00, $110.83, BUY, $99,889.17, $110.83, $0.00, $0.00
2020-05-28 23:00:00, $112.03, HOLD, $99,889.17, $110.83, $0.00, $0.00
2020-05-31 23:00:00, $113.41, BUY, $99,775.76, $224.24, $0.00, $0.00
2020-06-01 23:00:00, $115.03, HOLD, $99,775.76, $224.24, $0.00, $0.00
2020-06-02 23:00:00, $119.08, BUY, $99,656.68, $343.32, $0.00, $0.00
2020-06-03 23:00:00, $123.51, HOLD, $99,656.68, $343.32, $0.00, $0.00
2020-06-04 23:00:00, $126.08, BUY, $99,530.60, $469.40, $0.00, $0.00
2020-06-07 23:00:00, $124.82, SELL, $100,029.88, $0.00, $-1.26, $29.88
2020-06-08 23:00:00, $118.89, HOLD, $100,029.88, $0.00, $0.00, $29.88
2020-06-09 23:00:00, $115.07, SELL, $100,029.88, $0.00, $0.00, $29.88
2020-06-10 23:00:00, $112.50, HOLD, $100,029.88, $0.00, $0.00, $29.88
2020-06-11 23:00:00, $115.45, BUY, $99,914.43, $115.45, $0.00, $29.88
2020-06-14 23:00:00, $116.82, HOLD, $99,914.43, $115.45, $0.00, $29.88
2020-06-15 23:00:00, $117.92, BUY, $99,796.51, $233.37, $0.00, $29.88
2020-06-16 23:00:00, $117.12, SELL, $100,030.75, $0.00, $-0.80, $30.75
2020-06-17 23:00:00, $116.79, HOLD, $100,030.75, $0.00, $0.00, $30.75
2020-06-18 23:00:00, $116.36, SELL, $100,030.75, $0.00, $0.00, $30.75
2020-06-21 23:00:00, $114.54, HOLD, $100,030.75, $0.00, $0.00, $30.75
2020-06-22 23:00:00, $113.28, SELL, $100,030.75, $0.00, $0.00, $30.75
2020-06-23 23:00:00, $110.80, HOLD, $100,030.75, $0.00, $0.00, $30.75
2020-06-24 23:00:00, $111.62, BUY, $99,919.13, $111.62, $0.00, $30.75
2020-06-25 23:00:00, $112.89, HOLD, $99,919.13, $111.62, $0.00, $30.75
2020-06-28 23:00:00, $115.24, BUY, $99,803.90, $226.86, $0.00, $30.75
2020-06-29 23:00:00, $116.27, HOLD, $99,803.90, $226.86, $0.00, $30.75
2020-06-30 23:00:00, $116.71, BUY, $99,687.19, $343.56, $0.00, $30.75
2020-07-01 23:00:00, $116.24, SELL, $100,035.91, $0.00, $-0.47, $35.91
2020-07-05 23:00:00, $115.00, HOLD, $100,035.91, $0.00, $0.00, $35.91
2020-07-06 23:00:00, $113.35, SELL, $100,035.91, $0.00, $0.00, $35.91
2020-07-07 23:00:00, $113.26, HOLD, $100,035.91, $0.00, $0.00, $35.91
2020-07-08 23:00:00, $113.01, SELL, $100,035.91, $0.00, $0.00, $35.91
2020-07-09 23:00:00, $113.64, BUY, $99,922.27, $113.64, $0.00, $35.91
2020-07-12 23:00:00, $114.92, HOLD, $99,922.27, $113.64, $0.00, $35.91
2020-07-13 23:00:00, $116.26, BUY, $99,806.00, $229.91, $0.00, $35.91
2020-07-14 23:00:00, $117.63, HOLD, $99,806.00, $229.91, $0.00, $35.91
2020-07-15 23:00:00, $117.77, BUY, $99,688.23, $347.68, $0.00, $35.91
2020-07-16 23:00:00, $117.89, HOLD, $99,688.23, $347.68, $0.00, $35.91
2020-07-19 23:00:00, $118.08, BUY, $99,570.15, $465.76, $0.00, $35.91
2020-07-20 23:00:00, $118.30, HOLD, $99,570.15, $465.76, $0.00, $35.91
2020-07-21 23:00:00, $117.49, SELL, $100,040.12, $0.00, $-0.59, $40.12
2020-07-22 23:00:00, $116.58, HOLD, $100,040.12, $0.00, $0.00, $40.12
2020-07-23 23:00:00, $114.95, SELL, $100,040.12, $0.00, $0.00, $40.12
2020-07-26 23:00:00, $115.28, BUY, $99,924.84, $115.28, $0.00, $40.12
2020-07-27 23:00:00, $115.07, SELL, $100,039.91, $0.00, $-0.21, $39.91
2020-07-28 23:00:00, $115.86, BUY, $99,924.05, $115.86, $0.00, $39.91
2020-07-29 23:00:00, $116.47, HOLD, $99,924.05, $115.86, $0.00, $39.91
2020-07-30 23:00:00, $117.77, BUY, $99,806.28, $233.63, $0.00, $39.91
