Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 10:30:00, $76.77, BUY, $99,923.23, $76.77, $0.00, $0.00
2021-05-12 10:35:00, $76.82, HOLD, $99,923.23, $76.77, $0.00, $0.00
2021-05-12 10:40:00, $76.83, BUY, $99,846.40, $153.60, $0.00, $0.00
2021-05-12 10:45:00, $76.73, SELL, $99,999.86, $0.00, $-0.10, $-0.14
2021-05-12 10:50:00, $76.66, HOLD, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 10:55:00, $76.63, SELL, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 11:00:00, $76.59, HOLD, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 11:05:00, $76.55, SELL, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 11:10:00, $76.51, HOLD, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 11:15:00, $76.54, BUY, $99,923.32, $76.54, $0.00, $-0.14
2021-05-12 11:20:00, $76.55, HOLD, $99,923.32, $76.54, $0.00, $-0.14
2021-05-12 11:25:00, $76.55, SELL, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 11:30:00, $76.54, HOLD, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 11:35:00, $76.55, BUY, $99,923.31, $76.55, $0.00, $-0.14
2021-05-12 11:40:00, $76.57, HOLD, $99,923.31, $76.55, $0.00, $-0.14
2021-05-12 11:45:00, $76.56, SELL, $99,999.86, $0.00, $0.00, $-0.14
2021-05-12 11:50:00, $76.58, BUY, $99,923.28, $76.58, $0.00, $-0.14
2021-05-12 11:55:00, $76.64, HOLD, $99,923.28, $76.58, $0.00, $-0.14
2021-05-12 12:00:00, $76.68, BUY, $99,846.60, $153.26, $0.00, $-0.14
2021-05-12 12:05:00, $76.67, SELL, $99,999.95, $0.00, $-0.00, $-0.05
2021-05-12 12:10:00, $76.63, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-12 12:15:00, $76.59, SELL, $99,999.95, $0.00, $0.00, $-0.05
2021-05-12 12:20:00, $76.55, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-12 12:25:00, $76.50, SELL, $99,999.95, $0.00, $0.00, $-0.05
2021-05-12 12:30:00, $76.47, HOLD, $99,999.95, $0.00, $0.00, $-0.05
