Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-27 23:00:00, $69.97, BUY, $99,930.03, $69.97, $0.00, $0.00
2019-05-28 23:00:00, $69.91, SELL, $99,999.93, $0.00, $-0.07, $-0.07
2019-05-29 23:00:00, $69.78, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2019-05-30 23:00:00, $69.97, BUY, $99,929.96, $69.97, $0.00, $-0.07
2019-06-02 23:00:00, $70.48, HOLD, $99,929.96, $69.97, $0.00, $-0.07
2019-06-03 23:00:00, $71.56, BUY, $99,858.41, $141.53, $0.00, $-0.07
2019-06-04 23:00:00, $72.17, HOLD, $99,858.41, $141.53, $0.00, $-0.07
2019-06-05 23:00:00, $72.57, BUY, $99,785.84, $214.09, $0.00, $-0.07
2019-06-06 23:00:00, $72.36, SELL, $100,002.93, $0.00, $-0.20, $2.93
2019-06-09 23:00:00, $72.20, HOLD, $100,002.93, $0.00, $0.00, $2.93
2019-06-10 23:00:00, $72.13, SELL, $100,002.93, $0.00, $0.00, $2.93
2019-06-11 23:00:00, $72.32, BUY, $99,930.61, $72.32, $0.00, $2.93
2019-06-12 23:00:00, $72.06, SELL, $100,002.67, $0.00, $-0.26, $2.67
2019-06-13 23:00:00, $71.46, HOLD, $100,002.67, $0.00, $0.00, $2.67
2019-06-16 23:00:00, $71.03, SELL, $100,002.67, $0.00, $0.00, $2.67
2019-06-17 23:00:00, $71.12, BUY, $99,931.56, $71.12, $0.00, $2.67
2019-06-18 23:00:00, $71.58, HOLD, $99,931.56, $71.12, $0.00, $2.67
2019-06-19 23:00:00, $72.16, BUY, $99,859.40, $143.28, $0.00, $2.67
2019-06-20 23:00:00, $72.00, SELL, $100,003.39, $0.00, $-0.16, $3.39
2019-06-23 23:00:00, $71.65, HOLD, $100,003.39, $0.00, $0.00, $3.39
2019-06-24 23:00:00, $71.35, SELL, $100,003.39, $0.00, $0.00, $3.39
2019-06-25 23:00:00, $72.00, BUY, $99,931.39, $72.00, $0.00, $3.39
2019-06-26 23:00:00, $73.08, HOLD, $99,931.39, $72.00, $0.00, $3.39
2019-06-27 23:00:00, $74.14, BUY, $99,857.24, $146.15, $0.00, $3.39
2019-06-30 23:00:00, $74.58, HOLD, $99,857.24, $146.15, $0.00, $3.39
2019-07-01 23:00:00, $74.66, BUY, $99,782.58, $220.81, $0.00, $3.39
2019-07-02 23:00:00, $74.53, SELL, $100,006.16, $0.00, $-0.13, $6.16
2019-07-04 23:00:00, $74.68, BUY, $99,931.48, $74.68, $0.00, $6.16
2019-07-07 23:00:00, $75.08, HOLD, $99,931.48, $74.68, $0.00, $6.16
2019-07-08 23:00:00, $75.61, BUY, $99,855.87, $150.29, $0.00, $6.16
2019-07-09 23:00:00, $75.98, HOLD, $99,855.87, $150.29, $0.00, $6.16
2019-07-10 23:00:00, $76.03, BUY, $99,779.84, $226.32, $0.00, $6.16
2019-07-11 23:00:00, $75.47, SELL, $100,006.26, $0.00, $-0.56, $6.26
2019-07-14 23:00:00, $74.91, HOLD, $100,006.26, $0.00, $0.00, $6.26
2019-07-15 23:00:00, $74.29, SELL, $100,006.26, $0.00, $0.00, $6.26
2019-07-16 23:00:00, $73.74, HOLD, $100,006.26, $0.00, $0.00, $6.26
