Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-18 12:30:00, $116.89, BUY, $99,883.11, $116.89, $0.00, $0.00
2021-05-18 12:35:00, $116.95, HOLD, $99,883.11, $116.89, $0.00, $0.00
2021-05-18 12:40:00, $116.93, SELL, $100,000.04, $0.00, $0.04, $0.04
2021-05-18 12:45:00, $116.86, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 12:50:00, $116.81, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 12:55:00, $116.74, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:00:00, $116.70, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:05:00, $116.66, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:10:00, $116.64, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:15:00, $116.58, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:20:00, $116.48, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:25:00, $116.39, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:30:00, $116.35, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:35:00, $116.30, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:40:00, $116.28, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 13:55:00, $116.21, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 14:00:00, $116.14, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 14:05:00, $116.07, HOLD, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 14:10:00, $116.05, SELL, $100,000.04, $0.00, $0.00, $0.04
2021-05-18 14:15:00, $116.08, BUY, $99,883.96, $116.08, $0.00, $0.04
2021-05-18 14:20:00, $116.11, HOLD, $99,883.96, $116.08, $0.00, $0.04
2021-05-18 14:25:00, $116.12, BUY, $99,767.84, $232.20, $0.00, $0.04
2021-05-18 14:30:00, $116.12, HOLD, $99,767.84, $232.20, $0.00, $0.04
2021-05-18 14:35:00, $116.01, SELL, $99,999.87, $0.00, $-0.11, $-0.13
2021-05-18 14:40:00, $115.87, HOLD, $99,999.87, $0.00, $0.00, $-0.13
2021-05-18 14:45:00, $115.73, SELL, $99,999.87, $0.00, $0.00, $-0.13
2021-05-18 14:50:00, $115.61, HOLD, $99,999.87, $0.00, $0.00, $-0.13
2021-05-18 14:55:00, $115.43, SELL, $99,999.87, $0.00, $0.00, $-0.13
2021-05-19 08:30:00, $115.15, HOLD, $99,999.87, $0.00, $0.00, $-0.13
2021-05-19 08:35:00, $115.10, SELL, $99,999.87, $0.00, $0.00, $-0.13
2021-05-19 08:40:00, $115.27, BUY, $99,884.60, $115.27, $0.00, $-0.13
2021-05-19 08:45:00, $115.53, HOLD, $99,884.60, $115.27, $0.00, $-0.13
2021-05-19 08:50:00, $115.65, BUY, $99,768.95, $230.92, $0.00, $-0.13
2021-05-19 08:55:00, $115.67, HOLD, $99,768.95, $230.92, $0.00, $-0.13
2021-05-19 09:00:00, $115.65, SELL, $100,000.25, $0.00, $0.00, $0.25
2021-05-19 09:05:00, $115.58, HOLD, $100,000.25, $0.00, $0.00, $0.25
2021-05-19 09:10:00, $115.54, SELL, $100,000.25, $0.00, $0.00, $0.25
2021-05-19 09:15:00, $115.38, HOLD, $100,000.25, $0.00, $0.00, $0.25
2021-05-19 09:25:00, $115.26, SELL, $100,000.25, $0.00, $0.00, $0.25
2021-05-19 09:30:00, $115.16, HOLD, $100,000.25, $0.00, $0.00, $0.25
2021-05-19 09:35:00, $115.15, SELL, $100,000.25, $0.00, $0.00, $0.25
2021-05-19 09:40:00, $115.19, BUY, $99,885.05, $115.19, $0.00, $0.25
2021-05-19 09:45:00, $115.23, HOLD, $99,885.05, $115.19, $0.00, $0.25
2021-05-19 09:50:00, $115.22, SELL, $100,000.28, $0.00, $0.03, $0.28
2021-05-19 09:55:00, $115.26, BUY, $99,885.02, $115.26, $0.00, $0.28
2021-05-19 10:00:00, $115.22, SELL, $100,000.24, $0.00, $-0.04, $0.24
2021-05-19 10:05:00, $115.22, BUY, $99,885.01, $115.22, $0.00, $0.24
2021-05-19 10:10:00, $115.17, SELL, $100,000.18, $0.00, $-0.05, $0.18
2021-05-19 10:15:00, $115.21, BUY, $99,884.97, $115.21, $0.00, $0.18
2021-05-19 10:20:00, $115.30, HOLD, $99,884.97, $115.21, $0.00, $0.18
2021-05-19 10:25:00, $115.49, BUY, $99,769.48, $230.70, $0.00, $0.18
2021-05-19 10:30:00, $115.60, HOLD, $99,769.48, $230.70, $0.00, $0.18
2021-05-19 10:35:00, $115.68, BUY, $99,653.80, $346.38, $0.00, $0.18
2021-05-19 10:40:00, $115.79, HOLD, $99,653.80, $346.38, $0.00, $0.18
2021-05-19 10:50:00, $115.86, BUY, $99,537.94, $462.24, $0.00, $0.18
2021-05-19 11:15:00, $115.91, HOLD, $99,537.94, $462.24, $0.00, $0.18
2021-05-19 11:20:00, $115.80, SELL, $100,001.13, $0.00, $-0.06, $1.13
2021-05-19 11:25:00, $115.78, HOLD, $100,001.13, $0.00, $0.00, $1.13
2021-05-19 11:30:00, $115.80, BUY, $99,885.33, $115.80, $0.00, $1.13
2021-05-19 11:35:00, $115.91, HOLD, $99,885.33, $115.80, $0.00, $1.13
2021-05-19 11:40:00, $116.02, BUY, $99,769.32, $231.81, $0.00, $1.13
2021-05-19 11:45:00, $116.16, HOLD, $99,769.32, $231.81, $0.00, $1.13
2021-05-19 11:50:00, $116.17, BUY, $99,653.14, $347.99, $0.00, $1.13
2021-05-19 11:55:00, $116.19, HOLD, $99,653.14, $347.99, $0.00, $1.13
2021-05-19 12:00:00, $116.06, SELL, $100,001.32, $0.00, $-0.11, $1.32
2021-05-19 12:05:00, $116.00, HOLD, $100,001.32, $0.00, $0.00, $1.32
2021-05-19 12:10:00, $115.96, SELL, $100,001.32, $0.00, $0.00, $1.32
2021-05-19 12:15:00, $115.95, HOLD, $100,001.32, $0.00, $0.00, $1.32
