Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:40:00, $55.57, BUY, $99,944.43, $55.57, $0.00, $0.00
2021-05-25 10:41:00, $55.58, HOLD, $99,944.43, $55.57, $0.00, $0.00
2021-05-25 10:42:00, $55.59, BUY, $99,888.85, $111.15, $0.00, $0.00
2021-05-25 10:43:00, $55.60, HOLD, $99,888.85, $111.15, $0.00, $0.00
2021-05-25 10:44:00, $55.60, BUY, $99,833.24, $166.76, $0.00, $0.00
2021-05-25 10:45:00, $55.62, HOLD, $99,833.24, $166.76, $0.00, $0.00
2021-05-25 10:46:00, $55.62, SELL, $100,000.09, $0.00, $0.01, $0.09
2021-05-25 10:47:00, $55.61, HOLD, $100,000.09, $0.00, $0.00, $0.09
2021-05-25 10:48:00, $55.61, SELL, $100,000.09, $0.00, $0.00, $0.09
2021-05-25 10:49:00, $55.61, HOLD, $100,000.09, $0.00, $0.00, $0.09
2021-05-25 10:50:00, $55.60, SELL, $100,000.09, $0.00, $0.00, $0.09
2021-05-25 10:51:00, $55.60, SELL, $100,000.09, $0.00, $0.00, $0.09
2021-05-25 10:52:00, $55.61, BUY, $99,944.48, $55.61, $0.00, $0.09
2021-05-25 10:53:00, $55.61, HOLD, $99,944.48, $55.61, $0.00, $0.09
2021-05-25 10:54:00, $55.62, BUY, $99,888.86, $111.23, $0.00, $0.09
2021-05-25 10:55:00, $55.64, HOLD, $99,888.86, $111.23, $0.00, $0.09
2021-05-25 10:56:00, $55.66, BUY, $99,833.20, $166.89, $0.00, $0.09
2021-05-25 10:57:00, $55.66, SELL, $100,000.17, $0.00, $-0.00, $0.17
2021-05-25 10:58:00, $55.65, HOLD, $100,000.17, $0.00, $0.00, $0.17
2021-05-25 10:59:00, $55.64, SELL, $100,000.17, $0.00, $0.00, $0.17
2021-05-25 11:00:00, $55.65, BUY, $99,944.52, $55.65, $0.00, $0.17
2021-05-25 11:01:00, $55.66, HOLD, $99,944.52, $55.65, $0.00, $0.17
2021-05-25 11:02:00, $55.67, BUY, $99,888.85, $111.32, $0.00, $0.17
2021-05-25 11:03:00, $55.68, HOLD, $99,888.85, $111.32, $0.00, $0.17
2021-05-25 11:04:00, $55.68, SELL, $100,000.20, $0.00, $0.01, $0.20
2021-05-25 11:05:00, $55.68, BUY, $99,944.52, $55.68, $0.00, $0.20
2021-05-25 11:06:00, $55.69, HOLD, $99,944.52, $55.68, $0.00, $0.20
2021-05-25 11:07:00, $55.70, BUY, $99,888.82, $111.38, $0.00, $0.20
2021-05-25 11:08:00, $55.71, HOLD, $99,888.82, $111.38, $0.00, $0.20
2021-05-25 11:09:00, $55.71, HOLD, $99,888.82, $111.38, $0.00, $0.20
2021-05-25 11:10:00, $55.71, BUY, $99,833.11, $167.09, $0.00, $0.20
2021-05-25 11:11:00, $55.72, HOLD, $99,833.11, $167.09, $0.00, $0.20
2021-05-25 11:12:00, $55.72, BUY, $99,777.40, $222.81, $0.00, $0.20
2021-05-25 11:13:00, $55.72, HOLD, $99,777.40, $222.81, $0.00, $0.20
2021-05-25 11:14:00, $55.72, SELL, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 11:15:00, $55.71, HOLD, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 11:16:00, $55.70, SELL, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 11:17:00, $55.69, HOLD, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 11:18:00, $55.68, SELL, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 11:19:00, $55.69, BUY, $99,944.58, $55.69, $0.00, $0.27
2021-05-25 11:20:00, $55.69, HOLD, $99,944.58, $55.69, $0.00, $0.27
2021-05-25 11:21:00, $55.70, BUY, $99,888.89, $111.38, $0.00, $0.27
2021-05-25 11:22:00, $55.70, HOLD, $99,888.89, $111.38, $0.00, $0.27
2021-05-25 11:23:00, $55.72, BUY, $99,833.17, $167.10, $0.00, $0.27
2021-05-25 11:24:00, $55.72, HOLD, $99,833.17, $167.10, $0.00, $0.27
2021-05-25 11:26:00, $55.72, BUY, $99,777.45, $222.82, $0.00, $0.27
2021-05-25 11:27:00, $55.72, BUY, $99,721.72, $278.54, $0.00, $0.27
2021-05-25 11:28:00, $55.73, HOLD, $99,721.72, $278.54, $0.00, $0.27
2021-05-25 11:29:00, $55.74, BUY, $99,665.98, $334.29, $0.00, $0.27
2021-05-25 11:30:00, $55.75, HOLD, $99,665.98, $334.29, $0.00, $0.27
2021-05-25 11:31:00, $55.75, HOLD, $99,665.98, $334.29, $0.00, $0.27
2021-05-25 11:32:00, $55.75, HOLD, $99,665.98, $334.29, $0.00, $0.27
2021-05-25 11:33:00, $55.76, BUY, $99,610.22, $390.04, $0.00, $0.27
2021-05-25 11:34:00, $55.77, HOLD, $99,610.22, $390.04, $0.00, $0.27
2021-05-25 11:35:00, $55.79, BUY, $99,554.43, $445.84, $0.00, $0.27
2021-05-25 11:36:00, $55.81, HOLD, $99,554.43, $445.84, $0.00, $0.27
2021-05-25 11:37:00, $55.81, BUY, $99,498.62, $501.65, $0.00, $0.27
2021-05-25 11:38:00, $55.81, SELL, $100,000.94, $0.00, $-0.00, $0.94
2021-05-25 11:39:00, $55.81, BUY, $99,945.12, $55.81, $0.00, $0.94
2021-05-25 11:40:00, $55.82, HOLD, $99,945.12, $55.81, $0.00, $0.94
2021-05-25 11:41:00, $55.84, BUY, $99,889.28, $111.65, $0.00, $0.94
2021-05-25 11:42:00, $55.86, HOLD, $99,889.28, $111.65, $0.00, $0.94
2021-05-25 11:43:00, $55.88, BUY, $99,833.40, $167.53, $0.00, $0.94
2021-05-25 11:44:00, $55.88, BUY, $99,777.53, $223.41, $0.00, $0.94
2021-05-25 11:45:00, $55.87, SELL, $100,000.99, $0.00, $-0.01, $0.99
2021-05-25 11:46:00, $55.85, HOLD, $100,000.99, $0.00, $0.00, $0.99
2021-05-25 11:47:00, $55.85, BUY, $99,945.13, $55.85, $0.00, $0.99
2021-05-25 11:48:00, $55.86, HOLD, $99,945.13, $55.85, $0.00, $0.99
2021-05-25 11:49:00, $55.86, BUY, $99,889.27, $111.72, $0.00, $0.99
2021-05-25 11:50:00, $55.88, HOLD, $99,889.27, $111.72, $0.00, $0.99
2021-05-25 11:51:00, $55.88, HOLD, $99,889.27, $111.72, $0.00, $0.99
2021-05-25 11:52:00, $55.87, SELL, $100,001.01, $0.00, $0.01, $1.01
2021-05-25 11:53:00, $55.85, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 11:54:00, $55.85, SELL, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 11:55:00, $55.85, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 11:56:00, $55.85, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 11:57:00, $55.84, SELL, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 11:58:00, $55.81, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 12:00:00, $55.78, SELL, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 12:01:00, $55.76, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 12:02:00, $55.74, SELL, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 12:03:00, $55.72, HOLD, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 12:04:00, $55.71, SELL, $100,001.01, $0.00, $0.00, $1.01
2021-05-25 12:05:00, $55.72, BUY, $99,945.29, $55.72, $0.00, $1.01
2021-05-25 12:06:00, $55.72, HOLD, $99,945.29, $55.72, $0.00, $1.01
2021-05-25 12:07:00, $55.72, BUY, $99,889.57, $111.44, $0.00, $1.01
2021-05-25 12:08:00, $55.73, HOLD, $99,889.57, $111.44, $0.00, $1.01
2021-05-25 12:09:00, $55.73, BUY, $99,833.84, $167.17, $0.00, $1.01
2021-05-25 12:10:00, $55.74, HOLD, $99,833.84, $167.17, $0.00, $1.01
2021-05-25 12:11:00, $55.73, SELL, $100,001.02, $0.00, $-0.01, $1.02
2021-05-25 12:12:00, $55.73, BUY, $99,945.29, $55.73, $0.00, $1.02
2021-05-25 12:13:00, $55.73, BUY, $99,889.56, $111.46, $0.00, $1.02
2021-05-25 12:14:00, $55.74, HOLD, $99,889.56, $111.46, $0.00, $1.02
2021-05-25 12:15:00, $55.74, BUY, $99,833.82, $167.20, $0.00, $1.02
2021-05-25 12:16:00, $55.74, SELL, $100,001.04, $0.00, $-0.00, $1.04
2021-05-25 12:17:00, $55.74, HOLD, $100,001.04, $0.00, $0.00, $1.04
2021-05-25 12:19:00, $55.74, HOLD, $100,001.04, $0.00, $0.00, $1.04
2021-05-25 12:20:00, $55.75, BUY, $99,945.30, $55.75, $0.00, $1.04
2021-05-25 12:21:00, $55.75, BUY, $99,889.55, $111.49, $0.00, $1.04
2021-05-25 12:22:00, $55.76, HOLD, $99,889.55, $111.49, $0.00, $1.04
2021-05-25 12:23:00, $55.76, HOLD, $99,889.55, $111.49, $0.00, $1.04
2021-05-25 12:24:00, $55.74, SELL, $100,001.04, $0.00, $-0.00, $1.04
2021-05-25 12:25:00, $55.73, HOLD, $100,001.04, $0.00, $0.00, $1.04
2021-05-25 12:26:00, $55.72, SELL, $100,001.04, $0.00, $0.00, $1.04
2021-05-25 12:27:00, $55.73, BUY, $99,945.31, $55.73, $0.00, $1.04
2021-05-25 12:28:00, $55.73, HOLD, $99,945.31, $55.73, $0.00, $1.04
2021-05-25 12:29:00, $55.74, BUY, $99,889.57, $111.47, $0.00, $1.04
2021-05-25 12:30:00, $55.74, BUY, $99,833.83, $167.21, $0.00, $1.04
2021-05-25 12:31:00, $55.74, HOLD, $99,833.83, $167.21, $0.00, $1.04
2021-05-25 12:32:00, $55.74, HOLD, $99,833.83, $167.21, $0.00, $1.04
2021-05-25 12:33:00, $55.75, BUY, $99,778.08, $222.96, $0.00, $1.04
2021-05-25 12:34:00, $55.75, HOLD, $99,778.08, $222.96, $0.00, $1.04
2021-05-25 12:35:00, $55.76, BUY, $99,722.32, $278.72, $0.00, $1.04
2021-05-25 12:36:00, $55.76, SELL, $100,001.10, $0.00, $-0.01, $1.10
2021-05-25 12:37:00, $55.75, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:38:00, $55.74, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:39:00, $55.73, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:40:00, $55.73, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:41:00, $55.73, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:42:00, $55.73, BUY, $99,945.37, $55.73, $0.00, $1.10
2021-05-25 12:43:00, $55.74, HOLD, $99,945.37, $55.73, $0.00, $1.10
2021-05-25 12:44:00, $55.74, BUY, $99,889.63, $111.47, $0.00, $1.10
2021-05-25 12:45:00, $55.74, SELL, $100,001.10, $0.00, $-0.00, $1.10
2021-05-25 12:46:00, $55.73, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:47:00, $55.71, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:48:00, $55.69, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:49:00, $55.68, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 12:50:00, $55.69, BUY, $99,945.42, $55.69, $0.00, $1.10
2021-05-25 12:51:00, $55.69, HOLD, $99,945.42, $55.69, $0.00, $1.10
2021-05-25 12:52:00, $55.68, SELL, $100,001.10, $0.00, $-0.01, $1.10
2021-05-25 12:53:00, $55.68, BUY, $99,945.42, $55.68, $0.00, $1.10
2021-05-25 12:54:00, $55.69, HOLD, $99,945.42, $55.68, $0.00, $1.10
2021-05-25 12:55:00, $55.70, BUY, $99,889.71, $111.39, $0.00, $1.10
2021-05-25 12:57:00, $55.70, HOLD, $99,889.71, $111.39, $0.00, $1.10
2021-05-25 12:59:00, $55.69, SELL, $100,001.10, $0.00, $-0.01, $1.10
2021-05-25 13:00:00, $55.67, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:01:00, $55.65, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:02:00, $55.64, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:03:00, $55.64, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:04:00, $55.63, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:05:00, $55.63, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:06:00, $55.62, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:07:00, $55.61, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:08:00, $55.60, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:09:00, $55.59, SELL, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:10:00, $55.58, HOLD, $100,001.10, $0.00, $0.00, $1.10
2021-05-25 13:11:00, $55.58, BUY, $99,945.51, $55.58, $0.00, $1.10
2021-05-25 13:12:00, $55.58, BUY, $99,889.93, $111.17, $0.00, $1.10
2021-05-25 13:13:00, $55.58, SELL, $100,001.09, $0.00, $-0.00, $1.09
2021-05-25 13:14:00, $55.57, HOLD, $100,001.09, $0.00, $0.00, $1.09
2021-05-25 13:15:00, $55.56, SELL, $100,001.09, $0.00, $0.00, $1.09
2021-05-25 13:16:00, $55.57, BUY, $99,945.52, $55.57, $0.00, $1.09
2021-05-25 13:17:00, $55.57, BUY, $99,889.95, $111.14, $0.00, $1.09
2021-05-25 13:18:00, $55.57, SELL, $100,001.09, $0.00, $-0.00, $1.09
2021-05-25 13:19:00, $55.56, HOLD, $100,001.09, $0.00, $0.00, $1.09
2021-05-25 13:20:00, $55.56, BUY, $99,945.52, $55.56, $0.00, $1.09
2021-05-25 13:21:00, $55.57, HOLD, $99,945.52, $55.56, $0.00, $1.09
2021-05-25 13:22:00, $55.56, SELL, $100,001.08, $0.00, $-0.00, $1.09
2021-05-25 13:23:00, $55.56, HOLD, $100,001.08, $0.00, $0.00, $1.09
2021-05-25 13:24:00, $55.56, HOLD, $100,001.08, $0.00, $0.00, $1.09
2021-05-25 13:25:00, $55.57, BUY, $99,945.51, $55.57, $0.00, $1.09
2021-05-25 13:26:00, $55.57, SELL, $100,001.08, $0.00, $-0.00, $1.08
2021-05-25 13:27:00, $55.59, BUY, $99,945.50, $55.59, $0.00, $1.08
2021-05-25 13:28:00, $55.60, HOLD, $99,945.50, $55.59, $0.00, $1.08
2021-05-25 13:29:00, $55.63, BUY, $99,889.87, $111.22, $0.00, $1.08
2021-05-25 13:30:00, $55.65, HOLD, $99,889.87, $111.22, $0.00, $1.08
2021-05-25 13:31:00, $55.66, BUY, $99,834.20, $166.88, $0.00, $1.08
2021-05-25 13:32:00, $55.67, HOLD, $99,834.20, $166.88, $0.00, $1.08
