Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2018-05-24 23:00:00, $31.58, BUY, $99,968.42, $31.58, $0.00, $0.00
2018-05-28 23:00:00, $31.39, SELL, $99,999.81, $0.00, $-0.19, $-0.19
2018-05-29 23:00:00, $31.30, HOLD, $99,999.81, $0.00, $0.00, $-0.19
2018-05-30 23:00:00, $31.24, SELL, $99,999.81, $0.00, $0.00, $-0.19
2018-05-31 23:00:00, $31.20, HOLD, $99,999.81, $0.00, $0.00, $-0.19
2018-06-03 23:00:00, $31.54, BUY, $99,968.27, $31.54, $0.00, $-0.19
2018-06-04 23:00:00, $31.78, HOLD, $99,968.27, $31.54, $0.00, $-0.19
2018-06-05 23:00:00, $32.11, BUY, $99,936.15, $63.66, $0.00, $-0.19
2018-06-06 23:00:00, $32.03, SELL, $100,000.21, $0.00, $-0.09, $0.21
2018-06-07 23:00:00, $32.16, BUY, $99,968.05, $32.16, $0.00, $0.21
2018-06-10 23:00:00, $32.24, HOLD, $99,968.05, $32.16, $0.00, $0.21
2018-06-11 23:00:00, $32.84, BUY, $99,935.21, $64.99, $0.00, $0.21
2018-06-12 23:00:00, $33.32, HOLD, $99,935.21, $64.99, $0.00, $0.21
2018-06-13 23:00:00, $33.41, BUY, $99,901.81, $98.40, $0.00, $0.21
2018-06-14 23:00:00, $33.07, SELL, $100,001.02, $0.00, $-0.34, $1.03
2018-06-17 23:00:00, $32.92, HOLD, $100,001.02, $0.00, $0.00, $1.03
2018-06-18 23:00:00, $33.00, BUY, $99,968.03, $33.00, $0.00, $1.03
2018-06-19 23:00:00, $33.34, HOLD, $99,968.03, $33.00, $0.00, $1.03
2018-06-20 23:00:00, $33.25, SELL, $100,001.28, $0.00, $0.25, $1.28
2018-06-21 23:00:00, $33.24, HOLD, $100,001.28, $0.00, $0.00, $1.28
2018-06-24 23:00:00, $32.73, SELL, $100,001.28, $0.00, $0.00, $1.28
2018-06-25 23:00:00, $32.57, HOLD, $100,001.28, $0.00, $0.00, $1.28
2018-06-26 23:00:00, $32.58, BUY, $99,968.70, $32.58, $0.00, $1.28
2018-06-27 23:00:00, $32.87, HOLD, $99,968.70, $32.58, $0.00, $1.28
2018-06-28 23:00:00, $33.04, BUY, $99,935.66, $65.62, $0.00, $1.28
2018-07-01 23:00:00, $33.14, HOLD, $99,935.66, $65.62, $0.00, $1.28
2018-07-02 23:00:00, $33.28, BUY, $99,902.38, $98.89, $0.00, $1.28
2018-07-04 23:00:00, $33.43, HOLD, $99,902.38, $98.89, $0.00, $1.28
2018-07-05 23:00:00, $33.50, BUY, $99,868.89, $132.39, $0.00, $1.28
2018-07-08 23:00:00, $33.56, HOLD, $99,868.89, $132.39, $0.00, $1.28
2018-07-09 23:00:00, $33.88, BUY, $99,835.00, $166.27, $0.00, $1.28
2018-07-10 23:00:00, $34.34, HOLD, $99,835.00, $166.27, $0.00, $1.28
2018-07-11 23:00:00, $34.74, BUY, $99,800.26, $201.02, $0.00, $1.28
2018-07-12 23:00:00, $34.65, SELL, $100,008.14, $0.00, $-0.10, $8.14
2018-07-15 23:00:00, $34.42, HOLD, $100,008.14, $0.00, $0.00, $8.14
