Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 10:30:00, $119.14, BUY, $99,880.86, $119.14, $0.00, $0.00
2021-05-12 10:45:00, $119.00, SELL, $99,999.85, $0.00, $-0.14, $-0.14
2021-05-12 11:00:00, $118.86, HOLD, $99,999.85, $0.00, $0.00, $-0.14
2021-05-12 11:15:00, $118.85, SELL, $99,999.85, $0.00, $0.00, $-0.14
2021-05-12 11:30:00, $118.83, HOLD, $99,999.85, $0.00, $0.00, $-0.14
2021-05-12 11:45:00, $118.84, BUY, $99,881.01, $118.84, $0.00, $-0.14
2021-05-12 12:00:00, $118.83, SELL, $99,999.84, $0.00, $-0.02, $-0.16
2021-05-12 12:15:00, $118.78, HOLD, $99,999.84, $0.00, $0.00, $-0.16
2021-05-12 12:30:00, $118.70, SELL, $99,999.84, $0.00, $0.00, $-0.16
2021-05-12 12:45:00, $118.63, HOLD, $99,999.84, $0.00, $0.00, $-0.16
2021-05-12 13:00:00, $118.57, SELL, $99,999.84, $0.00, $0.00, $-0.16
2021-05-12 13:15:00, $118.66, BUY, $99,881.17, $118.66, $0.00, $-0.16
2021-05-12 13:30:00, $118.54, SELL, $99,999.72, $0.00, $-0.12, $-0.28
2021-05-12 13:45:00, $118.19, HOLD, $99,999.72, $0.00, $0.00, $-0.28
2021-05-12 14:00:00, $117.92, SELL, $99,999.72, $0.00, $0.00, $-0.28
2021-05-12 14:15:00, $117.89, HOLD, $99,999.72, $0.00, $0.00, $-0.28
2021-05-12 14:30:00, $118.45, BUY, $99,881.26, $118.45, $0.00, $-0.28
2021-05-12 14:45:00, $119.12, HOLD, $99,881.26, $118.45, $0.00, $-0.28
2021-05-13 08:30:00, $119.78, BUY, $99,761.48, $238.24, $0.00, $-0.28
2021-05-13 08:45:00, $120.02, HOLD, $99,761.48, $238.24, $0.00, $-0.28
2021-05-13 09:00:00, $120.01, SELL, $100,001.50, $0.00, $0.23, $1.50
2021-05-13 09:15:00, $120.09, BUY, $99,881.40, $120.09, $0.00, $1.50
2021-05-13 09:30:00, $120.17, HOLD, $99,881.40, $120.09, $0.00, $1.50
2021-05-13 09:45:00, $120.04, SELL, $100,001.45, $0.00, $-0.05, $1.45
2021-05-13 10:00:00, $119.75, HOLD, $100,001.45, $0.00, $0.00, $1.45
2021-05-13 10:15:00, $119.43, SELL, $100,001.45, $0.00, $0.00, $1.45
2021-05-13 10:30:00, $119.46, BUY, $99,881.98, $119.46, $0.00, $1.45
2021-05-13 10:45:00, $119.50, HOLD, $99,881.98, $119.46, $0.00, $1.45
2021-05-13 11:00:00, $119.66, BUY, $99,762.32, $239.12, $0.00, $1.45
2021-05-13 11:15:00, $119.70, HOLD, $99,762.32, $239.12, $0.00, $1.45
2021-05-13 11:30:00, $119.67, SELL, $100,001.65, $0.00, $0.01, $1.66
2021-05-13 11:45:00, $119.52, HOLD, $100,001.65, $0.00, $0.00, $1.66
2021-05-13 12:00:00, $119.31, SELL, $100,001.65, $0.00, $0.00, $1.66
2021-05-13 12:15:00, $119.27, HOLD, $100,001.65, $0.00, $0.00, $1.66
2021-05-13 12:30:00, $119.57, BUY, $99,882.09, $119.57, $0.00, $1.66
2021-05-13 12:45:00, $119.95, HOLD, $99,882.09, $119.57, $0.00, $1.66
2021-05-13 13:00:00, $120.43, BUY, $99,761.66, $240.00, $0.00, $1.66
2021-05-13 13:15:00, $120.53, HOLD, $99,761.66, $240.00, $0.00, $1.66
2021-05-13 13:30:00, $120.59, BUY, $99,641.07, $360.59, $0.00, $1.66
2021-05-13 13:45:00, $120.48, SELL, $100,002.51, $0.00, $-0.11, $2.51
2021-05-13 14:00:00, $120.61, BUY, $99,881.90, $120.61, $0.00, $2.51
2021-05-13 14:15:00, $120.61, BUY, $99,761.30, $241.21, $0.00, $2.51
2021-05-13 14:30:00, $120.91, HOLD, $99,761.30, $241.21, $0.00, $2.51
2021-05-13 14:45:00, $121.35, BUY, $99,639.95, $362.56, $0.00, $2.51
2021-05-14 08:30:00, $121.78, HOLD, $99,639.95, $362.56, $0.00, $2.51
2021-05-14 08:45:00, $122.00, BUY, $99,517.95, $484.56, $0.00, $2.51
2021-05-14 09:00:00, $121.98, SELL, $100,005.87, $0.00, $-0.02, $5.87
2021-05-14 09:15:00, $122.27, BUY, $99,883.60, $122.27, $0.00, $5.87
2021-05-14 09:30:00, $122.59, HOLD, $99,883.60, $122.27, $0.00, $5.87
2021-05-14 09:45:00, $122.83, BUY, $99,760.77, $245.10, $0.00, $5.87
2021-05-14 10:00:00, $123.06, HOLD, $99,760.77, $245.10, $0.00, $5.87
2021-05-14 10:15:00, $123.26, BUY, $99,637.50, $368.37, $0.00, $5.87
2021-05-14 10:30:00, $123.49, HOLD, $99,637.50, $368.37, $0.00, $5.87
2021-05-14 10:45:00, $123.49, SELL, $100,007.97, $0.00, $0.23, $7.97
2021-05-14 11:00:00, $123.53, BUY, $99,884.44, $123.53, $0.00, $7.97
2021-05-14 11:15:00, $123.56, HOLD, $99,884.44, $123.53, $0.00, $7.97
2021-05-14 11:30:00, $123.64, BUY, $99,760.80, $247.17, $0.00, $7.97
2021-05-14 12:00:00, $123.70, HOLD, $99,760.80, $247.17, $0.00, $7.97
2021-05-14 12:15:00, $123.75, BUY, $99,637.05, $370.92, $0.00, $7.97
