Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-04-27 14:45:00, $51.45, BUY, $99,948.54, $51.45, $0.00, $0.00
2021-04-28 08:30:00, $51.46, HOLD, $99,948.54, $51.45, $0.00, $0.00
2021-04-28 08:45:00, $51.41, SELL, $99,999.96, $0.00, $-0.04, $-0.04
2021-04-28 09:00:00, $51.40, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-04-28 09:15:00, $51.42, BUY, $99,948.54, $51.42, $0.00, $-0.04
2021-04-28 09:30:00, $51.43, HOLD, $99,948.54, $51.42, $0.00, $-0.04
2021-04-28 09:45:00, $51.46, BUY, $99,897.08, $102.88, $0.00, $-0.04
2021-04-28 10:00:00, $51.43, SELL, $99,999.93, $0.00, $-0.03, $-0.07
2021-04-28 10:15:00, $51.38, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 10:30:00, $51.30, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 10:45:00, $51.25, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 11:00:00, $51.23, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 11:15:00, $51.23, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 11:30:00, $51.22, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 11:45:00, $51.20, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 12:00:00, $51.15, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 12:15:00, $51.09, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 12:30:00, $51.02, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 12:45:00, $50.97, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-04-28 13:00:00, $51.01, BUY, $99,948.92, $51.01, $0.00, $-0.07
2021-04-28 13:15:00, $51.05, HOLD, $99,948.92, $51.01, $0.00, $-0.07
2021-04-28 13:30:00, $51.08, BUY, $99,897.84, $102.10, $0.00, $-0.07
2021-04-28 13:45:00, $51.04, SELL, $99,999.91, $0.00, $-0.05, $-0.09
2021-04-28 14:00:00, $51.04, BUY, $99,948.87, $51.04, $0.00, $-0.09
2021-04-28 14:15:00, $51.07, HOLD, $99,948.87, $51.04, $0.00, $-0.09
2021-04-28 14:30:00, $51.18, BUY, $99,897.69, $102.22, $0.00, $-0.09
2021-04-28 14:45:00, $51.24, HOLD, $99,897.69, $102.22, $0.00, $-0.09
2021-04-29 08:30:00, $51.27, BUY, $99,846.42, $153.49, $0.00, $-0.09
2021-04-29 08:45:00, $51.24, SELL, $100,000.14, $0.00, $-0.03, $0.14
2021-04-29 09:00:00, $51.27, BUY, $99,948.88, $51.27, $0.00, $0.14
2021-04-29 09:15:00, $51.27, BUY, $99,897.61, $102.53, $0.00, $0.14
2021-04-29 09:30:00, $51.25, SELL, $100,000.12, $0.00, $-0.01, $0.12
2021-04-29 09:45:00, $51.19, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-04-29 10:00:00, $51.16, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-04-29 10:15:00, $51.11, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-04-29 10:30:00, $51.07, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-04-29 10:45:00, $51.06, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-04-29 11:00:00, $51.08, BUY, $99,949.04, $51.08, $0.00, $0.12
2021-04-29 11:15:00, $51.09, HOLD, $99,949.04, $51.08, $0.00, $0.12
2021-04-29 11:30:00, $51.12, BUY, $99,897.92, $102.20, $0.00, $0.12
2021-04-29 11:45:00, $51.16, HOLD, $99,897.92, $102.20, $0.00, $0.12
2021-04-29 12:00:00, $51.22, BUY, $99,846.71, $153.41, $0.00, $0.12
2021-04-29 12:15:00, $51.26, HOLD, $99,846.71, $153.41, $0.00, $0.12
2021-04-29 12:30:00, $51.28, BUY, $99,795.42, $204.70, $0.00, $0.12
2021-04-29 12:45:00, $51.31, HOLD, $99,795.42, $204.70, $0.00, $0.12
2021-04-29 13:00:00, $51.35, BUY, $99,744.07, $256.05, $0.00, $0.12
2021-04-29 13:15:00, $51.37, HOLD, $99,744.07, $256.05, $0.00, $0.12
2021-04-29 13:30:00, $51.41, BUY, $99,692.66, $307.46, $0.00, $0.12
2021-04-29 13:45:00, $51.42, HOLD, $99,692.66, $307.46, $0.00, $0.12
2021-04-29 14:00:00, $51.45, BUY, $99,641.21, $358.91, $0.00, $0.12
2021-04-29 14:15:00, $51.44, SELL, $100,001.25, $0.00, $-0.01, $1.25
2021-04-29 14:30:00, $51.26, HOLD, $100,001.25, $0.00, $0.00, $1.25
2021-04-29 14:45:00, $51.03, SELL, $100,001.25, $0.00, $0.00, $1.25
2021-04-30 08:30:00, $50.80, HOLD, $100,001.25, $0.00, $0.00, $1.25
2021-04-30 08:45:00, $50.78, SELL, $100,001.25, $0.00, $0.00, $1.25
2021-04-30 09:00:00, $50.76, HOLD, $100,001.25, $0.00, $0.00, $1.25
2021-04-30 09:15:00, $50.76, HOLD, $100,001.25, $0.00, $0.00, $1.25
2021-04-30 09:30:00, $50.70, SELL, $100,001.25, $0.00, $0.00, $1.25
