Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-24 14:51:00, $99.40, BUY, $99,900.60, $99.40, $0.00, $0.00
2021-05-24 14:52:00, $99.40, BUY, $99,801.21, $198.79, $0.00, $0.00
2021-05-24 14:53:00, $99.40, HOLD, $99,801.21, $198.79, $0.00, $0.00
2021-05-24 14:54:00, $99.40, SELL, $100,000.00, $0.00, $0.00, $0.00
2021-05-24 14:55:00, $99.39, HOLD, $100,000.00, $0.00, $0.00, $0.00
2021-05-24 14:56:00, $99.38, SELL, $100,000.00, $0.00, $0.00, $0.00
2021-05-24 14:57:00, $99.38, BUY, $99,900.62, $99.38, $0.00, $0.00
2021-05-24 14:58:00, $99.45, HOLD, $99,900.62, $99.38, $0.00, $0.00
2021-05-24 14:59:00, $99.62, BUY, $99,800.99, $199.01, $0.00, $0.00
2021-05-25 08:30:00, $99.86, HOLD, $99,800.99, $199.01, $0.00, $0.00
2021-05-25 08:31:00, $100.04, BUY, $99,700.95, $299.05, $0.00, $0.00
2021-05-25 08:32:00, $100.11, HOLD, $99,700.95, $299.05, $0.00, $0.00
2021-05-25 08:33:00, $100.14, BUY, $99,600.82, $399.18, $0.00, $0.00
2021-05-25 08:34:00, $100.15, HOLD, $99,600.82, $399.18, $0.00, $0.00
2021-05-25 08:35:00, $100.15, BUY, $99,500.66, $499.34, $0.00, $0.00
2021-05-25 08:36:00, $100.12, SELL, $100,001.25, $0.00, $-0.04, $1.25
2021-05-25 08:38:00, $100.07, HOLD, $100,001.25, $0.00, $0.00, $1.25
2021-05-25 08:39:00, $100.04, SELL, $100,001.25, $0.00, $0.00, $1.25
2021-05-25 08:40:00, $100.03, HOLD, $100,001.25, $0.00, $0.00, $1.25
2021-05-25 08:41:00, $100.03, BUY, $99,901.21, $100.03, $0.00, $1.25
2021-05-25 08:42:00, $100.03, SELL, $100,001.24, $0.00, $-0.00, $1.24
2021-05-25 08:43:00, $100.03, HOLD, $100,001.24, $0.00, $0.00, $1.24
2021-05-25 08:44:00, $100.03, BUY, $99,901.21, $100.03, $0.00, $1.24
2021-05-25 08:45:00, $100.02, SELL, $100,001.23, $0.00, $-0.01, $1.23
2021-05-25 08:46:00, $100.03, BUY, $99,901.20, $100.03, $0.00, $1.23
2021-05-25 08:47:00, $99.98, SELL, $100,001.19, $0.00, $-0.05, $1.19
2021-05-25 08:48:00, $99.97, HOLD, $100,001.19, $0.00, $0.00, $1.19
2021-05-25 08:49:00, $99.94, SELL, $100,001.19, $0.00, $0.00, $1.19
2021-05-25 08:50:00, $99.96, BUY, $99,901.23, $99.96, $0.00, $1.19
2021-05-25 08:51:00, $99.94, SELL, $100,001.17, $0.00, $-0.02, $1.17
2021-05-25 08:52:00, $99.89, HOLD, $100,001.17, $0.00, $0.00, $1.17
2021-05-25 08:53:00, $99.85, SELL, $100,001.17, $0.00, $0.00, $1.17
2021-05-25 08:54:00, $99.84, HOLD, $100,001.17, $0.00, $0.00, $1.17
2021-05-25 08:55:00, $99.89, BUY, $99,901.28, $99.89, $0.00, $1.17
2021-05-25 08:58:00, $99.92, HOLD, $99,901.28, $99.89, $0.00, $1.17
2021-05-25 08:59:00, $99.94, BUY, $99,801.34, $199.83, $0.00, $1.17
2021-05-25 09:00:00, $99.94, HOLD, $99,801.34, $199.83, $0.00, $1.17
2021-05-25 09:01:00, $99.93, SELL, $100,001.20, $0.00, $-0.01, $1.20
2021-05-25 09:02:00, $99.92, HOLD, $100,001.20, $0.00, $0.00, $1.20
2021-05-25 09:03:00, $99.89, SELL, $100,001.20, $0.00, $0.00, $1.20
2021-05-25 09:04:00, $99.89, BUY, $99,901.30, $99.89, $0.00, $1.20
2021-05-25 09:06:00, $99.92, HOLD, $99,901.30, $99.89, $0.00, $1.20
2021-05-25 09:07:00, $99.91, SELL, $100,001.21, $0.00, $0.02, $1.21
2021-05-25 09:09:00, $99.90, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:11:00, $99.85, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:12:00, $99.85, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:13:00, $99.84, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:14:00, $99.82, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:15:00, $99.79, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:16:00, $99.75, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:18:00, $99.74, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:19:00, $99.72, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:20:00, $99.69, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:22:00, $99.68, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:24:00, $99.68, HOLD, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:26:00, $99.69, BUY, $99,901.52, $99.69, $0.00, $1.21
2021-05-25 09:27:00, $99.69, SELL, $100,001.21, $0.00, $-0.00, $1.21
2021-05-25 09:28:00, $99.69, SELL, $100,001.21, $0.00, $0.00, $1.21
2021-05-25 09:30:00, $99.71, BUY, $99,901.50, $99.71, $0.00, $1.21
2021-05-25 09:32:00, $99.72, HOLD, $99,901.50, $99.71, $0.00, $1.21
2021-05-25 09:33:00, $99.72, HOLD, $99,901.50, $99.71, $0.00, $1.21
2021-05-25 09:34:00, $99.72, HOLD, $99,901.50, $99.71, $0.00, $1.21
2021-05-25 09:36:00, $99.71, SELL, $100,001.22, $0.00, $0.01, $1.22
2021-05-25 09:37:00, $99.70, HOLD, $100,001.22, $0.00, $0.00, $1.22
2021-05-25 09:40:00, $99.69, SELL, $100,001.22, $0.00, $0.00, $1.22
2021-05-25 09:41:00, $99.69, BUY, $99,901.52, $99.69, $0.00, $1.22
2021-05-25 09:42:00, $99.72, HOLD, $99,901.52, $99.69, $0.00, $1.22
2021-05-25 09:44:00, $99.74, BUY, $99,801.78, $199.44, $0.00, $1.22
2021-05-25 09:45:00, $99.77, HOLD, $99,801.78, $199.44, $0.00, $1.22
2021-05-25 09:46:00, $99.78, BUY, $99,702.00, $299.21, $0.00, $1.22
2021-05-25 09:47:00, $99.79, HOLD, $99,702.00, $299.21, $0.00, $1.22
2021-05-25 09:48:00, $99.78, SELL, $100,001.34, $0.00, $0.00, $1.34
