Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-02-25 23:00:00, $92.21, BUY, $99,907.79, $92.21, $0.00, $0.00
2021-02-28 23:00:00, $92.08, SELL, $99,999.86, $0.00, $-0.14, $-0.14
2021-03-01 23:00:00, $90.53, HOLD, $99,999.86, $0.00, $0.00, $-0.14
2021-03-02 23:00:00, $90.36, SELL, $99,999.86, $0.00, $0.00, $-0.14
2021-03-03 23:00:00, $90.82, BUY, $99,909.04, $90.82, $0.00, $-0.14
2021-03-04 23:00:00, $92.30, HOLD, $99,909.04, $90.82, $0.00, $-0.14
2021-03-07 23:00:00, $92.95, BUY, $99,816.09, $183.77, $0.00, $-0.14
2021-03-08 23:00:00, $93.38, HOLD, $99,816.09, $183.77, $0.00, $-0.14
2021-03-09 23:00:00, $93.75, BUY, $99,722.34, $277.52, $0.00, $-0.14
2021-03-10 23:00:00, $93.72, SELL, $100,003.49, $0.00, $-0.03, $3.49
2021-03-11 23:00:00, $93.08, HOLD, $100,003.49, $0.00, $0.00, $3.49
2021-03-14 23:00:00, $92.51, SELL, $100,003.49, $0.00, $0.00, $3.49
2021-03-15 23:00:00, $92.19, HOLD, $100,003.49, $0.00, $0.00, $3.49
2021-03-16 23:00:00, $91.78, SELL, $100,003.49, $0.00, $0.00, $3.49
2021-03-17 23:00:00, $92.33, BUY, $99,911.16, $92.33, $0.00, $3.49
2021-03-18 23:00:00, $92.46, HOLD, $99,911.16, $92.33, $0.00, $3.49
2021-03-21 23:00:00, $93.62, BUY, $99,817.54, $185.95, $0.00, $3.49
2021-03-22 23:00:00, $94.21, HOLD, $99,817.54, $185.95, $0.00, $3.49
2021-03-23 23:00:00, $95.79, BUY, $99,721.75, $281.74, $0.00, $3.49
2021-03-24 23:00:00, $96.60, HOLD, $99,721.75, $281.74, $0.00, $3.49
2021-03-25 23:00:00, $96.88, BUY, $99,624.86, $378.63, $0.00, $3.49
2021-03-28 23:00:00, $96.46, SELL, $100,010.69, $0.00, $-0.43, $10.69
2021-03-29 23:00:00, $96.69, BUY, $99,914.00, $96.69, $0.00, $10.69
2021-03-30 23:00:00, $97.42, HOLD, $99,914.00, $96.69, $0.00, $10.69
2021-03-31 23:00:00, $97.66, BUY, $99,816.34, $194.35, $0.00, $10.69
2021-04-04 23:00:00, $97.55, SELL, $100,011.44, $0.00, $-0.11, $11.44
2021-04-05 23:00:00, $96.84, HOLD, $100,011.44, $0.00, $0.00, $11.44
2021-04-06 23:00:00, $97.25, BUY, $99,914.19, $97.25, $0.00, $11.44
2021-04-07 23:00:00, $97.79, HOLD, $99,914.19, $97.25, $0.00, $11.44
2021-04-08 23:00:00, $98.23, BUY, $99,815.95, $195.48, $0.00, $11.44
2021-04-11 23:00:00, $98.25, HOLD, $99,815.95, $195.48, $0.00, $11.44
2021-04-12 23:00:00, $98.35, BUY, $99,717.61, $293.83, $0.00, $11.44
2021-04-13 23:00:00, $98.61, HOLD, $99,717.61, $293.83, $0.00, $11.44
2021-04-14 23:00:00, $98.72, BUY, $99,618.89, $392.55, $0.00, $11.44
2021-04-15 23:00:00, $98.58, SELL, $100,013.21, $0.00, $-0.14, $13.21
2021-04-18 23:00:00, $99.93, BUY, $99,913.27, $99.93, $0.00, $13.21
2021-04-19 23:00:00, $100.97, HOLD, $99,913.27, $99.93, $0.00, $13.21
2021-04-20 23:00:00, $102.52, BUY, $99,810.75, $202.46, $0.00, $13.21
2021-04-21 23:00:00, $102.41, SELL, $100,015.58, $0.00, $-0.11, $15.58
2021-04-22 23:00:00, $102.45, BUY, $99,913.13, $102.45, $0.00, $15.58
2021-04-25 23:00:00, $101.90, SELL, $100,015.03, $0.00, $-0.55, $15.03
2021-04-26 23:00:00, $101.53, HOLD, $100,015.03, $0.00, $0.00, $15.03
2021-04-27 23:00:00, $101.14, SELL, $100,015.03, $0.00, $0.00, $15.03
2021-04-28 23:00:00, $101.11, HOLD, $100,015.03, $0.00, $0.00, $15.03
2021-04-29 23:00:00, $101.26, BUY, $99,913.77, $101.26, $0.00, $15.03
2021-05-02 23:00:00, $101.40, HOLD, $99,913.77, $101.26, $0.00, $15.03
2021-05-03 23:00:00, $101.80, BUY, $99,811.97, $203.06, $0.00, $15.03
2021-05-04 23:00:00, $102.29, HOLD, $99,811.97, $203.06, $0.00, $15.03
2021-05-05 23:00:00, $102.95, BUY, $99,709.02, $306.01, $0.00, $15.03
2021-05-06 23:00:00, $102.60, SELL, $100,016.82, $0.00, $-0.35, $16.82
2021-05-09 23:00:00, $101.45, HOLD, $100,016.82, $0.00, $0.00, $16.82
2021-05-10 23:00:00, $100.64, SELL, $100,016.82, $0.00, $0.00, $16.82
2021-05-11 23:00:00, $100.70, BUY, $99,916.12, $100.70, $0.00, $16.82
2021-05-12 23:00:00, $100.94, HOLD, $99,916.12, $100.70, $0.00, $16.82
2021-05-13 23:00:00, $100.33, SELL, $100,016.45, $0.00, $-0.37, $16.45
2021-05-16 23:00:00, $99.22, HOLD, $100,016.45, $0.00, $0.00, $16.45
2021-05-17 23:00:00, $98.51, SELL, $100,016.45, $0.00, $0.00, $16.45
2021-05-18 23:00:00, $98.31, HOLD, $100,016.45, $0.00, $0.00, $16.45
2021-05-19 23:00:00, $98.65, BUY, $99,917.80, $98.65, $0.00, $16.45
2021-05-20 23:00:00, $98.91, HOLD, $99,917.80, $98.65, $0.00, $16.45
