Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 10:30:00, $70.18, BUY, $99,929.82, $70.18, $0.00, $0.00
2021-05-19 10:35:00, $70.22, HOLD, $99,929.82, $70.18, $0.00, $0.00
2021-05-19 10:40:00, $70.27, BUY, $99,859.55, $140.45, $0.00, $0.00
2021-05-19 10:45:00, $70.36, HOLD, $99,859.55, $140.45, $0.00, $0.00
2021-05-19 10:50:00, $70.37, BUY, $99,789.18, $210.82, $0.00, $0.00
2021-05-19 10:55:00, $70.40, HOLD, $99,789.18, $210.82, $0.00, $0.00
2021-05-19 11:00:00, $70.41, BUY, $99,718.77, $281.23, $0.00, $0.00
2021-05-19 11:05:00, $70.47, HOLD, $99,718.77, $281.23, $0.00, $0.00
2021-05-19 11:10:00, $70.48, BUY, $99,648.29, $351.71, $0.00, $0.00
2021-05-19 11:15:00, $70.48, HOLD, $99,648.29, $351.71, $0.00, $0.00
2021-05-19 11:20:00, $70.49, BUY, $99,577.80, $422.20, $0.00, $0.00
2021-05-19 11:25:00, $70.47, SELL, $100,000.65, $0.00, $-0.01, $0.65
2021-05-19 11:30:00, $70.48, BUY, $99,930.17, $70.48, $0.00, $0.65
2021-05-19 11:35:00, $70.49, HOLD, $99,930.17, $70.48, $0.00, $0.65
2021-05-19 11:40:00, $70.53, BUY, $99,859.63, $141.02, $0.00, $0.65
2021-05-19 11:45:00, $70.55, HOLD, $99,859.63, $141.02, $0.00, $0.65
2021-05-19 11:50:00, $70.55, SELL, $100,000.73, $0.00, $0.01, $0.73
2021-05-19 11:55:00, $70.55, SELL, $100,000.73, $0.00, $0.00, $0.73
2021-05-19 12:00:00, $70.57, BUY, $99,930.16, $70.57, $0.00, $0.73
2021-05-19 12:05:00, $70.64, HOLD, $99,930.16, $70.57, $0.00, $0.73
2021-05-19 12:10:00, $70.65, BUY, $99,859.51, $141.22, $0.00, $0.73
2021-05-19 12:15:00, $70.61, SELL, $100,000.73, $0.00, $-0.04, $0.73
2021-05-19 12:20:00, $70.51, HOLD, $100,000.73, $0.00, $0.00, $0.73
2021-05-19 12:25:00, $70.43, SELL, $100,000.73, $0.00, $0.00, $0.73
2021-05-19 12:30:00, $70.36, HOLD, $100,000.73, $0.00, $0.00, $0.73
2021-05-19 12:35:00, $70.36, SELL, $100,000.73, $0.00, $0.00, $0.73
2021-05-19 12:40:00, $70.36, BUY, $99,930.37, $70.36, $0.00, $0.73
2021-05-19 12:45:00, $70.35, SELL, $100,000.72, $0.00, $-0.02, $0.72
2021-05-19 12:50:00, $70.26, HOLD, $100,000.72, $0.00, $0.00, $0.72
2021-05-19 12:55:00, $70.20, SELL, $100,000.72, $0.00, $0.00, $0.72
2021-05-19 13:00:00, $70.16, HOLD, $100,000.72, $0.00, $0.00, $0.72
2021-05-19 13:05:00, $70.17, BUY, $99,930.55, $70.17, $0.00, $0.72
2021-05-19 13:10:00, $70.32, HOLD, $99,930.55, $70.17, $0.00, $0.72
2021-05-19 13:15:00, $70.44, BUY, $99,860.10, $140.61, $0.00, $0.72
2021-05-19 13:20:00, $70.53, HOLD, $99,860.10, $140.61, $0.00, $0.72
2021-05-19 13:25:00, $70.46, SELL, $100,001.03, $0.00, $0.02, $1.03
2021-05-19 13:30:00, $70.39, HOLD, $100,001.03, $0.00, $0.00, $1.03
2021-05-19 13:35:00, $70.31, SELL, $100,001.03, $0.00, $0.00, $1.03
2021-05-19 13:40:00, $70.25, HOLD, $100,001.03, $0.00, $0.00, $1.03
2021-05-19 13:45:00, $70.25, BUY, $99,930.78, $70.25, $0.00, $1.03
2021-05-19 13:50:00, $70.27, HOLD, $99,930.78, $70.25, $0.00, $1.03
2021-05-19 13:55:00, $70.33, BUY, $99,860.45, $140.58, $0.00, $1.03
2021-05-19 14:00:00, $70.39, HOLD, $99,860.45, $140.58, $0.00, $1.03
2021-05-19 14:05:00, $70.49, BUY, $99,789.96, $211.07, $0.00, $1.03
2021-05-19 14:10:00, $70.56, HOLD, $99,789.96, $211.07, $0.00, $1.03
