Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-11 12:30:00, $112.63, BUY, $99,887.37, $112.63, $0.00, $0.00
2021-05-11 12:35:00, $112.67, HOLD, $99,887.37, $112.63, $0.00, $0.00
2021-05-11 12:40:00, $112.65, SELL, $100,000.02, $0.00, $0.02, $0.02
2021-05-11 12:45:00, $112.62, HOLD, $100,000.02, $0.00, $0.00, $0.02
2021-05-11 12:50:00, $112.63, BUY, $99,887.39, $112.63, $0.00, $0.02
2021-05-11 12:55:00, $112.72, HOLD, $99,887.39, $112.63, $0.00, $0.02
2021-05-11 13:00:00, $112.72, SELL, $100,000.11, $0.00, $0.09, $0.11
2021-05-11 13:05:00, $112.64, HOLD, $100,000.11, $0.00, $0.00, $0.11
2021-05-11 13:10:00, $112.61, SELL, $100,000.11, $0.00, $0.00, $0.11
2021-05-11 13:15:00, $112.63, BUY, $99,887.48, $112.63, $0.00, $0.11
2021-05-11 13:20:00, $112.55, SELL, $100,000.03, $0.00, $-0.08, $0.03
2021-05-11 13:25:00, $112.44, HOLD, $100,000.03, $0.00, $0.00, $0.03
2021-05-11 13:30:00, $112.26, SELL, $100,000.03, $0.00, $0.00, $0.03
2021-05-11 13:35:00, $112.30, BUY, $99,887.73, $112.30, $0.00, $0.03
2021-05-11 13:40:00, $112.39, HOLD, $99,887.73, $112.30, $0.00, $0.03
2021-05-11 13:45:00, $112.53, BUY, $99,775.20, $224.83, $0.00, $0.03
2021-05-11 13:50:00, $112.59, HOLD, $99,775.20, $224.83, $0.00, $0.03
2021-05-11 13:55:00, $112.61, BUY, $99,662.59, $337.44, $0.00, $0.03
2021-05-11 14:00:00, $112.59, SELL, $100,000.35, $0.00, $-0.02, $0.35
2021-05-11 14:05:00, $112.61, BUY, $99,887.74, $112.61, $0.00, $0.35
2021-05-11 14:10:00, $112.64, HOLD, $99,887.74, $112.61, $0.00, $0.35
2021-05-11 14:15:00, $112.70, BUY, $99,775.04, $225.31, $0.00, $0.35
2021-05-11 14:20:00, $112.64, SELL, $100,000.31, $0.00, $-0.06, $0.31
2021-05-11 14:25:00, $112.55, HOLD, $100,000.31, $0.00, $0.00, $0.31
2021-05-11 14:30:00, $112.47, SELL, $100,000.31, $0.00, $0.00, $0.31
2021-05-11 14:35:00, $112.54, BUY, $99,887.77, $112.54, $0.00, $0.31
2021-05-11 14:40:00, $112.68, HOLD, $99,887.77, $112.54, $0.00, $0.31
2021-05-11 14:45:00, $112.80, BUY, $99,774.97, $225.34, $0.00, $0.31
2021-05-11 14:50:00, $112.50, SELL, $99,999.97, $0.00, $-0.30, $-0.03
2021-05-11 14:55:00, $112.30, HOLD, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 08:30:00, $112.06, SELL, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 08:35:00, $111.97, HOLD, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 08:40:00, $111.86, SELL, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 08:45:00, $111.64, HOLD, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 08:50:00, $111.49, SELL, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 08:55:00, $111.32, HOLD, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 09:00:00, $111.47, BUY, $99,888.50, $111.47, $0.00, $-0.03
2021-05-12 09:05:00, $111.59, HOLD, $99,888.50, $111.47, $0.00, $-0.03
2021-05-12 09:10:00, $111.72, BUY, $99,776.78, $223.19, $0.00, $-0.03
2021-05-12 09:15:00, $111.61, SELL, $100,000.00, $0.00, $-0.11, $-0.00
2021-05-12 09:20:00, $111.56, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-12 09:25:00, $111.24, SELL, $100,000.00, $0.00, $0.00, $-0.00
2021-05-12 09:30:00, $110.93, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-12 09:35:00, $110.72, SELL, $100,000.00, $0.00, $0.00, $-0.00
2021-05-12 09:40:00, $110.75, BUY, $99,889.25, $110.75, $0.00, $-0.00
2021-05-12 09:45:00, $110.89, HOLD, $99,889.25, $110.75, $0.00, $-0.00
2021-05-12 09:50:00, $111.01, BUY, $99,778.24, $221.76, $0.00, $-0.00
2021-05-12 10:00:00, $111.01, BUY, $99,667.22, $332.77, $0.00, $-0.00
2021-05-12 10:05:00, $110.91, SELL, $99,999.95, $0.00, $-0.11, $-0.05
2021-05-12 10:10:00, $110.85, HOLD, $99,999.95, $0.00, $0.00, $-0.05
2021-05-12 10:15:00, $110.83, SELL, $99,999.95, $0.00, $0.00, $-0.05
2021-05-12 10:20:00, $110.85, BUY, $99,889.10, $110.85, $0.00, $-0.05
2021-05-12 10:25:00, $110.81, SELL, $99,999.91, $0.00, $-0.04, $-0.09
2021-05-12 10:30:00, $110.78, HOLD, $99,999.91, $0.00, $0.00, $-0.09
2021-05-12 10:35:00, $110.75, SELL, $99,999.91, $0.00, $0.00, $-0.09
2021-05-12 10:40:00, $110.75, HOLD, $99,999.91, $0.00, $0.00, $-0.09
2021-05-12 10:45:00, $110.66, SELL, $99,999.91, $0.00, $0.00, $-0.09
2021-05-12 10:50:00, $110.69, BUY, $99,889.22, $110.69, $0.00, $-0.09
2021-05-12 10:55:00, $110.63, SELL, $99,999.86, $0.00, $-0.05, $-0.14
2021-05-12 11:00:00, $110.65, BUY, $99,889.21, $110.65, $0.00, $-0.14
2021-05-12 11:05:00, $110.61, SELL, $99,999.82, $0.00, $-0.04, $-0.18
2021-05-12 11:10:00, $110.64, BUY, $99,889.17, $110.64, $0.00, $-0.18
2021-05-12 11:15:00, $110.64, HOLD, $99,889.17, $110.64, $0.00, $-0.18
2021-05-12 11:20:00, $110.65, BUY, $99,778.52, $221.30, $0.00, $-0.18
2021-05-12 11:25:00, $110.59, SELL, $99,999.71, $0.00, $-0.06, $-0.29
