Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-02-25 23:00:00, $395.47, BUY, $99,604.53, $395.47, $0.00, $0.00
2021-02-28 23:00:00, $385.81, SELL, $99,990.34, $0.00, $-9.66, $-9.66
2021-03-01 23:00:00, $372.37, HOLD, $99,990.34, $0.00, $0.00, $-9.66
2021-03-02 23:00:00, $363.09, SELL, $99,990.34, $0.00, $0.00, $-9.66
2021-03-03 23:00:00, $357.52, HOLD, $99,990.34, $0.00, $0.00, $-9.66
2021-03-04 23:00:00, $359.72, BUY, $99,630.62, $359.72, $0.00, $-9.66
2021-03-07 23:00:00, $357.16, SELL, $99,987.77, $0.00, $-2.56, $-12.23
2021-03-08 23:00:00, $361.99, BUY, $99,625.78, $361.99, $0.00, $-12.23
2021-03-09 23:00:00, $360.28, SELL, $99,986.07, $0.00, $-1.71, $-13.93
2021-03-10 23:00:00, $362.01, BUY, $99,624.06, $362.01, $0.00, $-13.93
2021-03-11 23:00:00, $358.04, SELL, $99,982.10, $0.00, $-3.97, $-17.90
2021-03-14 23:00:00, $356.01, HOLD, $99,982.10, $0.00, $0.00, $-17.90
2021-03-15 23:00:00, $348.58, SELL, $99,982.10, $0.00, $0.00, $-17.90
2021-03-16 23:00:00, $345.14, HOLD, $99,982.10, $0.00, $0.00, $-17.90
2021-03-17 23:00:00, $347.81, BUY, $99,634.29, $347.81, $0.00, $-17.90
2021-03-18 23:00:00, $356.15, HOLD, $99,634.29, $347.81, $0.00, $-17.90
2021-03-21 23:00:00, $360.00, BUY, $99,274.29, $707.80, $0.00, $-17.90
2021-03-22 23:00:00, $355.99, SELL, $99,986.27, $0.00, $-4.01, $-13.73
2021-03-23 23:00:00, $352.26, HOLD, $99,986.27, $0.00, $0.00, $-13.73
2021-03-24 23:00:00, $350.10, SELL, $99,986.27, $0.00, $0.00, $-13.73
2021-03-25 23:00:00, $349.90, HOLD, $99,986.27, $0.00, $0.00, $-13.73
2021-03-28 23:00:00, $352.07, BUY, $99,634.20, $352.07, $0.00, $-13.73
2021-03-29 23:00:00, $357.30, HOLD, $99,634.20, $352.07, $0.00, $-13.73
2021-03-30 23:00:00, $364.43, BUY, $99,269.77, $716.50, $0.00, $-13.73
2021-03-31 23:00:00, $368.89, HOLD, $99,269.77, $716.50, $0.00, $-13.73
2021-04-04 23:00:00, $370.24, BUY, $98,899.53, $1,086.75, $0.00, $-13.73
2021-04-05 23:00:00, $373.54, HOLD, $98,899.53, $1,086.75, $0.00, $-13.73
2021-04-06 23:00:00, $376.84, BUY, $98,522.69, $1,463.59, $0.00, $-13.73
2021-04-07 23:00:00, $382.84, HOLD, $98,522.69, $1,463.59, $0.00, $-13.73
2021-04-08 23:00:00, $386.04, BUY, $98,136.65, $1,849.63, $0.00, $-13.73
2021-04-11 23:00:00, $388.87, HOLD, $98,136.65, $1,849.63, $0.00, $-13.73
2021-04-12 23:00:00, $393.02, BUY, $97,743.62, $2,242.65, $0.00, $-13.73
2021-04-13 23:00:00, $397.01, HOLD, $97,743.62, $2,242.65, $0.00, $-13.73
2021-04-14 23:00:00, $397.49, BUY, $97,346.13, $2,640.15, $0.00, $-13.73
2021-04-15 23:00:00, $394.01, SELL, $100,104.18, $0.00, $-3.49, $104.18
2021-04-18 23:00:00, $394.62, BUY, $99,709.56, $394.62, $0.00, $104.18
2021-04-19 23:00:00, $400.61, HOLD, $99,709.56, $394.62, $0.00, $104.18
2021-04-20 23:00:00, $409.23, BUY, $99,300.33, $803.85, $0.00, $104.18
2021-04-21 23:00:00, $414.89, HOLD, $99,300.33, $803.85, $0.00, $104.18
2021-04-22 23:00:00, $418.52, BUY, $98,881.81, $1,222.37, $0.00, $104.18
2021-04-25 23:00:00, $422.23, HOLD, $98,881.81, $1,222.37, $0.00, $104.18
2021-04-26 23:00:00, $423.53, BUY, $98,458.27, $1,645.90, $0.00, $104.18
2021-04-27 23:00:00, $411.67, SELL, $100,104.94, $0.00, $-11.87, $104.94
2021-04-28 23:00:00, $396.52, HOLD, $100,104.94, $0.00, $0.00, $104.94
2021-04-29 23:00:00, $379.51, SELL, $100,104.94, $0.00, $0.00, $104.94
2021-05-02 23:00:00, $372.88, HOLD, $100,104.94, $0.00, $0.00, $104.94
2021-05-03 23:00:00, $365.10, SELL, $100,104.94, $0.00, $0.00, $104.94
2021-05-04 23:00:00, $360.73, HOLD, $100,104.94, $0.00, $0.00, $104.94
2021-05-05 23:00:00, $352.84, SELL, $100,104.94, $0.00, $0.00, $104.94
2021-05-06 23:00:00, $349.68, HOLD, $100,104.94, $0.00, $0.00, $104.94
2021-05-09 23:00:00, $341.35, SELL, $100,104.94, $0.00, $0.00, $104.94
2021-05-10 23:00:00, $335.15, HOLD, $100,104.94, $0.00, $0.00, $104.94
2021-05-11 23:00:00, $330.37, SELL, $100,104.94, $0.00, $0.00, $104.94
2021-05-12 23:00:00, $327.63, HOLD, $100,104.94, $0.00, $0.00, $104.94
2021-05-13 23:00:00, $329.62, BUY, $99,775.32, $329.62, $0.00, $104.94
2021-05-16 23:00:00, $329.21, SELL, $100,104.53, $0.00, $-0.41, $104.53
2021-05-17 23:00:00, $335.45, BUY, $99,769.08, $335.45, $0.00, $104.53
2021-05-18 23:00:00, $339.56, HOLD, $99,769.08, $335.45, $0.00, $104.53
2021-05-19 23:00:00, $347.26, BUY, $99,421.82, $682.71, $0.00, $104.53
2021-05-20 23:00:00, $350.30, HOLD, $99,421.82, $682.71, $0.00, $104.53
