Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 10:45:00, $138.69, BUY, $99,861.30, $138.69, $0.00, $0.00
2021-05-12 11:00:00, $138.76, HOLD, $99,861.30, $138.69, $0.00, $0.00
2021-05-12 11:15:00, $139.07, BUY, $99,722.24, $277.76, $0.00, $0.00
2021-05-12 11:30:00, $139.42, HOLD, $99,722.24, $277.76, $0.00, $0.00
2021-05-12 11:45:00, $139.48, BUY, $99,582.75, $417.25, $0.00, $0.00
2021-05-12 12:00:00, $139.29, SELL, $100,000.61, $0.00, $-0.20, $0.61
2021-05-12 12:15:00, $139.13, HOLD, $100,000.61, $0.00, $0.00, $0.61
2021-05-12 12:30:00, $139.09, SELL, $100,000.61, $0.00, $0.00, $0.61
2021-05-12 12:45:00, $139.20, BUY, $99,861.41, $139.20, $0.00, $0.61
2021-05-12 13:00:00, $139.51, HOLD, $99,861.41, $139.20, $0.00, $0.61
2021-05-12 13:15:00, $140.10, BUY, $99,721.31, $279.31, $0.00, $0.61
2021-05-12 13:30:00, $140.56, HOLD, $99,721.31, $279.31, $0.00, $0.61
2021-05-12 13:45:00, $140.71, BUY, $99,580.60, $420.02, $0.00, $0.61
2021-05-12 14:00:00, $140.42, SELL, $100,001.85, $0.00, $-0.29, $1.85
2021-05-12 14:15:00, $140.04, HOLD, $100,001.85, $0.00, $0.00, $1.85
2021-05-12 14:30:00, $139.89, SELL, $100,001.85, $0.00, $0.00, $1.85
2021-05-12 14:45:00, $139.92, BUY, $99,861.93, $139.92, $0.00, $1.85
2021-05-13 08:30:00, $140.05, HOLD, $99,861.93, $139.92, $0.00, $1.85
2021-05-13 08:45:00, $140.05, BUY, $99,721.88, $279.97, $0.00, $1.85
2021-05-13 09:00:00, $139.93, SELL, $100,001.74, $0.00, $-0.12, $1.74
2021-05-13 09:15:00, $140.01, BUY, $99,861.72, $140.01, $0.00, $1.74
2021-05-13 09:30:00, $139.84, SELL, $100,001.57, $0.00, $-0.17, $1.57
2021-05-13 09:45:00, $139.74, HOLD, $100,001.57, $0.00, $0.00, $1.57
2021-05-13 10:00:00, $139.38, SELL, $100,001.57, $0.00, $0.00, $1.57
2021-05-13 10:15:00, $139.25, HOLD, $100,001.57, $0.00, $0.00, $1.57
2021-05-13 10:30:00, $139.31, BUY, $99,862.26, $139.31, $0.00, $1.57
2021-05-13 10:45:00, $139.38, HOLD, $99,862.26, $139.31, $0.00, $1.57
2021-05-13 11:00:00, $139.40, BUY, $99,722.85, $278.72, $0.00, $1.57
2021-05-13 11:15:00, $139.08, SELL, $100,001.02, $0.00, $-0.32, $1.02
2021-05-13 11:30:00, $138.69, HOLD, $100,001.02, $0.00, $0.00, $1.02
2021-05-13 11:45:00, $138.42, SELL, $100,001.02, $0.00, $0.00, $1.02
2021-05-13 12:00:00, $138.37, HOLD, $100,001.02, $0.00, $0.00, $1.02
2021-05-13 12:15:00, $138.45, BUY, $99,862.57, $138.45, $0.00, $1.02
2021-05-13 12:30:00, $138.69, HOLD, $99,862.57, $138.45, $0.00, $1.02
2021-05-13 12:45:00, $138.98, BUY, $99,723.59, $277.43, $0.00, $1.02
2021-05-13 13:00:00, $139.17, HOLD, $99,723.59, $277.43, $0.00, $1.02
2021-05-13 13:15:00, $139.13, SELL, $100,001.86, $0.00, $0.16, $1.86
2021-05-13 13:30:00, $139.07, HOLD, $100,001.86, $0.00, $0.00, $1.86
2021-05-13 13:45:00, $139.14, BUY, $99,862.72, $139.14, $0.00, $1.86
2021-05-13 14:00:00, $139.18, HOLD, $99,862.72, $139.14, $0.00, $1.86
2021-05-13 14:15:00, $139.19, BUY, $99,723.54, $278.32, $0.00, $1.86
2021-05-13 14:30:00, $138.99, SELL, $100,001.52, $0.00, $-0.20, $1.52
2021-05-13 14:45:00, $138.81, HOLD, $100,001.52, $0.00, $0.00, $1.52
2021-05-14 08:30:00, $138.67, SELL, $100,001.52, $0.00, $0.00, $1.52
2021-05-14 08:45:00, $138.57, HOLD, $100,001.52, $0.00, $0.00, $1.52
