Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 10:35:00, $111.88, BUY, $99,888.12, $111.88, $0.00, $0.00
2021-05-19 10:40:00, $111.81, SELL, $99,999.93, $0.00, $-0.07, $-0.07
2021-05-19 10:45:00, $111.81, BUY, $99,888.12, $111.81, $0.00, $-0.07
2021-05-19 10:50:00, $111.84, HOLD, $99,888.12, $111.81, $0.00, $-0.07
2021-05-19 10:55:00, $111.90, BUY, $99,776.22, $223.71, $0.00, $-0.07
2021-05-19 11:00:00, $111.95, HOLD, $99,776.22, $223.71, $0.00, $-0.07
2021-05-19 11:05:00, $112.00, BUY, $99,664.23, $335.70, $0.00, $-0.07
2021-05-19 11:10:00, $112.00, HOLD, $99,664.23, $335.70, $0.00, $-0.07
2021-05-19 11:15:00, $111.98, SELL, $100,000.16, $0.00, $-0.02, $0.16
2021-05-19 11:20:00, $111.95, HOLD, $100,000.16, $0.00, $0.00, $0.16
2021-05-19 11:25:00, $111.99, BUY, $99,888.17, $111.99, $0.00, $0.16
2021-05-19 11:30:00, $112.06, HOLD, $99,888.17, $111.99, $0.00, $0.16
2021-05-19 11:35:00, $112.09, BUY, $99,776.07, $224.08, $0.00, $0.16
2021-05-19 11:40:00, $112.11, HOLD, $99,776.07, $224.08, $0.00, $0.16
2021-05-19 11:45:00, $112.09, SELL, $100,000.26, $0.00, $-0.00, $0.26
2021-05-19 11:50:00, $112.13, BUY, $99,888.13, $112.13, $0.00, $0.26
2021-05-19 11:55:00, $112.17, HOLD, $99,888.13, $112.13, $0.00, $0.26
2021-05-19 12:00:00, $112.25, BUY, $99,775.88, $224.38, $0.00, $0.26
2021-05-19 12:05:00, $112.27, HOLD, $99,775.88, $224.38, $0.00, $0.26
2021-05-19 12:10:00, $112.25, SELL, $100,000.39, $0.00, $0.00, $0.39
2021-05-19 12:15:00, $112.26, BUY, $99,888.13, $112.26, $0.00, $0.39
2021-05-19 12:20:00, $112.25, SELL, $100,000.38, $0.00, $-0.00, $0.38
2021-05-19 12:25:00, $112.21, HOLD, $100,000.38, $0.00, $0.00, $0.38
2021-05-19 12:30:00, $112.13, SELL, $100,000.38, $0.00, $0.00, $0.38
2021-05-19 12:35:00, $112.14, BUY, $99,888.24, $112.14, $0.00, $0.38
2021-05-19 12:40:00, $112.22, HOLD, $99,888.24, $112.14, $0.00, $0.38
2021-05-19 12:45:00, $112.28, BUY, $99,775.97, $224.42, $0.00, $0.38
2021-05-19 12:50:00, $112.19, SELL, $100,000.35, $0.00, $-0.09, $0.35
2021-05-19 12:55:00, $112.08, HOLD, $100,000.35, $0.00, $0.00, $0.35
2021-05-19 13:00:00, $111.97, SELL, $100,000.35, $0.00, $0.00, $0.35
2021-05-19 13:05:00, $111.94, HOLD, $100,000.35, $0.00, $0.00, $0.35
2021-05-19 13:10:00, $112.16, BUY, $99,888.19, $112.16, $0.00, $0.35
