Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-11-23 23:00:00, $28.97, BUY, $99,971.03, $28.97, $0.00, $0.00
2020-11-24 23:00:00, $28.70, SELL, $99,999.73, $0.00, $-0.27, $-0.27
2020-11-26 23:00:00, $28.94, BUY, $99,970.79, $28.94, $0.00, $-0.27
2020-11-29 23:00:00, $29.37, HOLD, $99,970.79, $28.94, $0.00, $-0.27
2020-11-30 23:00:00, $29.83, BUY, $99,940.96, $58.77, $0.00, $-0.27
2020-12-01 23:00:00, $29.69, SELL, $100,000.33, $0.00, $-0.15, $0.33
2020-12-02 23:00:00, $29.45, HOLD, $100,000.33, $0.00, $0.00, $0.33
2020-12-03 23:00:00, $29.15, SELL, $100,000.33, $0.00, $0.00, $0.33
2020-12-06 23:00:00, $28.98, HOLD, $100,000.33, $0.00, $0.00, $0.33
2020-12-07 23:00:00, $28.77, SELL, $100,000.33, $0.00, $0.00, $0.33
2020-12-08 23:00:00, $28.72, HOLD, $100,000.33, $0.00, $0.00, $0.33
2020-12-09 23:00:00, $28.58, SELL, $100,000.33, $0.00, $0.00, $0.33
2020-12-10 23:00:00, $28.42, HOLD, $100,000.33, $0.00, $0.00, $0.33
2020-12-13 23:00:00, $28.22, SELL, $100,000.33, $0.00, $0.00, $0.33
2020-12-14 23:00:00, $28.16, HOLD, $100,000.33, $0.00, $0.00, $0.33
2020-12-15 23:00:00, $28.03, SELL, $100,000.33, $0.00, $0.00, $0.33
2020-12-16 23:00:00, $27.80, HOLD, $100,000.33, $0.00, $0.00, $0.33
2020-12-17 23:00:00, $27.40, SELL, $100,000.33, $0.00, $0.00, $0.33
2020-12-20 23:00:00, $27.39, HOLD, $100,000.33, $0.00, $0.00, $0.33
2020-12-21 23:00:00, $27.58, BUY, $99,972.75, $27.58, $0.00, $0.33
2020-12-22 23:00:00, $28.21, HOLD, $99,972.75, $27.58, $0.00, $0.33
2020-12-23 23:00:00, $28.55, BUY, $99,944.21, $56.12, $0.00, $0.33
2020-12-27 23:00:00, $28.79, HOLD, $99,944.21, $56.12, $0.00, $0.33
2020-12-28 23:00:00, $28.79, BUY, $99,915.42, $84.91, $0.00, $0.33
2020-12-29 23:00:00, $28.67, SELL, $100,001.43, $0.00, $-0.12, $1.43
2020-12-30 23:00:00, $28.77, BUY, $99,972.66, $28.77, $0.00, $1.43
2021-01-03 23:00:00, $29.63, HOLD, $99,972.66, $28.77, $0.00, $1.43
2021-01-04 23:00:00, $30.23, BUY, $99,942.42, $59.00, $0.00, $1.43
2021-01-05 23:00:00, $30.44, HOLD, $99,942.42, $59.00, $0.00, $1.43
2021-01-06 23:00:00, $29.85, SELL, $100,002.12, $0.00, $-0.38, $2.12
2021-01-07 23:00:00, $29.50, HOLD, $100,002.12, $0.00, $0.00, $2.12
2021-01-10 23:00:00, $29.40, SELL, $100,002.12, $0.00, $0.00, $2.12
2021-01-11 23:00:00, $29.62, BUY, $99,972.51, $29.62, $0.00, $2.12
2021-01-12 23:00:00, $30.02, HOLD, $99,972.51, $29.62, $0.00, $2.12
2021-01-13 23:00:00, $29.98, SELL, $100,002.48, $0.00, $0.36, $2.48
2021-01-14 23:00:00, $29.84, HOLD, $100,002.48, $0.00, $0.00, $2.48
2021-01-18 23:00:00, $29.67, SELL, $100,002.48, $0.00, $0.00, $2.48
2021-01-19 23:00:00, $29.66, HOLD, $100,002.48, $0.00, $0.00, $2.48
2021-01-20 23:00:00, $29.91, BUY, $99,972.58, $29.91, $0.00, $2.48
2021-01-21 23:00:00, $31.09, HOLD, $99,972.58, $29.91, $0.00, $2.48
2021-01-24 23:00:00, $32.19, BUY, $99,940.38, $62.10, $0.00, $2.48
2021-01-25 23:00:00, $32.16, SELL, $100,004.71, $0.00, $-0.03, $4.71
2021-01-26 23:00:00, $30.99, HOLD, $100,004.71, $0.00, $0.00, $4.71
2021-01-27 23:00:00, $30.38, SELL, $100,004.71, $0.00, $0.00, $4.71
2021-01-28 23:00:00, $30.03, HOLD, $100,004.71, $0.00, $0.00, $4.71
2021-01-31 23:00:00, $29.78, SELL, $100,004.71, $0.00, $0.00, $4.71
2021-02-01 23:00:00, $29.35, HOLD, $100,004.71, $0.00, $0.00, $4.71
2021-02-02 23:00:00, $29.60, BUY, $99,975.11, $29.60, $0.00, $4.71
2021-02-03 23:00:00, $30.40, HOLD, $99,975.11, $29.60, $0.00, $4.71
2021-02-04 23:00:00, $30.52, BUY, $99,944.59, $60.12, $0.00, $4.71
2021-02-07 23:00:00, $30.58, HOLD, $99,944.59, $60.12, $0.00, $4.71
2021-02-08 23:00:00, $30.32, SELL, $100,005.24, $0.00, $-0.20, $5.24
2021-02-09 23:00:00, $30.91, BUY, $99,974.33, $30.91, $0.00, $5.24
2021-02-10 23:00:00, $30.96, HOLD, $99,974.33, $30.91, $0.00, $5.24
2021-02-11 23:00:00, $30.91, SELL, $100,005.24, $0.00, $0.00, $5.24
2021-02-15 23:00:00, $30.78, HOLD, $100,005.24, $0.00, $0.00, $5.24
2021-02-16 23:00:00, $31.35, BUY, $99,973.89, $31.35, $0.00, $5.24
2021-02-17 23:00:00, $32.27, HOLD, $99,973.89, $31.35, $0.00, $5.24
2021-02-18 23:00:00, $32.88, BUY, $99,941.01, $64.23, $0.00, $5.24
2021-02-21 23:00:00, $33.00, HOLD, $99,941.01, $64.23, $0.00, $5.24
2021-02-22 23:00:00, $32.46, SELL, $100,005.93, $0.00, $-0.42, $5.93
2021-02-23 23:00:00, $32.15, HOLD, $100,005.93, $0.00, $0.00, $5.93
2021-02-24 23:00:00, $32.37, BUY, $99,973.55, $32.37, $0.00, $5.93
2021-02-25 23:00:00, $33.80, HOLD, $99,973.55, $32.37, $0.00, $5.93
2021-02-28 23:00:00, $35.52, BUY, $99,938.04, $67.89, $0.00, $5.93
2021-03-01 23:00:00, $36.62, HOLD, $99,938.04, $67.89, $0.00, $5.93
2021-03-02 23:00:00, $37.61, BUY, $99,900.42, $105.50, $0.00, $5.93
2021-03-03 23:00:00, $38.59, HOLD, $99,900.42, $105.50, $0.00, $5.93
2021-03-04 23:00:00, $39.10, BUY, $99,861.32, $144.60, $0.00, $5.93
2021-03-07 23:00:00, $39.08, SELL, $100,017.64, $0.00, $-0.02, $17.64
2021-03-08 23:00:00, $38.88, HOLD, $100,017.64, $0.00, $0.00, $17.64
2021-03-09 23:00:00, $39.46, BUY, $99,978.18, $39.46, $0.00, $17.64
2021-03-10 23:00:00, $39.84, HOLD, $99,978.18, $39.46, $0.00, $17.64
2021-03-11 23:00:00, $40.52, BUY, $99,937.66, $79.98, $0.00, $17.64
2021-03-14 23:00:00, $40.68, HOLD, $99,937.66, $79.98, $0.00, $17.64
2021-03-15 23:00:00, $40.78, BUY, $99,896.88, $120.76, $0.00, $17.64
2021-03-16 23:00:00, $40.41, SELL, $100,018.11, $0.00, $-0.37, $18.11
2021-03-17 23:00:00, $40.63, BUY, $99,977.48, $40.63, $0.00, $18.11
2021-03-18 23:00:00, $40.24, SELL, $100,017.71, $0.00, $-0.40, $17.71
2021-03-21 23:00:00, $39.44, HOLD, $100,017.71, $0.00, $0.00, $17.71
2021-03-22 23:00:00, $38.53, SELL, $100,017.71, $0.00, $0.00, $17.71
2021-03-23 23:00:00, $37.52, HOLD, $100,017.71, $0.00, $0.00, $17.71
2021-03-24 23:00:00, $36.81, SELL, $100,017.71, $0.00, $0.00, $17.71
2021-03-25 23:00:00, $35.96, HOLD, $100,017.71, $0.00, $0.00, $17.71
2021-03-28 23:00:00, $35.55, SELL, $100,017.71, $0.00, $0.00, $17.71
2021-03-29 23:00:00, $35.27, HOLD, $100,017.71, $0.00, $0.00, $17.71
2021-03-30 23:00:00, $35.04, SELL, $100,017.71, $0.00, $0.00, $17.71
2021-03-31 23:00:00, $35.31, BUY, $99,982.41, $35.31, $0.00, $17.71
2021-04-04 23:00:00, $35.61, HOLD, $99,982.41, $35.31, $0.00, $17.71
2021-04-05 23:00:00, $35.77, BUY, $99,946.64, $71.07, $0.00, $17.71
2021-04-06 23:00:00, $35.87, HOLD, $99,946.64, $71.07, $0.00, $17.71
2021-04-07 23:00:00, $35.93, BUY, $99,910.71, $107.01, $0.00, $17.71
2021-04-08 23:00:00, $36.17, HOLD, $99,910.71, $107.01, $0.00, $17.71
2021-04-11 23:00:00, $36.20, BUY, $99,874.51, $143.20, $0.00, $17.71
2021-04-12 23:00:00, $36.43, HOLD, $99,874.51, $143.20, $0.00, $17.71
2021-04-13 23:00:00, $36.55, BUY, $99,837.96, $179.76, $0.00, $17.71
2021-04-14 23:00:00, $36.69, HOLD, $99,837.96, $179.76, $0.00, $17.71
2021-04-15 23:00:00, $36.66, SELL, $100,021.26, $0.00, $0.11, $21.26
2021-04-18 23:00:00, $36.87, BUY, $99,984.39, $36.87, $0.00, $21.26
2021-04-19 23:00:00, $37.04, HOLD, $99,984.39, $36.87, $0.00, $21.26
2021-04-20 23:00:00, $37.26, BUY, $99,947.12, $74.13, $0.00, $21.26
2021-04-21 23:00:00, $37.17, SELL, $100,021.47, $0.00, $-0.09, $21.47
2021-04-22 23:00:00, $37.23, BUY, $99,984.24, $37.23, $0.00, $21.47
2021-04-25 23:00:00, $37.08, SELL, $100,021.32, $0.00, $-0.15, $21.32
2021-04-26 23:00:00, $37.00, HOLD, $100,021.32, $0.00, $0.00, $21.32
2021-04-27 23:00:00, $36.71, SELL, $100,021.32, $0.00, $0.00, $21.32
2021-04-28 23:00:00, $36.33, HOLD, $100,021.32, $0.00, $0.00, $21.32
