Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-05-27 23:00:00, $29.20, BUY, $99,970.80, $29.20, $0.00, $0.00
2020-05-28 23:00:00, $29.32, HOLD, $99,970.80, $29.20, $0.00, $0.00
2020-05-31 23:00:00, $29.87, BUY, $99,940.93, $59.07, $0.00, $0.00
2020-06-01 23:00:00, $30.20, HOLD, $99,940.93, $59.07, $0.00, $0.00
2020-06-02 23:00:00, $30.73, BUY, $99,910.21, $89.80, $0.00, $0.00
2020-06-03 23:00:00, $31.28, HOLD, $99,910.21, $89.80, $0.00, $0.00
2020-06-04 23:00:00, $31.38, BUY, $99,878.83, $121.17, $0.00, $0.00
2020-06-07 23:00:00, $31.13, SELL, $100,003.36, $0.00, $-0.25, $3.36
2020-06-08 23:00:00, $29.67, HOLD, $100,003.36, $0.00, $0.00, $3.36
2020-06-09 23:00:00, $28.72, SELL, $100,003.36, $0.00, $0.00, $3.36
2020-06-10 23:00:00, $28.44, HOLD, $100,003.36, $0.00, $0.00, $3.36
2020-06-11 23:00:00, $28.53, BUY, $99,974.83, $28.53, $0.00, $3.36
2020-06-14 23:00:00, $28.56, HOLD, $99,974.83, $28.53, $0.00, $3.36
2020-06-15 23:00:00, $28.45, SELL, $100,003.28, $0.00, $-0.08, $3.28
2020-06-16 23:00:00, $28.45, SELL, $100,003.28, $0.00, $0.00, $3.28
2020-06-17 23:00:00, $28.47, BUY, $99,974.82, $28.47, $0.00, $3.28
2020-06-18 23:00:00, $28.22, SELL, $100,003.04, $0.00, $-0.24, $3.04
2020-06-21 23:00:00, $27.91, HOLD, $100,003.04, $0.00, $0.00, $3.04
2020-06-22 23:00:00, $27.53, SELL, $100,003.04, $0.00, $0.00, $3.04
2020-06-23 23:00:00, $26.67, HOLD, $100,003.04, $0.00, $0.00, $3.04
2020-06-24 23:00:00, $26.51, SELL, $100,003.04, $0.00, $0.00, $3.04
2020-06-25 23:00:00, $26.46, HOLD, $100,003.04, $0.00, $0.00, $3.04
2020-06-28 23:00:00, $26.88, BUY, $99,976.16, $26.88, $0.00, $3.04
2020-06-29 23:00:00, $26.77, SELL, $100,002.93, $0.00, $-0.11, $2.93
2020-06-30 23:00:00, $26.66, HOLD, $100,002.93, $0.00, $0.00, $2.93
2020-07-01 23:00:00, $26.25, SELL, $100,002.93, $0.00, $0.00, $2.93
2020-07-05 23:00:00, $25.83, HOLD, $100,002.93, $0.00, $0.00, $2.93
2020-07-06 23:00:00, $25.12, SELL, $100,002.93, $0.00, $0.00, $2.93
2020-07-07 23:00:00, $25.00, HOLD, $100,002.93, $0.00, $0.00, $2.93
2020-07-08 23:00:00, $24.89, SELL, $100,002.93, $0.00, $0.00, $2.93
2020-07-09 23:00:00, $25.11, BUY, $99,977.82, $25.11, $0.00, $2.93
2020-07-12 23:00:00, $25.36, HOLD, $99,977.82, $25.11, $0.00, $2.93
2020-07-13 23:00:00, $25.75, BUY, $99,952.07, $50.86, $0.00, $2.93
2020-07-14 23:00:00, $25.83, HOLD, $99,952.07, $50.86, $0.00, $2.93
2020-07-15 23:00:00, $25.39, SELL, $100,002.86, $0.00, $-0.35, $2.86
2020-07-16 23:00:00, $25.15, HOLD, $100,002.86, $0.00, $0.00, $2.86
2020-07-19 23:00:00, $25.36, BUY, $99,977.50, $25.36, $0.00, $2.86
2020-07-20 23:00:00, $25.85, HOLD, $99,977.50, $25.36, $0.00, $2.86
2020-07-21 23:00:00, $26.27, BUY, $99,951.23, $51.63, $0.00, $2.86
2020-07-22 23:00:00, $26.21, SELL, $100,003.65, $0.00, $-0.06, $3.65
2020-07-23 23:00:00, $26.04, HOLD, $100,003.65, $0.00, $0.00, $3.65
2020-07-26 23:00:00, $25.78, SELL, $100,003.65, $0.00, $0.00, $3.65
2020-07-27 23:00:00, $25.81, BUY, $99,977.84, $25.81, $0.00, $3.65
2020-07-28 23:00:00, $25.81, HOLD, $99,977.84, $25.81, $0.00, $3.65
2020-07-29 23:00:00, $25.98, BUY, $99,951.86, $51.79, $0.00, $3.65
2020-07-30 23:00:00, $26.27, HOLD, $99,951.86, $51.79, $0.00, $3.65
2020-08-02 23:00:00, $25.92, SELL, $100,003.70, $0.00, $-0.06, $3.70
2020-08-03 23:00:00, $25.47, HOLD, $100,003.70, $0.00, $0.00, $3.70
2020-08-04 23:00:00, $24.79, SELL, $100,003.70, $0.00, $0.00, $3.70
2020-08-05 23:00:00, $24.68, HOLD, $100,003.70, $0.00, $0.00, $3.70
2020-08-06 23:00:00, $24.58, SELL, $100,003.70, $0.00, $0.00, $3.70
2020-08-09 23:00:00, $24.66, BUY, $99,979.04, $24.66, $0.00, $3.70
2020-08-10 23:00:00, $25.06, HOLD, $99,979.04, $24.66, $0.00, $3.70
2020-08-11 23:00:00, $25.41, BUY, $99,953.63, $50.08, $0.00, $3.70
2020-08-12 23:00:00, $25.63, HOLD, $99,953.63, $50.08, $0.00, $3.70
2020-08-13 23:00:00, $25.65, BUY, $99,927.98, $75.72, $0.00, $3.70
2020-08-16 23:00:00, $25.69, HOLD, $99,927.98, $75.72, $0.00, $3.70
2020-08-17 23:00:00, $25.80, BUY, $99,902.18, $101.52, $0.00, $3.70
2020-08-18 23:00:00, $25.92, HOLD, $99,902.18, $101.52, $0.00, $3.70
2020-08-19 23:00:00, $26.29, BUY, $99,875.89, $127.81, $0.00, $3.70
2020-08-20 23:00:00, $26.63, HOLD, $99,875.89, $127.81, $0.00, $3.70
2020-08-23 23:00:00, $27.01, BUY, $99,848.88, $154.83, $0.00, $3.70
2020-08-24 23:00:00, $27.21, HOLD, $99,848.88, $154.83, $0.00, $3.70
2020-08-25 23:00:00, $27.52, BUY, $99,821.36, $182.34, $0.00, $3.70
2020-08-26 23:00:00, $27.74, HOLD, $99,821.36, $182.34, $0.00, $3.70
2020-08-27 23:00:00, $27.70, SELL, $100,015.26, $0.00, $0.18, $15.26
2020-08-30 23:00:00, $27.72, BUY, $99,987.54, $27.72, $0.00, $15.26
2020-08-31 23:00:00, $27.56, SELL, $100,015.10, $0.00, $-0.16, $15.10
2020-09-01 23:00:00, $27.63, BUY, $99,987.47, $27.63, $0.00, $15.10
2020-09-02 23:00:00, $27.56, SELL, $100,015.03, $0.00, $-0.06, $15.03
2020-09-03 23:00:00, $27.85, BUY, $99,987.19, $27.85, $0.00, $15.03
2020-09-07 23:00:00, $28.03, HOLD, $99,987.19, $27.85, $0.00, $15.03
2020-09-08 23:00:00, $28.18, BUY, $99,959.01, $56.02, $0.00, $15.03
2020-09-09 23:00:00, $28.33, HOLD, $99,959.01, $56.02, $0.00, $15.03
2020-09-10 23:00:00, $28.47, BUY, $99,930.54, $84.50, $0.00, $15.03
2020-09-13 23:00:00, $28.87, HOLD, $99,930.54, $84.50, $0.00, $15.03
2020-09-14 23:00:00, $28.87, SELL, $100,017.15, $0.00, $0.40, $17.15
2020-09-15 23:00:00, $28.65, HOLD, $100,017.15, $0.00, $0.00, $17.15
2020-09-16 23:00:00, $27.80, SELL, $100,017.15, $0.00, $0.00, $17.15
2020-09-17 23:00:00, $27.18, HOLD, $100,017.15, $0.00, $0.00, $17.15
2020-09-20 23:00:00, $26.50, SELL, $100,017.15, $0.00, $0.00, $17.15
2020-09-21 23:00:00, $26.31, HOLD, $100,017.15, $0.00, $0.00, $17.15
2020-09-22 23:00:00, $26.28, SELL, $100,017.15, $0.00, $0.00, $17.15
2020-09-23 23:00:00, $26.92, BUY, $99,990.23, $26.92, $0.00, $17.15
2020-09-24 23:00:00, $27.44, HOLD, $99,990.23, $26.92, $0.00, $17.15
2020-09-27 23:00:00, $27.81, BUY, $99,962.42, $54.73, $0.00, $17.15
2020-09-28 23:00:00, $27.87, HOLD, $99,962.42, $54.73, $0.00, $17.15
2020-09-29 23:00:00, $27.97, BUY, $99,934.44, $82.70, $0.00, $17.15
2020-09-30 23:00:00, $28.26, HOLD, $99,934.44, $82.70, $0.00, $17.15
2020-10-01 23:00:00, $28.23, SELL, $100,019.14, $0.00, $0.26, $19.14
2020-10-04 23:00:00, $28.53, BUY, $99,990.61, $28.53, $0.00, $19.14
2020-10-05 23:00:00, $28.82, HOLD, $99,990.61, $28.53, $0.00, $19.14
2020-10-06 23:00:00, $29.24, BUY, $99,961.38, $57.77, $0.00, $19.14
2020-10-07 23:00:00, $29.23, SELL, $100,019.83, $0.00, $-0.01, $19.83
2020-10-08 23:00:00, $28.45, HOLD, $100,019.83, $0.00, $0.00, $19.83
2020-10-11 23:00:00, $27.70, SELL, $100,019.83, $0.00, $0.00, $19.83
2020-10-12 23:00:00, $27.03, HOLD, $100,019.83, $0.00, $0.00, $19.83
2020-10-13 23:00:00, $26.91, SELL, $100,019.83, $0.00, $0.00, $19.83
2020-10-14 23:00:00, $26.61, HOLD, $100,019.83, $0.00, $0.00, $19.83
2020-10-15 23:00:00, $26.32, SELL, $100,019.83, $0.00, $0.00, $19.83
2020-10-18 23:00:00, $26.22, HOLD, $100,019.83, $0.00, $0.00, $19.83
2020-10-19 23:00:00, $26.69, BUY, $99,993.14, $26.69, $0.00, $19.83
2020-10-20 23:00:00, $27.04, HOLD, $99,993.14, $26.69, $0.00, $19.83
2020-10-21 23:00:00, $26.98, SELL, $100,020.12, $0.00, $0.29, $20.12
2020-10-22 23:00:00, $26.56, HOLD, $100,020.12, $0.00, $0.00, $20.12
2020-10-25 23:00:00, $25.97, SELL, $100,020.12, $0.00, $0.00, $20.12
2020-10-26 23:00:00, $25.69, HOLD, $100,020.12, $0.00, $0.00, $20.12
2020-10-27 23:00:00, $25.80, BUY, $99,994.32, $25.80, $0.00, $20.12
2020-10-28 23:00:00, $26.48, HOLD, $99,994.32, $25.80, $0.00, $20.12
2020-10-29 23:00:00, $26.97, BUY, $99,967.35, $52.77, $0.00, $20.12
2020-11-01 23:00:00, $26.67, SELL, $100,020.69, $0.00, $-0.30, $20.69
2020-11-02 23:00:00, $26.41, HOLD, $100,020.69, $0.00, $0.00, $20.69
2020-11-03 23:00:00, $26.05, SELL, $100,020.69, $0.00, $0.00, $20.69
2020-11-04 23:00:00, $26.27, BUY, $99,994.42, $26.27, $0.00, $20.69
2020-11-05 23:00:00, $26.35, HOLD, $99,994.42, $26.27, $0.00, $20.69
2020-11-08 23:00:00, $26.85, BUY, $99,967.57, $53.12, $0.00, $20.69
2020-11-09 23:00:00, $26.65, SELL, $100,020.86, $0.00, $-0.20, $20.86
2020-11-10 23:00:00, $26.57, HOLD, $100,020.86, $0.00, $0.00, $20.86
2020-11-11 23:00:00, $26.48, SELL, $100,020.86, $0.00, $0.00, $20.86
2020-11-12 23:00:00, $27.32, BUY, $99,993.54, $27.32, $0.00, $20.86
2020-11-15 23:00:00, $27.66, HOLD, $99,993.54, $27.32, $0.00, $20.86
2020-11-16 23:00:00, $27.84, BUY, $99,965.70, $55.16, $0.00, $20.86
2020-11-17 23:00:00, $27.73, SELL, $100,021.16, $0.00, $-0.11, $21.16
2020-11-18 23:00:00, $28.03, BUY, $99,993.14, $28.03, $0.00, $21.16
2020-11-19 23:00:00, $28.61, HOLD, $99,993.14, $28.03, $0.00, $21.16
2020-11-22 23:00:00, $29.11, BUY, $99,964.03, $57.13, $0.00, $21.16
2020-11-23 23:00:00, $29.32, HOLD, $99,964.03, $57.13, $0.00, $21.16
2020-11-24 23:00:00, $29.11, SELL, $100,022.24, $0.00, $0.00, $22.24
2020-11-26 23:00:00, $29.38, BUY, $99,992.86, $29.38, $0.00, $22.24
2020-11-29 23:00:00, $29.86, HOLD, $99,992.86, $29.38, $0.00, $22.24
2020-11-30 23:00:00, $30.35, BUY, $99,962.51, $59.74, $0.00, $22.24
2020-12-01 23:00:00, $30.25, SELL, $100,023.01, $0.00, $-0.10, $23.01
2020-12-02 23:00:00, $29.95, HOLD, $100,023.01, $0.00, $0.00, $23.01
2020-12-03 23:00:00, $29.59, SELL, $100,023.01, $0.00, $0.00, $23.01
2020-12-06 23:00:00, $29.40, HOLD, $100,023.01, $0.00, $0.00, $23.01
2020-12-07 23:00:00, $29.21, SELL, $100,023.01, $0.00, $0.00, $23.01
2020-12-08 23:00:00, $29.23, BUY, $99,993.78, $29.23, $0.00, $23.01
2020-12-09 23:00:00, $29.07, SELL, $100,022.85, $0.00, $-0.16, $22.85
2020-12-10 23:00:00, $28.89, HOLD, $100,022.85, $0.00, $0.00, $22.85
2020-12-13 23:00:00, $28.60, SELL, $100,022.85, $0.00, $0.00, $22.85
2020-12-14 23:00:00, $28.52, HOLD, $100,022.85, $0.00, $0.00, $22.85
2020-12-15 23:00:00, $28.39, SELL, $100,022.85, $0.00, $0.00, $22.85
2020-12-16 23:00:00, $28.14, HOLD, $100,022.85, $0.00, $0.00, $22.85
2020-12-17 23:00:00, $27.72, SELL, $100,022.85, $0.00, $0.00, $22.85
2020-12-20 23:00:00, $27.70, HOLD, $100,022.85, $0.00, $0.00, $22.85
2020-12-21 23:00:00, $27.89, BUY, $99,994.95, $27.89, $0.00, $22.85
2020-12-22 23:00:00, $28.52, HOLD, $99,994.95, $27.89, $0.00, $22.85
2020-12-23 23:00:00, $28.82, BUY, $99,966.13, $56.71, $0.00, $22.85
2020-12-27 23:00:00, $29.08, HOLD, $99,966.13, $56.71, $0.00, $22.85
2020-12-28 23:00:00, $29.07, SELL, $100,024.28, $0.00, $0.25, $24.28
2020-12-29 23:00:00, $29.00, HOLD, $100,024.28, $0.00, $0.00, $24.28
2020-12-30 23:00:00, $29.12, BUY, $99,995.16, $29.12, $0.00, $24.28
2021-01-03 23:00:00, $30.08, HOLD, $99,995.16, $29.12, $0.00, $24.28
2021-01-04 23:00:00, $30.79, BUY, $99,964.37, $59.91, $0.00, $24.28
2021-01-05 23:00:00, $31.01, HOLD, $99,964.37, $59.91, $0.00, $24.28
2021-01-06 23:00:00, $30.46, SELL, $100,025.29, $0.00, $-0.33, $25.29
2021-01-07 23:00:00, $30.06, HOLD, $100,025.29, $0.00, $0.00, $25.29
2021-01-10 23:00:00, $30.02, SELL, $100,025.29, $0.00, $0.00, $25.29
2021-01-11 23:00:00, $30.33, BUY, $99,994.95, $30.33, $0.00, $25.29
