Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 10:45:00, $68.02, BUY, $99,931.98, $68.02, $0.00, $0.00
2021-05-19 10:50:00, $68.08, HOLD, $99,931.98, $68.02, $0.00, $0.00
2021-05-19 10:55:00, $68.13, BUY, $99,863.85, $136.15, $0.00, $0.00
2021-05-19 11:00:00, $68.16, HOLD, $99,863.85, $136.15, $0.00, $0.00
2021-05-19 11:05:00, $68.15, SELL, $100,000.16, $0.00, $0.02, $0.16
2021-05-19 11:10:00, $68.15, HOLD, $100,000.16, $0.00, $0.00, $0.16
2021-05-19 11:15:00, $68.16, BUY, $99,932.00, $68.16, $0.00, $0.16
2021-05-19 11:20:00, $68.16, HOLD, $99,932.00, $68.16, $0.00, $0.16
2021-05-19 11:25:00, $68.18, BUY, $99,863.82, $136.34, $0.00, $0.16
2021-05-19 11:30:00, $68.20, HOLD, $99,863.82, $136.34, $0.00, $0.16
2021-05-19 11:35:00, $68.22, BUY, $99,795.60, $204.56, $0.00, $0.16
2021-05-19 11:40:00, $68.26, HOLD, $99,795.60, $204.56, $0.00, $0.16
2021-05-19 11:45:00, $68.28, BUY, $99,727.31, $272.84, $0.00, $0.16
2021-05-19 11:50:00, $68.33, HOLD, $99,727.31, $272.84, $0.00, $0.16
2021-05-19 11:55:00, $68.37, BUY, $99,658.94, $341.22, $0.00, $0.16
2021-05-19 12:00:00, $68.40, HOLD, $99,658.94, $341.22, $0.00, $0.16
2021-05-19 12:05:00, $68.41, BUY, $99,590.53, $409.62, $0.00, $0.16
2021-05-19 12:10:00, $68.37, SELL, $100,000.75, $0.00, $-0.04, $0.75
2021-05-19 12:15:00, $68.37, HOLD, $100,000.75, $0.00, $0.00, $0.75
2021-05-19 12:20:00, $68.35, SELL, $100,000.75, $0.00, $0.00, $0.75
2021-05-19 12:25:00, $68.38, BUY, $99,932.37, $68.38, $0.00, $0.75
2021-05-19 12:30:00, $68.40, HOLD, $99,932.37, $68.38, $0.00, $0.75
2021-05-19 12:35:00, $68.42, BUY, $99,863.95, $136.80, $0.00, $0.75
2021-05-19 12:40:00, $68.45, HOLD, $99,863.95, $136.80, $0.00, $0.75
2021-05-19 12:45:00, $68.46, BUY, $99,795.49, $205.26, $0.00, $0.75
2021-05-19 12:50:00, $68.45, SELL, $100,000.83, $0.00, $-0.02, $0.83
2021-05-19 12:55:00, $68.36, HOLD, $100,000.83, $0.00, $0.00, $0.83
2021-05-19 13:00:00, $68.26, SELL, $100,000.83, $0.00, $0.00, $0.83
2021-05-19 13:05:00, $68.19, HOLD, $100,000.83, $0.00, $0.00, $0.83
2021-05-19 13:10:00, $68.25, BUY, $99,932.58, $68.25, $0.00, $0.83
2021-05-19 13:15:00, $68.30, HOLD, $99,932.58, $68.25, $0.00, $0.83
2021-05-19 13:20:00, $68.34, BUY, $99,864.24, $136.59, $0.00, $0.83
2021-05-19 13:25:00, $68.28, SELL, $100,000.80, $0.00, $-0.07, $0.80
2021-05-19 13:30:00, $68.23, HOLD, $100,000.80, $0.00, $0.00, $0.80
2021-05-19 13:35:00, $68.19, SELL, $100,000.80, $0.00, $0.00, $0.80
2021-05-19 13:40:00, $68.19, HOLD, $100,000.80, $0.00, $0.00, $0.80
2021-05-19 13:45:00, $68.20, BUY, $99,932.59, $68.20, $0.00, $0.80
2021-05-19 13:50:00, $68.20, SELL, $100,000.79, $0.00, $-0.00, $0.79
2021-05-19 13:55:00, $68.22, BUY, $99,932.57, $68.22, $0.00, $0.79
2021-05-19 14:00:00, $68.27, HOLD, $99,932.57, $68.22, $0.00, $0.79
2021-05-19 14:05:00, $68.33, BUY, $99,864.24, $136.55, $0.00, $0.79
2021-05-19 14:10:00, $68.39, HOLD, $99,864.24, $136.55, $0.00, $0.79
2021-05-19 14:15:00, $68.41, BUY, $99,795.83, $204.96, $0.00, $0.79
2021-05-19 14:20:00, $68.43, HOLD, $99,795.83, $204.96, $0.00, $0.79
2021-05-19 14:25:00, $68.41, SELL, $100,001.05, $0.00, $-0.00, $1.06
2021-05-19 14:30:00, $68.38, HOLD, $100,001.05, $0.00, $0.00, $1.06
