Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $62.98, BUY, $99,937.02, $62.98, $0.00, $0.00
2019-05-29 23:00:00, $63.07, HOLD, $99,937.02, $62.98, $0.00, $0.00
2019-05-30 23:00:00, $63.39, BUY, $99,873.63, $126.37, $0.00, $0.00
2019-06-02 23:00:00, $64.12, HOLD, $99,873.63, $126.37, $0.00, $0.00
2019-06-03 23:00:00, $64.15, BUY, $99,809.48, $190.52, $0.00, $0.00
2019-06-04 23:00:00, $64.50, HOLD, $99,809.48, $190.52, $0.00, $0.00
2019-06-05 23:00:00, $65.06, BUY, $99,744.41, $255.59, $0.00, $0.00
2019-06-06 23:00:00, $65.86, HOLD, $99,744.41, $255.59, $0.00, $0.00
2019-06-09 23:00:00, $66.34, BUY, $99,678.07, $321.93, $0.00, $0.00
2019-06-10 23:00:00, $66.63, HOLD, $99,678.07, $321.93, $0.00, $0.00
2019-06-11 23:00:00, $66.71, BUY, $99,611.37, $388.63, $0.00, $0.00
2019-06-12 23:00:00, $66.82, HOLD, $99,611.37, $388.63, $0.00, $0.00
2019-06-13 23:00:00, $67.23, BUY, $99,544.14, $455.86, $0.00, $0.00
2019-06-16 23:00:00, $67.87, HOLD, $99,544.14, $455.86, $0.00, $0.00
2019-06-17 23:00:00, $68.35, BUY, $99,475.79, $524.21, $0.00, $0.00
2019-06-18 23:00:00, $68.74, HOLD, $99,475.79, $524.21, $0.00, $0.00
2019-06-19 23:00:00, $68.93, BUY, $99,406.86, $593.14, $0.00, $0.00
2019-06-20 23:00:00, $68.91, SELL, $100,027.05, $0.00, $-0.02, $27.05
2019-06-23 23:00:00, $68.00, HOLD, $100,027.05, $0.00, $0.00, $27.05
2019-06-24 23:00:00, $67.40, SELL, $100,027.05, $0.00, $0.00, $27.05
2019-06-25 23:00:00, $67.09, HOLD, $100,027.05, $0.00, $0.00, $27.05
2019-06-26 23:00:00, $67.48, BUY, $99,959.57, $67.48, $0.00, $27.05
2019-06-27 23:00:00, $68.08, HOLD, $99,959.57, $67.48, $0.00, $27.05
2019-06-30 23:00:00, $68.56, BUY, $99,891.01, $136.04, $0.00, $27.05
2019-07-01 23:00:00, $68.80, HOLD, $99,891.01, $136.04, $0.00, $27.05
2019-07-02 23:00:00, $68.35, SELL, $100,027.70, $0.00, $-0.21, $27.70
2019-07-04 23:00:00, $67.93, HOLD, $100,027.70, $0.00, $0.00, $27.70
2019-07-07 23:00:00, $67.57, SELL, $100,027.70, $0.00, $0.00, $27.70
2019-07-08 23:00:00, $67.13, HOLD, $100,027.70, $0.00, $0.00, $27.70
2019-07-09 23:00:00, $66.64, SELL, $100,027.70, $0.00, $0.00, $27.70
2019-07-10 23:00:00, $66.84, BUY, $99,960.86, $66.84, $0.00, $27.70
2019-07-11 23:00:00, $67.09, HOLD, $99,960.86, $66.84, $0.00, $27.70
2019-07-14 23:00:00, $67.31, BUY, $99,893.56, $134.15, $0.00, $27.70
2019-07-15 23:00:00, $67.02, SELL, $100,027.60, $0.00, $-0.29, $27.60
2019-07-16 23:00:00, $66.38, HOLD, $100,027.60, $0.00, $0.00, $27.60
2019-07-17 23:00:00, $65.72, SELL, $100,027.60, $0.00, $0.00, $27.60
2019-07-18 23:00:00, $65.45, HOLD, $100,027.60, $0.00, $0.00, $27.60
2019-07-21 23:00:00, $65.99, BUY, $99,961.61, $65.99, $0.00, $27.60
2019-07-22 23:00:00, $66.47, HOLD, $99,961.61, $65.99, $0.00, $27.60
2019-07-23 23:00:00, $66.65, BUY, $99,894.96, $132.63, $0.00, $27.60
2019-07-24 23:00:00, $67.06, HOLD, $99,894.96, $132.63, $0.00, $27.60
2019-07-25 23:00:00, $67.31, BUY, $99,827.65, $199.94, $0.00, $27.60
2019-07-28 23:00:00, $66.83, SELL, $100,028.14, $0.00, $-0.48, $28.14
2019-07-29 23:00:00, $66.03, HOLD, $100,028.14, $0.00, $0.00, $28.14
2019-07-30 23:00:00, $65.31, SELL, $100,028.14, $0.00, $0.00, $28.14
2019-07-31 23:00:00, $64.59, HOLD, $100,028.14, $0.00, $0.00, $28.14
2019-08-01 23:00:00, $64.09, SELL, $100,028.14, $0.00, $0.00, $28.14
2019-08-04 23:00:00, $63.73, HOLD, $100,028.14, $0.00, $0.00, $28.14
2019-08-05 23:00:00, $64.22, BUY, $99,963.92, $64.22, $0.00, $28.14
2019-08-06 23:00:00, $64.65, HOLD, $99,963.92, $64.22, $0.00, $28.14
2019-08-07 23:00:00, $64.69, BUY, $99,899.23, $128.91, $0.00, $28.14
2019-08-08 23:00:00, $64.51, SELL, $100,028.25, $0.00, $-0.18, $28.25
2019-08-11 23:00:00, $63.80, HOLD, $100,028.25, $0.00, $0.00, $28.25
2019-08-12 23:00:00, $63.43, SELL, $100,028.25, $0.00, $0.00, $28.25
2019-08-13 23:00:00, $63.04, HOLD, $100,028.25, $0.00, $0.00, $28.25
2019-08-14 23:00:00, $63.37, BUY, $99,964.88, $63.37, $0.00, $28.25
2019-08-15 23:00:00, $63.56, HOLD, $99,964.88, $63.37, $0.00, $28.25
2019-08-18 23:00:00, $63.90, BUY, $99,900.99, $127.26, $0.00, $28.25
2019-08-19 23:00:00, $63.94, HOLD, $99,900.99, $127.26, $0.00, $28.25
2019-08-20 23:00:00, $63.64, SELL, $100,028.26, $0.00, $-0.26, $28.26
2019-08-21 23:00:00, $63.27, HOLD, $100,028.26, $0.00, $0.00, $28.26
2019-08-22 23:00:00, $62.96, SELL, $100,028.26, $0.00, $0.00, $28.26
2019-08-25 23:00:00, $63.33, BUY, $99,964.93, $63.33, $0.00, $28.26
2019-08-26 23:00:00, $63.56, HOLD, $99,964.93, $63.33, $0.00, $28.26
2019-08-27 23:00:00, $63.64, BUY, $99,901.30, $126.96, $0.00, $28.26
2019-08-28 23:00:00, $63.41, SELL, $100,028.12, $0.00, $-0.22, $28.12
2019-08-29 23:00:00, $63.26, HOLD, $100,028.12, $0.00, $0.00, $28.12
2019-09-02 23:00:00, $63.44, BUY, $99,964.69, $63.44, $0.00, $28.12
2019-09-03 23:00:00, $64.05, HOLD, $99,964.69, $63.44, $0.00, $28.12
2019-09-04 23:00:00, $65.06, BUY, $99,899.62, $128.50, $0.00, $28.12
2019-09-05 23:00:00, $66.08, HOLD, $99,899.62, $128.50, $0.00, $28.12
2019-09-08 23:00:00, $67.16, BUY, $99,832.46, $195.66, $0.00, $28.12
2019-09-09 23:00:00, $67.17, HOLD, $99,832.46, $195.66, $0.00, $28.12
2019-09-10 23:00:00, $66.98, SELL, $100,033.39, $0.00, $-0.18, $33.39
2019-09-11 23:00:00, $66.25, HOLD, $100,033.39, $0.00, $0.00, $33.39
2019-09-12 23:00:00, $66.19, SELL, $100,033.39, $0.00, $0.00, $33.39
2019-09-15 23:00:00, $65.92, HOLD, $100,033.39, $0.00, $0.00, $33.39
2019-09-16 23:00:00, $65.95, BUY, $99,967.45, $65.95, $0.00, $33.39
2019-09-17 23:00:00, $66.02, HOLD, $99,967.45, $65.95, $0.00, $33.39
2019-09-18 23:00:00, $66.02, HOLD, $99,967.45, $65.95, $0.00, $33.39
2019-09-19 23:00:00, $65.56, SELL, $100,033.01, $0.00, $-0.38, $33.01
2019-09-22 23:00:00, $64.83, HOLD, $100,033.01, $0.00, $0.00, $33.01
2019-09-23 23:00:00, $64.03, SELL, $100,033.01, $0.00, $0.00, $33.01
2019-09-24 23:00:00, $63.47, HOLD, $100,033.01, $0.00, $0.00, $33.01
2019-09-25 23:00:00, $63.20, SELL, $100,033.01, $0.00, $0.00, $33.01
2019-09-26 23:00:00, $63.17, HOLD, $100,033.01, $0.00, $0.00, $33.01
2019-09-29 23:00:00, $62.74, SELL, $100,033.01, $0.00, $0.00, $33.01
2019-09-30 23:00:00, $62.36, HOLD, $100,033.01, $0.00, $0.00, $33.01
2019-10-01 23:00:00, $62.14, SELL, $100,033.01, $0.00, $0.00, $33.01
2019-10-02 23:00:00, $62.51, BUY, $99,970.50, $62.51, $0.00, $33.01
2019-10-03 23:00:00, $62.32, SELL, $100,032.82, $0.00, $-0.19, $32.82
2019-10-06 23:00:00, $62.13, HOLD, $100,032.82, $0.00, $0.00, $32.82
2019-10-07 23:00:00, $62.30, BUY, $99,970.52, $62.30, $0.00, $32.82
2019-10-08 23:00:00, $63.07, HOLD, $99,970.52, $62.30, $0.00, $32.82
2019-10-09 23:00:00, $63.91, BUY, $99,906.61, $126.22, $0.00, $32.82
2019-10-10 23:00:00, $64.60, HOLD, $99,906.61, $126.22, $0.00, $32.82
2019-10-13 23:00:00, $65.06, BUY, $99,841.55, $191.27, $0.00, $32.82
2019-10-14 23:00:00, $65.29, HOLD, $99,841.55, $191.27, $0.00, $32.82
2019-10-15 23:00:00, $65.16, SELL, $100,037.04, $0.00, $0.11, $37.04
2019-10-16 23:00:00, $65.12, HOLD, $100,037.04, $0.00, $0.00, $37.04
2019-10-17 23:00:00, $65.33, BUY, $99,971.71, $65.33, $0.00, $37.04
2019-10-20 23:00:00, $65.88, HOLD, $99,971.71, $65.33, $0.00, $37.04
2019-10-21 23:00:00, $66.14, BUY, $99,905.57, $131.47, $0.00, $37.04
2019-10-22 23:00:00, $65.30, SELL, $100,036.17, $0.00, $-0.84, $36.17
2019-10-23 23:00:00, $64.35, HOLD, $100,036.17, $0.00, $0.00, $36.17
2019-10-24 23:00:00, $63.50, SELL, $100,036.17, $0.00, $0.00, $36.17
2019-10-27 23:00:00, $63.44, HOLD, $100,036.17, $0.00, $0.00, $36.17
2019-10-28 23:00:00, $63.44, SELL, $100,036.17, $0.00, $0.00, $36.17
2019-10-29 23:00:00, $63.84, BUY, $99,972.32, $63.84, $0.00, $36.17
2019-10-30 23:00:00, $64.54, HOLD, $99,972.32, $63.84, $0.00, $36.17
2019-10-31 23:00:00, $65.11, BUY, $99,907.22, $128.95, $0.00, $36.17
2019-11-03 23:00:00, $65.36, HOLD, $99,907.22, $128.95, $0.00, $36.17
2019-11-04 23:00:00, $64.93, SELL, $100,037.08, $0.00, $-0.17, $37.08
2019-11-05 23:00:00, $64.92, HOLD, $100,037.08, $0.00, $0.00, $37.08
2019-11-06 23:00:00, $64.67, SELL, $100,037.08, $0.00, $0.00, $37.08
2019-11-07 23:00:00, $64.78, BUY, $99,972.30, $64.78, $0.00, $37.08
2019-11-10 23:00:00, $64.10, SELL, $100,036.40, $0.00, $-0.68, $36.40
2019-11-11 23:00:00, $63.82, HOLD, $100,036.40, $0.00, $0.00, $36.40
2019-11-12 23:00:00, $64.06, BUY, $99,972.34, $64.06, $0.00, $36.40
2019-11-13 23:00:00, $64.39, HOLD, $99,972.34, $64.06, $0.00, $36.40
2019-11-14 23:00:00, $64.78, BUY, $99,907.56, $128.85, $0.00, $36.40
2019-11-17 23:00:00, $64.72, SELL, $100,037.00, $0.00, $-0.06, $37.00
2019-11-18 23:00:00, $65.20, BUY, $99,971.80, $65.20, $0.00, $37.00
2019-11-19 23:00:00, $65.29, HOLD, $99,971.80, $65.20, $0.00, $37.00
2019-11-20 23:00:00, $66.08, BUY, $99,905.73, $131.27, $0.00, $37.00
2019-11-21 23:00:00, $66.59, HOLD, $99,905.73, $131.27, $0.00, $37.00
2019-11-24 23:00:00, $67.21, BUY, $99,838.51, $198.49, $0.00, $37.00
2019-11-25 23:00:00, $67.23, HOLD, $99,838.51, $198.49, $0.00, $37.00
2019-11-26 23:00:00, $66.84, SELL, $100,039.03, $0.00, $-0.37, $39.03
2019-11-28 23:00:00, $66.48, HOLD, $100,039.03, $0.00, $0.00, $39.03
2019-12-01 23:00:00, $66.31, SELL, $100,039.03, $0.00, $0.00, $39.03
