Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-21 12:04:00, $2,346.93, BUY, $97,653.07, $2,346.93, $0.00, $0.00
2021-05-21 12:05:00, $2,346.39, SELL, $99,999.46, $0.00, $-0.54, $-0.54
2021-05-21 12:07:00, $2,345.36, HOLD, $99,999.46, $0.00, $0.00, $-0.54
2021-05-21 12:10:00, $2,345.00, SELL, $99,999.46, $0.00, $0.00, $-0.54
2021-05-21 12:12:00, $2,344.52, HOLD, $99,999.46, $0.00, $0.00, $-0.54
2021-05-21 12:23:00, $2,345.81, BUY, $97,653.65, $2,345.81, $0.00, $-0.54
2021-05-21 12:26:00, $2,347.87, HOLD, $97,653.65, $2,345.81, $0.00, $-0.54
2021-05-21 12:30:00, $2,349.90, BUY, $95,303.75, $4,695.71, $0.00, $-0.54
2021-05-21 12:34:00, $2,350.26, HOLD, $95,303.75, $4,695.71, $0.00, $-0.54
2021-05-21 12:47:00, $2,348.95, SELL, $100,001.64, $0.00, $-0.95, $1.64
2021-05-21 12:48:00, $2,347.94, HOLD, $100,001.64, $0.00, $0.00, $1.64
2021-05-21 12:49:00, $2,347.57, SELL, $100,001.64, $0.00, $0.00, $1.64
2021-05-21 12:52:00, $2,347.52, HOLD, $100,001.64, $0.00, $0.00, $1.64
2021-05-21 12:54:00, $2,348.10, BUY, $97,653.55, $2,348.10, $0.00, $1.64
2021-05-21 12:55:00, $2,348.65, HOLD, $97,653.55, $2,348.10, $0.00, $1.64
2021-05-21 12:59:00, $2,348.79, BUY, $95,304.76, $4,696.89, $0.00, $1.64
2021-05-21 13:00:00, $2,348.30, SELL, $100,001.35, $0.00, $-0.49, $1.35
2021-05-21 13:01:00, $2,348.61, BUY, $97,652.74, $2,348.61, $0.00, $1.35
2021-05-21 13:04:00, $2,348.19, SELL, $100,000.92, $0.00, $-0.43, $0.92
2021-05-21 13:08:00, $2,348.42, BUY, $97,652.51, $2,348.42, $0.00, $0.92
2021-05-21 13:19:00, $2,347.38, SELL, $99,999.89, $0.00, $-1.03, $-0.11
2021-05-21 13:21:00, $2,346.29, HOLD, $99,999.89, $0.00, $0.00, $-0.11
2021-05-21 13:28:00, $2,345.97, SELL, $99,999.89, $0.00, $0.00, $-0.11
2021-05-21 13:38:00, $2,346.15, BUY, $97,653.74, $2,346.15, $0.00, $-0.11
2021-05-21 13:45:00, $2,347.61, HOLD, $97,653.74, $2,346.15, $0.00, $-0.11
2021-05-21 13:46:00, $2,348.24, BUY, $95,305.50, $4,694.39, $0.00, $-0.11
2021-05-21 13:52:00, $2,348.68, HOLD, $95,305.50, $4,694.39, $0.00, $-0.11
2021-05-21 13:53:00, $2,348.81, BUY, $92,956.69, $7,043.20, $0.00, $-0.11
2021-05-21 14:00:00, $2,347.96, SELL, $100,000.57, $0.00, $-0.85, $0.57
2021-05-21 14:03:00, $2,347.25, HOLD, $100,000.57, $0.00, $0.00, $0.57
2021-05-21 14:06:00, $2,347.46, BUY, $97,653.11, $2,347.46, $0.00, $0.57
2021-05-21 14:09:00, $2,348.91, HOLD, $97,653.11, $2,347.46, $0.00, $0.57
2021-05-21 14:13:00, $2,349.53, BUY, $95,303.58, $4,696.99, $0.00, $0.57
2021-05-21 14:15:00, $2,349.70, HOLD, $95,303.58, $4,696.99, $0.00, $0.57
2021-05-21 14:19:00, $2,349.26, SELL, $100,002.09, $0.00, $-0.28, $2.09
2021-05-21 14:21:00, $2,348.70, HOLD, $100,002.09, $0.00, $0.00, $2.09
2021-05-21 14:23:00, $2,347.87, SELL, $100,002.09, $0.00, $0.00, $2.09
2021-05-21 14:25:00, $2,347.05, HOLD, $100,002.09, $0.00, $0.00, $2.09
2021-05-21 14:27:00, $2,347.39, BUY, $97,654.70, $2,347.39, $0.00, $2.09
2021-05-21 14:30:00, $2,347.74, HOLD, $97,654.70, $2,347.39, $0.00, $2.09
2021-05-21 14:35:00, $2,348.29, BUY, $95,306.42, $4,695.68, $0.00, $2.09
2021-05-21 14:36:00, $2,348.35, HOLD, $95,306.42, $4,695.68, $0.00, $2.09
2021-05-21 14:38:00, $2,348.27, SELL, $100,002.96, $0.00, $-0.02, $2.96
2021-05-21 14:39:00, $2,348.06, HOLD, $100,002.96, $0.00, $0.00, $2.96
2021-05-21 14:44:00, $2,347.69, SELL, $100,002.96, $0.00, $0.00, $2.96
2021-05-21 14:45:00, $2,347.76, BUY, $97,655.19, $2,347.76, $0.00, $2.96
2021-05-21 14:49:00, $2,347.82, HOLD, $97,655.19, $2,347.76, $0.00, $2.96
2021-05-21 14:50:00, $2,348.93, BUY, $95,306.26, $4,696.70, $0.00, $2.96
2021-05-21 14:51:00, $2,349.38, HOLD, $95,306.26, $4,696.70, $0.00, $2.96
2021-05-21 14:52:00, $2,348.09, SELL, $100,002.44, $0.00, $-0.84, $2.44
2021-05-21 14:53:00, $2,346.72, HOLD, $100,002.44, $0.00, $0.00, $2.44
2021-05-21 14:54:00, $2,344.58, SELL, $100,002.44, $0.00, $0.00, $2.44
2021-05-21 14:55:00, $2,344.46, HOLD, $100,002.44, $0.00, $0.00, $2.44
2021-05-21 14:57:00, $2,343.75, SELL, $100,002.44, $0.00, $0.00, $2.44
2021-05-21 14:58:00, $2,350.90, BUY, $97,651.54, $2,350.90, $0.00, $2.44
2021-05-21 14:59:00, $2,358.89, HOLD, $97,651.54, $2,350.90, $0.00, $2.44
2021-05-24 08:30:00, $2,369.37, BUY, $95,282.17, $4,720.27, $0.00, $2.44
2021-05-24 08:31:00, $2,373.26, HOLD, $95,282.17, $4,720.27, $0.00, $2.44
2021-05-24 08:32:00, $2,375.17, BUY, $92,907.00, $7,095.44, $0.00, $2.44
2021-05-24 08:33:00, $2,374.12, SELL, $100,029.35, $0.00, $-1.06, $29.35
2021-05-24 08:34:00, $2,373.73, HOLD, $100,029.35, $0.00, $0.00, $29.35
2021-05-24 08:35:00, $2,374.04, BUY, $97,655.31, $2,374.04, $0.00, $29.35
2021-05-24 08:36:00, $2,374.46, HOLD, $97,655.31, $2,374.04, $0.00, $29.35
2021-05-24 08:37:00, $2,376.76, BUY, $95,278.55, $4,750.79, $0.00, $29.35
2021-05-24 08:39:00, $2,379.22, HOLD, $95,278.55, $4,750.79, $0.00, $29.35
2021-05-24 08:41:00, $2,381.83, BUY, $92,896.73, $7,132.62, $0.00, $29.35
2021-05-24 08:42:00, $2,382.26, HOLD, $92,896.73, $7,132.62, $0.00, $29.35
2021-05-24 08:43:00, $2,381.47, SELL, $100,041.15, $0.00, $-0.35, $41.15
2021-05-24 08:45:00, $2,380.12, HOLD, $100,041.15, $0.00, $0.00, $41.15
2021-05-24 08:46:00, $2,376.24, SELL, $100,041.15, $0.00, $0.00, $41.15
2021-05-24 08:47:00, $2,375.28, HOLD, $100,041.15, $0.00, $0.00, $41.15
2021-05-24 08:48:00, $2,375.34, BUY, $97,665.80, $2,375.34, $0.00, $41.15
2021-05-24 08:50:00, $2,378.09, HOLD, $97,665.80, $2,375.34, $0.00, $41.15
2021-05-24 08:52:00, $2,379.22, BUY, $95,286.58, $4,754.56, $0.00, $41.15
2021-05-24 08:54:00, $2,381.36, HOLD, $95,286.58, $4,754.56, $0.00, $41.15
2021-05-24 08:55:00, $2,385.07, BUY, $92,901.51, $7,139.64, $0.00, $41.15
2021-05-24 08:58:00, $2,389.15, HOLD, $92,901.51, $7,139.64, $0.00, $41.15
2021-05-24 09:00:00, $2,391.98, BUY, $90,509.53, $9,531.62, $0.00, $41.15
2021-05-24 09:02:00, $2,392.29, HOLD, $90,509.53, $9,531.62, $0.00, $41.15
2021-05-24 09:06:00, $2,391.96, SELL, $100,077.38, $0.00, $-0.02, $77.38
2021-05-24 09:07:00, $2,393.22, BUY, $97,684.16, $2,393.22, $0.00, $77.38
2021-05-24 09:09:00, $2,394.71, HOLD, $97,684.16, $2,393.22, $0.00, $77.38
2021-05-24 09:14:00, $2,396.77, BUY, $95,287.39, $4,789.99, $0.00, $77.38
2021-05-24 09:15:00, $2,398.70, HOLD, $95,287.39, $4,789.99, $0.00, $77.38
2021-05-24 09:16:00, $2,397.90, SELL, $100,083.18, $0.00, $1.13, $83.18
2021-05-24 09:30:00, $2,399.44, BUY, $97,683.74, $2,399.44, $0.00, $83.18
2021-05-24 09:34:00, $2,398.34, SELL, $100,082.09, $0.00, $-1.10, $82.09
2021-05-24 09:41:00, $2,400.31, BUY, $97,681.78, $2,400.31, $0.00, $82.09
2021-05-24 09:43:00, $2,400.22, SELL, $100,082.00, $0.00, $-0.09, $82.00
2021-05-24 09:46:00, $2,400.50, BUY, $97,681.50, $2,400.50, $0.00, $82.00
2021-05-24 09:49:00, $2,400.67, HOLD, $97,681.50, $2,400.50, $0.00, $82.00
2021-05-24 09:53:00, $2,400.32, SELL, $100,081.82, $0.00, $-0.18, $81.82
2021-05-24 09:54:00, $2,401.24, BUY, $97,680.58, $2,401.24, $0.00, $81.82
2021-05-24 09:55:00, $2,400.94, SELL, $100,081.52, $0.00, $-0.30, $81.52
2021-05-24 09:59:00, $2,401.66, BUY, $97,679.86, $2,401.66, $0.00, $81.52
2021-05-24 10:06:00, $2,401.86, HOLD, $97,679.86, $2,401.66, $0.00, $81.52
2021-05-24 10:17:00, $2,403.28, BUY, $95,276.58, $4,804.93, $0.00, $81.52
