Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 09:15:00, $80.55, BUY, $99,919.45, $80.55, $0.00, $0.00
2021-05-19 09:30:00, $80.70, HOLD, $99,919.45, $80.55, $0.00, $0.00
2021-05-19 09:45:00, $80.89, BUY, $99,838.56, $161.44, $0.00, $0.00
2021-05-19 10:00:00, $80.94, HOLD, $99,838.56, $161.44, $0.00, $0.00
2021-05-19 10:15:00, $80.84, SELL, $100,000.23, $0.00, $-0.06, $0.23
2021-05-19 10:30:00, $80.81, HOLD, $100,000.23, $0.00, $0.00, $0.23
2021-05-19 10:45:00, $80.88, BUY, $99,919.35, $80.88, $0.00, $0.23
2021-05-19 11:00:00, $80.96, HOLD, $99,919.35, $80.88, $0.00, $0.23
2021-05-19 11:15:00, $80.97, BUY, $99,838.38, $161.85, $0.00, $0.23
2021-05-19 12:00:00, $80.97, BUY, $99,757.41, $242.83, $0.00, $0.23
2021-05-19 12:15:00, $81.01, HOLD, $99,757.41, $242.83, $0.00, $0.23
2021-05-19 12:30:00, $80.94, SELL, $100,000.24, $0.00, $-0.03, $0.24
2021-05-19 12:45:00, $80.96, BUY, $99,919.28, $80.96, $0.00, $0.24
2021-05-19 13:00:00, $80.97, HOLD, $99,919.28, $80.96, $0.00, $0.24
2021-05-19 13:15:00, $81.10, BUY, $99,838.17, $162.06, $0.00, $0.24
2021-05-19 13:30:00, $81.20, HOLD, $99,838.17, $162.06, $0.00, $0.24
2021-05-19 13:45:00, $81.34, BUY, $99,756.83, $243.41, $0.00, $0.24
2021-05-19 14:00:00, $81.43, HOLD, $99,756.83, $243.41, $0.00, $0.24
2021-05-19 14:15:00, $81.54, BUY, $99,675.29, $324.94, $0.00, $0.24
2021-05-19 14:30:00, $82.04, HOLD, $99,675.29, $324.94, $0.00, $0.24
2021-05-19 14:45:00, $82.67, BUY, $99,592.62, $407.61, $0.00, $0.24
2021-05-20 08:30:00, $83.30, HOLD, $99,592.62, $407.61, $0.00, $0.24
2021-05-20 08:45:00, $83.49, BUY, $99,509.13, $491.11, $0.00, $0.24
2021-05-20 09:00:00, $83.65, HOLD, $99,509.13, $491.11, $0.00, $0.24
2021-05-20 09:15:00, $83.82, BUY, $99,425.31, $574.92, $0.00, $0.24
2021-05-20 09:30:00, $83.91, HOLD, $99,425.31, $574.92, $0.00, $0.24
2021-05-20 09:45:00, $84.02, BUY, $99,341.29, $658.95, $0.00, $0.24
2021-05-20 10:00:00, $84.06, HOLD, $99,341.29, $658.95, $0.00, $0.24
2021-05-20 10:15:00, $84.23, BUY, $99,257.06, $743.18, $0.00, $0.24
2021-05-20 10:30:00, $84.28, HOLD, $99,257.06, $743.18, $0.00, $0.24
2021-05-20 10:45:00, $84.35, BUY, $99,172.71, $827.53, $0.00, $0.24
2021-05-20 11:00:00, $84.24, SELL, $100,015.14, $0.00, $-0.11, $15.14
2021-05-20 11:15:00, $84.23, HOLD, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 11:30:00, $84.15, SELL, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 11:45:00, $84.14, HOLD, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 12:00:00, $83.95, SELL, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 12:15:00, $83.71, HOLD, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 12:30:00, $83.48, SELL, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 12:45:00, $83.34, HOLD, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 13:00:00, $83.26, SELL, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 13:15:00, $83.24, HOLD, $100,015.14, $0.00, $0.00, $15.14
2021-05-20 13:30:00, $83.25, BUY, $99,931.89, $83.25, $0.00, $15.14
2021-05-20 13:45:00, $83.35, HOLD, $99,931.89, $83.25, $0.00, $15.14
2021-05-20 14:00:00, $83.42, BUY, $99,848.47, $166.67, $0.00, $15.14
2021-05-20 14:15:00, $83.48, HOLD, $99,848.47, $166.67, $0.00, $15.14
2021-05-20 14:30:00, $83.61, BUY, $99,764.86, $250.29, $0.00, $15.14
2021-05-20 14:45:00, $83.64, HOLD, $99,764.86, $250.29, $0.00, $15.14
2021-05-21 08:15:00, $83.64, BUY, $99,681.21, $333.93, $0.00, $15.14
2021-05-21 08:30:00, $83.54, SELL, $100,015.37, $0.00, $-0.11, $15.37
2021-05-21 08:45:00, $83.49, HOLD, $100,015.37, $0.00, $0.00, $15.37
2021-05-21 09:15:00, $83.36, SELL, $100,015.37, $0.00, $0.00, $15.37
2021-05-21 09:30:00, $83.34, HOLD, $100,015.37, $0.00, $0.00, $15.37
2021-05-21 09:45:00, $83.35, BUY, $99,932.02, $83.35, $0.00, $15.37
2021-05-21 10:00:00, $83.38, HOLD, $99,932.02, $83.35, $0.00, $15.37
2021-05-21 10:15:00, $83.24, SELL, $100,015.26, $0.00, $-0.11, $15.26
2021-05-21 10:30:00, $83.15, HOLD, $100,015.26, $0.00, $0.00, $15.26
2021-05-21 10:45:00, $83.05, SELL, $100,015.26, $0.00, $0.00, $15.26
2021-05-21 11:00:00, $82.99, HOLD, $100,015.26, $0.00, $0.00, $15.26
2021-05-21 11:15:00, $82.86, SELL, $100,015.26, $0.00, $0.00, $15.26
2021-05-21 11:30:00, $82.78, HOLD, $100,015.26, $0.00, $0.00, $15.26
2021-05-21 11:45:00, $82.78, HOLD, $100,015.26, $0.00, $0.00, $15.26
2021-05-21 12:00:00, $82.82, BUY, $99,932.43, $82.82, $0.00, $15.26
2021-05-21 12:15:00, $82.90, HOLD, $99,932.43, $82.82, $0.00, $15.26
2021-05-21 12:30:00, $82.89, SELL, $100,015.32, $0.00, $0.07, $15.32
2021-05-21 12:45:00, $82.88, HOLD, $100,015.32, $0.00, $0.00, $15.32
2021-05-21 13:00:00, $82.84, SELL, $100,015.32, $0.00, $0.00, $15.32
2021-05-21 13:15:00, $82.86, BUY, $99,932.46, $82.86, $0.00, $15.32
2021-05-21 13:30:00, $82.83, SELL, $100,015.29, $0.00, $-0.03, $15.29
2021-05-21 13:45:00, $82.81, HOLD, $100,015.29, $0.00, $0.00, $15.29
2021-05-21 14:00:00, $82.78, SELL, $100,015.29, $0.00, $0.00, $15.29
2021-05-21 14:15:00, $82.76, HOLD, $100,015.29, $0.00, $0.00, $15.29
2021-05-21 14:30:00, $83.12, BUY, $99,932.18, $83.12, $0.00, $15.29
2021-05-21 14:45:00, $83.40, HOLD, $99,932.18, $83.12, $0.00, $15.29
2021-05-24 08:30:00, $83.66, BUY, $99,848.52, $166.77, $0.00, $15.29
2021-05-24 08:45:00, $83.60, SELL, $100,015.71, $0.00, $-0.06, $15.71
2021-05-24 09:00:00, $83.63, BUY, $99,932.08, $83.63, $0.00, $15.71
2021-05-24 09:15:00, $83.75, HOLD, $99,932.08, $83.63, $0.00, $15.71
2021-05-24 09:30:00, $83.78, BUY, $99,848.30, $167.41, $0.00, $15.71
2021-05-24 09:45:00, $83.80, HOLD, $99,848.30, $167.41, $0.00, $15.71
2021-05-24 10:00:00, $83.70, SELL, $100,015.69, $0.00, $-0.08, $15.69
2021-05-24 10:15:00, $83.59, HOLD, $100,015.69, $0.00, $0.00, $15.69
2021-05-24 10:30:00, $83.29, SELL, $100,015.69, $0.00, $0.00, $15.69
2021-05-24 10:45:00, $83.05, HOLD, $100,015.69, $0.00, $0.00, $15.69
2021-05-24 11:15:00, $82.97, SELL, $100,015.69, $0.00, $0.00, $15.69
2021-05-24 11:45:00, $83.04, BUY, $99,932.65, $83.04, $0.00, $15.69
2021-05-24 12:00:00, $83.16, HOLD, $99,932.65, $83.04, $0.00, $15.69
2021-05-24 12:15:00, $83.16, BUY, $99,849.49, $166.20, $0.00, $15.69
2021-05-24 12:30:00, $83.22, HOLD, $99,849.49, $166.20, $0.00, $15.69
2021-05-24 12:45:00, $83.19, SELL, $100,015.87, $0.00, $0.03, $15.87
2021-05-24 13:00:00, $83.19, BUY, $99,932.68, $83.19, $0.00, $15.87
2021-05-24 13:15:00, $83.18, SELL, $100,015.85, $0.00, $-0.02, $15.85
2021-05-24 13:45:00, $83.18, BUY, $99,932.67, $83.18, $0.00, $15.85
2021-05-24 14:00:00, $83.12, SELL, $100,015.79, $0.00, $-0.06, $15.79
2021-05-24 14:15:00, $83.00, HOLD, $100,015.79, $0.00, $0.00, $15.79
2021-05-24 14:30:00, $82.78, SELL, $100,015.79, $0.00, $0.00, $15.79
