Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:45:00, $56.68, BUY, $99,943.32, $56.68, $0.00, $0.00
2021-05-25 10:50:00, $56.67, SELL, $100,000.00, $0.00, $-0.00, $-0.00
2021-05-25 10:55:00, $56.69, BUY, $99,943.31, $56.69, $0.00, $-0.00
2021-05-25 11:00:00, $56.68, SELL, $99,999.99, $0.00, $-0.01, $-0.01
2021-05-25 11:05:00, $56.67, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:10:00, $56.64, SELL, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:15:00, $56.63, HOLD, $99,999.99, $0.00, $0.00, $-0.01
2021-05-25 11:20:00, $56.65, BUY, $99,943.33, $56.65, $0.00, $-0.01
2021-05-25 11:25:00, $56.67, HOLD, $99,943.33, $56.65, $0.00, $-0.01
2021-05-25 11:30:00, $56.70, BUY, $99,886.64, $113.35, $0.00, $-0.01
2021-05-25 11:35:00, $56.70, BUY, $99,829.94, $170.04, $0.00, $-0.01
2021-05-25 11:40:00, $56.69, SELL, $100,000.00, $0.00, $-0.01, $-0.00
2021-05-25 11:45:00, $56.68, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-25 11:50:00, $56.63, SELL, $100,000.00, $0.00, $0.00, $-0.00
2021-05-25 11:55:00, $56.62, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-25 12:00:00, $56.63, BUY, $99,943.37, $56.63, $0.00, $-0.00
2021-05-25 12:05:00, $56.69, HOLD, $99,943.37, $56.63, $0.00, $-0.00
2021-05-25 12:10:00, $56.76, BUY, $99,886.62, $113.38, $0.00, $-0.00
2021-05-25 12:15:00, $56.80, HOLD, $99,886.62, $113.38, $0.00, $-0.00
2021-05-25 12:20:00, $56.83, BUY, $99,829.79, $170.21, $0.00, $-0.00
2021-05-25 12:25:00, $56.83, HOLD, $99,829.79, $170.21, $0.00, $-0.00
2021-05-25 12:30:00, $56.81, SELL, $100,000.22, $0.00, $-0.02, $0.22
2021-05-25 12:35:00, $56.81, HOLD, $100,000.22, $0.00, $0.00, $0.22
2021-05-25 12:40:00, $56.82, BUY, $99,943.41, $56.82, $0.00, $0.22
2021-05-25 12:45:00, $56.84, HOLD, $99,943.41, $56.82, $0.00, $0.22
2021-05-25 12:50:00, $56.80, SELL, $100,000.20, $0.00, $-0.02, $0.20
2021-05-25 12:55:00, $56.77, HOLD, $100,000.20, $0.00, $0.00, $0.20
2021-05-25 13:00:00, $56.76, SELL, $100,000.20, $0.00, $0.00, $0.20
2021-05-25 13:05:00, $56.78, BUY, $99,943.42, $56.78, $0.00, $0.20
2021-05-25 13:10:00, $56.79, HOLD, $99,943.42, $56.78, $0.00, $0.20
2021-05-25 13:15:00, $56.77, SELL, $100,000.20, $0.00, $-0.01, $0.20
2021-05-25 13:20:00, $56.76, HOLD, $100,000.20, $0.00, $0.00, $0.20
2021-05-25 13:25:00, $56.75, SELL, $100,000.20, $0.00, $0.00, $0.20
2021-05-25 13:30:00, $56.76, BUY, $99,943.43, $56.76, $0.00, $0.20
2021-05-25 13:35:00, $56.78, HOLD, $99,943.43, $56.76, $0.00, $0.20
2021-05-25 13:40:00, $56.78, BUY, $99,886.65, $113.55, $0.00, $0.20
2021-05-25 13:45:00, $56.77, SELL, $100,000.19, $0.00, $-0.01, $0.19
2021-05-25 13:50:00, $56.75, HOLD, $100,000.19, $0.00, $0.00, $0.19
2021-05-25 13:55:00, $56.74, SELL, $100,000.19, $0.00, $0.00, $0.19
2021-05-25 14:00:00, $56.71, HOLD, $100,000.19, $0.00, $0.00, $0.19
2021-05-25 14:05:00, $56.71, HOLD, $100,000.19, $0.00, $0.00, $0.19
2021-05-25 14:10:00, $56.73, BUY, $99,943.47, $56.73, $0.00, $0.19
2021-05-25 14:15:00, $56.75, HOLD, $99,943.47, $56.73, $0.00, $0.19
2021-05-25 14:20:00, $56.74, SELL, $100,000.21, $0.00, $0.01, $0.21
2021-05-25 14:25:00, $56.74, BUY, $99,943.46, $56.74, $0.00, $0.21
2021-05-25 14:30:00, $56.75, HOLD, $99,943.46, $56.74, $0.00, $0.21
2021-05-25 14:35:00, $56.77, BUY, $99,886.69, $113.51, $0.00, $0.21
2021-05-25 14:40:00, $56.75, SELL, $100,000.20, $0.00, $-0.02, $0.20
2021-05-25 14:45:00, $56.78, BUY, $99,943.42, $56.78, $0.00, $0.20
2021-05-25 14:50:00, $56.93, HOLD, $99,943.42, $56.78, $0.00, $0.20
2021-05-25 14:55:00, $57.07, BUY, $99,886.35, $113.85, $0.00, $0.20
2021-05-26 08:30:00, $57.15, HOLD, $99,886.35, $113.85, $0.00, $0.20
2021-05-26 08:35:00, $57.10, SELL, $100,000.54, $0.00, $0.03, $0.54
2021-05-26 08:40:00, $57.06, HOLD, $100,000.54, $0.00, $0.00, $0.54
2021-05-26 08:45:00, $57.01, SELL, $100,000.54, $0.00, $0.00, $0.54
2021-05-26 08:50:00, $56.95, HOLD, $100,000.54, $0.00, $0.00, $0.54
2021-05-26 08:55:00, $56.92, SELL, $100,000.54, $0.00, $0.00, $0.54
