Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 08:45:00, $44.20, BUY, $99,955.80, $44.20, $0.00, $0.00
2021-05-25 08:46:00, $44.22, HOLD, $99,955.80, $44.20, $0.00, $0.00
2021-05-25 08:47:00, $44.22, SELL, $100,000.02, $0.00, $0.02, $0.02
2021-05-25 08:48:00, $44.23, BUY, $99,955.79, $44.23, $0.00, $0.02
2021-05-25 08:50:00, $44.26, HOLD, $99,955.79, $44.23, $0.00, $0.02
2021-05-25 08:51:00, $44.29, BUY, $99,911.50, $88.52, $0.00, $0.02
2021-05-25 08:53:00, $44.27, SELL, $100,000.05, $0.00, $-0.01, $0.05
2021-05-25 08:55:00, $44.25, HOLD, $100,000.05, $0.00, $0.00, $0.05
2021-05-25 08:56:00, $44.24, SELL, $100,000.05, $0.00, $0.00, $0.05
2021-05-25 08:57:00, $44.26, BUY, $99,955.79, $44.26, $0.00, $0.05
2021-05-25 08:58:00, $44.27, HOLD, $99,955.79, $44.26, $0.00, $0.05
2021-05-25 08:59:00, $44.29, BUY, $99,911.50, $88.55, $0.00, $0.05
2021-05-25 09:01:00, $44.28, SELL, $100,000.07, $0.00, $-0.00, $0.07
2021-05-25 09:02:00, $44.26, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:03:00, $44.24, SELL, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:04:00, $44.22, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:05:00, $44.21, SELL, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:08:00, $44.18, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:10:00, $44.16, SELL, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:11:00, $44.14, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:12:00, $44.12, SELL, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:13:00, $44.11, HOLD, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:17:00, $44.08, SELL, $100,000.07, $0.00, $0.00, $0.07
2021-05-25 09:18:00, $44.09, BUY, $99,955.99, $44.09, $0.00, $0.07
2021-05-25 09:19:00, $44.10, HOLD, $99,955.99, $44.09, $0.00, $0.07
2021-05-25 09:20:00, $44.11, BUY, $99,911.88, $88.19, $0.00, $0.07
