Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2018-05-24 23:00:00, $58.00, BUY, $99,942.00, $58.00, $0.00, $0.00
2018-05-28 23:00:00, $57.90, SELL, $99,999.90, $0.00, $-0.10, $-0.10
2018-05-29 23:00:00, $57.98, BUY, $99,941.92, $57.98, $0.00, $-0.10
2018-05-30 23:00:00, $57.84, SELL, $99,999.76, $0.00, $-0.13, $-0.24
2018-05-31 23:00:00, $58.00, BUY, $99,941.76, $58.00, $0.00, $-0.24
2018-06-03 23:00:00, $58.09, HOLD, $99,941.76, $58.00, $0.00, $-0.24
2018-06-04 23:00:00, $57.84, SELL, $99,999.61, $0.00, $-0.15, $-0.39
2018-06-05 23:00:00, $58.02, BUY, $99,941.58, $58.02, $0.00, $-0.39
2018-06-06 23:00:00, $58.67, HOLD, $99,941.58, $58.02, $0.00, $-0.39
2018-06-07 23:00:00, $59.49, BUY, $99,882.09, $117.52, $0.00, $-0.39
2018-06-10 23:00:00, $60.03, HOLD, $99,882.09, $117.52, $0.00, $-0.39
2018-06-11 23:00:00, $60.30, BUY, $99,821.79, $177.82, $0.00, $-0.39
2018-06-12 23:00:00, $60.80, HOLD, $99,821.79, $177.82, $0.00, $-0.39
2018-06-13 23:00:00, $61.05, BUY, $99,760.74, $238.87, $0.00, $-0.39
2018-06-14 23:00:00, $61.54, HOLD, $99,760.74, $238.87, $0.00, $-0.39
2018-06-17 23:00:00, $62.02, BUY, $99,698.72, $300.89, $0.00, $-0.39
2018-06-18 23:00:00, $62.59, HOLD, $99,698.72, $300.89, $0.00, $-0.39
2018-06-19 23:00:00, $62.94, BUY, $99,635.78, $363.83, $0.00, $-0.39
2018-06-20 23:00:00, $63.04, HOLD, $99,635.78, $363.83, $0.00, $-0.39
2018-06-21 23:00:00, $63.25, BUY, $99,572.53, $427.08, $0.00, $-0.39
2018-06-24 23:00:00, $63.08, SELL, $100,014.07, $0.00, $-0.17, $14.07
2018-06-25 23:00:00, $62.85, HOLD, $100,014.07, $0.00, $0.00, $14.07
2018-06-26 23:00:00, $62.72, SELL, $100,014.07, $0.00, $0.00, $14.07
2018-06-27 23:00:00, $62.52, HOLD, $100,014.07, $0.00, $0.00, $14.07
2018-06-28 23:00:00, $62.52, BUY, $99,951.55, $62.52, $0.00, $14.07
2018-07-01 23:00:00, $62.89, HOLD, $99,951.55, $62.52, $0.00, $14.07
2018-07-02 23:00:00, $63.67, BUY, $99,887.87, $126.19, $0.00, $14.07
2018-07-04 23:00:00, $64.11, HOLD, $99,887.87, $126.19, $0.00, $14.07
2018-07-05 23:00:00, $64.14, BUY, $99,823.74, $190.33, $0.00, $14.07
2018-07-08 23:00:00, $63.91, SELL, $100,015.46, $0.00, $-0.23, $15.46
2018-07-09 23:00:00, $63.79, HOLD, $100,015.46, $0.00, $0.00, $15.46
2018-07-10 23:00:00, $63.74, SELL, $100,015.46, $0.00, $0.00, $15.46
2018-07-11 23:00:00, $63.38, HOLD, $100,015.46, $0.00, $0.00, $15.46
2018-07-12 23:00:00, $63.18, SELL, $100,015.46, $0.00, $0.00, $15.46
2018-07-15 23:00:00, $62.43, HOLD, $100,015.46, $0.00, $0.00, $15.46
2018-07-16 23:00:00, $61.99, SELL, $100,015.46, $0.00, $0.00, $15.46
2018-07-17 23:00:00, $61.20, HOLD, $100,015.46, $0.00, $0.00, $15.46
2018-07-18 23:00:00, $60.77, SELL, $100,015.46, $0.00, $0.00, $15.46
2018-07-19 23:00:00, $60.21, HOLD, $100,015.46, $0.00, $0.00, $15.46
2018-07-22 23:00:00, $59.93, SELL, $100,015.46, $0.00, $0.00, $15.46
2018-07-23 23:00:00, $60.00, BUY, $99,955.45, $60.00, $0.00, $15.46
2018-07-24 23:00:00, $60.20, HOLD, $99,955.45, $60.00, $0.00, $15.46
2018-07-25 23:00:00, $60.34, BUY, $99,895.11, $120.35, $0.00, $15.46
2018-07-26 23:00:00, $60.26, SELL, $100,015.63, $0.00, $-0.08, $15.63
2018-07-29 23:00:00, $59.94, HOLD, $100,015.63, $0.00, $0.00, $15.63
2018-07-30 23:00:00, $59.64, SELL, $100,015.63, $0.00, $0.00, $15.63
2018-07-31 23:00:00, $61.05, BUY, $99,954.58, $61.05, $0.00, $15.63
2018-08-01 23:00:00, $62.07, HOLD, $99,954.58, $61.05, $0.00, $15.63
2018-08-02 23:00:00, $62.70, BUY, $99,891.87, $123.76, $0.00, $15.63
2018-08-05 23:00:00, $61.30, SELL, $100,014.47, $0.00, $-1.40, $14.47
2018-08-06 23:00:00, $60.52, HOLD, $100,014.47, $0.00, $0.00, $14.47
2018-08-07 23:00:00, $59.97, SELL, $100,014.47, $0.00, $0.00, $14.47
2018-08-08 23:00:00, $59.64, HOLD, $100,014.47, $0.00, $0.00, $14.47
2018-08-09 23:00:00, $59.48, SELL, $100,014.47, $0.00, $0.00, $14.47
2018-08-12 23:00:00, $59.30, HOLD, $100,014.47, $0.00, $0.00, $14.47
2018-08-13 23:00:00, $59.55, BUY, $99,954.92, $59.55, $0.00, $14.47
2018-08-14 23:00:00, $60.05, HOLD, $99,954.92, $59.55, $0.00, $14.47
2018-08-15 23:00:00, $60.56, BUY, $99,894.36, $120.11, $0.00, $14.47
2018-08-16 23:00:00, $60.49, SELL, $100,015.35, $0.00, $-0.07, $15.35
2018-08-19 23:00:00, $60.00, HOLD, $100,015.35, $0.00, $0.00, $15.35
2018-08-20 23:00:00, $59.39, SELL, $100,015.35, $0.00, $0.00, $15.35
2018-08-21 23:00:00, $59.12, HOLD, $100,015.35, $0.00, $0.00, $15.35
2018-08-22 23:00:00, $59.13, BUY, $99,956.22, $59.13, $0.00, $15.35
2018-08-23 23:00:00, $59.13, HOLD, $99,956.22, $59.13, $0.00, $15.35
2018-08-26 23:00:00, $59.23, BUY, $99,897.00, $118.35, $0.00, $15.35
2018-08-27 23:00:00, $58.77, SELL, $100,014.54, $0.00, $-0.45, $14.54
2018-08-28 23:00:00, $58.60, HOLD, $100,014.54, $0.00, $0.00, $14.54
2018-08-29 23:00:00, $57.71, SELL, $100,014.54, $0.00, $0.00, $14.54
2018-08-30 23:00:00, $57.31, HOLD, $100,014.54, $0.00, $0.00, $14.54
2018-09-03 23:00:00, $56.81, SELL, $100,014.54, $0.00, $0.00, $14.54
2018-09-04 23:00:00, $56.80, HOLD, $100,014.54, $0.00, $0.00, $14.54
2018-09-05 23:00:00, $56.88, BUY, $99,957.67, $56.88, $0.00, $14.54
2018-09-06 23:00:00, $57.20, HOLD, $99,957.67, $56.88, $0.00, $14.54
2018-09-09 23:00:00, $58.04, BUY, $99,899.63, $114.92, $0.00, $14.54
2018-09-10 23:00:00, $58.79, HOLD, $99,899.63, $114.92, $0.00, $14.54
2018-09-11 23:00:00, $59.19, BUY, $99,840.44, $174.11, $0.00, $14.54
2018-09-12 23:00:00, $58.93, SELL, $100,017.24, $0.00, $-0.26, $17.24
2018-09-13 23:00:00, $58.14, HOLD, $100,017.24, $0.00, $0.00, $17.24
2018-09-16 23:00:00, $57.44, SELL, $100,017.24, $0.00, $0.00, $17.24
2018-09-17 23:00:00, $57.18, HOLD, $100,017.24, $0.00, $0.00, $17.24
2018-09-18 23:00:00, $57.19, BUY, $99,960.04, $57.19, $0.00, $17.24
2018-09-19 23:00:00, $57.07, SELL, $100,017.11, $0.00, $-0.12, $17.11
2018-09-20 23:00:00, $56.43, HOLD, $100,017.11, $0.00, $0.00, $17.11
2018-09-23 23:00:00, $55.78, SELL, $100,017.11, $0.00, $0.00, $17.11
2018-09-24 23:00:00, $55.29, HOLD, $100,017.11, $0.00, $0.00, $17.11
2018-09-25 23:00:00, $55.11, SELL, $100,017.11, $0.00, $0.00, $17.11
2018-09-26 23:00:00, $55.23, BUY, $99,961.88, $55.23, $0.00, $17.11
2018-09-27 23:00:00, $55.53, HOLD, $99,961.88, $55.23, $0.00, $17.11
2018-09-30 23:00:00, $55.69, BUY, $99,906.20, $110.92, $0.00, $17.11
2018-10-01 23:00:00, $55.69, BUY, $99,850.51, $166.60, $0.00, $17.11
2018-10-02 23:00:00, $55.68, SELL, $100,017.54, $0.00, $-0.01, $17.54
2018-10-03 23:00:00, $56.17, BUY, $99,961.37, $56.17, $0.00, $17.54
2018-10-04 23:00:00, $56.35, HOLD, $99,961.37, $56.17, $0.00, $17.54
2018-10-07 23:00:00, $56.29, SELL, $100,017.67, $0.00, $0.13, $17.67
2018-10-08 23:00:00, $55.21, HOLD, $100,017.67, $0.00, $0.00, $17.67
2018-10-09 23:00:00, $54.60, SELL, $100,017.67, $0.00, $0.00, $17.67
2018-10-10 23:00:00, $54.17, HOLD, $100,017.67, $0.00, $0.00, $17.67
2018-10-11 23:00:00, $54.71, BUY, $99,962.95, $54.71, $0.00, $17.67
2018-10-14 23:00:00, $55.44, HOLD, $99,962.95, $54.71, $0.00, $17.67
2018-10-15 23:00:00, $55.79, BUY, $99,907.16, $110.51, $0.00, $17.67
2018-10-16 23:00:00, $56.50, HOLD, $99,907.16, $110.51, $0.00, $17.67
2018-10-17 23:00:00, $56.43, SELL, $100,020.03, $0.00, $0.64, $20.03
2018-10-18 23:00:00, $56.79, BUY, $99,963.24, $56.79, $0.00, $20.03
2018-10-21 23:00:00, $56.19, SELL, $100,019.43, $0.00, $-0.59, $19.43
2018-10-22 23:00:00, $56.11, HOLD, $100,019.43, $0.00, $0.00, $19.43
2018-10-23 23:00:00, $55.45, SELL, $100,019.43, $0.00, $0.00, $19.43
2018-10-24 23:00:00, $55.37, HOLD, $100,019.43, $0.00, $0.00, $19.43
2018-10-25 23:00:00, $55.33, SELL, $100,019.43, $0.00, $0.00, $19.43
2018-10-28 23:00:00, $55.44, BUY, $99,963.99, $55.44, $0.00, $19.43
2018-10-29 23:00:00, $55.63, HOLD, $99,963.99, $55.44, $0.00, $19.43
2018-10-30 23:00:00, $53.92, SELL, $100,017.91, $0.00, $-1.52, $17.91
2018-10-31 23:00:00, $53.05, HOLD, $100,017.91, $0.00, $0.00, $17.91
2018-11-01 23:00:00, $52.18, SELL, $100,017.91, $0.00, $0.00, $17.91
2018-11-04 23:00:00, $53.12, BUY, $99,964.79, $53.12, $0.00, $17.91
2018-11-05 23:00:00, $53.44, HOLD, $99,964.79, $53.12, $0.00, $17.91
2018-11-06 23:00:00, $53.61, BUY, $99,911.17, $106.73, $0.00, $17.91
2018-11-07 23:00:00, $53.65, HOLD, $99,911.17, $106.73, $0.00, $17.91
2018-11-08 23:00:00, $53.68, BUY, $99,857.50, $160.41, $0.00, $17.91
2018-11-11 23:00:00, $53.23, SELL, $100,017.19, $0.00, $-0.45, $17.19
2018-11-12 23:00:00, $52.67, HOLD, $100,017.19, $0.00, $0.00, $17.19
2018-11-13 23:00:00, $52.22, SELL, $100,017.19, $0.00, $0.00, $17.19
2018-11-14 23:00:00, $51.98, HOLD, $100,017.19, $0.00, $0.00, $17.19
2018-11-15 23:00:00, $51.63, SELL, $100,017.19, $0.00, $0.00, $17.19
2018-11-18 23:00:00, $51.33, HOLD, $100,017.19, $0.00, $0.00, $17.19
2018-11-19 23:00:00, $51.05, SELL, $100,017.19, $0.00, $0.00, $17.19
2018-11-20 23:00:00, $51.09, BUY, $99,966.09, $51.09, $0.00, $17.19
2018-11-22 23:00:00, $51.31, HOLD, $99,966.09, $51.09, $0.00, $17.19
2018-11-25 23:00:00, $51.36, BUY, $99,914.73, $102.45, $0.00, $17.19
2018-11-26 23:00:00, $51.39, HOLD, $99,914.73, $102.45, $0.00, $17.19
2018-11-27 23:00:00, $51.16, SELL, $100,017.06, $0.00, $-0.20, $17.06
2018-11-28 23:00:00, $51.24, BUY, $99,965.82, $51.24, $0.00, $17.06
2018-11-29 23:00:00, $50.85, SELL, $100,016.67, $0.00, $-0.39, $16.67
2018-12-02 23:00:00, $50.32, HOLD, $100,016.67, $0.00, $0.00, $16.67
2018-12-03 23:00:00, $49.41, SELL, $100,016.67, $0.00, $0.00, $16.67
2018-12-05 23:00:00, $48.84, HOLD, $100,016.67, $0.00, $0.00, $16.67
2018-12-06 23:00:00, $48.45, SELL, $100,016.67, $0.00, $0.00, $16.67
2018-12-09 23:00:00, $48.31, HOLD, $100,016.67, $0.00, $0.00, $16.67
2018-12-10 23:00:00, $48.37, BUY, $99,968.30, $48.37, $0.00, $16.67
2018-12-11 23:00:00, $48.06, SELL, $100,016.36, $0.00, $-0.31, $16.36
2018-12-12 23:00:00, $47.59, HOLD, $100,016.36, $0.00, $0.00, $16.36
2018-12-13 23:00:00, $46.81, SELL, $100,016.36, $0.00, $0.00, $16.36
2018-12-16 23:00:00, $46.02, HOLD, $100,016.36, $0.00, $0.00, $16.36
2018-12-17 23:00:00, $45.36, SELL, $100,016.36, $0.00, $0.00, $16.36
2018-12-18 23:00:00, $44.66, HOLD, $100,016.36, $0.00, $0.00, $16.36
2018-12-19 23:00:00, $43.82, SELL, $100,016.36, $0.00, $0.00, $16.36
2018-12-20 23:00:00, $43.29, HOLD, $100,016.36, $0.00, $0.00, $16.36
2018-12-23 23:00:00, $43.21, SELL, $100,016.36, $0.00, $0.00, $16.36
2018-12-25 23:00:00, $43.55, BUY, $99,972.81, $43.55, $0.00, $16.36
2018-12-26 23:00:00, $43.40, SELL, $100,016.21, $0.00, $-0.15, $16.21
2018-12-27 23:00:00, $43.24, HOLD, $100,016.21, $0.00, $0.00, $16.21
2018-12-30 23:00:00, $43.16, SELL, $100,016.21, $0.00, $0.00, $16.21
2019-01-01 23:00:00, $43.71, BUY, $99,972.51, $43.71, $0.00, $16.21
2019-01-02 23:00:00, $44.38, HOLD, $99,972.51, $43.71, $0.00, $16.21
2019-01-03 23:00:00, $45.07, BUY, $99,927.44, $88.78, $0.00, $16.21
2019-01-06 23:00:00, $45.28, HOLD, $99,927.44, $88.78, $0.00, $16.21
2019-01-07 23:00:00, $45.31, BUY, $99,882.13, $134.08, $0.00, $16.21
2019-01-08 23:00:00, $45.38, HOLD, $99,882.13, $134.08, $0.00, $16.21
2019-01-09 23:00:00, $45.77, BUY, $99,836.36, $179.85, $0.00, $16.21
2019-01-10 23:00:00, $46.25, HOLD, $99,836.36, $179.85, $0.00, $16.21
2019-01-13 23:00:00, $46.66, BUY, $99,789.70, $226.51, $0.00, $16.21
2019-01-14 23:00:00, $46.92, HOLD, $99,789.70, $226.51, $0.00, $16.21
2019-01-15 23:00:00, $47.12, BUY, $99,742.57, $273.64, $0.00, $16.21
2019-01-16 23:00:00, $47.24, HOLD, $99,742.57, $273.64, $0.00, $16.21
2019-01-17 23:00:00, $47.21, SELL, $100,025.83, $0.00, $0.09, $25.83
2019-01-21 23:00:00, $46.91, HOLD, $100,025.83, $0.00, $0.00, $25.83
2019-01-22 23:00:00, $46.75, SELL, $100,025.83, $0.00, $0.00, $25.83
2019-01-23 23:00:00, $46.72, HOLD, $100,025.83, $0.00, $0.00, $25.83
2019-01-24 23:00:00, $46.83, BUY, $99,979.00, $46.83, $0.00, $25.83
2019-01-27 23:00:00, $46.84, HOLD, $99,979.00, $46.83, $0.00, $25.83
2019-01-28 23:00:00, $47.23, BUY, $99,931.77, $94.07, $0.00, $25.83
2019-01-29 23:00:00, $47.52, HOLD, $99,931.77, $94.07, $0.00, $25.83
2019-01-30 23:00:00, $47.83, BUY, $99,883.94, $141.90, $0.00, $25.83
2019-01-31 23:00:00, $47.84, HOLD, $99,883.94, $141.90, $0.00, $25.83
2019-02-03 23:00:00, $47.83, SELL, $100,027.43, $0.00, $-0.00, $27.43
2019-02-04 23:00:00, $47.67, HOLD, $100,027.43, $0.00, $0.00, $27.43
2019-02-05 23:00:00, $47.44, SELL, $100,027.43, $0.00, $0.00, $27.43
2019-02-06 23:00:00, $47.32, HOLD, $100,027.43, $0.00, $0.00, $27.43
2019-02-07 23:00:00, $47.62, BUY, $99,979.80, $47.62, $0.00, $27.43
2019-02-10 23:00:00, $47.71, HOLD, $99,979.80, $47.62, $0.00, $27.43
2019-02-11 23:00:00, $47.72, BUY, $99,932.08, $95.34, $0.00, $27.43
2019-02-12 23:00:00, $47.56, SELL, $100,027.19, $0.00, $-0.17, $27.19
2019-02-13 23:00:00, $47.58, BUY, $99,979.61, $47.58, $0.00, $27.19
2019-02-14 23:00:00, $47.88, HOLD, $99,979.61, $47.58, $0.00, $27.19
2019-02-18 23:00:00, $48.07, BUY, $99,931.54, $95.65, $0.00, $27.19
2019-02-19 23:00:00, $43.79, SELL, $100,019.13, $0.00, $-4.28, $19.13
2019-02-20 23:00:00, $39.12, HOLD, $100,019.13, $0.00, $0.00, $19.13
2019-02-21 23:00:00, $34.09, SELL, $100,019.13, $0.00, $0.00, $19.13
2019-02-24 23:00:00, $33.18, HOLD, $100,019.13, $0.00, $0.00, $19.13
2019-02-25 23:00:00, $32.84, SELL, $100,019.13, $0.00, $0.00, $19.13
2019-02-26 23:00:00, $32.60, HOLD, $100,019.13, $0.00, $0.00, $19.13
2019-02-27 23:00:00, $32.94, BUY, $99,986.19, $32.94, $0.00, $19.13
2019-02-28 23:00:00, $32.88, SELL, $100,019.08, $0.00, $-0.05, $19.08
2019-03-03 23:00:00, $33.05, BUY, $99,986.02, $33.05, $0.00, $19.08
2019-03-04 23:00:00, $32.60, SELL, $100,018.63, $0.00, $-0.45, $18.63
2019-03-05 23:00:00, $32.29, HOLD, $100,018.63, $0.00, $0.00, $18.63
2019-03-06 23:00:00, $32.06, SELL, $100,018.63, $0.00, $0.00, $18.63
2019-03-07 23:00:00, $32.09, BUY, $99,986.53, $32.09, $0.00, $18.63
2019-03-10 23:00:00, $32.16, HOLD, $99,986.53, $32.09, $0.00, $18.63
2019-03-11 23:00:00, $32.06, SELL, $100,018.59, $0.00, $-0.04, $18.59
2019-03-12 23:00:00, $32.10, BUY, $99,986.49, $32.10, $0.00, $18.59
2019-03-13 23:00:00, $32.01, SELL, $100,018.50, $0.00, $-0.09, $18.50
2019-03-14 23:00:00, $32.10, BUY, $99,986.40, $32.10, $0.00, $18.50
2019-03-17 23:00:00, $32.07, SELL, $100,018.47, $0.00, $-0.03, $18.47
2019-03-18 23:00:00, $32.31, BUY, $99,986.16, $32.31, $0.00, $18.47
2019-03-19 23:00:00, $32.36, HOLD, $99,986.16, $32.31, $0.00, $18.47
2019-03-20 23:00:00, $32.52, BUY, $99,953.64, $64.83, $0.00, $18.47
2019-03-21 23:00:00, $32.57, HOLD, $99,953.64, $64.83, $0.00, $18.47
