Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 09:35:00, $322.69, BUY, $99,677.31, $322.69, $0.00, $0.00
2021-05-25 09:40:00, $322.76, HOLD, $99,677.31, $322.69, $0.00, $0.00
2021-05-25 09:45:00, $322.83, BUY, $99,354.47, $645.52, $0.00, $0.00
2021-05-25 09:50:00, $322.27, SELL, $99,999.02, $0.00, $-0.56, $-0.98
2021-05-25 09:55:00, $321.71, HOLD, $99,999.02, $0.00, $0.00, $-0.98
2021-05-25 10:00:00, $320.62, SELL, $99,999.02, $0.00, $0.00, $-0.98
2021-05-25 10:10:00, $320.19, HOLD, $99,999.02, $0.00, $0.00, $-0.98
2021-05-25 10:15:00, $319.81, SELL, $99,999.02, $0.00, $0.00, $-0.98
2021-05-25 10:20:00, $319.83, BUY, $99,679.20, $319.83, $0.00, $-0.98
2021-05-25 10:25:00, $319.72, SELL, $99,998.92, $0.00, $-0.11, $-1.08
2021-05-25 10:30:00, $319.73, BUY, $99,679.19, $319.73, $0.00, $-1.08
2021-05-25 10:35:00, $320.02, HOLD, $99,679.19, $319.73, $0.00, $-1.08
2021-05-25 10:40:00, $320.10, BUY, $99,359.09, $639.83, $0.00, $-1.08
2021-05-25 10:45:00, $320.42, HOLD, $99,359.09, $639.83, $0.00, $-1.08
2021-05-25 10:50:00, $320.36, SELL, $99,999.81, $0.00, $0.26, $-0.19
2021-05-25 10:55:00, $320.59, BUY, $99,679.21, $320.59, $0.00, $-0.19
2021-05-25 11:00:00, $320.48, SELL, $99,999.69, $0.00, $-0.11, $-0.31
2021-05-25 11:05:00, $320.56, BUY, $99,679.13, $320.56, $0.00, $-0.31
2021-05-25 11:10:00, $320.42, SELL, $99,999.55, $0.00, $-0.14, $-0.45
2021-05-25 11:15:00, $320.31, HOLD, $99,999.55, $0.00, $0.00, $-0.45
2021-05-25 11:20:00, $320.37, BUY, $99,679.19, $320.37, $0.00, $-0.45
2021-05-25 11:25:00, $320.07, SELL, $99,999.26, $0.00, $-0.30, $-0.74
2021-05-25 11:30:00, $319.80, HOLD, $99,999.26, $0.00, $0.00, $-0.74
2021-05-25 11:40:00, $319.53, SELL, $99,999.26, $0.00, $0.00, $-0.74
2021-05-25 11:45:00, $319.51, HOLD, $99,999.26, $0.00, $0.00, $-0.74
2021-05-25 11:50:00, $319.46, SELL, $99,999.26, $0.00, $0.00, $-0.74
2021-05-25 12:00:00, $319.48, BUY, $99,679.77, $319.48, $0.00, $-0.74
2021-05-25 12:05:00, $319.76, HOLD, $99,679.77, $319.48, $0.00, $-0.74
2021-05-25 12:10:00, $320.24, BUY, $99,359.54, $639.72, $0.00, $-0.74
2021-05-25 12:15:00, $320.46, HOLD, $99,359.54, $639.72, $0.00, $-0.74
2021-05-25 12:25:00, $320.48, BUY, $99,039.05, $960.20, $0.00, $-0.74
2021-05-25 12:30:00, $320.16, SELL, $99,999.54, $0.00, $-0.32, $-0.46
2021-05-25 12:35:00, $319.86, HOLD, $99,999.54, $0.00, $0.00, $-0.46
2021-05-25 12:40:00, $319.64, SELL, $99,999.54, $0.00, $0.00, $-0.46
2021-05-25 12:45:00, $319.67, BUY, $99,679.87, $319.67, $0.00, $-0.46
