Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $176.92, BUY, $99,823.08, $176.92, $0.00, $0.00
2019-05-29 23:00:00, $175.20, SELL, $99,998.28, $0.00, $-1.72, $-1.72
2019-05-30 23:00:00, $175.76, BUY, $99,822.52, $175.76, $0.00, $-1.72
2019-06-02 23:00:00, $178.34, HOLD, $99,822.52, $175.76, $0.00, $-1.72
2019-06-03 23:00:00, $182.42, BUY, $99,640.10, $358.18, $0.00, $-1.72
2019-06-04 23:00:00, $184.54, HOLD, $99,640.10, $358.18, $0.00, $-1.72
2019-06-05 23:00:00, $187.49, BUY, $99,452.61, $545.67, $0.00, $-1.72
2019-06-06 23:00:00, $189.25, HOLD, $99,452.61, $545.67, $0.00, $-1.72
2019-06-09 23:00:00, $186.98, SELL, $100,013.54, $0.00, $-0.52, $13.54
2019-06-10 23:00:00, $183.33, HOLD, $100,013.54, $0.00, $0.00, $13.54
2019-06-11 23:00:00, $178.96, SELL, $100,013.54, $0.00, $0.00, $13.54
2019-06-12 23:00:00, $176.51, HOLD, $100,013.54, $0.00, $0.00, $13.54
2019-06-13 23:00:00, $176.59, BUY, $99,836.95, $176.59, $0.00, $13.54
2019-06-16 23:00:00, $178.16, HOLD, $99,836.95, $176.59, $0.00, $13.54
2019-06-17 23:00:00, $181.98, BUY, $99,654.97, $358.57, $0.00, $13.54
2019-06-18 23:00:00, $182.85, HOLD, $99,654.97, $358.57, $0.00, $13.54
2019-06-19 23:00:00, $182.77, SELL, $100,020.50, $0.00, $0.78, $20.50
2019-06-20 23:00:00, $180.05, HOLD, $100,020.50, $0.00, $0.00, $20.50
2019-06-23 23:00:00, $179.45, SELL, $100,020.50, $0.00, $0.00, $20.50
2019-06-24 23:00:00, $181.07, BUY, $99,839.43, $181.07, $0.00, $20.50
2019-06-25 23:00:00, $185.09, HOLD, $99,839.43, $181.07, $0.00, $20.50
2019-06-26 23:00:00, $188.45, BUY, $99,650.98, $369.52, $0.00, $20.50
2019-06-27 23:00:00, $188.81, HOLD, $99,650.98, $369.52, $0.00, $20.50
2019-06-30 23:00:00, $187.81, SELL, $100,026.59, $0.00, $-0.64, $26.59
2019-07-01 23:00:00, $185.27, HOLD, $100,026.59, $0.00, $0.00, $26.59
2019-07-02 23:00:00, $183.31, SELL, $100,026.59, $0.00, $0.00, $26.59
2019-07-04 23:00:00, $182.72, HOLD, $100,026.59, $0.00, $0.00, $26.59
2019-07-07 23:00:00, $182.87, BUY, $99,843.72, $182.87, $0.00, $26.59
2019-07-08 23:00:00, $184.04, HOLD, $99,843.72, $182.87, $0.00, $26.59
2019-07-09 23:00:00, $186.78, BUY, $99,656.95, $369.64, $0.00, $26.59
2019-07-10 23:00:00, $189.64, HOLD, $99,656.95, $369.64, $0.00, $26.59
2019-07-11 23:00:00, $191.28, BUY, $99,465.66, $560.93, $0.00, $26.59
2019-07-14 23:00:00, $191.44, HOLD, $99,465.66, $560.93, $0.00, $26.59
2019-07-15 23:00:00, $193.26, BUY, $99,272.40, $754.19, $0.00, $26.59
2019-07-16 23:00:00, $196.15, HOLD, $99,272.40, $754.19, $0.00, $26.59
2019-07-17 23:00:00, $201.31, BUY, $99,071.10, $955.49, $0.00, $26.59
2019-07-18 23:00:00, $205.15, HOLD, $99,071.10, $955.49, $0.00, $26.59
2019-07-21 23:00:00, $211.32, BUY, $98,859.77, $1,166.82, $0.00, $26.59
2019-07-22 23:00:00, $212.50, HOLD, $98,859.77, $1,166.82, $0.00, $26.59
2019-07-23 23:00:00, $212.85, BUY, $98,646.93, $1,379.66, $0.00, $26.59
2019-07-24 23:00:00, $210.78, SELL, $100,122.41, $0.00, $-2.06, $122.41
2019-07-25 23:00:00, $210.99, BUY, $99,911.42, $210.99, $0.00, $122.41
2019-07-28 23:00:00, $210.29, SELL, $100,121.71, $0.00, $-0.70, $121.71
2019-07-29 23:00:00, $208.59, HOLD, $100,121.71, $0.00, $0.00, $121.71
2019-07-30 23:00:00, $206.25, SELL, $100,121.71, $0.00, $0.00, $121.71
2019-07-31 23:00:00, $201.17, HOLD, $100,121.71, $0.00, $0.00, $121.71
2019-08-01 23:00:00, $197.43, SELL, $100,121.71, $0.00, $0.00, $121.71
2019-08-04 23:00:00, $194.79, HOLD, $100,121.71, $0.00, $0.00, $121.71
2019-08-05 23:00:00, $197.47, BUY, $99,924.24, $197.47, $0.00, $121.71
2019-08-06 23:00:00, $197.75, HOLD, $99,924.24, $197.47, $0.00, $121.71
2019-08-07 23:00:00, $197.70, SELL, $100,121.94, $0.00, $0.23, $121.94
2019-08-08 23:00:00, $199.12, BUY, $99,922.82, $199.12, $0.00, $121.94
2019-08-11 23:00:00, $200.15, HOLD, $99,922.82, $199.12, $0.00, $121.94
2019-08-12 23:00:00, $201.03, BUY, $99,721.79, $400.15, $0.00, $121.94
2019-08-13 23:00:00, $200.81, SELL, $100,123.42, $0.00, $-0.22, $123.42
2019-08-14 23:00:00, $204.05, BUY, $99,919.37, $204.05, $0.00, $123.42
2019-08-15 23:00:00, $206.65, HOLD, $99,919.37, $204.05, $0.00, $123.42
2019-08-18 23:00:00, $207.63, BUY, $99,711.74, $411.68, $0.00, $123.42
2019-08-19 23:00:00, $208.43, HOLD, $99,711.74, $411.68, $0.00, $123.42
2019-08-20 23:00:00, $206.29, SELL, $100,124.32, $0.00, $-1.34, $124.32
2019-08-21 23:00:00, $204.08, HOLD, $100,124.32, $0.00, $0.00, $124.32
2019-08-22 23:00:00, $200.45, SELL, $100,124.32, $0.00, $0.00, $124.32
2019-08-25 23:00:00, $201.44, BUY, $99,922.88, $201.44, $0.00, $124.32
2019-08-26 23:00:00, $203.53, HOLD, $99,922.88, $201.44, $0.00, $124.32
2019-08-27 23:00:00, $207.16, BUY, $99,715.72, $408.60, $0.00, $124.32
2019-08-28 23:00:00, $210.36, HOLD, $99,715.72, $408.60, $0.00, $124.32
2019-08-29 23:00:00, $215.02, BUY, $99,500.70, $623.62, $0.00, $124.32
2019-09-02 23:00:00, $220.43, HOLD, $99,500.70, $623.62, $0.00, $124.32
2019-09-03 23:00:00, $225.43, BUY, $99,275.28, $849.05, $0.00, $124.32
2019-09-04 23:00:00, $228.36, HOLD, $99,275.28, $849.05, $0.00, $124.32
2019-09-05 23:00:00, $230.10, BUY, $99,045.18, $1,079.14, $0.00, $124.32
2019-09-08 23:00:00, $232.12, HOLD, $99,045.18, $1,079.14, $0.00, $124.32
2019-09-09 23:00:00, $233.60, BUY, $98,811.58, $1,312.74, $0.00, $124.32
2019-09-10 23:00:00, $234.80, HOLD, $98,811.58, $1,312.74, $0.00, $124.32
