Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-18 11:16:00, $315.16, BUY, $99,684.84, $315.16, $0.00, $0.00
2021-05-18 11:17:00, $314.92, SELL, $99,999.76, $0.00, $-0.24, $-0.24
2021-05-18 11:19:00, $314.70, HOLD, $99,999.76, $0.00, $0.00, $-0.24
2021-05-18 11:22:00, $314.60, SELL, $99,999.76, $0.00, $0.00, $-0.24
2021-05-18 11:23:00, $314.69, BUY, $99,685.07, $314.69, $0.00, $-0.24
2021-05-18 11:24:00, $314.75, HOLD, $99,685.07, $314.69, $0.00, $-0.24
2021-05-18 11:25:00, $314.74, SELL, $99,999.81, $0.00, $0.05, $-0.19
2021-05-18 11:26:00, $314.90, BUY, $99,684.91, $314.90, $0.00, $-0.19
2021-05-18 11:27:00, $315.13, HOLD, $99,684.91, $314.90, $0.00, $-0.19
2021-05-18 11:33:00, $315.47, BUY, $99,369.44, $630.37, $0.00, $-0.19
2021-05-18 11:36:00, $315.63, HOLD, $99,369.44, $630.37, $0.00, $-0.19
2021-05-18 11:37:00, $315.64, BUY, $99,053.79, $946.01, $0.00, $-0.19
2021-05-18 11:41:00, $315.51, SELL, $100,000.31, $0.00, $-0.14, $0.31
2021-05-18 11:42:00, $315.35, HOLD, $100,000.31, $0.00, $0.00, $0.31
2021-05-18 11:44:00, $315.16, SELL, $100,000.31, $0.00, $0.00, $0.31
2021-05-18 11:45:00, $315.04, HOLD, $100,000.31, $0.00, $0.00, $0.31
2021-05-18 11:46:00, $314.95, SELL, $100,000.31, $0.00, $0.00, $0.31
2021-05-18 11:47:00, $314.96, BUY, $99,685.35, $314.96, $0.00, $0.31
2021-05-18 11:48:00, $315.18, HOLD, $99,685.35, $314.96, $0.00, $0.31
2021-05-18 11:49:00, $315.40, BUY, $99,369.96, $630.36, $0.00, $0.31
2021-05-18 11:54:00, $315.49, HOLD, $99,369.96, $630.36, $0.00, $0.31
2021-05-18 11:56:00, $315.27, SELL, $100,000.50, $0.00, $-0.12, $0.50
2021-05-18 11:59:00, $315.13, HOLD, $100,000.50, $0.00, $0.00, $0.50
2021-05-18 12:05:00, $315.25, BUY, $99,685.25, $315.25, $0.00, $0.50
2021-05-18 12:10:00, $315.32, HOLD, $99,685.25, $315.25, $0.00, $0.50
2021-05-18 12:14:00, $315.38, BUY, $99,369.87, $630.63, $0.00, $0.50
2021-05-18 12:17:00, $315.30, SELL, $100,000.46, $0.00, $-0.08, $0.46
2021-05-18 12:21:00, $315.35, BUY, $99,685.12, $315.35, $0.00, $0.46
2021-05-18 12:23:00, $315.51, HOLD, $99,685.12, $315.35, $0.00, $0.46
2021-05-18 12:26:00, $315.67, BUY, $99,369.45, $631.01, $0.00, $0.46
2021-05-18 12:29:00, $315.84, HOLD, $99,369.45, $631.01, $0.00, $0.46
2021-05-18 12:32:00, $315.85, BUY, $99,053.61, $946.86, $0.00, $0.46
2021-05-18 12:33:00, $315.93, HOLD, $99,053.61, $946.86, $0.00, $0.46
2021-05-18 12:37:00, $315.98, BUY, $98,737.63, $1,262.84, $0.00, $0.46
2021-05-18 12:47:00, $315.96, SELL, $100,001.47, $0.00, $-0.02, $1.47
2021-05-18 12:48:00, $315.68, HOLD, $100,001.47, $0.00, $0.00, $1.47
2021-05-18 12:49:00, $315.48, SELL, $100,001.47, $0.00, $0.00, $1.47
2021-05-18 12:57:00, $315.50, BUY, $99,685.97, $315.50, $0.00, $1.47
2021-05-18 12:58:00, $315.67, HOLD, $99,685.97, $315.50, $0.00, $1.47
2021-05-18 13:07:00, $315.64, SELL, $100,001.62, $0.00, $0.14, $1.62
2021-05-18 13:08:00, $315.36, HOLD, $100,001.62, $0.00, $0.00, $1.62
2021-05-18 13:10:00, $315.13, SELL, $100,001.62, $0.00, $0.00, $1.62
2021-05-18 13:12:00, $315.08, HOLD, $100,001.62, $0.00, $0.00, $1.62
2021-05-18 13:15:00, $315.04, SELL, $100,001.62, $0.00, $0.00, $1.62
2021-05-18 13:17:00, $314.97, HOLD, $100,001.62, $0.00, $0.00, $1.62
2021-05-18 13:20:00, $314.62, SELL, $100,001.62, $0.00, $0.00, $1.62
