Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 08:50:00, $139.95, BUY, $99,860.05, $139.95, $0.00, $0.00
2021-05-12 08:55:00, $140.13, HOLD, $99,860.05, $139.95, $0.00, $0.00
2021-05-12 09:00:00, $140.18, BUY, $99,719.87, $280.13, $0.00, $0.00
2021-05-12 09:05:00, $140.13, SELL, $100,000.12, $0.00, $-0.05, $0.12
2021-05-12 09:10:00, $140.00, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 09:15:00, $139.94, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 09:20:00, $139.64, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 09:25:00, $139.40, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 09:30:00, $139.27, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 09:35:00, $139.29, BUY, $99,860.83, $139.29, $0.00, $0.12
2021-05-12 09:40:00, $139.13, SELL, $99,999.97, $0.00, $-0.15, $-0.03
2021-05-12 09:45:00, $138.94, HOLD, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 09:50:00, $138.90, SELL, $99,999.97, $0.00, $0.00, $-0.03
2021-05-12 09:55:00, $139.08, BUY, $99,860.89, $139.08, $0.00, $-0.03
2021-05-12 10:00:00, $139.14, HOLD, $99,860.89, $139.08, $0.00, $-0.03
2021-05-12 10:05:00, $139.24, BUY, $99,721.65, $278.32, $0.00, $-0.03
2021-05-12 10:10:00, $139.14, SELL, $99,999.92, $0.00, $-0.11, $-0.08
2021-05-12 10:15:00, $139.11, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:20:00, $138.87, SELL, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:25:00, $138.69, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:30:00, $138.52, SELL, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:35:00, $138.50, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:40:00, $138.35, SELL, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:45:00, $138.11, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:50:00, $137.86, SELL, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 10:55:00, $137.74, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 11:00:00, $137.66, SELL, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 11:05:00, $137.64, HOLD, $99,999.92, $0.00, $0.00, $-0.08
2021-05-12 11:10:00, $137.68, BUY, $99,862.24, $137.68, $0.00, $-0.08
2021-05-12 11:15:00, $137.69, HOLD, $99,862.24, $137.68, $0.00, $-0.08
