Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2018-05-24 23:00:00, $96.18, BUY, $99,903.82, $96.18, $0.00, $0.00
2018-05-28 23:00:00, $96.70, HOLD, $99,903.82, $96.18, $0.00, $0.00
2018-05-29 23:00:00, $98.67, BUY, $99,805.15, $194.85, $0.00, $0.00
2018-05-30 23:00:00, $99.96, HOLD, $99,805.15, $194.85, $0.00, $0.00
2018-05-31 23:00:00, $101.55, BUY, $99,703.60, $296.40, $0.00, $0.00
2018-06-03 23:00:00, $102.29, HOLD, $99,703.60, $296.40, $0.00, $0.00
2018-06-04 23:00:00, $102.56, BUY, $99,601.04, $398.96, $0.00, $0.00
2018-06-05 23:00:00, $102.56, SELL, $100,011.27, $0.00, $-0.01, $11.27
2018-06-06 23:00:00, $102.25, HOLD, $100,011.27, $0.00, $0.00, $11.27
2018-06-07 23:00:00, $102.41, BUY, $99,908.86, $102.41, $0.00, $11.27
2018-06-10 23:00:00, $102.39, SELL, $100,011.25, $0.00, $-0.02, $11.25
2018-06-11 23:00:00, $102.44, BUY, $99,908.80, $102.44, $0.00, $11.25
2018-06-12 23:00:00, $102.22, SELL, $100,011.03, $0.00, $-0.22, $11.03
2018-06-13 23:00:00, $102.07, HOLD, $100,011.03, $0.00, $0.00, $11.03
2018-06-14 23:00:00, $101.35, SELL, $100,011.03, $0.00, $0.00, $11.03
2018-06-17 23:00:00, $101.08, HOLD, $100,011.03, $0.00, $0.00, $11.03
2018-06-18 23:00:00, $100.11, SELL, $100,011.03, $0.00, $0.00, $11.03
2018-06-19 23:00:00, $98.96, HOLD, $100,011.03, $0.00, $0.00, $11.03
2018-06-20 23:00:00, $96.30, SELL, $100,011.03, $0.00, $0.00, $11.03
2018-06-21 23:00:00, $94.44, HOLD, $100,011.03, $0.00, $0.00, $11.03
2018-06-24 23:00:00, $92.22, SELL, $100,011.03, $0.00, $0.00, $11.03
2018-06-25 23:00:00, $91.28, HOLD, $100,011.03, $0.00, $0.00, $11.03
2018-06-26 23:00:00, $90.55, SELL, $100,011.03, $0.00, $0.00, $11.03
2018-06-27 23:00:00, $90.96, BUY, $99,920.07, $90.96, $0.00, $11.03
2018-06-28 23:00:00, $90.86, SELL, $100,010.92, $0.00, $-0.10, $10.92
2018-07-01 23:00:00, $91.25, BUY, $99,919.68, $91.25, $0.00, $10.92
2018-07-02 23:00:00, $91.89, HOLD, $99,919.68, $91.25, $0.00, $10.92
2018-07-04 23:00:00, $92.97, BUY, $99,826.70, $184.22, $0.00, $10.92
2018-07-05 23:00:00, $93.80, HOLD, $99,826.70, $184.22, $0.00, $10.92
2018-07-08 23:00:00, $93.33, SELL, $100,013.36, $0.00, $0.36, $13.36
2018-07-09 23:00:00, $93.63, BUY, $99,919.73, $93.63, $0.00, $13.36
2018-07-10 23:00:00, $93.45, SELL, $100,013.18, $0.00, $-0.19, $13.18
