Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 10:30:00, $61.85, BUY, $99,938.15, $61.85, $0.00, $0.00
2021-05-12 10:35:00, $61.84, SELL, $100,000.00, $0.00, $-0.00, $-0.00
2021-05-12 10:40:00, $61.83, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-12 10:45:00, $61.80, SELL, $100,000.00, $0.00, $0.00, $-0.00
2021-05-12 10:50:00, $61.81, BUY, $99,938.19, $61.81, $0.00, $-0.00
2021-05-12 10:55:00, $61.85, HOLD, $99,938.19, $61.81, $0.00, $-0.00
2021-05-12 11:00:00, $61.88, BUY, $99,876.31, $123.69, $0.00, $-0.00
2021-05-12 11:05:00, $61.89, HOLD, $99,876.31, $123.69, $0.00, $-0.00
2021-05-12 11:10:00, $61.89, SELL, $100,000.09, $0.00, $0.01, $0.09
2021-05-12 11:15:00, $61.89, SELL, $100,000.09, $0.00, $0.00, $0.09
2021-05-12 11:20:00, $61.85, HOLD, $100,000.09, $0.00, $0.00, $0.09
2021-05-12 11:25:00, $61.81, SELL, $100,000.09, $0.00, $0.00, $0.09
2021-05-12 11:30:00, $61.77, HOLD, $100,000.09, $0.00, $0.00, $0.09
2021-05-12 11:35:00, $61.73, SELL, $100,000.09, $0.00, $0.00, $0.09
2021-05-12 11:40:00, $61.73, HOLD, $100,000.09, $0.00, $0.00, $0.09
2021-05-12 11:45:00, $61.73, BUY, $99,938.36, $61.73, $0.00, $0.09
2021-05-12 11:50:00, $61.76, HOLD, $99,938.36, $61.73, $0.00, $0.09
2021-05-12 11:55:00, $61.76, HOLD, $99,938.36, $61.73, $0.00, $0.09
2021-05-12 12:00:00, $61.78, BUY, $99,876.58, $123.51, $0.00, $0.09
2021-05-12 12:05:00, $61.77, SELL, $100,000.12, $0.00, $-0.01, $0.12
2021-05-12 12:10:00, $61.76, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:15:00, $61.73, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:20:00, $61.70, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:25:00, $61.70, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:30:00, $61.69, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:35:00, $61.67, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:40:00, $61.64, HOLD, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:45:00, $61.63, SELL, $100,000.12, $0.00, $0.00, $0.12
2021-05-12 12:50:00, $61.65, BUY, $99,938.47, $61.65, $0.00, $0.12
2021-05-12 12:55:00, $61.68, HOLD, $99,938.47, $61.65, $0.00, $0.12
2021-05-12 13:00:00, $61.69, BUY, $99,876.78, $123.34, $0.00, $0.12
2021-05-12 13:05:00, $61.68, SELL, $100,000.14, $0.00, $-0.01, $0.13
2021-05-12 13:10:00, $61.67, HOLD, $100,000.14, $0.00, $0.00, $0.13
2021-05-12 13:15:00, $61.65, SELL, $100,000.14, $0.00, $0.00, $0.13
2021-05-12 13:20:00, $61.67, BUY, $99,938.46, $61.67, $0.00, $0.13
2021-05-12 13:25:00, $61.71, HOLD, $99,938.46, $61.67, $0.00, $0.13
2021-05-12 13:30:00, $61.76, BUY, $99,876.70, $123.44, $0.00, $0.13
2021-05-12 13:35:00, $61.79, HOLD, $99,876.70, $123.44, $0.00, $0.13
2021-05-12 13:40:00, $61.81, BUY, $99,814.89, $185.24, $0.00, $0.13
2021-05-12 13:45:00, $61.83, HOLD, $99,814.89, $185.24, $0.00, $0.13
2021-05-12 13:50:00, $61.83, SELL, $100,000.38, $0.00, $0.02, $0.38
2021-05-12 13:55:00, $61.83, HOLD, $100,000.38, $0.00, $0.00, $0.38
2021-05-12 14:00:00, $61.79, SELL, $100,000.38, $0.00, $0.00, $0.38
2021-05-12 14:05:00, $61.76, HOLD, $100,000.38, $0.00, $0.00, $0.38
2021-05-12 14:10:00, $61.69, SELL, $100,000.38, $0.00, $0.00, $0.38
2021-05-12 14:15:00, $61.61, HOLD, $100,000.38, $0.00, $0.00, $0.38
2021-05-12 14:20:00, $61.54, SELL, $100,000.38, $0.00, $0.00, $0.38
2021-05-12 14:25:00, $61.50, HOLD, $100,000.38, $0.00, $0.00, $0.38
2021-05-12 14:30:00, $61.51, BUY, $99,938.87, $61.51, $0.00, $0.38
2021-05-12 14:35:00, $61.51, BUY, $99,877.36, $123.02, $0.00, $0.38
2021-05-12 14:40:00, $61.51, SELL, $100,000.38, $0.00, $-0.00, $0.38
2021-05-12 14:45:00, $61.52, BUY, $99,938.86, $61.52, $0.00, $0.38
2021-05-12 14:50:00, $61.51, SELL, $100,000.37, $0.00, $-0.01, $0.37
2021-05-12 14:55:00, $61.53, BUY, $99,938.83, $61.53, $0.00, $0.37
2021-05-13 08:30:00, $61.54, HOLD, $99,938.83, $61.53, $0.00, $0.37
2021-05-13 08:35:00, $61.61, BUY, $99,877.23, $123.14, $0.00, $0.37
2021-05-13 08:40:00, $61.65, HOLD, $99,877.23, $123.14, $0.00, $0.37
2021-05-13 08:45:00, $61.62, SELL, $100,000.47, $0.00, $0.01, $0.47
2021-05-13 08:50:00, $61.64, BUY, $99,938.83, $61.64, $0.00, $0.47
2021-05-13 08:55:00, $61.66, HOLD, $99,938.83, $61.64, $0.00, $0.47
2021-05-13 09:00:00, $61.75, BUY, $99,877.08, $123.39, $0.00, $0.47
2021-05-13 09:05:00, $61.82, HOLD, $99,877.08, $123.39, $0.00, $0.47
2021-05-13 09:10:00, $61.91, BUY, $99,815.18, $185.29, $0.00, $0.47
2021-05-13 09:15:00, $61.96, HOLD, $99,815.18, $185.29, $0.00, $0.47
2021-05-13 09:20:00, $61.99, BUY, $99,753.19, $247.28, $0.00, $0.47
2021-05-13 09:25:00, $62.03, HOLD, $99,753.19, $247.28, $0.00, $0.47
2021-05-13 09:30:00, $62.07, BUY, $99,691.12, $309.35, $0.00, $0.47
2021-05-13 09:35:00, $62.12, HOLD, $99,691.12, $309.35, $0.00, $0.47
2021-05-13 09:40:00, $62.12, BUY, $99,629.00, $371.47, $0.00, $0.47
2021-05-13 09:45:00, $62.17, HOLD, $99,629.00, $371.47, $0.00, $0.47
2021-05-13 09:50:00, $62.18, BUY, $99,566.82, $433.65, $0.00, $0.47
2021-05-13 09:55:00, $62.22, HOLD, $99,566.82, $433.65, $0.00, $0.47
2021-05-13 10:00:00, $62.19, SELL, $100,002.17, $0.00, $0.01, $2.17
2021-05-13 10:05:00, $62.19, HOLD, $100,002.17, $0.00, $0.00, $2.17
