Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-20 10:55:00, $1,360.90, BUY, $98,639.10, $1,360.90, $0.00, $0.00
2021-05-20 10:57:00, $1,360.38, SELL, $99,999.47, $0.00, $-0.53, $-0.53
2021-05-20 11:01:00, $1,360.12, HOLD, $99,999.47, $0.00, $0.00, $-0.53
2021-05-20 11:02:00, $1,359.99, SELL, $99,999.47, $0.00, $0.00, $-0.53
2021-05-20 11:06:00, $1,360.04, BUY, $98,639.43, $1,360.04, $0.00, $-0.53
2021-05-20 11:07:00, $1,359.85, SELL, $99,999.28, $0.00, $-0.20, $-0.72
2021-05-20 11:10:00, $1,359.79, HOLD, $99,999.28, $0.00, $0.00, $-0.72
2021-05-20 11:13:00, $1,360.62, BUY, $98,638.65, $1,360.62, $0.00, $-0.72
2021-05-20 11:21:00, $1,360.64, HOLD, $98,638.65, $1,360.62, $0.00, $-0.72
2021-05-20 11:25:00, $1,360.17, SELL, $99,998.83, $0.00, $-0.45, $-1.17
2021-05-20 11:28:00, $1,359.04, HOLD, $99,998.83, $0.00, $0.00, $-1.17
2021-05-20 11:37:00, $1,359.34, BUY, $98,639.49, $1,359.34, $0.00, $-1.17
2021-05-20 11:38:00, $1,360.62, HOLD, $98,639.49, $1,359.34, $0.00, $-1.17
2021-05-20 11:44:00, $1,361.20, BUY, $97,278.29, $2,720.54, $0.00, $-1.17
2021-05-20 11:45:00, $1,360.93, SELL, $100,000.15, $0.00, $-0.27, $0.15
2021-05-20 11:47:00, $1,360.28, HOLD, $100,000.15, $0.00, $0.00, $0.15
2021-05-20 11:48:00, $1,360.76, BUY, $98,639.39, $1,360.76, $0.00, $0.15
2021-05-20 11:49:00, $1,360.75, SELL, $100,000.13, $0.00, $-0.01, $0.13
2021-05-20 11:53:00, $1,360.75, SELL, $100,000.13, $0.00, $0.00, $0.13
2021-05-20 11:54:00, $1,360.68, HOLD, $100,000.13, $0.00, $0.00, $0.13
2021-05-20 11:55:00, $1,360.66, SELL, $100,000.13, $0.00, $0.00, $0.13
2021-05-20 11:59:00, $1,360.94, BUY, $98,639.19, $1,360.94, $0.00, $0.13
2021-05-20 12:00:00, $1,360.47, SELL, $99,999.66, $0.00, $-0.47, $-0.34
2021-05-20 12:01:00, $1,360.47, SELL, $99,999.66, $0.00, $0.00, $-0.34
2021-05-20 12:03:00, $1,360.01, HOLD, $99,999.66, $0.00, $0.00, $-0.34
2021-05-20 12:04:00, $1,359.81, SELL, $99,999.66, $0.00, $0.00, $-0.34
2021-05-20 12:20:00, $1,359.92, BUY, $98,639.74, $1,359.92, $0.00, $-0.34
2021-05-20 12:23:00, $1,360.00, HOLD, $98,639.74, $1,359.92, $0.00, $-0.34
2021-05-20 12:24:00, $1,360.28, BUY, $97,279.46, $2,720.21, $0.00, $-0.34
2021-05-20 12:25:00, $1,360.17, SELL, $99,999.80, $0.00, $-0.11, $-0.20
2021-05-20 12:32:00, $1,359.50, HOLD, $99,999.80, $0.00, $0.00, $-0.20
2021-05-20 12:33:00, $1,358.85, SELL, $99,999.80, $0.00, $0.00, $-0.20
2021-05-20 12:37:00, $1,358.52, HOLD, $99,999.80, $0.00, $0.00, $-0.20
2021-05-20 12:46:00, $1,358.03, SELL, $99,999.80, $0.00, $0.00, $-0.20
2021-05-20 12:47:00, $1,358.04, BUY, $98,641.76, $1,358.04, $0.00, $-0.20
2021-05-20 12:54:00, $1,358.04, BUY, $97,283.72, $2,716.07, $0.00, $-0.20
2021-05-20 12:59:00, $1,358.66, HOLD, $97,283.72, $2,716.07, $0.00, $-0.20
2021-05-20 13:02:00, $1,358.69, BUY, $95,925.03, $4,074.77, $0.00, $-0.20
2021-05-20 13:03:00, $1,358.86, HOLD, $95,925.03, $4,074.77, $0.00, $-0.20
2021-05-20 13:04:00, $1,359.48, BUY, $94,565.55, $5,434.25, $0.00, $-0.20
2021-05-20 13:05:00, $1,359.85, HOLD, $94,565.55, $5,434.25, $0.00, $-0.20
2021-05-20 13:06:00, $1,360.02, BUY, $93,205.53, $6,794.27, $0.00, $-0.20
2021-05-20 13:07:00, $1,359.74, SELL, $100,004.23, $0.00, $-0.28, $4.23
2021-05-20 13:10:00, $1,359.74, HOLD, $100,004.23, $0.00, $0.00, $4.23
2021-05-20 13:11:00, $1,359.73, SELL, $100,004.23, $0.00, $0.00, $4.23
2021-05-20 13:14:00, $1,360.04, BUY, $98,644.19, $1,360.04, $0.00, $4.23
2021-05-20 13:15:00, $1,360.01, SELL, $100,004.20, $0.00, $-0.03, $4.20
2021-05-20 13:17:00, $1,360.02, BUY, $98,644.18, $1,360.02, $0.00, $4.20
2021-05-20 13:18:00, $1,360.00, SELL, $100,004.18, $0.00, $-0.02, $4.18
2021-05-20 13:19:00, $1,360.00, SELL, $100,004.18, $0.00, $0.00, $4.18
2021-05-20 13:21:00, $1,360.00, SELL, $100,004.18, $0.00, $0.00, $4.18
2021-05-20 13:23:00, $1,360.00, SELL, $100,004.18, $0.00, $0.00, $4.18
2021-05-20 13:26:00, $1,360.00, SELL, $100,004.18, $0.00, $0.00, $4.18
2021-05-20 13:28:00, $1,360.00, SELL, $100,004.18, $0.00, $0.00, $4.18
2021-05-20 13:29:00, $1,359.83, HOLD, $100,004.18, $0.00, $0.00, $4.18
2021-05-20 13:30:00, $1,359.42, SELL, $100,004.18, $0.00, $0.00, $4.18
2021-05-20 13:32:00, $1,359.44, BUY, $98,644.74, $1,359.44, $0.00, $4.18
2021-05-20 13:33:00, $1,359.61, HOLD, $98,644.74, $1,359.44, $0.00, $4.18
2021-05-20 13:37:00, $1,360.06, BUY, $97,284.68, $2,719.50, $0.00, $4.18
2021-05-20 13:38:00, $1,360.04, SELL, $100,004.75, $0.00, $-0.02, $4.75
2021-05-20 13:39:00, $1,359.71, HOLD, $100,004.75, $0.00, $0.00, $4.75
2021-05-20 13:40:00, $1,359.62, SELL, $100,004.75, $0.00, $0.00, $4.75
2021-05-20 13:45:00, $1,359.65, BUY, $98,645.10, $1,359.65, $0.00, $4.75
2021-05-20 13:46:00, $1,359.97, HOLD, $98,645.10, $1,359.65, $0.00, $4.75
2021-05-20 13:47:00, $1,360.03, BUY, $97,285.07, $2,719.68, $0.00, $4.75
2021-05-20 13:48:00, $1,362.08, HOLD, $97,285.07, $2,719.68, $0.00, $4.75
2021-05-20 13:49:00, $1,364.45, BUY, $95,920.62, $4,084.13, $0.00, $4.75
