Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-24 14:55:00, $93.27, BUY, $99,906.73, $93.27, $0.00, $0.00
2021-05-24 14:56:00, $93.25, SELL, $99,999.98, $0.00, $-0.02, $-0.02
2021-05-24 14:57:00, $93.25, HOLD, $99,999.98, $0.00, $0.00, $-0.02
2021-05-24 14:58:00, $93.57, BUY, $99,906.42, $93.57, $0.00, $-0.02
2021-05-24 14:59:00, $93.84, HOLD, $99,906.42, $93.57, $0.00, $-0.02
2021-05-25 08:30:00, $94.06, BUY, $99,812.35, $187.63, $0.00, $-0.02
2021-05-25 08:31:00, $93.91, SELL, $100,000.18, $0.00, $-0.15, $0.18
2021-05-25 08:32:00, $93.84, HOLD, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 08:35:00, $93.80, SELL, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 08:36:00, $93.76, HOLD, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 08:37:00, $93.71, SELL, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 08:39:00, $93.73, BUY, $99,906.45, $93.73, $0.00, $0.18
2021-05-25 08:40:00, $93.79, HOLD, $99,906.45, $93.73, $0.00, $0.18
2021-05-25 08:42:00, $93.84, BUY, $99,812.61, $187.57, $0.00, $0.18
2021-05-25 08:45:00, $93.85, HOLD, $99,812.61, $187.57, $0.00, $0.18
2021-05-25 08:46:00, $93.86, BUY, $99,718.75, $281.43, $0.00, $0.18
2021-05-25 08:47:00, $93.86, BUY, $99,624.89, $375.29, $0.00, $0.18
2021-05-25 08:48:00, $93.86, HOLD, $99,624.89, $375.29, $0.00, $0.18
2021-05-25 08:49:00, $93.83, SELL, $100,000.21, $0.00, $-0.03, $0.21
2021-05-25 08:50:00, $93.85, BUY, $99,906.35, $93.85, $0.00, $0.21
2021-05-25 08:51:00, $93.88, HOLD, $99,906.35, $93.85, $0.00, $0.21
2021-05-25 08:52:00, $93.98, BUY, $99,812.38, $187.83, $0.00, $0.21
2021-05-25 08:53:00, $93.99, HOLD, $99,812.38, $187.83, $0.00, $0.21
2021-05-25 08:54:00, $94.00, BUY, $99,718.37, $281.83, $0.00, $0.21
2021-05-25 08:55:00, $93.94, SELL, $100,000.18, $0.00, $-0.07, $0.18
2021-05-25 08:56:00, $93.85, HOLD, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 08:57:00, $93.74, SELL, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 08:58:00, $93.63, HOLD, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 08:59:00, $93.57, SELL, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 09:00:00, $93.55, HOLD, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 09:01:00, $93.55, BUY, $99,906.63, $93.55, $0.00, $0.18
2021-05-25 09:02:00, $93.55, SELL, $100,000.18, $0.00, $-0.00, $0.18
2021-05-25 09:03:00, $93.55, HOLD, $100,000.18, $0.00, $0.00, $0.18
2021-05-25 09:04:00, $93.57, BUY, $99,906.61, $93.57, $0.00, $0.18
2021-05-25 09:06:00, $93.48, SELL, $100,000.10, $0.00, $-0.08, $0.10
2021-05-25 09:07:00, $93.36, HOLD, $100,000.10, $0.00, $0.00, $0.10
2021-05-25 09:10:00, $93.25, SELL, $100,000.10, $0.00, $0.00, $0.10
2021-05-25 09:11:00, $93.19, HOLD, $100,000.10, $0.00, $0.00, $0.10
2021-05-25 09:12:00, $93.16, SELL, $100,000.10, $0.00, $0.00, $0.10
2021-05-25 09:15:00, $93.11, HOLD, $100,000.10, $0.00, $0.00, $0.10
2021-05-25 09:16:00, $93.13, BUY, $99,906.97, $93.13, $0.00, $0.10
2021-05-25 09:17:00, $93.14, HOLD, $99,906.97, $93.13, $0.00, $0.10
2021-05-25 09:19:00, $93.17, BUY, $99,813.79, $186.31, $0.00, $0.10
2021-05-25 09:20:00, $93.20, HOLD, $99,813.79, $186.31, $0.00, $0.10
2021-05-25 09:21:00, $93.22, BUY, $99,720.57, $279.53, $0.00, $0.10
2021-05-25 09:23:00, $93.24, HOLD, $99,720.57, $279.53, $0.00, $0.10
2021-05-25 09:24:00, $93.26, BUY, $99,627.31, $372.79, $0.00, $0.10
