Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $61.96, BUY, $99,938.04, $61.96, $0.00, $0.00
2019-05-29 23:00:00, $62.31, HOLD, $99,938.04, $61.96, $0.00, $0.00
2019-05-30 23:00:00, $62.51, BUY, $99,875.53, $124.47, $0.00, $0.00
2019-06-02 23:00:00, $63.23, HOLD, $99,875.53, $124.47, $0.00, $0.00
2019-06-03 23:00:00, $63.58, BUY, $99,811.95, $188.05, $0.00, $0.00
2019-06-04 23:00:00, $64.59, HOLD, $99,811.95, $188.05, $0.00, $0.00
2019-06-05 23:00:00, $65.17, BUY, $99,746.78, $253.22, $0.00, $0.00
2019-06-06 23:00:00, $65.39, HOLD, $99,746.78, $253.22, $0.00, $0.00
2019-06-09 23:00:00, $64.78, SELL, $100,005.89, $0.00, $-0.40, $5.89
2019-06-10 23:00:00, $63.05, HOLD, $100,005.89, $0.00, $0.00, $5.89
2019-06-11 23:00:00, $62.00, SELL, $100,005.89, $0.00, $0.00, $5.89
2019-06-12 23:00:00, $61.28, HOLD, $100,005.89, $0.00, $0.00, $5.89
2019-06-13 23:00:00, $61.80, BUY, $99,944.09, $61.80, $0.00, $5.89
2019-06-16 23:00:00, $62.14, HOLD, $99,944.09, $61.80, $0.00, $5.89
2019-06-17 23:00:00, $62.67, BUY, $99,881.42, $124.47, $0.00, $5.89
2019-06-18 23:00:00, $63.22, HOLD, $99,881.42, $124.47, $0.00, $5.89
2019-06-19 23:00:00, $63.62, BUY, $99,817.80, $188.09, $0.00, $5.89
2019-06-20 23:00:00, $63.55, SELL, $100,008.46, $0.00, $-0.07, $8.46
2019-06-23 23:00:00, $63.50, HOLD, $100,008.46, $0.00, $0.00, $8.46
2019-06-24 23:00:00, $63.50, BUY, $99,944.96, $63.50, $0.00, $8.46
2019-06-25 23:00:00, $63.67, HOLD, $99,944.96, $63.50, $0.00, $8.46
2019-06-26 23:00:00, $64.06, BUY, $99,880.89, $127.56, $0.00, $8.46
2019-06-27 23:00:00, $64.42, HOLD, $99,880.89, $127.56, $0.00, $8.46
2019-06-30 23:00:00, $65.12, BUY, $99,815.77, $192.69, $0.00, $8.46
