Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-11-23 23:00:00, $111.51, BUY, $99,888.49, $111.51, $0.00, $0.00
2020-11-24 23:00:00, $129.70, HOLD, $99,888.49, $111.51, $0.00, $0.00
2020-11-26 23:00:00, $140.34, BUY, $99,748.15, $251.85, $0.00, $0.00
2020-11-29 23:00:00, $145.66, HOLD, $99,748.15, $251.85, $0.00, $0.00
2020-11-30 23:00:00, $147.11, BUY, $99,601.04, $398.96, $0.00, $0.00
2020-12-01 23:00:00, $150.93, HOLD, $99,601.04, $398.96, $0.00, $0.00
2020-12-02 23:00:00, $156.42, BUY, $99,444.63, $555.37, $0.00, $0.00
2020-12-03 23:00:00, $160.63, HOLD, $99,444.63, $555.37, $0.00, $0.00
2020-12-06 23:00:00, $162.00, BUY, $99,282.63, $717.37, $0.00, $0.00
2020-12-07 23:00:00, $160.73, SELL, $100,086.30, $0.00, $-1.26, $86.30
2020-12-08 23:00:00, $156.40, HOLD, $100,086.30, $0.00, $0.00, $86.30
2020-12-09 23:00:00, $155.89, SELL, $100,086.30, $0.00, $0.00, $86.30
2020-12-10 23:00:00, $153.10, HOLD, $100,086.30, $0.00, $0.00, $86.30
2020-12-13 23:00:00, $146.47, SELL, $100,086.30, $0.00, $0.00, $86.30
2020-12-14 23:00:00, $142.72, HOLD, $100,086.30, $0.00, $0.00, $86.30
2020-12-15 23:00:00, $140.39, SELL, $100,086.30, $0.00, $0.00, $86.30
2020-12-16 23:00:00, $140.80, BUY, $99,945.50, $140.80, $0.00, $86.30
2020-12-17 23:00:00, $134.85, SELL, $100,080.34, $0.00, $-5.95, $80.34
2020-12-20 23:00:00, $131.51, HOLD, $100,080.34, $0.00, $0.00, $80.34
2020-12-21 23:00:00, $126.57, SELL, $100,080.34, $0.00, $0.00, $80.34
2020-12-22 23:00:00, $121.67, HOLD, $100,080.34, $0.00, $0.00, $80.34
2020-12-23 23:00:00, $116.36, SELL, $100,080.34, $0.00, $0.00, $80.34
2020-12-27 23:00:00, $112.27, HOLD, $100,080.34, $0.00, $0.00, $80.34
2020-12-28 23:00:00, $110.00, SELL, $100,080.34, $0.00, $0.00, $80.34
2020-12-29 23:00:00, $109.08, HOLD, $100,080.34, $0.00, $0.00, $80.34
2020-12-30 23:00:00, $108.43, SELL, $100,080.34, $0.00, $0.00, $80.34
2021-01-03 23:00:00, $112.37, BUY, $99,967.98, $112.37, $0.00, $80.34
2021-01-04 23:00:00, $113.55, HOLD, $99,967.98, $112.37, $0.00, $80.34
2021-01-05 23:00:00, $114.78, BUY, $99,853.19, $227.15, $0.00, $80.34
2021-01-06 23:00:00, $115.11, HOLD, $99,853.19, $227.15, $0.00, $80.34
2021-01-07 23:00:00, $118.23, BUY, $99,734.96, $345.38, $0.00, $80.34
2021-01-10 23:00:00, $121.92, HOLD, $99,734.96, $345.38, $0.00, $80.34
2021-01-11 23:00:00, $126.08, BUY, $99,608.88, $471.46, $0.00, $80.34
2021-01-12 23:00:00, $127.80, HOLD, $99,608.88, $471.46, $0.00, $80.34
2021-01-13 23:00:00, $128.15, BUY, $99,480.73, $599.61, $0.00, $80.34
2021-01-14 23:00:00, $126.61, SELL, $100,113.80, $0.00, $-1.53, $113.80
2021-01-18 23:00:00, $127.71, BUY, $99,986.09, $127.71, $0.00, $113.80
2021-01-19 23:00:00, $129.72, HOLD, $99,986.09, $127.71, $0.00, $113.80
2021-01-20 23:00:00, $137.01, BUY, $99,849.09, $264.71, $0.00, $113.80
2021-01-21 23:00:00, $143.30, HOLD, $99,849.09, $264.71, $0.00, $113.80
2021-01-24 23:00:00, $151.52, BUY, $99,697.56, $416.24, $0.00, $113.80
2021-01-25 23:00:00, $155.66, HOLD, $99,697.56, $416.24, $0.00, $113.80
2021-01-26 23:00:00, $162.71, BUY, $99,534.85, $578.95, $0.00, $113.80
