Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-19 10:45:00, $44.40, BUY, $99,955.60, $44.40, $0.00, $0.00
2021-05-19 11:00:00, $44.46, HOLD, $99,955.60, $44.40, $0.00, $0.00
2021-05-19 11:15:00, $44.47, BUY, $99,911.13, $88.87, $0.00, $0.00
2021-05-19 11:30:00, $44.50, HOLD, $99,911.13, $88.87, $0.00, $0.00
2021-05-19 11:45:00, $44.52, BUY, $99,866.62, $133.38, $0.00, $0.00
2021-05-19 12:00:00, $44.51, SELL, $100,000.15, $0.00, $-0.00, $0.15
2021-05-19 12:15:00, $44.47, HOLD, $100,000.15, $0.00, $0.00, $0.15
2021-05-19 12:30:00, $44.42, SELL, $100,000.15, $0.00, $0.00, $0.15
2021-05-19 12:45:00, $44.53, BUY, $99,955.62, $44.53, $0.00, $0.15
2021-05-19 13:00:00, $44.46, SELL, $100,000.08, $0.00, $-0.07, $0.08
2021-05-19 13:15:00, $44.36, HOLD, $100,000.08, $0.00, $0.00, $0.08
2021-05-19 13:30:00, $44.20, SELL, $100,000.08, $0.00, $0.00, $0.08
2021-05-19 13:45:00, $44.18, HOLD, $100,000.08, $0.00, $0.00, $0.08
2021-05-19 14:00:00, $44.23, BUY, $99,955.85, $44.23, $0.00, $0.08
2021-05-19 14:15:00, $44.33, HOLD, $99,955.85, $44.23, $0.00, $0.08
2021-05-19 14:30:00, $44.71, BUY, $99,911.14, $88.94, $0.00, $0.08
2021-05-19 14:45:00, $45.00, HOLD, $99,911.14, $88.94, $0.00, $0.08
2021-05-20 08:30:00, $45.28, BUY, $99,865.86, $134.22, $0.00, $0.08
2021-05-20 08:45:00, $45.42, HOLD, $99,865.86, $134.22, $0.00, $0.08
2021-05-20 09:00:00, $45.68, BUY, $99,820.18, $179.90, $0.00, $0.08
2021-05-20 09:15:00, $45.88, HOLD, $99,820.18, $179.90, $0.00, $0.08
2021-05-20 09:30:00, $45.91, BUY, $99,774.26, $225.82, $0.00, $0.08
2021-05-20 09:45:00, $45.97, HOLD, $99,774.26, $225.82, $0.00, $0.08
2021-05-20 10:00:00, $45.97, SELL, $100,004.10, $0.00, $0.05, $4.10
2021-05-20 10:15:00, $46.06, BUY, $99,958.04, $46.06, $0.00, $4.10
2021-05-20 10:30:00, $46.00, SELL, $100,004.03, $0.00, $-0.07, $4.03
2021-05-20 10:45:00, $46.02, BUY, $99,958.02, $46.02, $0.00, $4.03
2021-05-20 11:00:00, $46.01, SELL, $100,004.02, $0.00, $-0.01, $4.02
2021-05-20 11:15:00, $46.14, BUY, $99,957.88, $46.14, $0.00, $4.02
2021-05-20 11:30:00, $46.23, HOLD, $99,957.88, $46.14, $0.00, $4.02
2021-05-20 11:45:00, $46.27, BUY, $99,911.61, $92.41, $0.00, $4.02
2021-05-20 12:00:00, $46.33, HOLD, $99,911.61, $92.41, $0.00, $4.02
2021-05-20 12:15:00, $46.28, SELL, $100,004.17, $0.00, $0.01, $4.17
2021-05-20 12:30:00, $46.23, HOLD, $100,004.17, $0.00, $0.00, $4.17
2021-05-20 12:45:00, $46.16, SELL, $100,004.17, $0.00, $0.00, $4.17
2021-05-20 13:00:00, $46.17, BUY, $99,958.00, $46.17, $0.00, $4.17
2021-05-20 13:15:00, $46.22, HOLD, $99,958.00, $46.17, $0.00, $4.17
2021-05-20 13:30:00, $46.22, BUY, $99,911.78, $92.39, $0.00, $4.17
