Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:28:00, $251.53, BUY, $99,748.47, $251.53, $0.00, $0.00
2021-05-25 10:29:00, $251.47, SELL, $99,999.94, $0.00, $-0.06, $-0.06
2021-05-25 10:30:00, $251.41, HOLD, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 10:31:00, $251.35, SELL, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 10:32:00, $251.40, BUY, $99,748.54, $251.40, $0.00, $-0.06
2021-05-25 10:34:00, $251.44, HOLD, $99,748.54, $251.40, $0.00, $-0.06
2021-05-25 10:35:00, $251.41, SELL, $99,999.96, $0.00, $0.01, $-0.05
2021-05-25 10:36:00, $251.37, HOLD, $99,999.96, $0.00, $0.00, $-0.05
2021-05-25 10:38:00, $251.37, BUY, $99,748.59, $251.37, $0.00, $-0.05
2021-05-25 10:39:00, $251.35, SELL, $99,999.94, $0.00, $-0.02, $-0.06
2021-05-25 10:40:00, $251.34, HOLD, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 10:41:00, $251.28, SELL, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 10:42:00, $251.30, BUY, $99,748.64, $251.30, $0.00, $-0.06
2021-05-25 10:43:00, $251.32, HOLD, $99,748.64, $251.30, $0.00, $-0.06
2021-05-25 10:44:00, $251.39, BUY, $99,497.25, $502.69, $0.00, $-0.06
2021-05-25 10:45:00, $251.46, HOLD, $99,497.25, $502.69, $0.00, $-0.06
2021-05-25 10:46:00, $251.54, BUY, $99,245.71, $754.23, $0.00, $-0.06
2021-05-25 10:47:00, $251.55, HOLD, $99,245.71, $754.23, $0.00, $-0.06
2021-05-25 10:48:00, $251.51, SELL, $100,000.23, $0.00, $-0.03, $0.23
2021-05-25 10:49:00, $251.41, HOLD, $100,000.23, $0.00, $0.00, $0.23
2021-05-25 10:50:00, $251.38, SELL, $100,000.23, $0.00, $0.00, $0.23
2021-05-25 10:51:00, $251.41, BUY, $99,748.82, $251.41, $0.00, $0.23
2021-05-25 10:52:00, $251.52, HOLD, $99,748.82, $251.41, $0.00, $0.23
2021-05-25 10:54:00, $251.56, BUY, $99,497.27, $502.96, $0.00, $0.23
2021-05-25 10:55:00, $251.59, HOLD, $99,497.27, $502.96, $0.00, $0.23
2021-05-25 10:56:00, $251.58, SELL, $100,000.43, $0.00, $0.03, $0.43
2021-05-25 10:57:00, $251.65, BUY, $99,748.79, $251.65, $0.00, $0.43
2021-05-25 10:58:00, $251.72, HOLD, $99,748.79, $251.65, $0.00, $0.43
2021-05-25 10:59:00, $251.79, BUY, $99,497.00, $503.43, $0.00, $0.43
2021-05-25 11:00:00, $251.82, HOLD, $99,497.00, $503.43, $0.00, $0.43
2021-05-25 11:01:00, $251.79, SELL, $100,000.59, $0.00, $0.01, $0.59
2021-05-25 11:02:00, $251.74, HOLD, $100,000.59, $0.00, $0.00, $0.59
2021-05-25 11:03:00, $251.65, SELL, $100,000.59, $0.00, $0.00, $0.59
2021-05-25 11:04:00, $251.61, HOLD, $100,000.59, $0.00, $0.00, $0.59
2021-05-25 11:05:00, $251.62, BUY, $99,748.96, $251.62, $0.00, $0.59
2021-05-25 11:06:00, $251.69, HOLD, $99,748.96, $251.62, $0.00, $0.59
2021-05-25 11:07:00, $251.71, BUY, $99,497.25, $503.34, $0.00, $0.59
2021-05-25 11:08:00, $251.72, HOLD, $99,497.25, $503.34, $0.00, $0.59
2021-05-25 11:09:00, $251.72, BUY, $99,245.53, $755.06, $0.00, $0.59
2021-05-25 11:10:00, $251.75, HOLD, $99,245.53, $755.06, $0.00, $0.59
2021-05-25 11:12:00, $251.74, SELL, $100,000.76, $0.00, $0.02, $0.76
2021-05-25 11:14:00, $251.75, BUY, $99,749.01, $251.75, $0.00, $0.76
2021-05-25 11:16:00, $251.76, HOLD, $99,749.01, $251.75, $0.00, $0.76
2021-05-25 11:17:00, $251.81, BUY, $99,497.20, $503.56, $0.00, $0.76
2021-05-25 11:18:00, $251.84, HOLD, $99,497.20, $503.56, $0.00, $0.76
2021-05-25 11:19:00, $251.87, BUY, $99,245.33, $755.42, $0.00, $0.76
2021-05-25 11:20:00, $251.86, SELL, $100,000.92, $0.00, $-0.00, $0.92
2021-05-25 11:21:00, $251.83, HOLD, $100,000.92, $0.00, $0.00, $0.92
2021-05-25 11:22:00, $251.82, SELL, $100,000.92, $0.00, $0.00, $0.92
2021-05-25 11:23:00, $251.78, HOLD, $100,000.92, $0.00, $0.00, $0.92
2021-05-25 11:24:00, $251.79, BUY, $99,749.13, $251.79, $0.00, $0.92
2021-05-25 11:25:00, $251.76, SELL, $100,000.89, $0.00, $-0.03, $0.89
2021-05-25 11:26:00, $251.77, BUY, $99,749.12, $251.77, $0.00, $0.89
2021-05-25 11:27:00, $251.77, BUY, $99,497.35, $503.54, $0.00, $0.89
2021-05-25 11:29:00, $251.84, HOLD, $99,497.35, $503.54, $0.00, $0.89
2021-05-25 11:30:00, $251.88, BUY, $99,245.47, $755.42, $0.00, $0.89
2021-05-25 11:31:00, $251.90, HOLD, $99,245.47, $755.42, $0.00, $0.89
2021-05-25 11:32:00, $251.88, SELL, $100,001.11, $0.00, $-0.00, $1.11
2021-05-25 11:33:00, $251.86, HOLD, $100,001.11, $0.00, $0.00, $1.11
2021-05-25 11:34:00, $251.80, SELL, $100,001.11, $0.00, $0.00, $1.11
2021-05-25 11:35:00, $251.74, HOLD, $100,001.11, $0.00, $0.00, $1.11
2021-05-25 11:37:00, $251.68, SELL, $100,001.11, $0.00, $0.00, $1.11
2021-05-25 11:38:00, $251.64, HOLD, $100,001.11, $0.00, $0.00, $1.11
2021-05-25 11:39:00, $251.60, SELL, $100,001.11, $0.00, $0.00, $1.11
2021-05-25 11:40:00, $251.57, HOLD, $100,001.11, $0.00, $0.00, $1.11
2021-05-25 11:41:00, $251.59, BUY, $99,749.52, $251.59, $0.00, $1.11
