Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-20 09:48:00, $140.71, BUY, $99,859.29, $140.71, $0.00, $0.00
2021-05-20 09:49:00, $140.64, SELL, $99,999.93, $0.00, $-0.07, $-0.07
2021-05-20 09:50:00, $140.62, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-05-20 09:51:00, $140.67, BUY, $99,859.26, $140.67, $0.00, $-0.07
2021-05-20 09:52:00, $140.67, HOLD, $99,859.26, $140.67, $0.00, $-0.07
2021-05-20 09:53:00, $140.63, SELL, $99,999.89, $0.00, $-0.04, $-0.11
2021-05-20 09:54:00, $140.54, HOLD, $99,999.89, $0.00, $0.00, $-0.11
2021-05-20 09:55:00, $140.60, BUY, $99,859.29, $140.60, $0.00, $-0.11
2021-05-20 09:56:00, $140.68, HOLD, $99,859.29, $140.60, $0.00, $-0.11
2021-05-20 09:57:00, $140.75, BUY, $99,718.54, $281.35, $0.00, $-0.11
2021-05-20 09:58:00, $140.73, SELL, $100,000.00, $0.00, $-0.02, $0.00
2021-05-20 09:59:00, $140.69, HOLD, $100,000.00, $0.00, $0.00, $0.00
2021-05-20 10:00:00, $140.67, SELL, $100,000.00, $0.00, $0.00, $0.00
2021-05-20 10:01:00, $140.65, HOLD, $100,000.00, $0.00, $0.00, $0.00
2021-05-20 10:02:00, $140.60, SELL, $100,000.00, $0.00, $0.00, $0.00
2021-05-20 10:03:00, $140.59, HOLD, $100,000.00, $0.00, $0.00, $0.00
2021-05-20 10:04:00, $140.55, SELL, $100,000.00, $0.00, $0.00, $0.00
2021-05-20 10:05:00, $140.48, HOLD, $100,000.00, $0.00, $0.00, $0.00
2021-05-20 10:06:00, $140.50, BUY, $99,859.50, $140.50, $0.00, $0.00
2021-05-20 10:07:00, $140.57, HOLD, $99,859.50, $140.50, $0.00, $0.00
2021-05-20 10:10:00, $140.69, BUY, $99,718.81, $281.19, $0.00, $0.00
2021-05-20 10:11:00, $140.69, SELL, $100,000.18, $0.00, $-0.00, $0.18
2021-05-20 10:12:00, $140.66, HOLD, $100,000.18, $0.00, $0.00, $0.18
2021-05-20 10:14:00, $140.66, SELL, $100,000.18, $0.00, $0.00, $0.18
2021-05-20 10:16:00, $140.69, BUY, $99,859.49, $140.69, $0.00, $0.18
2021-05-20 10:17:00, $140.71, HOLD, $99,859.49, $140.69, $0.00, $0.18
2021-05-20 10:18:00, $140.68, SELL, $100,000.17, $0.00, $-0.01, $0.17
2021-05-20 10:21:00, $140.60, HOLD, $100,000.17, $0.00, $0.00, $0.17
2021-05-20 10:22:00, $140.55, SELL, $100,000.17, $0.00, $0.00, $0.17
2021-05-20 10:23:00, $140.50, HOLD, $100,000.17, $0.00, $0.00, $0.17
2021-05-20 10:24:00, $140.47, SELL, $100,000.17, $0.00, $0.00, $0.17
2021-05-20 10:25:00, $140.47, HOLD, $100,000.17, $0.00, $0.00, $0.17
2021-05-20 10:26:00, $140.54, BUY, $99,859.62, $140.54, $0.00, $0.17
