Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-11-23 23:00:00, $139.08, BUY, $99,860.92, $139.08, $0.00, $0.00
2020-11-24 23:00:00, $139.28, HOLD, $99,860.92, $139.08, $0.00, $0.00
2020-11-26 23:00:00, $140.71, BUY, $99,720.21, $279.79, $0.00, $0.00
2020-11-29 23:00:00, $140.51, SELL, $100,001.23, $0.00, $-0.20, $1.23
2020-11-30 23:00:00, $140.79, BUY, $99,860.45, $140.79, $0.00, $1.23
2020-12-01 23:00:00, $141.48, HOLD, $99,860.45, $140.79, $0.00, $1.23
2020-12-02 23:00:00, $143.87, BUY, $99,716.58, $284.65, $0.00, $1.23
2020-12-03 23:00:00, $145.62, HOLD, $99,716.58, $284.65, $0.00, $1.23
2020-12-06 23:00:00, $145.06, SELL, $100,006.70, $0.00, $1.19, $6.70
2020-12-07 23:00:00, $145.47, BUY, $99,861.23, $145.47, $0.00, $6.70
2020-12-08 23:00:00, $146.35, HOLD, $99,861.23, $145.47, $0.00, $6.70
2020-12-09 23:00:00, $146.69, BUY, $99,714.54, $292.16, $0.00, $6.70
2020-12-10 23:00:00, $147.87, HOLD, $99,714.54, $292.16, $0.00, $6.70
2020-12-13 23:00:00, $149.82, BUY, $99,564.72, $441.98, $0.00, $6.70
2020-12-14 23:00:00, $151.08, HOLD, $99,564.72, $441.98, $0.00, $6.70
2020-12-15 23:00:00, $153.12, BUY, $99,411.60, $595.10, $0.00, $6.70
2020-12-16 23:00:00, $153.19, HOLD, $99,411.60, $595.10, $0.00, $6.70
2020-12-17 23:00:00, $155.74, BUY, $99,255.86, $750.83, $0.00, $6.70
2020-12-20 23:00:00, $154.56, SELL, $100,028.69, $0.00, $-1.17, $28.69
2020-12-21 23:00:00, $153.84, HOLD, $100,028.69, $0.00, $0.00, $28.69
2020-12-22 23:00:00, $151.82, SELL, $100,028.69, $0.00, $0.00, $28.69
2020-12-23 23:00:00, $150.77, HOLD, $100,028.69, $0.00, $0.00, $28.69
2020-12-27 23:00:00, $150.81, BUY, $99,877.88, $150.81, $0.00, $28.69
2020-12-28 23:00:00, $151.18, HOLD, $99,877.88, $150.81, $0.00, $28.69
2020-12-29 23:00:00, $151.04, SELL, $100,028.92, $0.00, $0.23, $28.92
2020-12-30 23:00:00, $150.45, HOLD, $100,028.92, $0.00, $0.00, $28.92
2021-01-03 23:00:00, $149.66, SELL, $100,028.92, $0.00, $0.00, $28.92
2021-01-04 23:00:00, $150.63, BUY, $99,878.29, $150.63, $0.00, $28.92
2021-01-05 23:00:00, $151.15, HOLD, $99,878.29, $150.63, $0.00, $28.92
2021-01-06 23:00:00, $152.18, BUY, $99,726.11, $302.81, $0.00, $28.92
2021-01-07 23:00:00, $152.42, HOLD, $99,726.11, $302.81, $0.00, $28.92
2021-01-10 23:00:00, $153.49, BUY, $99,572.61, $456.31, $0.00, $28.92
2021-01-11 23:00:00, $152.47, SELL, $100,030.03, $0.00, $-1.02, $30.03
2021-01-12 23:00:00, $151.59, HOLD, $100,030.03, $0.00, $0.00, $30.03
2021-01-13 23:00:00, $148.65, SELL, $100,030.03, $0.00, $0.00, $30.03
2021-01-14 23:00:00, $148.28, HOLD, $100,030.03, $0.00, $0.00, $30.03
2021-01-18 23:00:00, $146.07, SELL, $100,030.03, $0.00, $0.00, $30.03
2021-01-19 23:00:00, $144.29, HOLD, $100,030.03, $0.00, $0.00, $30.03
2021-01-20 23:00:00, $141.53, SELL, $100,030.03, $0.00, $0.00, $30.03
2021-01-21 23:00:00, $139.58, HOLD, $100,030.03, $0.00, $0.00, $30.03
2021-01-24 23:00:00, $136.47, SELL, $100,030.03, $0.00, $0.00, $30.03
2021-01-25 23:00:00, $137.11, BUY, $99,892.92, $137.11, $0.00, $30.03
2021-01-26 23:00:00, $137.54, HOLD, $99,892.92, $137.11, $0.00, $30.03
2021-01-27 23:00:00, $142.34, BUY, $99,750.58, $279.46, $0.00, $30.03
2021-01-28 23:00:00, $145.25, HOLD, $99,750.58, $279.46, $0.00, $30.03
2021-01-31 23:00:00, $144.72, SELL, $100,040.02, $0.00, $2.38, $40.02
2021-02-01 23:00:00, $146.28, BUY, $99,893.74, $146.28, $0.00, $40.02
2021-02-02 23:00:00, $149.51, HOLD, $99,893.74, $146.28, $0.00, $40.02
2021-02-03 23:00:00, $156.48, BUY, $99,737.26, $302.75, $0.00, $40.02
2021-02-04 23:00:00, $159.23, HOLD, $99,737.26, $302.75, $0.00, $40.02
2021-02-07 23:00:00, $162.92, BUY, $99,574.35, $465.67, $0.00, $40.02
2021-02-08 23:00:00, $167.34, HOLD, $99,574.35, $465.67, $0.00, $40.02
2021-02-09 23:00:00, $170.89, BUY, $99,403.46, $636.56, $0.00, $40.02
2021-02-10 23:00:00, $168.85, SELL, $100,078.87, $0.00, $-2.04, $78.87
2021-02-11 23:00:00, $164.96, HOLD, $100,078.87, $0.00, $0.00, $78.87
2021-02-15 23:00:00, $162.51, SELL, $100,078.87, $0.00, $0.00, $78.87
2021-02-16 23:00:00, $161.22, HOLD, $100,078.87, $0.00, $0.00, $78.87
2021-02-17 23:00:00, $159.90, SELL, $100,078.87, $0.00, $0.00, $78.87
2021-02-18 23:00:00, $159.66, HOLD, $100,078.87, $0.00, $0.00, $78.87
2021-02-21 23:00:00, $159.62, SELL, $100,078.87, $0.00, $0.00, $78.87
2021-02-22 23:00:00, $157.98, HOLD, $100,078.87, $0.00, $0.00, $78.87
2021-02-23 23:00:00, $155.04, SELL, $100,078.87, $0.00, $0.00, $78.87
2021-02-24 23:00:00, $153.74, HOLD, $100,078.87, $0.00, $0.00, $78.87
2021-02-25 23:00:00, $154.03, BUY, $99,924.84, $154.03, $0.00, $78.87
2021-02-28 23:00:00, $152.29, SELL, $100,077.14, $0.00, $-1.73, $77.14
2021-03-01 23:00:00, $147.95, HOLD, $100,077.14, $0.00, $0.00, $77.14
2021-03-02 23:00:00, $145.79, SELL, $100,077.14, $0.00, $0.00, $77.14
2021-03-03 23:00:00, $145.26, HOLD, $100,077.14, $0.00, $0.00, $77.14
2021-03-04 23:00:00, $147.94, BUY, $99,929.20, $147.94, $0.00, $77.14
