Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-04-27 23:00:00, $157.10, BUY, $99,842.90, $157.10, $0.00, $0.00
2021-04-28 23:00:00, $153.53, SELL, $99,996.43, $0.00, $-3.57, $-3.57
2021-04-29 23:00:00, $147.71, HOLD, $99,996.43, $0.00, $0.00, $-3.57
2021-05-02 23:00:00, $143.74, SELL, $99,996.43, $0.00, $0.00, $-3.57
2021-05-03 23:00:00, $140.90, HOLD, $99,996.43, $0.00, $0.00, $-3.57
2021-05-04 23:00:00, $143.29, BUY, $99,853.14, $143.29, $0.00, $-3.57
2021-05-05 23:00:00, $142.64, SELL, $99,995.79, $0.00, $-0.64, $-4.21
2021-05-06 23:00:00, $144.80, BUY, $99,850.98, $144.80, $0.00, $-4.21
2021-05-09 23:00:00, $143.30, SELL, $99,994.28, $0.00, $-1.50, $-5.72
2021-05-10 23:00:00, $142.16, HOLD, $99,994.28, $0.00, $0.00, $-5.72
2021-05-11 23:00:00, $140.70, SELL, $99,994.28, $0.00, $0.00, $-5.72
2021-05-12 23:00:00, $140.14, HOLD, $99,994.28, $0.00, $0.00, $-5.72
2021-05-13 23:00:00, $139.64, SELL, $99,994.28, $0.00, $0.00, $-5.72
2021-05-16 23:00:00, $138.58, HOLD, $99,994.28, $0.00, $0.00, $-5.72
2021-05-17 23:00:00, $139.52, BUY, $99,854.77, $139.52, $0.00, $-5.72
2021-05-18 23:00:00, $141.69, HOLD, $99,854.77, $139.52, $0.00, $-5.72
2021-05-19 23:00:00, $144.53, BUY, $99,710.24, $284.05, $0.00, $-5.72
2021-05-20 23:00:00, $145.01, HOLD, $99,710.24, $284.05, $0.00, $-5.72
