Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2019-05-28 23:00:00, $33.07, BUY, $99,966.93, $33.07, $0.00, $0.00
2019-05-29 23:00:00, $32.87, SELL, $99,999.80, $0.00, $-0.20, $-0.20
2019-05-30 23:00:00, $33.27, BUY, $99,966.53, $33.27, $0.00, $-0.20
2019-06-02 23:00:00, $33.50, HOLD, $99,966.53, $33.27, $0.00, $-0.20
2019-06-03 23:00:00, $33.77, BUY, $99,932.76, $67.04, $0.00, $-0.20
2019-06-04 23:00:00, $33.60, SELL, $99,999.95, $0.00, $-0.18, $-0.05
2019-06-05 23:00:00, $34.14, BUY, $99,965.81, $34.14, $0.00, $-0.05
2019-06-06 23:00:00, $34.59, HOLD, $99,965.81, $34.14, $0.00, $-0.05
2019-06-09 23:00:00, $34.25, SELL, $100,000.06, $0.00, $0.11, $0.06
2019-06-10 23:00:00, $33.72, HOLD, $100,000.06, $0.00, $0.00, $0.06
2019-06-11 23:00:00, $33.00, SELL, $100,000.06, $0.00, $0.00, $0.06
2019-06-12 23:00:00, $32.83, HOLD, $100,000.06, $0.00, $0.00, $0.06
2019-06-13 23:00:00, $33.14, BUY, $99,966.91, $33.14, $0.00, $0.06
2019-06-16 23:00:00, $33.57, HOLD, $99,966.91, $33.14, $0.00, $0.06
2019-06-17 23:00:00, $34.14, BUY, $99,932.77, $67.28, $0.00, $0.06
2019-06-18 23:00:00, $33.77, SELL, $100,000.32, $0.00, $-0.37, $0.32
2019-06-19 23:00:00, $33.52, HOLD, $100,000.32, $0.00, $0.00, $0.32
2019-06-20 23:00:00, $33.04, SELL, $100,000.32, $0.00, $0.00, $0.32
2019-06-23 23:00:00, $34.31, BUY, $99,966.01, $34.31, $0.00, $0.32
2019-06-24 23:00:00, $35.94, HOLD, $99,966.01, $34.31, $0.00, $0.32
2019-06-25 23:00:00, $37.90, BUY, $99,928.10, $72.22, $0.00, $0.32
2019-06-26 23:00:00, $38.92, HOLD, $99,928.10, $72.22, $0.00, $0.32
