Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-12 10:15:00, $90.94, BUY, $99,909.06, $90.94, $0.00, $0.00
2021-05-12 10:30:00, $90.64, SELL, $99,999.69, $0.00, $-0.31, $-0.31
2021-05-12 10:45:00, $90.51, HOLD, $99,999.69, $0.00, $0.00, $-0.31
2021-05-12 11:00:00, $90.45, SELL, $99,999.69, $0.00, $0.00, $-0.31
2021-05-12 11:15:00, $90.50, BUY, $99,909.19, $90.50, $0.00, $-0.31
2021-05-12 11:30:00, $90.56, HOLD, $99,909.19, $90.50, $0.00, $-0.31
2021-05-12 11:45:00, $90.65, BUY, $99,818.54, $181.15, $0.00, $-0.31
2021-05-12 12:00:00, $90.63, SELL, $99,999.80, $0.00, $-0.02, $-0.20
2021-05-12 12:15:00, $90.54, HOLD, $99,999.80, $0.00, $0.00, $-0.20
2021-05-12 12:30:00, $90.40, SELL, $99,999.80, $0.00, $0.00, $-0.20
2021-05-12 12:45:00, $90.37, HOLD, $99,999.80, $0.00, $0.00, $-0.20
2021-05-12 13:00:00, $90.34, SELL, $99,999.80, $0.00, $0.00, $-0.20
2021-05-12 13:15:00, $90.40, BUY, $99,909.40, $90.40, $0.00, $-0.20
2021-05-12 13:30:00, $90.32, SELL, $99,999.72, $0.00, $-0.08, $-0.28
2021-05-12 13:45:00, $90.16, HOLD, $99,999.72, $0.00, $0.00, $-0.28
2021-05-12 14:00:00, $90.03, SELL, $99,999.72, $0.00, $0.00, $-0.28
2021-05-12 14:15:00, $89.97, HOLD, $99,999.72, $0.00, $0.00, $-0.28
2021-05-12 14:30:00, $90.52, BUY, $99,909.20, $90.52, $0.00, $-0.28
2021-05-12 14:45:00, $91.14, HOLD, $99,909.20, $90.52, $0.00, $-0.28
2021-05-13 08:30:00, $91.74, BUY, $99,817.46, $182.26, $0.00, $-0.28
2021-05-13 08:45:00, $91.70, SELL, $100,000.87, $0.00, $-0.04, $0.86
2021-05-13 09:00:00, $91.56, HOLD, $100,000.87, $0.00, $0.00, $0.86
2021-05-13 09:15:00, $91.45, SELL, $100,000.87, $0.00, $0.00, $0.86
2021-05-13 09:30:00, $91.22, HOLD, $100,000.87, $0.00, $0.00, $0.86
2021-05-13 09:45:00, $90.89, SELL, $100,000.87, $0.00, $0.00, $0.86
2021-05-13 10:00:00, $90.54, HOLD, $100,000.87, $0.00, $0.00, $0.86
2021-05-13 10:15:00, $90.38, SELL, $100,000.87, $0.00, $0.00, $0.86
2021-05-13 10:30:00, $90.49, BUY, $99,910.38, $90.49, $0.00, $0.86
2021-05-13 10:45:00, $90.58, HOLD, $99,910.38, $90.49, $0.00, $0.86
2021-05-13 11:00:00, $90.60, BUY, $99,819.78, $181.09, $0.00, $0.86
2021-05-13 11:15:00, $90.43, SELL, $100,000.63, $0.00, $-0.18, $0.63
2021-05-13 11:30:00, $90.40, HOLD, $100,000.63, $0.00, $0.00, $0.63
2021-05-13 11:45:00, $90.33, SELL, $100,000.63, $0.00, $0.00, $0.63
2021-05-13 12:00:00, $90.27, HOLD, $100,000.63, $0.00, $0.00, $0.63
2021-05-13 12:15:00, $90.19, SELL, $100,000.63, $0.00, $0.00, $0.63
2021-05-13 12:30:00, $90.39, BUY, $99,910.24, $90.39, $0.00, $0.63
2021-05-13 12:45:00, $90.65, HOLD, $99,910.24, $90.39, $0.00, $0.63
2021-05-13 13:00:00, $90.89, BUY, $99,819.35, $181.28, $0.00, $0.63
2021-05-13 13:15:00, $90.90, HOLD, $99,819.35, $181.28, $0.00, $0.63
2021-05-13 13:30:00, $90.97, BUY, $99,728.38, $272.25, $0.00, $0.63
2021-05-13 13:45:00, $91.00, HOLD, $99,728.38, $272.25, $0.00, $0.63
2021-05-13 14:00:00, $91.06, BUY, $99,637.32, $363.31, $0.00, $0.63
2021-05-13 14:15:00, $90.86, SELL, $100,000.77, $0.00, $-0.19, $0.77
2021-05-13 14:30:00, $90.87, BUY, $99,909.90, $90.87, $0.00, $0.77
2021-05-13 14:45:00, $91.07, HOLD, $99,909.90, $90.87, $0.00, $0.77
2021-05-14 08:30:00, $91.61, BUY, $99,818.29, $182.49, $0.00, $0.77
2021-05-14 08:45:00, $92.02, HOLD, $99,818.29, $182.49, $0.00, $0.77
2021-05-14 09:00:00, $92.31, BUY, $99,725.98, $274.80, $0.00, $0.77
2021-05-14 09:15:00, $92.50, HOLD, $99,725.98, $274.80, $0.00, $0.77
2021-05-14 09:30:00, $92.49, SELL, $100,003.46, $0.00, $0.18, $3.46
2021-05-14 09:45:00, $92.53, BUY, $99,910.92, $92.53, $0.00, $3.46
2021-05-14 10:00:00, $92.59, HOLD, $99,910.92, $92.53, $0.00, $3.46
2021-05-14 10:15:00, $92.72, BUY, $99,818.20, $185.25, $0.00, $3.46
2021-05-14 10:30:00, $92.89, HOLD, $99,818.20, $185.25, $0.00, $3.46
2021-05-14 10:45:00, $92.94, BUY, $99,725.26, $278.20, $0.00, $3.46
2021-05-14 11:00:00, $93.05, HOLD, $99,725.26, $278.20, $0.00, $3.46
2021-05-14 11:15:00, $93.10, BUY, $99,632.16, $371.30, $0.00, $3.46
2021-05-14 11:30:00, $93.18, HOLD, $99,632.16, $371.30, $0.00, $3.46
2021-05-14 11:45:00, $93.18, BUY, $99,538.98, $464.48, $0.00, $3.46
2021-05-14 12:00:00, $93.12, SELL, $100,004.58, $0.00, $-0.06, $4.58
2021-05-14 12:15:00, $93.17, BUY, $99,911.41, $93.17, $0.00, $4.58
2021-05-14 12:30:00, $93.25, HOLD, $99,911.41, $93.17, $0.00, $4.58
2021-05-14 12:45:00, $93.32, BUY, $99,818.09, $186.49, $0.00, $4.58
2021-05-14 13:00:00, $93.32, HOLD, $99,818.09, $186.49, $0.00, $4.58
2021-05-14 13:15:00, $93.32, HOLD, $99,818.09, $186.49, $0.00, $4.58
2021-05-14 13:30:00, $93.32, SELL, $100,004.73, $0.00, $0.00, $4.73
2021-05-14 13:45:00, $93.21, HOLD, $100,004.73, $0.00, $0.00, $4.73
2021-05-14 14:00:00, $93.11, SELL, $100,004.73, $0.00, $0.00, $4.73
2021-05-14 14:15:00, $92.98, HOLD, $100,004.73, $0.00, $0.00, $4.73
2021-05-14 14:30:00, $92.55, SELL, $100,004.73, $0.00, $0.00, $4.73
2021-05-14 14:45:00, $91.75, HOLD, $100,004.73, $0.00, $0.00, $4.73
2021-05-17 08:30:00, $91.19, SELL, $100,004.73, $0.00, $0.00, $4.73
2021-05-17 08:45:00, $91.13, HOLD, $100,004.73, $0.00, $0.00, $4.73
2021-05-17 09:00:00, $91.49, BUY, $99,913.24, $91.49, $0.00, $4.73
2021-05-17 09:15:00, $91.50, HOLD, $99,913.24, $91.49, $0.00, $4.73
2021-05-17 09:30:00, $91.38, SELL, $100,004.61, $0.00, $-0.12, $4.61
2021-05-17 09:45:00, $91.26, HOLD, $100,004.61, $0.00, $0.00, $4.61
2021-05-17 10:00:00, $91.25, SELL, $100,004.61, $0.00, $0.00, $4.61
2021-05-17 10:15:00, $91.16, HOLD, $100,004.61, $0.00, $0.00, $4.61
2021-05-17 10:30:00, $91.08, SELL, $100,004.61, $0.00, $0.00, $4.61
2021-05-17 10:45:00, $91.10, BUY, $99,913.51, $91.10, $0.00, $4.61
2021-05-17 11:00:00, $91.28, HOLD, $99,913.51, $91.10, $0.00, $4.61
2021-05-17 11:15:00, $91.33, BUY, $99,822.18, $182.43, $0.00, $4.61
2021-05-17 11:30:00, $91.34, HOLD, $99,822.18, $182.43, $0.00, $4.61
2021-05-17 11:45:00, $91.23, SELL, $100,004.65, $0.00, $-0.10, $4.65
2021-05-17 12:00:00, $91.16, HOLD, $100,004.65, $0.00, $0.00, $4.65
2021-05-17 12:15:00, $91.14, SELL, $100,004.65, $0.00, $0.00, $4.65
2021-05-17 12:30:00, $91.20, BUY, $99,913.45, $91.20, $0.00, $4.65
2021-05-17 12:45:00, $91.26, HOLD, $99,913.45, $91.20, $0.00, $4.65
2021-05-17 13:00:00, $91.19, SELL, $100,004.64, $0.00, $-0.01, $4.64
2021-05-17 13:15:00, $91.17, HOLD, $100,004.64, $0.00, $0.00, $4.64
2021-05-17 13:30:00, $91.22, BUY, $99,913.42, $91.22, $0.00, $4.64
2021-05-17 13:45:00, $91.24, HOLD, $99,913.42, $91.22, $0.00, $4.64
2021-05-17 14:00:00, $91.25, BUY, $99,822.17, $182.47, $0.00, $4.64
2021-05-17 14:15:00, $91.27, HOLD, $99,822.17, $182.47, $0.00, $4.64
2021-05-17 14:30:00, $91.59, BUY, $99,730.58, $274.06, $0.00, $4.64
2021-05-17 14:45:00, $91.83, HOLD, $99,730.58, $274.06, $0.00, $4.64
2021-05-18 08:30:00, $92.06, BUY, $99,638.52, $366.12, $0.00, $4.64
2021-05-18 08:45:00, $92.13, HOLD, $99,638.52, $366.12, $0.00, $4.64
2021-05-18 09:00:00, $92.09, SELL, $100,006.89, $0.00, $0.03, $6.89
2021-05-18 09:15:00, $91.98, HOLD, $100,006.89, $0.00, $0.00, $6.89
2021-05-18 09:30:00, $91.80, SELL, $100,006.89, $0.00, $0.00, $6.89
2021-05-18 09:45:00, $91.68, HOLD, $100,006.89, $0.00, $0.00, $6.89
2021-05-18 10:00:00, $91.54, SELL, $100,006.89, $0.00, $0.00, $6.89
2021-05-18 10:15:00, $91.43, HOLD, $100,006.89, $0.00, $0.00, $6.89
2021-05-18 10:30:00, $91.42, SELL, $100,006.89, $0.00, $0.00, $6.89
2021-05-18 10:45:00, $91.45, BUY, $99,915.44, $91.45, $0.00, $6.89
2021-05-18 11:00:00, $91.55, HOLD, $99,915.44, $91.45, $0.00, $6.89
2021-05-18 11:15:00, $91.60, BUY, $99,823.84, $183.05, $0.00, $6.89
2021-05-18 11:30:00, $91.59, SELL, $100,007.02, $0.00, $-0.01, $7.02
2021-05-18 11:45:00, $91.49, HOLD, $100,007.02, $0.00, $0.00, $7.02
2021-05-18 12:00:00, $91.43, SELL, $100,007.02, $0.00, $0.00, $7.02
2021-05-18 12:15:00, $91.42, HOLD, $100,007.02, $0.00, $0.00, $7.02
2021-05-18 12:30:00, $91.46, BUY, $99,915.57, $91.46, $0.00, $7.02
2021-05-18 12:45:00, $91.37, SELL, $100,006.94, $0.00, $-0.09, $6.94
2021-05-18 13:00:00, $91.19, HOLD, $100,006.94, $0.00, $0.00, $6.94
2021-05-18 13:15:00, $91.06, SELL, $100,006.94, $0.00, $0.00, $6.94
2021-05-18 13:30:00, $91.01, HOLD, $100,006.94, $0.00, $0.00, $6.94
2021-05-18 13:45:00, $91.03, BUY, $99,915.90, $91.03, $0.00, $6.94
2021-05-18 14:00:00, $90.96, SELL, $100,006.86, $0.00, $-0.07, $6.86
2021-05-18 14:15:00, $90.60, HOLD, $100,006.86, $0.00, $0.00, $6.86
2021-05-18 14:30:00, $90.29, SELL, $100,006.86, $0.00, $0.00, $6.86
2021-05-18 14:45:00, $90.20, HOLD, $100,006.86, $0.00, $0.00, $6.86
2021-05-19 08:30:00, $90.49, BUY, $99,916.38, $90.49, $0.00, $6.86
2021-05-19 08:45:00, $91.18, HOLD, $99,916.38, $90.49, $0.00, $6.86
2021-05-19 09:00:00, $91.74, BUY, $99,824.63, $182.23, $0.00, $6.86
2021-05-19 09:15:00, $92.44, HOLD, $99,824.63, $182.23, $0.00, $6.86
2021-05-19 09:30:00, $92.95, BUY, $99,731.69, $275.18, $0.00, $6.86
2021-05-19 09:45:00, $93.41, HOLD, $99,731.69, $275.18, $0.00, $6.86
2021-05-19 10:00:00, $93.55, BUY, $99,638.13, $368.73, $0.00, $6.86
2021-05-19 10:15:00, $93.38, SELL, $100,011.65, $0.00, $-0.17, $11.65
2021-05-19 10:30:00, $93.25, HOLD, $100,011.65, $0.00, $0.00, $11.65
2021-05-19 10:45:00, $93.23, SELL, $100,011.65, $0.00, $0.00, $11.65
2021-05-19 11:00:00, $93.31, BUY, $99,918.33, $93.31, $0.00, $11.65
2021-05-19 11:15:00, $93.32, HOLD, $99,918.33, $93.31, $0.00, $11.65
2021-05-19 11:30:00, $93.41, BUY, $99,824.92, $186.73, $0.00, $11.65
