Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2020-11-23 23:00:00, $81.84, BUY, $99,918.16, $81.84, $0.00, $0.00
2020-11-24 23:00:00, $82.30, HOLD, $99,918.16, $81.84, $0.00, $0.00
2020-11-26 23:00:00, $83.26, BUY, $99,834.91, $165.09, $0.00, $0.00
2020-11-29 23:00:00, $83.85, HOLD, $99,834.91, $165.09, $0.00, $0.00
2020-11-30 23:00:00, $84.16, BUY, $99,750.74, $249.26, $0.00, $0.00
2020-12-01 23:00:00, $84.90, HOLD, $99,750.74, $249.26, $0.00, $0.00
2020-12-02 23:00:00, $85.59, BUY, $99,665.15, $334.85, $0.00, $0.00
2020-12-03 23:00:00, $86.81, HOLD, $99,665.15, $334.85, $0.00, $0.00
2020-12-06 23:00:00, $86.31, SELL, $100,010.38, $0.00, $0.72, $10.38
2020-12-07 23:00:00, $85.70, HOLD, $100,010.38, $0.00, $0.00, $10.38
2020-12-08 23:00:00, $84.55, SELL, $100,010.38, $0.00, $0.00, $10.38
2020-12-09 23:00:00, $84.65, BUY, $99,925.73, $84.65, $0.00, $10.38
2020-12-10 23:00:00, $85.26, HOLD, $99,925.73, $84.65, $0.00, $10.38
2020-12-13 23:00:00, $85.65, BUY, $99,840.08, $170.30, $0.00, $10.38
2020-12-14 23:00:00, $85.85, HOLD, $99,840.08, $170.30, $0.00, $10.38
2020-12-15 23:00:00, $85.93, BUY, $99,754.15, $256.23, $0.00, $10.38
2020-12-16 23:00:00, $85.87, SELL, $100,011.76, $0.00, $-0.06, $11.76
2020-12-17 23:00:00, $86.06, BUY, $99,925.70, $86.06, $0.00, $11.76
2020-12-20 23:00:00, $85.81, SELL, $100,011.51, $0.00, $-0.25, $11.51
2020-12-21 23:00:00, $86.27, BUY, $99,925.24, $86.27, $0.00, $11.51
2020-12-22 23:00:00, $86.32, HOLD, $99,925.24, $86.27, $0.00, $11.51
2020-12-23 23:00:00, $86.40, BUY, $99,838.84, $172.67, $0.00, $11.51
2020-12-27 23:00:00, $86.73, HOLD, $99,838.84, $172.67, $0.00, $11.51
2020-12-28 23:00:00, $87.39, BUY, $99,751.45, $260.06, $0.00, $11.51
2020-12-29 23:00:00, $87.88, HOLD, $99,751.45, $260.06, $0.00, $11.51
2020-12-30 23:00:00, $88.47, BUY, $99,662.98, $348.53, $0.00, $11.51
2021-01-03 23:00:00, $88.86, HOLD, $99,662.98, $348.53, $0.00, $11.51
