Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-02-25 23:00:00, $545.99, BUY, $99,454.01, $545.99, $0.00, $0.00
2021-02-28 23:00:00, $534.05, SELL, $99,988.06, $0.00, $-11.94, $-11.94
2021-03-01 23:00:00, $514.40, HOLD, $99,988.06, $0.00, $0.00, $-11.94
2021-03-02 23:00:00, $501.89, SELL, $99,988.06, $0.00, $0.00, $-11.94
2021-03-03 23:00:00, $485.67, HOLD, $99,988.06, $0.00, $0.00, $-11.94
2021-03-04 23:00:00, $487.66, BUY, $99,500.40, $487.66, $0.00, $-11.94
2021-03-07 23:00:00, $487.74, HOLD, $99,500.40, $487.66, $0.00, $-11.94
2021-03-08 23:00:00, $506.42, BUY, $98,993.98, $994.08, $0.00, $-11.94
2021-03-09 23:00:00, $510.92, HOLD, $98,993.98, $994.08, $0.00, $-11.94
2021-03-10 23:00:00, $520.71, BUY, $98,473.27, $1,514.79, $0.00, $-11.94
2021-03-11 23:00:00, $524.58, HOLD, $98,473.27, $1,514.79, $0.00, $-11.94
2021-03-14 23:00:00, $531.16, BUY, $97,942.11, $2,045.95, $0.00, $-11.94
2021-03-15 23:00:00, $524.72, SELL, $100,040.97, $0.00, $-6.44, $40.97
2021-03-16 23:00:00, $518.87, HOLD, $100,040.97, $0.00, $0.00, $40.97
2021-03-17 23:00:00, $516.69, SELL, $100,040.97, $0.00, $0.00, $40.97
2021-03-18 23:00:00, $521.34, BUY, $99,519.63, $521.34, $0.00, $40.97
2021-03-21 23:00:00, $518.64, SELL, $100,038.27, $0.00, $-2.70, $38.27
2021-03-22 23:00:00, $509.89, HOLD, $100,038.27, $0.00, $0.00, $38.27
2021-03-23 23:00:00, $506.91, SELL, $100,038.27, $0.00, $0.00, $38.27
2021-03-24 23:00:00, $511.03, BUY, $99,527.24, $511.03, $0.00, $38.27
2021-03-25 23:00:00, $515.49, HOLD, $99,527.24, $511.03, $0.00, $38.27
2021-03-28 23:00:00, $522.20, BUY, $99,005.04, $1,033.23, $0.00, $38.27
2021-03-29 23:00:00, $533.75, HOLD, $99,005.04, $1,033.23, $0.00, $38.27
2021-03-30 23:00:00, $548.69, BUY, $98,456.35, $1,581.92, $0.00, $38.27
2021-03-31 23:00:00, $555.49, HOLD, $98,456.35, $1,581.92, $0.00, $38.27
2021-04-04 23:00:00, $559.83, BUY, $97,896.52, $2,141.75, $0.00, $38.27
2021-04-05 23:00:00, $564.33, HOLD, $97,896.52, $2,141.75, $0.00, $38.27
2021-04-06 23:00:00, $571.55, BUY, $97,324.97, $2,713.30, $0.00, $38.27
2021-04-07 23:00:00, $585.74, HOLD, $97,324.97, $2,713.30, $0.00, $38.27
2021-04-08 23:00:00, $603.86, BUY, $96,721.12, $3,317.15, $0.00, $38.27
2021-04-11 23:00:00, $615.57, HOLD, $96,721.12, $3,317.15, $0.00, $38.27
2021-04-12 23:00:00, $627.96, BUY, $96,093.16, $3,945.11, $0.00, $38.27
2021-04-13 23:00:00, $631.04, HOLD, $96,093.16, $3,945.11, $0.00, $38.27
2021-04-14 23:00:00, $632.11, BUY, $95,461.05, $4,577.22, $0.00, $38.27
2021-04-15 23:00:00, $619.23, SELL, $100,414.87, $0.00, $-12.88, $414.87
2021-04-18 23:00:00, $611.87, HOLD, $100,414.87, $0.00, $0.00, $414.87
2021-04-19 23:00:00, $605.09, SELL, $100,414.87, $0.00, $0.00, $414.87
2021-04-20 23:00:00, $606.35, BUY, $99,808.52, $606.35, $0.00, $414.87
2021-04-21 23:00:00, $607.93, HOLD, $99,808.52, $606.35, $0.00, $414.87
2021-04-22 23:00:00, $615.02, BUY, $99,193.50, $1,221.37, $0.00, $414.87
2021-04-25 23:00:00, $615.25, HOLD, $99,193.50, $1,221.37, $0.00, $414.87
2021-04-26 23:00:00, $613.22, SELL, $100,419.93, $0.00, $-1.80, $419.93
2021-04-27 23:00:00, $608.22, HOLD, $100,419.93, $0.00, $0.00, $419.93
2021-04-28 23:00:00, $602.24, SELL, $100,419.93, $0.00, $0.00, $419.93
2021-04-29 23:00:00, $589.27, HOLD, $100,419.93, $0.00, $0.00, $419.93
2021-05-02 23:00:00, $581.98, SELL, $100,419.93, $0.00, $0.00, $419.93
2021-05-03 23:00:00, $577.83, HOLD, $100,419.93, $0.00, $0.00, $419.93
2021-05-04 23:00:00, $583.95, BUY, $99,835.98, $583.95, $0.00, $419.93
2021-05-05 23:00:00, $581.31, SELL, $100,417.30, $0.00, $-2.64, $417.30
2021-05-06 23:00:00, $578.42, HOLD, $100,417.30, $0.00, $0.00, $417.30
2021-05-09 23:00:00, $564.39, SELL, $100,417.30, $0.00, $0.00, $417.30
2021-05-10 23:00:00, $556.43, HOLD, $100,417.30, $0.00, $0.00, $417.30
2021-05-11 23:00:00, $555.56, SELL, $100,417.30, $0.00, $0.00, $417.30
2021-05-12 23:00:00, $561.01, BUY, $99,856.29, $561.01, $0.00, $417.30
2021-05-13 23:00:00, $565.66, HOLD, $99,856.29, $561.01, $0.00, $417.30
2021-05-16 23:00:00, $563.44, SELL, $100,419.73, $0.00, $2.43, $419.73
2021-05-17 23:00:00, $569.35, BUY, $99,850.38, $569.35, $0.00, $419.73
2021-05-18 23:00:00, $582.39, HOLD, $99,850.38, $569.35, $0.00, $419.73
2021-05-19 23:00:00, $602.89, BUY, $99,247.49, $1,172.24, $0.00, $419.73
2021-05-20 23:00:00, $616.70, HOLD, $99,247.49, $1,172.24, $0.00, $419.73
