Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:40:00, $532.02, BUY, $99,467.98, $532.02, $0.00, $0.00
2021-05-25 10:45:00, $531.98, SELL, $99,999.96, $0.00, $-0.04, $-0.04
2021-05-25 10:50:00, $532.13, BUY, $99,467.84, $532.13, $0.00, $-0.04
2021-05-25 10:55:00, $532.12, SELL, $99,999.96, $0.00, $-0.00, $-0.04
2021-05-25 11:00:00, $532.04, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-25 11:05:00, $531.76, SELL, $99,999.96, $0.00, $0.00, $-0.04
2021-05-25 11:10:00, $531.72, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-25 11:15:00, $531.81, BUY, $99,468.15, $531.81, $0.00, $-0.04
2021-05-25 11:20:00, $532.03, HOLD, $99,468.15, $531.81, $0.00, $-0.04
2021-05-25 11:25:00, $532.09, BUY, $98,936.06, $1,063.89, $0.00, $-0.04
2021-05-25 11:30:00, $532.05, SELL, $100,000.16, $0.00, $-0.04, $0.16
2021-05-25 11:35:00, $532.04, HOLD, $100,000.16, $0.00, $0.00, $0.16
2021-05-25 11:40:00, $531.99, SELL, $100,000.16, $0.00, $0.00, $0.16
2021-05-25 11:45:00, $532.04, BUY, $99,468.11, $532.04, $0.00, $0.16
2021-05-25 11:50:00, $531.89, SELL, $100,000.01, $0.00, $-0.15, $0.01
2021-05-25 11:55:00, $531.82, HOLD, $100,000.01, $0.00, $0.00, $0.01
2021-05-25 12:00:00, $531.86, BUY, $99,468.15, $531.86, $0.00, $0.01
2021-05-25 12:05:00, $532.06, HOLD, $99,468.15, $531.86, $0.00, $0.01
2021-05-25 12:10:00, $532.37, BUY, $98,935.78, $1,064.22, $0.00, $0.01
2021-05-25 12:15:00, $532.57, HOLD, $98,935.78, $1,064.22, $0.00, $0.01
2021-05-25 12:20:00, $532.54, SELL, $100,000.86, $0.00, $0.17, $0.86
2021-05-25 12:25:00, $532.33, HOLD, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 12:30:00, $532.08, SELL, $100,000.86, $0.00, $0.00, $0.86
2021-05-25 12:35:00, $532.11, BUY, $99,468.75, $532.11, $0.00, $0.86
2021-05-25 12:40:00, $532.31, HOLD, $99,468.75, $532.11, $0.00, $0.86
2021-05-25 12:45:00, $532.47, BUY, $98,936.28, $1,064.58, $0.00, $0.86
2021-05-25 12:50:00, $532.70, HOLD, $98,936.28, $1,064.58, $0.00, $0.86
