Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:10:00, $101.57, BUY, $99,898.43, $101.57, $0.00, $0.00
2021-05-25 10:15:00, $101.53, SELL, $99,999.96, $0.00, $-0.04, $-0.04
2021-05-25 10:20:00, $101.50, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-25 10:25:00, $101.46, SELL, $99,999.96, $0.00, $0.00, $-0.04
2021-05-25 10:30:00, $101.43, HOLD, $99,999.96, $0.00, $0.00, $-0.04
2021-05-25 10:35:00, $101.44, BUY, $99,898.53, $101.44, $0.00, $-0.04
2021-05-25 10:40:00, $101.41, SELL, $99,999.94, $0.00, $-0.02, $-0.06
2021-05-25 10:45:00, $101.40, HOLD, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 10:50:00, $101.39, SELL, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 10:55:00, $101.40, BUY, $99,898.54, $101.40, $0.00, $-0.06
2021-05-25 11:00:00, $101.43, HOLD, $99,898.54, $101.40, $0.00, $-0.06
2021-05-25 11:05:00, $101.48, BUY, $99,797.05, $202.88, $0.00, $-0.06
2021-05-25 11:10:00, $101.52, HOLD, $99,797.05, $202.88, $0.00, $-0.06
2021-05-25 11:15:00, $101.53, BUY, $99,695.52, $304.42, $0.00, $-0.06
2021-05-25 11:20:00, $101.50, SELL, $100,000.02, $0.00, $-0.03, $0.02
2021-05-25 11:25:00, $101.47, HOLD, $100,000.02, $0.00, $0.00, $0.02
2021-05-25 11:30:00, $101.47, BUY, $99,898.55, $101.47, $0.00, $0.02
2021-05-25 11:35:00, $101.49, HOLD, $99,898.55, $101.47, $0.00, $0.02
2021-05-25 11:40:00, $101.53, BUY, $99,797.02, $203.00, $0.00, $0.02
2021-05-25 11:45:00, $101.46, SELL, $99,999.94, $0.00, $-0.07, $-0.06
2021-05-25 11:55:00, $101.39, HOLD, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 12:00:00, $101.34, SELL, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 12:05:00, $101.36, BUY, $99,898.58, $101.36, $0.00, $-0.06
2021-05-25 12:10:00, $101.38, HOLD, $99,898.58, $101.36, $0.00, $-0.06
2021-05-25 12:15:00, $101.39, BUY, $99,797.19, $202.75, $0.00, $-0.06
2021-05-25 12:20:00, $101.37, SELL, $99,999.94, $0.00, $-0.02, $-0.06
2021-05-25 12:30:00, $101.38, BUY, $99,898.56, $101.38, $0.00, $-0.06
2021-05-25 12:40:00, $101.38, HOLD, $99,898.56, $101.38, $0.00, $-0.06
2021-05-25 12:45:00, $101.40, BUY, $99,797.16, $202.78, $0.00, $-0.06
2021-05-25 12:50:00, $101.39, SELL, $99,999.94, $0.00, $-0.01, $-0.06
2021-05-25 12:55:00, $101.38, HOLD, $99,999.94, $0.00, $0.00, $-0.06
2021-05-25 13:05:00, $101.39, BUY, $99,898.55, $101.39, $0.00, $-0.06
2021-05-25 13:10:00, $101.38, SELL, $99,999.93, $0.00, $-0.01, $-0.08
2021-05-25 13:15:00, $101.35, HOLD, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 13:20:00, $101.35, SELL, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 13:25:00, $101.33, HOLD, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 13:30:00, $101.32, SELL, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 13:35:00, $101.27, HOLD, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 13:40:00, $101.22, SELL, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 13:45:00, $101.18, HOLD, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 13:50:00, $101.15, SELL, $99,999.93, $0.00, $0.00, $-0.08
2021-05-25 14:00:00, $101.18, BUY, $99,898.75, $101.18, $0.00, $-0.08
2021-05-25 14:05:00, $101.20, HOLD, $99,898.75, $101.18, $0.00, $-0.08
2021-05-25 14:10:00, $101.22, BUY, $99,797.53, $202.40, $0.00, $-0.08
2021-05-25 14:15:00, $101.21, SELL, $99,999.95, $0.00, $-0.01, $-0.05
2021-05-25 14:20:00, $101.24, BUY, $99,898.71, $101.24, $0.00, $-0.05
2021-05-25 14:30:00, $101.24, HOLD, $99,898.71, $101.24, $0.00, $-0.05
2021-05-25 14:35:00, $101.22, SELL, $99,999.93, $0.00, $-0.02, $-0.07
2021-05-25 14:40:00, $101.10, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-05-25 14:45:00, $101.06, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-05-25 14:50:00, $101.02, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-05-25 14:55:00, $100.96, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-05-26 08:30:00, $100.91, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-05-26 08:35:00, $100.76, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-05-26 08:40:00, $100.71, HOLD, $99,999.93, $0.00, $0.00, $-0.07
2021-05-26 08:45:00, $100.56, SELL, $99,999.93, $0.00, $0.00, $-0.07
2021-05-26 08:50:00, $100.53, HOLD, $99,999.93, $0.00, $0.00, $-0.07
