Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-25 10:00:00, $91.28, BUY, $99,908.72, $91.28, $0.00, $0.00
2021-05-25 10:05:00, $91.28, SELL, $100,000.00, $0.00, $-0.00, $-0.00
2021-05-25 10:10:00, $91.24, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-25 10:15:00, $91.20, SELL, $100,000.00, $0.00, $0.00, $-0.00
2021-05-25 10:20:00, $91.18, HOLD, $100,000.00, $0.00, $0.00, $-0.00
2021-05-25 10:25:00, $91.21, BUY, $99,908.79, $91.21, $0.00, $-0.00
2021-05-25 10:30:00, $91.28, HOLD, $99,908.79, $91.21, $0.00, $-0.00
2021-05-25 10:35:00, $91.36, BUY, $99,817.42, $182.57, $0.00, $-0.00
2021-05-25 10:50:00, $91.42, HOLD, $99,817.42, $182.57, $0.00, $-0.00
2021-05-25 10:55:00, $91.42, SELL, $100,000.26, $0.00, $0.05, $0.26
2021-05-25 11:00:00, $91.42, SELL, $100,000.26, $0.00, $0.00, $0.26
2021-05-25 11:05:00, $91.42, BUY, $99,908.83, $91.42, $0.00, $0.26
2021-05-25 11:10:00, $91.45, HOLD, $99,908.83, $91.42, $0.00, $0.26
2021-05-25 11:15:00, $91.51, BUY, $99,817.32, $182.94, $0.00, $0.26
2021-05-25 11:20:00, $91.52, HOLD, $99,817.32, $182.94, $0.00, $0.26
2021-05-25 11:25:00, $91.53, BUY, $99,725.79, $274.47, $0.00, $0.26
2021-05-25 11:30:00, $91.49, SELL, $100,000.27, $0.00, $-0.04, $0.27
2021-05-25 11:35:00, $91.47, HOLD, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 11:40:00, $91.40, SELL, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 11:50:00, $91.34, HOLD, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 12:00:00, $91.31, SELL, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 12:05:00, $91.31, SELL, $100,000.27, $0.00, $0.00, $0.27
2021-05-25 12:10:00, $91.33, BUY, $99,908.94, $91.33, $0.00, $0.27
2021-05-25 12:15:00, $91.33, SELL, $100,000.27, $0.00, $-0.00, $0.27
2021-05-25 12:20:00, $91.34, BUY, $99,908.93, $91.34, $0.00, $0.27
