Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2018-05-20 23:00:00, $65.62, BUY, $99,934.38, $65.62, $0.00, $0.00
2018-05-21 23:00:00, $65.36, SELL, $99,999.74, $0.00, $-0.26, $-0.26
2018-05-22 23:00:00, $65.00, HOLD, $99,999.74, $0.00, $0.00, $-0.26
2018-05-23 23:00:00, $64.46, SELL, $99,999.74, $0.00, $0.00, $-0.26
2018-05-24 23:00:00, $64.14, HOLD, $99,999.74, $0.00, $0.00, $-0.26
2018-05-28 23:00:00, $63.34, SELL, $99,999.74, $0.00, $0.00, $-0.26
2018-05-29 23:00:00, $63.16, HOLD, $99,999.74, $0.00, $0.00, $-0.26
2018-05-30 23:00:00, $62.76, SELL, $99,999.74, $0.00, $0.00, $-0.26
2018-05-31 23:00:00, $63.48, BUY, $99,936.26, $63.48, $0.00, $-0.26
2018-06-03 23:00:00, $64.33, HOLD, $99,936.26, $63.48, $0.00, $-0.26
2018-06-04 23:00:00, $64.96, BUY, $99,871.30, $128.45, $0.00, $-0.26
2018-06-05 23:00:00, $65.24, HOLD, $99,871.30, $128.45, $0.00, $-0.26
2018-06-06 23:00:00, $65.29, BUY, $99,806.01, $193.73, $0.00, $-0.26
2018-06-07 23:00:00, $65.36, HOLD, $99,806.01, $193.73, $0.00, $-0.26
2018-06-10 23:00:00, $64.95, SELL, $100,000.85, $0.00, $-0.34, $0.85
2018-06-11 23:00:00, $64.33, HOLD, $100,000.85, $0.00, $0.00, $0.85
2018-06-12 23:00:00, $63.92, SELL, $100,000.85, $0.00, $0.00, $0.85
2018-06-13 23:00:00, $63.77, HOLD, $100,000.85, $0.00, $0.00, $0.85
2018-06-14 23:00:00, $63.43, SELL, $100,000.85, $0.00, $0.00, $0.85
2018-06-17 23:00:00, $62.94, HOLD, $100,000.85, $0.00, $0.00, $0.85
2018-06-18 23:00:00, $62.25, SELL, $100,000.85, $0.00, $0.00, $0.85
2018-06-19 23:00:00, $62.04, HOLD, $100,000.85, $0.00, $0.00, $0.85
2018-06-20 23:00:00, $61.93, SELL, $100,000.85, $0.00, $0.00, $0.85
2018-06-21 23:00:00, $62.15, BUY, $99,938.70, $62.15, $0.00, $0.85
2018-06-24 23:00:00, $62.03, SELL, $100,000.73, $0.00, $-0.12, $0.73
2018-06-25 23:00:00, $61.99, HOLD, $100,000.73, $0.00, $0.00, $0.73
2018-06-26 23:00:00, $61.92, SELL, $100,000.73, $0.00, $0.00, $0.73
2018-06-27 23:00:00, $61.63, HOLD, $100,000.73, $0.00, $0.00, $0.73
2018-06-28 23:00:00, $60.94, SELL, $100,000.73, $0.00, $0.00, $0.73
2018-07-01 23:00:00, $60.47, HOLD, $100,000.73, $0.00, $0.00, $0.73
2018-07-02 23:00:00, $60.48, BUY, $99,940.25, $60.48, $0.00, $0.73
2018-07-04 23:00:00, $61.10, HOLD, $99,940.25, $60.48, $0.00, $0.73
2018-07-05 23:00:00, $61.77, BUY, $99,878.48, $122.26, $0.00, $0.73
2018-07-08 23:00:00, $61.88, HOLD, $99,878.48, $122.26, $0.00, $0.73
2018-07-09 23:00:00, $61.85, SELL, $100,002.18, $0.00, $0.08, $2.18
2018-07-10 23:00:00, $62.13, BUY, $99,940.04, $62.13, $0.00, $2.18
